business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Mother's Meal,Tiffin Center and Mess,Tiffin Service Provider,"Tiffin Service Provider, Lunch restaurant, Meal delivery",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 63712 29808,https://mothersmeal.in/,4.7,289.0,"HIG B 188, Phase-3, Kalinga Vihar, Chhend Colony, Rourkela, Odisha 769015","Phase-3, Kalinga Vihar, Chhend Colony",22.2442155,84.8115208,ChIJna6rtAkZIDoRK9Kg_-aD9co,https://www.google.com/maps/place/?q=place_id:ChIJna6rtAkZIDoRK9Kg_-aD9co,part_355,2026-09-20 20:18:01,714
Savitri tiffin/meals services,Tiffin Center and Mess,Food products supplier,Food products supplier,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 78530 78724,N/A,4.6,7.0,"Micr 63, Phase 1, Chhend Colony, Rourkela, Odisha 769015","Phase 1, Chhend Colony",22.2397495,84.81839269999999,ChIJfy4AOYMZIDoR7b30fwhvm2g,https://www.google.com/maps/place/?q=place_id:ChIJfy4AOYMZIDoR7b30fwhvm2g,part_355,2026-09-20 20:18:01,715
Mayra tiffin service,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,N/A,5.0,2.0,"Station pada, near railway station, Station Para, Rajgangpur, Odisha 770017",Station Para,22.1854192,84.5842014,ChIJ1fBiXDJrIDoR8vINiIdwMds,https://www.google.com/maps/place/?q=place_id:ChIJ1fBiXDJrIDoR8vINiIdwMds,part_355,2026-09-20 20:18:01,716
Annapurna Tiffin Centre,Tiffin Center and Mess,Restaurant,Restaurant,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 81445 62439,N/A,4.9,8.0,"Basanti Colony, Main Rd, near SBI ATM, Rourkela, Odisha 769012",Basanti Nagar,22.2319882,84.8385119,ChIJyQfbKmsZIDoRLxJ14SxoT2Y,https://www.google.com/maps/place/?q=place_id:ChIJyQfbKmsZIDoRLxJ14SxoT2Y,part_355,2026-09-20 20:18:01,717
Benu Tiffin,Tiffin Center and Mess,Restaurant,Restaurant,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,N/A,3.8,32.0,"2WF9+H69, Sundergarh, Odisha 770072",769002,22.023923,83.9181182,ChIJrVlpjxvCIDoRDt8YGCg56Aw,https://www.google.com/maps/place/?q=place_id:ChIJrVlpjxvCIDoRDt8YGCg56Aw,part_355,2026-09-20 20:18:01,718
Pawan Tiffin,Tiffin Center and Mess,Food court,Food court,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 93374 05908,N/A,1.0,1.0,"Hariyana Bhawan Gali, Udit Nagar, Rourkela, Odisha 769001",Udit Nagar,22.226398,84.8522746,ChIJmd69qWQZIDoRzVWL49toOr8,https://www.google.com/maps/place/?q=place_id:ChIJmd69qWQZIDoRzVWL49toOr8,part_355,2026-09-20 20:18:01,719
South Indian Tiffin Center,Tiffin Center and Mess,Tiffin center,Tiffin center,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,N/A,4.7,,"7V47+QWH, Bank St, Bank Street, Sector 19, Rourkela, Raurkela Industrialship, Odisha 769005","Bank Street, Sector 19",22.2569441,84.8648554,ChIJoZYWOlEdIDoRwJcgrWTrwGQ,https://www.google.com/maps/place/?q=place_id:ChIJoZYWOlEdIDoRwJcgrWTrwGQ,part_355,2026-09-20 20:18:02,720
Tiffin City Center,Tiffin Center and Mess,Tiffin center,Tiffin center,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 73572 55546,http://tiffincity.com/,4.5,,"Flat No. 20, D Block, Godavari Apartment Rd, behind Capital Mall, Sector 29, Pratap Nagar, Jaipur, Rajasthan 302033","Sector 29, Pratap Nagar",26.7974785,75.85118709999999,ChIJR3qoMfDJbTkRcY3E7baihGE,https://www.google.com/maps/place/?q=place_id:ChIJR3qoMfDJbTkRcY3E7baihGE,part_355,2026-09-20 20:18:02,721
JK Tiffin Mess ( Ghar Ka Khana ),Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,769003,Odisha circle,Sambalpur Region,Rourkela Division,"Kacharu B.O, Rourkela - 3 S.O, Sector - 15 S.O",+91 99600 76845,N/A,5.0,,"Mukundraj Gali, near Bandewar Gajanan Tuition Classes, Chitnis Park, Jalalpura, Mahal, Nagpur, Maharashtra 440032","Chitnis Park, Jalalpura, Mahal",21.148661699999998,79.1060136,ChIJn_zUVf3B1DsR0oRzuISAmIE,https://www.google.com/maps/place/?q=place_id:ChIJn_zUVf3B1DsR0oRzuISAmIE,part_355,2026-09-20 20:18:38,6620
Break The Fast @ AUNTY'S MESS,Tiffin Center and Mess,Breakfast restaurant,"Breakfast restaurant, South Indian restaurant, Fast food restaurant",769003,Odisha circle,Sambalpur Region,Rourkela Division,"Kacharu B.O, Rourkela - 3 S.O, Sector - 15 S.O",+91 90905 72510,N/A,4.1,,"Chhend Main Rd, Kalinga Vihar, Chhend Colony, Rourkela, Odisha 769015","Kalinga Vihar, Chhend Colony",22.2439054,84.8053916,ChIJ-TzD7YUZIDoRmxr7s5ovQlk,https://www.google.com/maps/place/?q=place_id:ChIJ-TzD7YUZIDoRmxr7s5ovQlk,part_355,2026-09-20 20:18:38,6621
Shree Ganesh Mess & Tiffin services,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,769003,Odisha circle,Sambalpur Region,Rourkela Division,"Kacharu B.O, Rourkela - 3 S.O, Sector - 15 S.O",+91 88477 66064,N/A,4.8,,"Sai Pratiksha Housing Society, police station, Besa Beltarodi Rd, behind Beltarodi, Besa Pipla, Maharashtra 440037",769003,21.076415,79.0849272,ChIJt2FLJJi_1DsRPgJJe_9C3RY,https://www.google.com/maps/place/?q=place_id:ChIJt2FLJJi_1DsRPgJJe_9C3RY,part_355,2026-09-20 20:18:38,6622
श्री Mess Tiffin Service,Tiffin Center and Mess,Tiffin Service Provider,"Tiffin Service Provider, Meal delivery, Restaurant, Tiffin center",769003,Odisha circle,Sambalpur Region,Rourkela Division,"Kacharu B.O, Rourkela - 3 S.O, Sector - 15 S.O",+91 98238 66191,http://shreemess.in/,4.7,,"IBM Road, near Hnuman Mandir, Panchsheel Nagar, Krishna Nagar, Gittikhadan, Nagpur, Maharashtra 440013","Panchsheel Nagar, Krishna Nagar, Gittikhadan",21.171866599999998,79.0557235,ChIJz-oeqnTB1DsRvpjRIm_6-9g,https://www.google.com/maps/place/?q=place_id:ChIJz-oeqnTB1DsRvpjRIm_6-9g,part_355,2026-09-20 20:18:38,6623
InstaTiffin,Tiffin Center and Mess,Tiffin Service Provider,"Tiffin Service Provider, Tiffin center",769003,Odisha circle,Sambalpur Region,Rourkela Division,"Kacharu B.O, Rourkela - 3 S.O, Sector - 15 S.O",+91 74884 19958,N/A,4.5,,"Khorhatoli Don Bosco school, Kokar, Ranchi, Jharkhand 834001",Kokar,23.372364599999997,85.357834,ChIJ9_ZPYFXj9DkR0_IXuycCHM8,https://www.google.com/maps/place/?q=place_id:ChIJ9_ZPYFXj9DkR0_IXuycCHM8,part_355,2026-09-20 20:18:38,6624
"Good-Kitchen ""Mess, Tiffin and Paying Guests""",Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,769003,Odisha circle,Sambalpur Region,Rourkela Division,"Kacharu B.O, Rourkela - 3 S.O, Sector - 15 S.O",+91 87668 99561,N/A,4.8,,"Katol Rd, behind Yadgar Pan Palace, near Ramdeobaba College, Panchsheel Nagar, Gittikhadan, Nagpur, Maharashtra 440013","Panchsheel Nagar, Gittikhadan",21.1737054,79.05807639999999,ChIJ45IgPWTB1DsRrdes9LXXdLA,https://www.google.com/maps/place/?q=place_id:ChIJ45IgPWTB1DsRrdes9LXXdLA,part_355,2026-09-20 20:18:38,6625
Tiffins Care (Regd under Fssai ),Tiffin Center and Mess,Tiffin Service Provider,"Tiffin Service Provider, Food manufacturer, Meal delivery, Tiffin center",769003,Odisha circle,Sambalpur Region,Rourkela Division,"Kacharu B.O, Rourkela - 3 S.O, Sector - 15 S.O",+91 93566 88361,https://sites.google.com/view/tiffinscare/home?authuser=1,4.8,,"Chamat Layout, near Manavnagar Hanuman Mandir, Ramkrishna Nagar, Dighori, Bahadura, Maharashtra 440034","Ramkrishna Nagar, Dighori",21.113088299999998,79.1435765,ChIJZ4i5Gs251DsRcoBWPTq011A,https://www.google.com/maps/place/?q=place_id:ChIJZ4i5Gs251DsRcoBWPTq011A,part_355,2026-09-20 20:18:38,6626
MAA TIFFIN CENTRE ( माँ टिफ़िन सेंटर ) ‍ ‍,Tiffin Center and Mess,Tiffin center,"Tiffin center, Tiffin Service Provider",769003,Odisha circle,Sambalpur Region,Rourkela Division,"Kacharu B.O, Rourkela - 3 S.O, Sector - 15 S.O",+91 92565 11050,https://www.instagram.com/maa_tiffin_centre.jaipur?igsh=MTdqdWh4cm9iYWt2dA==,4.7,,"PLOT NO - 9, Imli Phatak Rd, Chitragupta Nagar-II, Kidwai Nagar, Tonk Phatak, Jaipur, Rajasthan 302015","Chitragupta Nagar-II, Kidwai Nagar, Tonk Phatak",26.886580499999997,75.79246119999999,ChIJC2l0xvG1bTkRWh6PYttQ5ZU,https://www.google.com/maps/place/?q=place_id:ChIJC2l0xvG1bTkRWh6PYttQ5ZU,part_355,2026-09-20 20:18:38,6627
Maa ki Rasoi Tiffin Services,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,769003,Odisha circle,Sambalpur Region,Rourkela Division,"Kacharu B.O, Rourkela - 3 S.O, Sector - 15 S.O",+91 98111 30559,N/A,4.7,,"H-20, Top Floor, Old Geeta Colony 0pp LPS Schol, Delhi 110031","Block 8, Geeta Colony",28.6559159,77.27128979999999,ChIJzRQgRxX9DDkRXGRYutDLyfM,https://www.google.com/maps/place/?q=place_id:ChIJzRQgRxX9DDkRXGRYutDLyfM,part_355,2026-09-20 20:18:38,6628
Jhaji Mess,Tiffin Center and Mess,Caterer,Caterer,769003,Odisha circle,Sambalpur Region,Rourkela Division,"Kacharu B.O, Rourkela - 3 S.O, Sector - 15 S.O",+91 89867 42892,N/A,4.9,,"Chowk, New Adarsh Nagar, Kokar, Ranchi, Jharkhand 834001","New Adarsh Nagar, Kokar",23.377135499999998,85.3600312,ChIJ7eCjPgfj9DkRS5mTfpLTLFg,https://www.google.com/maps/place/?q=place_id:ChIJ7eCjPgfj9DkRS5mTfpLTLFg,part_355,2026-09-20 20:18:38,6629
My Tiffinz,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,769003,Odisha circle,Sambalpur Region,Rourkela Division,"Kacharu B.O, Rourkela - 3 S.O, Sector - 15 S.O",+91 93230 26362,http://www.mytiffinz.co.in/,4.9,,"Zircon CHS, off Lal Bahadur Shastri Marg, opp. Sheth Montana, Moti Nagar, Mulund Colony, Mulund West, Mumbai, Maharashtra 400080","Moti Nagar, Mulund Colony, Mulund West",19.1692109,72.9362956,ChIJ-4U3GZe55zsRww-FzyP8GRk,https://www.google.com/maps/place/?q=place_id:ChIJ-4U3GZe55zsRww-FzyP8GRk,part_355,2026-09-20 20:18:38,6630
