business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Pets kingdoms,Pet Food and Pet Supplies,Pet store,Pet store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 96920 38724,N/A,5.0,1.0,"Lal field, Rourkela, Odisha 769006",Lal field,22.2514742,84.8865909,ChIJX28uJLofIDoR64TI7J977_U,https://www.google.com/maps/place/?q=place_id:ChIJX28uJLofIDoR64TI7J977_U,part_355,2026-09-20 20:18:00
Rakesh Hobbies Centre,Pet Food and Pet Supplies,Pet store,Pet store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 99371 08690,N/A,4.0,139.0,"6, C.T. Market, Sector 4, Rourkela, Odisha 769002","C.T. Market, Sector 4",22.245599799999997,84.87416309999999,ChIJBwvkuKMeIDoRWYLa-XWUCOc,https://www.google.com/maps/place/?q=place_id:ChIJBwvkuKMeIDoRWYLa-XWUCOc,part_355,2026-09-20 20:18:00
Petsome Store,Pet Food and Pet Supplies,Pet store,Pet store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 73817 99288,N/A,4.5,43.0,"Loknath Market, Fertilizer Twp, Rourkela, Odisha 769007",Fertilizer Township,22.1975689,84.8664244,ChIJFVdzotMfIDoR4tUiHRnGWto,https://www.google.com/maps/place/?q=place_id:ChIJFVdzotMfIDoR4tUiHRnGWto,part_355,2026-09-20 20:18:00
Pet paradaise,Pet Food and Pet Supplies,Pet supply store,Pet supply store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 94384 26424,https://www.petparadise.com/,3.9,37.0,"Rourkela, sector -22, fertilizer market, Odisha 769007",OCL Industrial Township,22.188989799999998,84.86177169999999,ChIJLyX3494fIDoRj5aOdsnH8yQ,https://www.google.com/maps/place/?q=place_id:ChIJLyX3494fIDoRj5aOdsnH8yQ,part_355,2026-09-20 20:18:00
PAWS PET STORE,Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Pet store",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 97789 89829,N/A,4.2,223.0,"Commercial complex, Plot No. A/1, Hospital Road, near Besaj Patel, Civil Township, Rourkela, Odisha 769004",Civil Township,22.225120099999998,84.8208038,ChIJ6abjhQwZIDoRgkS_oxQ8vYg,https://www.google.com/maps/place/?q=place_id:ChIJ6abjhQwZIDoRgkS_oxQ8vYg,part_355,2026-09-20 20:18:00
Pets Hub,Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Pet store",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 98610 73636,N/A,4.3,4.0,"Shop No 481, Gajapati market, Bank Street, Sector 19, Rourkela, Raurkela Industrialship, Odisha 769005","Bank Street, Sector 19",22.2577659,84.8649676,ChIJeYEFz9wfIDoRaaLtlAJWVvM,https://www.google.com/maps/place/?q=place_id:ChIJeYEFz9wfIDoRaaLtlAJWVvM,part_355,2026-09-20 20:18:00
Feather World 🕊️,Pet Food and Pet Supplies,Pet store,Pet store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 82490 54267,N/A,5.0,6.0,"A/100, near jaganath mandir or women's college, Sector 3, Rourkela, Odisha 769003",Sector 3,22.2490809,84.8773691,ChIJu61E27UfIDoRi1pX86wE7dI,https://www.google.com/maps/place/?q=place_id:ChIJu61E27UfIDoRi1pX86wE7dI,part_355,2026-09-20 20:18:00
Paws & Fins pet store,Pet Food and Pet Supplies,Pet store,Pet store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 70775 06674,https://youtube.com/@pawsandfins24?si=MjW2PT8Opjv7AUei,5.0,4.0,"Koelnagar, D Block, Sector 20, Rourkela, Odisha 769014","D Block, Sector 20",22.259605099999998,84.8841508,ChIJTW-0TxodIDoR7OtMqJQY9mw,https://www.google.com/maps/place/?q=place_id:ChIJTW-0TxodIDoR7OtMqJQY9mw,part_355,2026-09-20 20:18:00
Rourkela Flowerhorns,Pet Food and Pet Supplies,Pet store,Pet store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 99382 85293,N/A,4.5,2.0,"D/41, Sector 4, Rourkela, Odisha 769002","D/41, Sector 4",22.2517689,84.87253199999999,ChIJY4b8HTYfIDoRAumUweRrdZg,https://www.google.com/maps/place/?q=place_id:ChIJY4b8HTYfIDoRAumUweRrdZg,part_355,2026-09-20 20:18:00
EXOTIC KINGDOM ROURKELA,Pet Food and Pet Supplies,Pet store,Pet store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,N/A,5.0,3.0,"7V2P+9PF, Sector 2, Rourkela, Odisha 769014",Sector 2,22.25086,84.8863933,ChIJvwD3QwAfIDoRbvSh2dwt6as,https://www.google.com/maps/place/?q=place_id:ChIJvwD3QwAfIDoRbvSh2dwt6as,part_355,2026-09-20 20:18:00
