business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Suzuki Motorcycle (Sinha Suzuki, Rourkela, Raghunathpali)",Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 82911 71095,https://www.suzukimotorcyclepanposh.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,4.5,1247.0,"Panposh Rd, Raghunathpali, Rourkela, Odisha 769004",Raghunathpali,22.2276854,84.8193069,ChIJu4SdCoIZIDoR6lg35tp0Clc,https://www.google.com/maps/place/?q=place_id:ChIJu4SdCoIZIDoR6lg35tp0Clc,part_355,2026-09-20 20:18:10
RM BAJAJ,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motor vehicle dealer, Motorcycle insurance agency, Motorcycle parts store, Two Wheeler Repair Shop, Motorcycle shop",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 90780 83803,https://www.bajajauto.com/,4.5,1063.0,"GM MALL, opp. Titan Eye, Udit Nagar, Rourkela, Odisha 769012",Udit Nagar,22.2269585,84.83543759999999,ChIJr8UDXhUZIDoRDzqGCoamHak,https://www.google.com/maps/place/?q=place_id:ChIJr8UDXhUZIDoRDzqGCoamHak,part_355,2026-09-20 20:18:10
KTM Husqvarna Rourkela,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 78350 79077,https://www.ktm-husqvarna-rourkela.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,4.6,493.0,"1st Floor, GM Mall, opp. Titan Eye Plus, Udit Nagar, Rourkela, Odisha 769012",Udit Nagar,22.2270105,84.8354341,ChIJizmZXRUZIDoRYC4z10CCErI,https://www.google.com/maps/place/?q=place_id:ChIJizmZXRUZIDoRYC4z10CCErI,part_355,2026-09-20 20:18:10
Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 90406 11533,https://dealers.heromotocorp.com/,3.8,443.0,"Gurudwara Road, near Railway station, Rourkela, Odisha 769001",Udit Nagar,22.2272301,84.8645889,ChIJr6s__8geIDoRtZMfaIKvAKw,https://www.google.com/maps/place/?q=place_id:ChIJr6s__8geIDoRtZMfaIKvAKw,part_355,2026-09-20 20:18:10
Dua Motors - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motorcycle parts store, Two Wheeler Repair Shop, Motorcycle shop",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 92899 22179,https://dealers.heromotocorp.com/hero-motocorp/dealer-in-rourkela/dealer-in-Panposh-Road/dua-motors-hero-motocorp-in-Panposh-Road-rourkela--3LT3gm/home,4.2,830.0,"Plot No 11/804, Khata No, Civil, 48/591, Panposh Rd, Raghunathpali, Rourkela, Odisha 769012",Raghunathpali,22.2279414,84.8182692,ChIJmd_JNAsZIDoR0a7VFswZAy8,https://www.google.com/maps/place/?q=place_id:ChIJmd_JNAsZIDoR0a7VFswZAy8,part_355,2026-09-20 20:18:10
Koshala Honda,Two Wheeler Showroom and Dealer,Honda dealer,Honda dealer,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 98611 88888,http://koshalahonda.com/,4.6,3174.0,"Panposh Rd, Civil Township, Rourkela, Odisha 769012",Civil Township,22.2275131,84.8229909,ChIJG2ILKg0ZIDoRMWcGuWxeroE,https://www.google.com/maps/place/?q=place_id:ChIJG2ILKg0ZIDoRMWcGuWxeroE,part_355,2026-09-20 20:18:10
Harsheel Honda,Two Wheeler Showroom and Dealer,Honda dealer,Honda dealer,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,N/A,4.5,3109.0,"208, 733, Panposh Chowk, near Statebank Of India, Raghunathpali, Rourkela, Odisha 769004",Raghunathpali,22.2262415,84.8050264,ChIJDXfds6IZIDoRyYblya9EbnA,https://www.google.com/maps/place/?q=place_id:ChIJDXfds6IZIDoRyYblya9EbnA,part_355,2026-09-20 20:18:10
Guru Gobind Motors TVS (2 wheeler & EV) - Civil Township,Two Wheeler Showroom and Dealer,Motorcycle shop,"Motorcycle shop, Electric motor vehicle dealer, Motor scooter dealer, Motor vehicle dealer",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 8071 406 265,https://showroom.tvsmotor.com/locator/rourkela/Civil-Township/guru-gobind-motors-private-limited-tvs-2-wheeler-ev-in-Civil-Township-rourkela--4tUOne/home,4.4,34.0,"Plot No 193/323, Panposh Rd, opposite Joda Panitank, Civil Township, Rourkela, Odisha 769012",Civil Township,22.227286499999998,84.824709,ChIJ44z0fvEZIDoRTxMIaYjRz4k,https://www.google.com/maps/place/?q=place_id:ChIJ44z0fvEZIDoRTxMIaYjRz4k,part_355,2026-09-20 20:18:10
Yamaha Motor Showroom - Rev Motors,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motor scooter dealer, Motor scooter repair shop, Motor vehicle dealer, Motorcycle parts store, Two Wheeler Repair Shop, Motorcycle shop",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 94374 38501,https://www.yamaha-motor-india.com/?utm_source=store_locator&utm_medium=brand_website,4.2,430.0,"Panposh Rd, Raghunathpali, Rourkela, Odisha 769004",Raghunathpali,22.2275028,84.80702889999999,ChIJKbzNG7IZIDoRJNSoe7rkyLg,https://www.google.com/maps/place/?q=place_id:ChIJKbzNG7IZIDoRJNSoe7rkyLg,part_355,2026-09-20 20:18:10
Bashukinath Business Forum,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 77355 00772,N/A,1.0,1.0,"gold and dimond shop, Om tower, Back side of Malabar, near SP office, Udit Nagar, Rourkela, Odisha 769001",Udit Nagar,22.226567499999998,84.8502257,ChIJn8uLLhsZIDoRYDFWjlxa4hs,https://www.google.com/maps/place/?q=place_id:ChIJn8uLLhsZIDoRYDFWjlxa4hs,part_355,2026-09-20 20:18:10
