business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Melan Ground,Tradeshows,Playground,Playground,769004,Odisha circle,Sambalpur Region,Rourkela Division,"Jhartarang B.O, Vedvyas B.O, Rourkela - 4 S.O",N/A,N/A,4.3,,"7R3J+X88, Sector 13, Sector 14, Rourkela, Raurkela Industrialship, Odisha 769009","Sector 13, Sector 14",22.2549033,84.8308361,ChIJpbMT1d4bIDoRBPW1iTUZkAg,https://www.google.com/maps/place/?q=place_id:ChIJpbMT1d4bIDoRBPW1iTUZkAg,part_355,2026-09-20 20:19:47
Sector 9 Communtiy Center,Tradeshows,Community center,Community center,769004,Odisha circle,Sambalpur Region,Rourkela Division,"Jhartarang B.O, Vedvyas B.O, Rourkela - 4 S.O",N/A,N/A,3.9,,"Sector 9, Rourkela, Raurkela Industrialship, Odisha 769009",Sector 9,22.2477597,84.8381012,ChIJK8avXV4ZIDoRyBUXHCzSiko,https://www.google.com/maps/place/?q=place_id:ChIJK8avXV4ZIDoRyBUXHCzSiko,part_355,2026-09-20 20:19:47
Community Center Sector 13,Tradeshows,Community center,Community center,769004,Odisha circle,Sambalpur Region,Rourkela Division,"Jhartarang B.O, Vedvyas B.O, Rourkela - 4 S.O",N/A,N/A,3.9,,"7R4J+HJ6, Sector 14, Rourkela, Raurkela Industrialship, Odisha 769009",Sector 14,22.2564079,84.8315294,ChIJHd4Lx94bIDoRX8eUjFWOgy0,https://www.google.com/maps/place/?q=place_id:ChIJHd4Lx94bIDoRX8eUjFWOgy0,part_355,2026-09-20 20:19:47
INDIA EXPO CENTRE & MART,Tradeshows,Conference center,"Conference center, Convention center, Exhibition and trade center",769004,Odisha circle,Sambalpur Region,Rourkela Division,"Jhartarang B.O, Vedvyas B.O, Rourkela - 4 S.O",+91 120 232 8011,http://indiaexpomart.com/,4.5,,"Plot No. 23 –25 & 27- 29, Knowledge Park II, Greater Noida, Uttar Pradesh 201306",Knowledge Park II,28.4618471,77.50054829999999,ChIJ3-PXWtnBDDkR81iFSG8hBdI,https://www.google.com/maps/place/?q=place_id:ChIJ3-PXWtnBDDkR81iFSG8hBdI,part_355,2026-09-20 20:19:47
Rourkela Tribal Museum,Tradeshows,Museum,Museum,769004,Odisha circle,Sambalpur Region,Rourkela Division,"Jhartarang B.O, Vedvyas B.O, Rourkela - 4 S.O",N/A,N/A,4.5,,"Raghunathpali, Rourkela, Odisha 769004",Raghunathpali,22.2235072,84.8092274,ChIJUWE_aHYZIDoRinLhDIhKEa0,https://www.google.com/maps/place/?q=place_id:ChIJUWE_aHYZIDoRinLhDIhKEa0,part_355,2026-09-20 20:19:47
Shubh wedding planner,Tradeshows,Event management company,Event management company,769004,Odisha circle,Sambalpur Region,Rourkela Division,"Jhartarang B.O, Vedvyas B.O, Rourkela - 4 S.O",N/A,N/A,5.0,,"Phase-3, Kalinga Vihar, Chhend Colony, Rourkela, Odisha 769015","Phase-3, Kalinga Vihar, Chhend Colony",22.2434406,84.8087919,ChIJo-EWy7oZIDoR4oHuk2V8pAw,https://www.google.com/maps/place/?q=place_id:ChIJo-EWy7oZIDoR4oHuk2V8pAw,part_355,2026-09-20 20:19:47
Auto Deal Expo,Tradeshows,Auto parts store,Auto parts store,769004,Odisha circle,Sambalpur Region,Rourkela Division,"Jhartarang B.O, Vedvyas B.O, Rourkela - 4 S.O",+91 75578 28653,N/A,5.0,,"6QJM+RGQ, Opp. Bhagwati Kata, Vedvyas, Rourkela, Odisha 769004",Vedvyas,22.232084,84.7838628,ChIJK3SNqegZIDoRDe4c0Y-uqvE,https://www.google.com/maps/place/?q=place_id:ChIJK3SNqegZIDoRDe4c0Y-uqvE,part_355,2026-09-20 20:19:47
PHOENIX EVENTS AND ENTERTAINMENTS,Tradeshows,Event management company,Event management company,769004,Odisha circle,Sambalpur Region,Rourkela Division,"Jhartarang B.O, Vedvyas B.O, Rourkela - 4 S.O",N/A,N/A,,,"near Hotel Mayfair, Civil Township, Rourkela, Odisha 769012",Civil Township,22.2245277,84.8186278,ChIJ9yiBVbUZIDoRTJXV1wZc078,https://www.google.com/maps/place/?q=place_id:ChIJ9yiBVbUZIDoRTJXV1wZc078,part_355,2026-09-20 20:19:47
Swastik construction,Tradeshows,Trade fair construction company,Trade fair construction company,769004,Odisha circle,Sambalpur Region,Rourkela Division,"Jhartarang B.O, Vedvyas B.O, Rourkela - 4 S.O",N/A,http://www.swastikconstrucationbelpahar.com/,4.0,6.0,"Belpahar, Odisha 768217",769004,21.8210586,83.8530394,ChIJ616zW7HeIDoR6EfijOpvojQ,https://www.google.com/maps/place/?q=place_id:ChIJ616zW7HeIDoR6EfijOpvojQ,part_355,2026-09-20 20:19:48
R S Event,Tradeshows,Event management company,"Event management company, Service establishment",769004,Odisha circle,Sambalpur Region,Rourkela Division,"Jhartarang B.O, Vedvyas B.O, Rourkela - 4 S.O",+91 78529 42872,N/A,,,"R S Event, 769004, India",769004,22.233016499999998,84.8390324,ChIJFTYDsOAZIDoRyihM5Iy_ThQ,https://www.google.com/maps/place/?q=place_id:ChIJFTYDsOAZIDoRyihM5Iy_ThQ,part_355,2026-09-20 20:19:48
