business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Orissa Furniture,Furniture Showroom,Furniture store,"Furniture store, Furniture wholesaler",769007,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 7 S.O, Fertilizer Township S.O",+91 63703 93515,N/A,3.3,3.0,"Rangoli Chowk, A - Block, Jalda, Rourkela, Odisha 769043","A - Block, Jalda",22.1867356,84.85261609999999,ChIJY2Pi5U8ZIDoR_18mExG4y-8,https://www.google.com/maps/place/?q=place_id:ChIJY2Pi5U8ZIDoR_18mExG4y-8,part_355,2026-09-20 20:21:23
Jagannath Furniture,Furniture Showroom,Furniture store,Furniture store,769007,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 7 S.O, Fertilizer Township S.O",N/A,N/A,,,"5VP9+Q3P, Balijodi Fertilizer Rd, OCL Industrial Twp, Rourkela, Odisha 769007",OCL Industrial Township,22.186965,84.8677175,ChIJg0Tn-jkfIDoRRQGtUpUuNHY,https://www.google.com/maps/place/?q=place_id:ChIJg0Tn-jkfIDoRRQGtUpUuNHY,part_355,2026-09-20 20:21:23
Singh furniture,Furniture Showroom,Furniture store,Furniture store,769007,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 7 S.O, Fertilizer Township S.O",+91 93483 58876,N/A,4.5,2.0,"Tangarpali market, Bhatitolla, Fertilizer Twp, Rourkela, Odisha 769007","Bhatitolla, Fertilizer Township",22.1903059,84.8593928,ChIJW7MZPQAfIDoR2wtof0t3v08,https://www.google.com/maps/place/?q=place_id:ChIJW7MZPQAfIDoR2wtof0t3v08,part_355,2026-09-20 20:21:23
BA Workshop Furniture,Furniture Showroom,Furniture store,Furniture store,769007,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 7 S.O, Fertilizer Township S.O",+91 73270 12538,N/A,5.0,2.0,"Shop 2, Deluxe Ln, Udit Nagar, Rourkela, Odisha 769001",Udit Nagar,22.2244954,84.8601934,ChIJiYwjbxsfIDoRT5iRnb5Koow,https://www.google.com/maps/place/?q=place_id:ChIJiYwjbxsfIDoRT5iRnb5Koow,part_355,2026-09-20 20:21:23
Fahim sofa shop,Furniture Showroom,Sofa store,"Sofa store, Furniture maker",769007,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 7 S.O, Fertilizer Township S.O",+91 79780 62741,N/A,5.0,1.0,"Oram Pada Rd, Chandrapur, Udit Nagar, Rourkela, Odisha 769012","Chandrapur, Udit Nagar",22.2213526,84.8429271,ChIJ0YXP7QofIDoRQ4c0sJhAUQk,https://www.google.com/maps/place/?q=place_id:ChIJ0YXP7QofIDoRQ4c0sJhAUQk,part_355,2026-09-20 20:21:23
Bombay Cloth Store,Furniture Showroom,Mattress store,"Mattress store, Bed shop, Bedding store, Interior Decorator, Wallpaper store, Window treatment store",769007,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 7 S.O, Fertilizer Township S.O",+91 98617 41220,N/A,4.9,420.0,"Main Rd, opposite ICICI Bank, Udit Nagar, Rourkela, Odisha 769001",Udit Nagar,22.225028299999998,84.86215829999999,ChIJ-1ACA8seIDoRYtZICzgPrv8,https://www.google.com/maps/place/?q=place_id:ChIJ-1ACA8seIDoRYtZICzgPrv8,part_355,2026-09-20 20:21:24
Garg Mattress House,Furniture Showroom,Furniture accessories,"Furniture accessories, Bedding store, Mattress store",769007,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 7 S.O, Fertilizer Township S.O",+91 98610 36312,N/A,4.6,27.0,"6VF8+F92, Bisra Rd, Udit Nagar, Rourkela, Odisha 769001",Udit Nagar,22.223627,84.86588379999999,ChIJGyj7ycgeIDoR4D4lRJFygpQ,https://www.google.com/maps/place/?q=place_id:ChIJGyj7ycgeIDoR4D4lRJFygpQ,part_355,2026-09-20 20:21:24
Chhabra Furniture World,Furniture Showroom,Furniture wholesaler,"Furniture wholesaler, Furniture store",769007,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 7 S.O, Fertilizer Township S.O",N/A,N/A,4.0,8.0,"Main Rd, Daily Market, Udit Nagar, Rourkela, Odisha 769001","Daily Market, Udit Nagar",22.2265001,84.851722,ChIJ1cV8KqgZIDoRWFoqq81ywuc,https://www.google.com/maps/place/?q=place_id:ChIJ1cV8KqgZIDoRWFoqq81ywuc,part_355,2026-09-20 20:21:24
AE Traders,Furniture Showroom,Furniture store,Furniture store,769007,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 7 S.O, Fertilizer Township S.O",+91 70087 09808,https://ae-traders.vercel.app/,4.8,5.0,"Madu Maharaj Lane, Nala Road, Udit Nagar, Rourkela, Odisha 769001","Nala Road, Udit Nagar",22.227168,84.85478189999999,ChIJvX7ZRM0ZIDoRBROUNKdEjRo,https://www.google.com/maps/place/?q=place_id:ChIJvX7ZRM0ZIDoRBROUNKdEjRo,part_355,2026-09-20 20:21:24
Sharma furniture,Furniture Showroom,Manufacturer,Manufacturer,769007,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 7 S.O, Fertilizer Township S.O",N/A,N/A,5.0,,"Anand Bhawan Ln, Nala Road, Udit Nagar, Rourkela, Odisha 769001","Nala Road, Udit Nagar",22.223547699999997,84.859589,ChIJdwbGIQAfIDoRguSaCUnZv8c,https://www.google.com/maps/place/?q=place_id:ChIJdwbGIQAfIDoRguSaCUnZv8c,part_355,2026-09-20 20:21:25
