business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Gents Hostel UHMC&H,Hostels,Housing society,Housing society,769010,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 10 S.O,N/A,N/A,,,"6VJJ+RJC, Kishan Basti, Nayabazar, Sector 21, Rourkela, Odisha 769010","Kishan Basti, Nayabazar, Sector 21",22.2328385,84.88181279999999,ChIJSaFvFgAfIDoR_M6vS3ba-ms,https://www.google.com/maps/place/?q=place_id:ChIJSaFvFgAfIDoR_M6vS3ba-ms,part_355,2026-09-20 20:23:14
PM Hydraulic hostel,Hostels,Housing society,Housing society,769010,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 10 S.O,N/A,N/A,5.0,,"VXHW+W2, Housing Board Colony, Jharsuguda, Odisha 768202",Housing Board Colony,21.8806908,83.9942244,ChIJ45gwQgDnIDoRtx4UdsXWTgs,https://www.google.com/maps/place/?q=place_id:ChIJ45gwQgDnIDoRtx4UdsXWTgs,part_355,2026-09-20 20:23:14
KMS Hall,Hostels,Student dormitory,Student dormitory,769010,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 10 S.O,N/A,N/A,4.6,,"6VXX+V68 NIT Campus, National Institute of Technology, Sector 1, Rourkela, Odisha 769008","National Institute of Technology, Sector 1",22.249653499999997,84.89790339999999,ChIJJcfWOwAfIDoRFSKyg5UThW0,https://www.google.com/maps/place/?q=place_id:ChIJJcfWOwAfIDoRFSKyg5UThW0,part_355,2026-09-20 20:23:14
"GNI DREAM CENTER, Jharsuguda",Hostels,Student housing center,Student housing center,769010,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 10 S.O,N/A,N/A,4.4,,"WX2X+J7H, Jharsuguda, Odisha 768202",769010,21.901557099999998,83.9982229,ChIJe6FZM2bmIDoRNESBi-uPGPU,https://www.google.com/maps/place/?q=place_id:ChIJe6FZM2bmIDoRNESBi-uPGPU,part_355,2026-09-20 20:23:14
The Fika Homes,Hostels,Backpacker Hostel,Backpacker Hostel,769010,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 10 S.O,+91 94598 95806,https://thefikahomes.com/,4.7,,"H8C2+3XF, Khauli, Dpf Thunadigad, Himachal Pradesh 175123",769010,31.5701875,77.3024375,ChIJy18H1RKvBTkROOaLsETEOTg,https://www.google.com/maps/place/?q=place_id:ChIJy18H1RKvBTkROOaLsETEOTg,part_355,2026-09-20 20:23:14
Imperial Guest House,Hostels,Boys' hostel,Boys' hostel,769010,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 10 S.O,+91 94379 33769,N/A,3.6,,"FXHF+39X, Modipada, Sambalpur, Odisha 768003",Modipada,21.477737599999998,83.9734773,ChIJNVLNZWIWIToRNbuJ9ihDzkc,https://www.google.com/maps/place/?q=place_id:ChIJNVLNZWIWIToRNbuJ9ihDzkc,part_355,2026-09-20 20:23:14
Hostel bhopal,Hostels,Student dormitory,"Student dormitory, Boys' hostel, Youth Hostel",769010,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 10 S.O,N/A,N/A,4.9,,"Block-D, Plot no-127, Patel Nagar, Bhopal, Madhya Pradesh 462022",Patel Nagar,23.251248999999998,77.4998564,ChIJSdP_W-JBfDkRs13YzTQQ7As,https://www.google.com/maps/place/?q=place_id:ChIJSdP_W-JBfDkRs13YzTQQ7As,part_355,2026-09-20 20:23:15
Urban Executive Boys Hostel,Hostels,Student dormitory,Student dormitory,769010,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 10 S.O,+91 95738 91686,N/A,4.6,106.0,"Sridevi Castle, KB Lal 17 St, Avanti Nagar, Basheer Bagh, Hyderabad, Telangana 500029","Avanti Nagar, Basheer Bagh",17.4014016,78.4794895,ChIJP40XZbmZyzsRmcjy84tcoDE,https://www.google.com/maps/place/?q=place_id:ChIJP40XZbmZyzsRmcjy84tcoDE,part_355,2026-09-20 20:23:15
Gurumukh tower boys hostel,Hostels,Student dormitory,Student dormitory,769010,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 10 S.O,+91 93860 04442,N/A,4.2,370.0,"Gurumukh tower boys hostel, AG More Rd, Gaurishankar Nagar, Shyamali Colony, Doranda, Ranchi, Jharkhand 834002","Gaurishankar Nagar, Shyamali Colony, Doranda",23.3457278,85.3131315,ChIJ6YtuOgDh9DkRzNtJKBDvMqg,https://www.google.com/maps/place/?q=place_id:ChIJ6YtuOgDh9DkRzNtJKBDvMqg,part_355,2026-09-20 20:23:15
Agrasen Welfare Hostel,Hostels,Boys' hostel,Boys' hostel,769010,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 10 S.O,+91 91091 02571,N/A,4.2,160.0,"6HWQ+H7H, Amanaka, Raipur, Chhattisgarh 492010",Amanaka,21.246428899999998,81.5882326,ChIJhSdjlcnfKDoRQ7dzh0u1oMw,https://www.google.com/maps/place/?q=place_id:ChIJhSdjlcnfKDoRQ7dzh0u1oMw,part_355,2026-09-20 20:23:15
Kailash Boys Hostel,Hostels,Backpacker Hostel,Backpacker Hostel,769010,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 10 S.O,N/A,N/A,4.0,1.0,"PG6G+7M9, Hamirpur, Himachal Pradesh 177005",769010,31.710655199999998,76.5267303,ChIJ93XffgDVBDkRlWAd9teZRlA,https://www.google.com/maps/place/?q=place_id:ChIJ93XffgDVBDkRlWAd9teZRlA,part_355,2026-09-20 20:23:15
Zostel Chennai (Anna Nagar),Hostels,Backpacker Hostel,Backpacker Hostel,769010,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 10 S.O,+91 44 4011 6166,https://www.zostel.com/destination/chennai/stay/zostel-chennai-anna-nagar-chnh551,4.9,,"AA 18, 3rd Cross St, Lapis lagoon, AA Block, Shanthi Colony, Anna Nagar, Chennai, Tamil Nadu 600040","Lapis lagoon, AA Block, Shanthi Colony, Anna Nagar",13.0840531,80.2160581,ChIJM_pfjBtlUjoRtFMyQdQPNDk,https://www.google.com/maps/place/?q=place_id:ChIJM_pfjBtlUjoRtFMyQdQPNDk,part_355,2026-09-20 20:23:16
