business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Saloni's Home Bakery 🎂,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,769013,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 13 S.O,+91 82497 58974,N/A,5.0,3.0,"Sector 16, near Hanuman Temple, Jagannath Palli, Rourkela, Odisha 769003",Jagannath Palli,22.2688822,84.8537977,ChIJuyy6eWIbIDoRg51dsAFs_Ms,https://www.google.com/maps/place/?q=place_id:ChIJuyy6eWIbIDoRg51dsAFs_Ms,part_355,2026-09-20 20:24:42
SAS bhahu kitchen,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,769013,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 13 S.O,N/A,http://wa.me/917077412889,4.2,6.0,"6VM2+F85 MADHUSUDAN PALLI, Railway Colony, Rourkela, Odisha 769012",Railway Colony,22.234185999999998,84.85102239999999,ChIJ-QeEntYZIDoRU3Q6ktfWr50,https://www.google.com/maps/place/?q=place_id:ChIJ-QeEntYZIDoRU3Q6ktfWr50,part_355,2026-09-20 20:24:42
The Swiss Bakery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,769013,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 13 S.O,+91 79784 81379,https://www.facebook.com/swissbakerybam/,4.7,895.0,"Zanana Hospital Rd, Tata Benz Square, Godavarish Nagar, Brahmapur, Odisha 760001","Tata Benz Square, Godavarish Nagar",19.3064516,84.798402,ChIJacDWNp9RPToRWOara8ETVus,https://www.google.com/maps/place/?q=place_id:ChIJacDWNp9RPToRWOara8ETVus,part_355,2026-09-20 20:24:42
Sharda Bakery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,769013,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 13 S.O,+91 90982 76838,N/A,4.5,161.0,"Swami Vivekanand Square (idgah) Datta Complex, Madhya Pradesh 464001",Shastri Nagar,23.515767,77.7946504,ChIJgb_b1-8FfDkRislsBRdQg28,https://www.google.com/maps/place/?q=place_id:ChIJgb_b1-8FfDkRislsBRdQg28,part_355,2026-09-20 20:24:42
Odishabakeryhouse,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,769013,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 13 S.O,+91 86586 99671,N/A,4.3,139.0,"Odisha bakery house, Singh market complex, sirajuddin chowk, near khimji gold loan, Keonjhar, Odisha 758001",769013,21.6399279,85.6076835,ChIJf8KRLbv9HjoR537tMKBMN6I,https://www.google.com/maps/place/?q=place_id:ChIJf8KRLbv9HjoR537tMKBMN6I,part_355,2026-09-20 20:24:42
Mamma Mia Cafe,Patisserie,Bakery and Cake Shop,"Bakery and Cake Shop, Breakfast restaurant, Cake shop, Coffee store, Italian restaurant, Mexican restaurant, Pastry shop, Pizza restaurant, Wedding bakery",769013,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 13 S.O,+91 92384 13098,https://www.mayfairhotels.com/lagoon-bhubaneswar/dining/mamma-mia.html,4.4,474.0,"Shop No 4, Lagoon, Mayfair Lagoon Rd, Jayadev Vihar, Bhubaneswar, Odisha 751013",Jayadev Vihar,20.300356,85.819436,ChIJleB4asYJGToRKD24ZUJJ4Fs,https://www.google.com/maps/place/?q=place_id:ChIJleB4asYJGToRKD24ZUJJ4Fs,part_355,2026-09-20 20:24:42
The Red Cherry🍒(Bakery & Confectionery),Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,769013,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 13 S.O,+91 63706 80230,N/A,3.7,,"7V93+9RW, Jagannath Palli, Rourkela, Odisha 769003",Jagannath Palli,22.268106799999998,84.8550975,ChIJEawPN68bIDoRqW45GxJzujg,https://www.google.com/maps/place/?q=place_id:ChIJEawPN68bIDoRqW45GxJzujg,part_355,2026-09-20 20:24:43
Odisha Bakery House,Patisserie,Restaurant,Restaurant,769013,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 13 S.O,+91 77355 03346,N/A,4.9,,"Shop-3, Plot- N5/35E, Crown Hotel Rd, Indradhanu Market, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","Indradhanu Market, IRC Village, Nayapalli",20.294818799999998,85.8153469,ChIJo1dKbwAJGToReSkXI9iqJMw,https://www.google.com/maps/place/?q=place_id:ChIJo1dKbwAJGToReSkXI9iqJMw,part_355,2026-09-20 20:24:43
Odisha Bakery House,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,769013,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 13 S.O,+91 70082 55356,https://odishabakeryhouse.com/,4.4,,"Mantrichak, Baghra Rd, Ward No.3, Sai Niketan, Baripada, Odisha 757001","Ward No.3, Sai Niketan",21.940454799999998,86.7397185,ChIJM52kkoixHToR1WSijkG9KB0,https://www.google.com/maps/place/?q=place_id:ChIJM52kkoixHToR1WSijkG9KB0,part_355,2026-09-20 20:24:43
Odisha bakery house,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,769013,Odisha Circle,Sambalpur Region,Rourkela Division,Rourkela - 13 S.O,N/A,N/A,5.0,,"3G2C+778 Hari Chhak, Bus Stop, ALAL PUR CHHAK, Puruna Bazar, Bhadrak, Odisha 756100",Puruna Bazar,21.0505459,86.5206733,ChIJJdbiWwD1GzoR9sh-9REBI2I,https://www.google.com/maps/place/?q=place_id:ChIJJdbiWwD1GzoR9sh-9REBI2I,part_355,2026-09-20 20:24:43
