business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AURO HOMOEO CLINIC,Homeopathic Clinic,Homeopathic pharmacy,Homeopathic pharmacy,770001,Odisha Circle,Sambalpur Region,Sundargarh Division,"Sundargarh H.O, Dengibhadi S.O, Mahesdihi S.O",N/A,N/A,5.0,,"Municipality shop No 1, Postoffice Busstand Bypass Rd, Sundargarh, Odisha 770001",770001,22.1208141,84.0395727,ChIJp6ddKgDtIDoRPlKN8QfTKGs,https://www.google.com/maps/place/?q=place_id:ChIJp6ddKgDtIDoRPlKN8QfTKGs,part_355,2026-09-20 20:28:17
Chitrasen Naik Homeo Clinic,Homeopathic Clinic,Homeopath,Homeopath,770001,Odisha Circle,Sambalpur Region,Sundargarh Division,"Sundargarh H.O, Dengibhadi S.O, Mahesdihi S.O",+91 94377 58013,N/A,,,"42CR+FX4, Sundargarh, Odisha 770001",770001,22.121127599999998,84.0424659,ChIJddLXSgDtIDoRyssDJ3ZxEPA,https://www.google.com/maps/place/?q=place_id:ChIJddLXSgDtIDoRyssDJ3ZxEPA,part_355,2026-09-20 20:28:17
Suraj Homeopathic Clinic,Homeopathic Clinic,Homeopath,Homeopath,770001,Odisha Circle,Sambalpur Region,Sundargarh Division,"Sundargarh H.O, Dengibhadi S.O, Mahesdihi S.O",+91 94617 70030,N/A,4.9,,"1/65, Agrasen Nagar, Churu, Rajasthan 331001",Agrasen Nagar,28.2881663,74.9727137,ChIJPX8M1pdhEzkRAGaRim-Z-Nk,https://www.google.com/maps/place/?q=place_id:ChIJPX8M1pdhEzkRAGaRim-Z-Nk,part_355,2026-09-20 20:28:17
DR. L. K. NANDA'S HOMOEOPATHIC CLINIC,Homeopathic Clinic,Doctor,Doctor,770001,Odisha Circle,Sambalpur Region,Sundargarh Division,"Sundargarh H.O, Dengibhadi S.O, Mahesdihi S.O",+91 94374 21969,N/A,3.1,,"Plot no -588/1724, Unit 4, Madhusudan Nagar, Bhubaneswar, Odisha 751022","Unit 4, Madhusudan Nagar",20.285892,85.8296113,ChIJq6qquuEJGToR6_oPKAvKoEo,https://www.google.com/maps/place/?q=place_id:ChIJq6qquuEJGToR6_oPKAvKoEo,part_355,2026-09-20 20:28:17
Dr Karunakar Patel and Dr Birakishor Patel,Homeopathic Clinic,Doctor,Doctor,770001,Odisha Circle,Sambalpur Region,Sundargarh Division,"Sundargarh H.O, Dengibhadi S.O, Mahesdihi S.O",N/A,N/A,4.8,,"42CV+XH7, Sundargarh, Odisha 770001",770001,22.122424499999997,84.04393449999999,ChIJIelZmV7tIDoRVxPOJoxP_28,https://www.google.com/maps/place/?q=place_id:ChIJIelZmV7tIDoRVxPOJoxP_28,part_355,2026-09-20 20:28:17
Gandhi's Health & Care Homoeopathic clinic,Homeopathic Clinic,Homeopath,"Homeopath, Acupuncture clinic, Alternative Medicine Clinic, Diabetologist, Doctor, Gastroenterologist, Homeopathic pharmacy, Neonatal physician, Pain management physician, Physiotherapy Center",770001,Odisha Circle,Sambalpur Region,Sundargarh Division,"Sundargarh H.O, Dengibhadi S.O, Mahesdihi S.O",+91 72898 96289,N/A,4.9,48.0,"Lower Ground Floor, 90/45, nearby Akash Hospital, Malviya Nagar, New Delhi, Delhi 110017",Malviya Nagar,28.5350492,77.2148216,ChIJ1-dsl5HnDDkR6OcGMooHUdk,https://www.google.com/maps/place/?q=place_id:ChIJ1-dsl5HnDDkR6OcGMooHUdk,part_355,2026-09-20 20:28:17
Dr. Radhika’s Homoeopathic Clinic,Homeopathic Clinic,Homeopath,"Homeopath, Service establishment",770001,Odisha Circle,Sambalpur Region,Sundargarh Division,"Sundargarh H.O, Dengibhadi S.O, Mahesdihi S.O",+91 88007 07816,N/A,4.9,39.0,"Dr. Radhika’s Homoeopathic Clinic, 770001, India",770001,21.0680074,82.7525294,ChIJk3PS3HQDDTkRi1m00ZZ3Vk0,https://www.google.com/maps/place/?q=place_id:ChIJk3PS3HQDDTkRi1m00ZZ3Vk0,part_355,2026-09-20 20:28:17
"Dr. Smita Goel Homeopathy Clinic ! Homeopathic doctor near me | Best Homoeopathy Doctor in Indirapuram, Ghaziabad & Noida",Homeopathic Clinic,Homeopath,"Homeopath, Dermatologist, Doctor, Gastroenterologist, Gynecologist, Homeopathic pharmacy, Immunologist, Women's health clinic, Psychologist, Skin care clinic",770001,Odisha Circle,Sambalpur Region,Sundargarh Division,"Sundargarh H.O, Dengibhadi S.O, Mahesdihi S.O",+91 88009 37345,http://www.thehomeopathyclinic.co.in/,4.8,613.0,"1st Floor, Rajhansh Plaza, A-101A, Orange County, Ahinsa Khand 1, Indirapuram, Ghaziabad, Uttar Pradesh 201014","Orange County, Ahinsa Khand 1, Indirapuram",28.639340699999998,77.3603535,ChIJX06dZDn7DDkRAP3I7gvEvCo,https://www.google.com/maps/place/?q=place_id:ChIJX06dZDn7DDkRAP3I7gvEvCo,part_355,2026-09-20 20:28:17
Homeosoul - Dr. Akshita Gupta - MD Homeopathic Doctor | Best Homeopathic Clinic In East Delhi,Homeopathic Clinic,Homeopath,Homeopath,770001,Odisha Circle,Sambalpur Region,Sundargarh Division,"Sundargarh H.O, Dengibhadi S.O, Mahesdihi S.O",+91 78272 64157,https://www.homeosoul.com/,4.9,87.0,"16 Gagan Vihar, near Preet Vihar, Nirman Vihar, Karkardooma, Krishna Nagar, New Delhi, Delhi 110051","Nirman Vihar, Karkardooma, Krishna Nagar",28.6456464,77.2970074,ChIJYVS2wlf7DDkRiRxSxhS6JIw,https://www.google.com/maps/place/?q=place_id:ChIJYVS2wlf7DDkRiRxSxhS6JIw,part_355,2026-09-20 20:28:17
Dr Neha Gera,Homeopathic Clinic,Homeopath,"Homeopath, Child health care center, General practitioner, Doctor, Women's health clinic, Skin care clinic",770001,Odisha Circle,Sambalpur Region,Sundargarh Division,"Sundargarh H.O, Dengibhadi S.O, Mahesdihi S.O",+91 93124 35467,http://www.drnehagera.com/,4.7,266.0,"Nagpal Park, 12, Off Jaitely Marg, near DI Khan School Wall NOT IN, Double Storey, MARKET, New Rajinder Nagar, New Delhi, Delhi 110060","Double Storey, MARKET, New Rajinder Nagar",28.631231,77.17862819999999,ChIJOQErQ7cCDTkR5eXSgfSuWWE,https://www.google.com/maps/place/?q=place_id:ChIJOQErQ7cCDTkR5eXSgfSuWWE,part_355,2026-09-20 20:28:17
