business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ramesh HardWare,Hardware Store,Hardware store,Hardware store,770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",N/A,N/A,,,"Mangaspur, Odisha 770019",770011,21.9518333,83.99090509999999,ChIJdbvDKJfoIDoR3bmPfv-UQyI,https://www.google.com/maps/place/?q=place_id:ChIJdbvDKJfoIDoR3bmPfv-UQyI,part_355,2026-09-20 20:29:39
Meher Hardware Store,Hardware Store,Hardware store,Hardware store,770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",+91 83288 16867,N/A,5.0,,"Road, Gandhichowk, Sargipali, Baghiaberna, Odisha 768216",Gandhichowk,21.929951199999998,83.9495053,ChIJQSyvGuPnIDoRt06tkicKZUg,https://www.google.com/maps/place/?q=place_id:ChIJQSyvGuPnIDoRt06tkicKZUg,part_355,2026-09-20 20:29:39
Sita Fuels,Hardware Store,Hardware store,Hardware store,770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",+91 84559 73615,N/A,,,"Shop No 1, Ujalpur, Odisha 770011",770011,22.0837337,83.92016919999999,ChIJv-mLmFHBIDoRUYr7qtTzKbU,https://www.google.com/maps/place/?q=place_id:ChIJv-mLmFHBIDoRUYr7qtTzKbU,part_355,2026-09-20 20:29:39
Sita Trade Godown,Hardware Store,Hardware store,Hardware store,770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",N/A,N/A,,,"3WQM+9W7, Raigarh - Sundargarh Rd, Bansibat, Odisha 770011",770011,22.0884067,83.93478449999999,ChIJLaEHWQDrIDoRJnB3wq7lOdY,https://www.google.com/maps/place/?q=place_id:ChIJLaEHWQDrIDoRJnB3wq7lOdY,part_355,2026-09-20 20:29:39
Maa Samaleswari Hardware,Hardware Store,Hardware store,Hardware store,770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",+91 94371 30570,N/A,4.8,,"3, Kali Mandir Rd, Badheimunda, Jharsuguda, Odisha 768202",Badheimunda,21.863308,84.03850709999999,ChIJy2RtxtjlIDoRxxceisILwB4,https://www.google.com/maps/place/?q=place_id:ChIJy2RtxtjlIDoRxxceisILwB4,part_355,2026-09-20 20:29:39
Jaiswal hardware & Sanitary,Hardware Store,Hardware store,Hardware store,770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",+91 88955 08723,N/A,4.0,,"Jharsuguda - NTPC Darlipali Rd, Brajrajnagar, Baghrachaka, Odisha 768216",770011,21.8680247,83.9217554,ChIJf7HAiI3dIDoRVKqgvo8OS-o,https://www.google.com/maps/place/?q=place_id:ChIJf7HAiI3dIDoRVKqgvo8OS-o,part_355,2026-09-20 20:29:39
Sahu Hardware& Electrical,Hardware Store,Hardware store,"Hardware store, Electrical supply store, Paint store",770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",+91 99373 35800,N/A,4.6,,"Jharsuguda - Raigarh Rd, Brajrajnagar, Odisha 768216",770011,21.8617502,83.9242538,ChIJUSMt_PLdIDoRX1x3r5NWThU,https://www.google.com/maps/place/?q=place_id:ChIJUSMt_PLdIDoRX1x3r5NWThU,part_355,2026-09-20 20:29:39
Orissa Hardware,Hardware Store,Hardware store,Hardware store,770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",+91 76099 71992,http://vectus.in/,5.0,,"Orissa hardware, Gandhi Chowk, Brajrajnagar, Odisha 768216",Gandhi Chowk,21.8620402,83.9241509,ChIJxQZxoa7dIDoRnmEohtNIG4k,https://www.google.com/maps/place/?q=place_id:ChIJxQZxoa7dIDoRnmEohtNIG4k,part_355,2026-09-20 20:29:39
Shree Hardware,Hardware Store,Hardware store,Hardware store,770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",+91 82803 00099,N/A,4.5,2.0,"Jharsuguda Town Main Rd, opposite Gujrati School, Marwari Para, Jharsuguda, Odisha 768201",Marwari Para,21.858160599999998,84.0154653,ChIJk1QTsrPnIDoR9Kg7uYgL2oo,https://www.google.com/maps/place/?q=place_id:ChIJk1QTsrPnIDoR9Kg7uYgL2oo,part_355,2026-09-20 20:29:40
PATEL HARDWARE,Hardware Store,Hardware store,Hardware store,770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",N/A,N/A,5.0,1.0,"WW6Q+JFQ, Niktimal Barakhandia Road, Barakhandia, Koilaga, Odisha 768216",770011,21.911589799999998,83.9387323,ChIJFS7_x4znIDoRaU86KR0BPmo,https://www.google.com/maps/place/?q=place_id:ChIJFS7_x4znIDoRaU86KR0BPmo,part_355,2026-09-20 20:29:40
