business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Qurbat - Good Earth City Center Mall,Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Boutique, Clothing alteration service, Designer Clothing Store, Wedding store",770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",+91 99581 92347,https://qurbat.in/,4.9,766,"Shop no 124, first floor, Good Earth City Centre, Pocket H, Nirvana, Sector 50, Gurugram, Fatehpur, Haryana 122018","Pocket H, Nirvana, Sector 50",28.421757699999997,77.05318659999999,ChIJ42AmcWAjDTkRu464EjQDqFo,https://www.google.com/maps/place/?q=place_id:ChIJ42AmcWAjDTkRu464EjQDqFo,part_355,2026-09-20 20:29:30
The Ethnic Store (plus size store),Womens Ethnic Wear and Kurti,Women's clothing store,Women's clothing store,770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",+91 92680 42223,N/A,4.7,15,"Shop No 92, opp. Babosa Mandir, Pocket 13, Sector 24, Rohini, Delhi, 110085","Pocket 13, Sector 24, Rohini",28.728083899999998,77.0915546,ChIJQ9cg3DcHDTkR25Wo9VIUDcM,https://www.google.com/maps/place/?q=place_id:ChIJQ9cg3DcHDTkR25Wo9VIUDcM,part_355,2026-09-20 20:29:30
Libaaz store,Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Boutique, Clothing alteration service, Designer Clothing Store, Wedding store",770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",+91 85271 16566,N/A,4.8,159,"Shop No. 152, Huda Market, Sector 14, Gurugram, Haryana 122007","Huda Market, Sector 14",28.4741362,77.0476687,ChIJc0rMtK4ZDTkRdutomCdHnMQ,https://www.google.com/maps/place/?q=place_id:ChIJc0rMtK4ZDTkRdutomCdHnMQ,part_355,2026-09-20 20:29:30
Surya Ethnic,Womens Ethnic Wear and Kurti,Designer Clothing Store,"Designer Clothing Store, Saree Shop, Wedding store",770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",+91 98109 89472,http://suryaethnic.com/,4.1,120,"Shop No. 32 & 33, First Floor, MGF Metropolis Mall, Mehrauli-Gurgaon Rd, Sector 28, Maruti Housing Colony, Gurugram, Sarhol, Haryana 122009","Sector 28, Maruti Housing Colony",28.478571,77.082078,ChIJwXi-VqrjDDkRjBZCUYwXHSI,https://www.google.com/maps/place/?q=place_id:ChIJwXi-VqrjDDkRjBZCUYwXHSI,part_355,2026-09-20 20:29:30
KUSVAA,Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Clothing Accessories Store, Clothing store",770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",+91 124 401 1237,https://www.kusvaa.com/,4.4,130,"1st Floor, Good Earth City Centre, Unit no 168, Vikas Marg, Pocket H, Nirvana, Sector 50, Gurugram, Fatehpur, Haryana 122018","Pocket H, Nirvana, Sector 50",28.4212076,77.0530993,ChIJbbA_2gQjDTkRRLD7eo5nZQQ,https://www.google.com/maps/place/?q=place_id:ChIJbbA_2gQjDTkRRLD7eo5nZQQ,part_355,2026-09-20 20:29:30
Faburra,Womens Ethnic Wear and Kurti,Clothing store,"Clothing store, Bridal shop, Designer Clothing Store, Saree Shop",770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",+91 124 407 2081,https://www.faburra.com/,4.7,142,"Shop 199, Sector 49, Gurugram, Haryana 122018",Sector 49,28.412881799999997,77.055043,ChIJb-xEeA0YDTkRhkS5t1M8PqY,https://www.google.com/maps/place/?q=place_id:ChIJb-xEeA0YDTkRhkS5t1M8PqY,part_355,2026-09-20 20:29:30
Ethnic Blossoms,Womens Ethnic Wear and Kurti,Clothing store,"Clothing store, Boutique, Bridal shop, Fashion designer",770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",+91 97739 91451,https://ethnicblossoms.com/,5.0,35,"Shop No 373, Ethnic Blossoms, opposite Metro Pillar No 343, Kohat Enclave, Pitampura, New Delhi, Delhi, 110034","Kohat Enclave, Pitampura",28.6983753,77.1391124,ChIJMY6TAekDDTkR19KzAJp6hFY,https://www.google.com/maps/place/?q=place_id:ChIJMY6TAekDDTkR19KzAJp6hFY,part_355,2026-09-20 20:29:30
Saahi Boutique,Womens Ethnic Wear and Kurti,Boutique,"Boutique, Clothing store, Designer Clothing Store",770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",+91 98747 92904,https://www.instagram.com/saahiboutique?igsh=MXU0YTJxeW55cWlwaw==,4.9,204,"Ist floor, 808, 19th Main Rd, Garden Layout, Sector 2, HSR Layout, Bengaluru, Karnataka 560102","Garden Layout, Sector 2, HSR Layout",12.9075776,77.6446643,ChIJh0-gX0wVrjsRgTztdJFX3YE,https://www.google.com/maps/place/?q=place_id:ChIJh0-gX0wVrjsRgTztdJFX3YE,part_355,2026-09-20 20:29:30
Palkhi Fashion,Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Bridal shop, Clothing store, Clothing Accessories Store, Fashion designer, Men's clothing store, Boutique",770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",N/A,https://palkhifashion.com/,4.9,1191,"9412 S Texas 6, Houston, TX 77083, United States",770011,29.676471799999998,-95.6446757,ChIJS_37yf3dQIYRdcR-C50_DBA,https://www.google.com/maps/place/?q=place_id:ChIJS_37yf3dQIYRdcR-C50_DBA,part_355,2026-09-20 20:29:30
Maitri Texfab Pvt. Ltd.,Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Manufacturer, Clothing store",770011,Odisha circle,Sambalpur Region,Sundargarh Division,"Belsara B.O, Bilaigarh B.O, Chhatenpali B.O",+91 93777 30064,http://www.maitri.in/,4.7,32,"C - 083, 084, Bh. Vanijya Bhawan, Sumel Business Park-2, D. B. Road, Kankaria, Ahmedabad, Gujarat 380022",Kankaria,23.0125021,72.6028168,ChIJq6qqOs2FXjkRsDaaCunqOdk,https://www.google.com/maps/place/?q=place_id:ChIJq6qqOs2FXjkRsDaaCunqOdk,part_355,2026-09-20 20:29:31
