business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Saifi Hair Salon,Unisex Salon,Hair salon,Hair salon,770012,Odisha circle,Sambalpur Region,Sundargarh Division,"Alapaka B.O, Bailama B.O, Dandpani B.O",+91 83195 38155,N/A,4.4,,"RV75+2P8, Belpahar, Odisha 768218",770012,21.8125371,83.8593456,ChIJAYITUcrfIDoRzZT9Vzmmz70,https://www.google.com/maps/place/?q=place_id:ChIJAYITUcrfIDoRzZT9Vzmmz70,part_355,2026-09-20 20:30:19
Hairitage Unisex Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Service establishment",770012,Odisha circle,Sambalpur Region,Sundargarh Division,"Alapaka B.O, Bailama B.O, Dandpani B.O",+91 90401 25222,https://www.hairitageunisexsalon.com/,4.7,,"Hairitage Unisex Salon, 770012, India",770012,21.0680074,82.7525294,ChIJmafdf8KnGToRxseJd8-iMoo,https://www.google.com/maps/place/?q=place_id:ChIJmafdf8KnGToRxseJd8-iMoo,part_355,2026-09-20 20:30:19
Nyara Unisex Salon,Unisex Salon,Hair salon,Hair salon,770012,Odisha circle,Sambalpur Region,Sundargarh Division,"Alapaka B.O, Bailama B.O, Dandpani B.O",N/A,N/A,4.7,,"Yatayat, Police Thana, near Yatayat Police Stetion Kewdabadi Bus Stend, Kewdabadi Bus Stend, Raigarh, Chhattisgarh 496001",770012,21.9000153,83.3907983,ChIJPyWHUsIlJzoRDt_Ep5MYxhE,https://www.google.com/maps/place/?q=place_id:ChIJPyWHUsIlJzoRDt_Ep5MYxhE,part_355,2026-09-20 20:30:19
Prachi beauty parlour,Unisex Salon,Beauty Parlour,Beauty Parlour,770012,Odisha circle,Sambalpur Region,Sundargarh Division,"Alapaka B.O, Bailama B.O, Dandpani B.O",+91 70080 16424,N/A,5.0,,"Kanika Rd, R.F., Odisha 770075",770012,21.8754307,83.7474439,ChIJS9cleCLRIDoRMzVj707g1bg,https://www.google.com/maps/place/?q=place_id:ChIJS9cleCLRIDoRMzVj707g1bg,part_355,2026-09-20 20:30:19
The Signature Unisex Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,770012,Odisha circle,Sambalpur Region,Sundargarh Division,"Alapaka B.O, Bailama B.O, Dandpani B.O",+91 81443 18054,N/A,4.8,91.0,"3, Road No. 13-B, Jagannath Nagar, Rasulgarh, Bhubaneswar, Odisha 751025","Jagannath Nagar, Rasulgarh",20.2887543,85.8671933,ChIJeR3BKgALGToR82tYkFwvKYw,https://www.google.com/maps/place/?q=place_id:ChIJeR3BKgALGToR82tYkFwvKYw,part_355,2026-09-20 20:30:20
4 Season Unisex Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Bridal shop, Eyelash salon, Hair removal service, Nail salon, Spa, Tanning salon, Hairdresser, Waxing hair removal service",770012,Odisha circle,Sambalpur Region,Sundargarh Division,"Alapaka B.O, Bailama B.O, Dandpani B.O",+91 89848 88786,https://www.facebook.com/salon4season,4.7,404.0,"Plot Number 803, Mayfair Road , Near Mayfair Hotel, Jayadev Vihar, Nayapalli, Bhubaneswar, Odisha 751013",Nayapalli,20.2994342,85.81908949999999,ChIJycsCC9MJGToRA0hJmxgY7rU,https://www.google.com/maps/place/?q=place_id:ChIJycsCC9MJGToRA0hJmxgY7rU,part_355,2026-09-20 20:30:20
The Signature Unisex Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,770012,Odisha circle,Sambalpur Region,Sundargarh Division,"Alapaka B.O, Bailama B.O, Dandpani B.O",+91 97761 20500,https://thesignaturesalon.in/,4.8,1086.0,"1st floor, Plot No-547, 2710/3523, Nandankanan Rd, above Med Plus, Raghunathpur, Bhubaneswar, Odisha 751024",Raghunathpur,20.3770041,85.82885,ChIJW91s6hYPGToRCjIrtMiMPII,https://www.google.com/maps/place/?q=place_id:ChIJW91s6hYPGToRCjIrtMiMPII,part_355,2026-09-20 20:30:20
Hairitage Unisex Salon Bhubaneswar,Unisex Salon,Beauty Parlour,Beauty Parlour,770012,Odisha circle,Sambalpur Region,Sundargarh Division,"Alapaka B.O, Bailama B.O, Dandpani B.O",+91 90401 25222,https://hairitageunisexsalon.com/,4.9,64.0,"1026, Delta Square, near Punjab nd sind bank, Soubhagya Nagar, Baramunda, Bhubaneswar, Odisha 751003","Soubhagya Nagar, Baramunda",20.2732431,85.8047656,ChIJDUqWAgCnGToRLhAHG22Brsg,https://www.google.com/maps/place/?q=place_id:ChIJDUqWAgCnGToRLhAHG22Brsg,part_355,2026-09-20 20:30:20
The Glam Gallery Unisex Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,770012,Odisha circle,Sambalpur Region,Sundargarh Division,"Alapaka B.O, Bailama B.O, Dandpani B.O",+91 63714 94611,N/A,4.8,,"Tamando Rd, near DN Regalia Road, Tamando Bazar, Kalinganagar, Bhubaneswar, Odisha 751028","Tamando Bazar, Kalinganagar",20.2374182,85.7509451,ChIJ6YIedKypGToR4xWazWcZmrU,https://www.google.com/maps/place/?q=place_id:ChIJ6YIedKypGToR4xWazWcZmrU,part_355,2026-09-20 20:30:20
SHEER AND HUNKY,Unisex Salon,Beauty Parlour,"Beauty Parlour, Bridal shop, Make-up artist, Nail salon, Spa, Hairdresser",770012,Odisha circle,Sambalpur Region,Sundargarh Division,"Alapaka B.O, Bailama B.O, Dandpani B.O",+91 99384 46555,N/A,5.0,117.0,"1st floor, C/137, CDA Sector-9, Kataka, Odisha 753014",CDA Sector-9,20.4780127,85.8342631,ChIJIYFKUbpyiYoRsXVbaGGCCLI,https://www.google.com/maps/place/?q=place_id:ChIJIYFKUbpyiYoRsXVbaGGCCLI,part_355,2026-09-20 20:30:21
