business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Water World Service,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Water Filter Supplier, Water treatment plant, Water treatment supplier",770018,Odisha circle,Sambalpur Region,Sundargarh Division,"Amgova B.O, Biringatoli B.O, Dahijira B.O",+91 98297 31133,https://hiprofilecards.com/a4uhsxv2a,4.6,167.0,"RO WALA, 11/523, 12 Sector Rd, near RUDRA FOTO COPY, Sector 11, CHAURAYA, Chopasni Housing Board, Jodhpur, Rajasthan 342008","Sector 11, CHAURAYA, Chopasni Housing Board",26.264120499999997,72.9791256,ChIJYf0COxOPQTkR9fOPmshEig8,https://www.google.com/maps/place/?q=place_id:ChIJYf0COxOPQTkR9fOPmshEig8,part_355,2026-09-20 20:33:52
ANKOLA WATER PURIFIERS,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Water Filter Supplier, Water softening equipment supplier, Water treatment plant, Water treatment supplier",770018,Odisha circle,Sambalpur Region,Sundargarh Division,"Amgova B.O, Biringatoli B.O, Dahijira B.O",+91 70190 25603,N/A,5.0,212.0,"Karwar Rd, opp. Samartha Theatre, Ankola, Karnataka 581314",770018,14.662562099999999,74.30566449999999,ChIJP_D4rGqHvjsRxeCSqueaUj0,https://www.google.com/maps/place/?q=place_id:ChIJP_D4rGqHvjsRxeCSqueaUj0,part_355,2026-09-20 20:33:52
Chill Frost Aquatech,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,770018,Odisha circle,Sambalpur Region,Sundargarh Division,"Amgova B.O, Biringatoli B.O, Dahijira B.O",+91 92177 88885,https://www.chillfrostaquatech.com/,5.0,23.0,"SHOP NO 53, Harmilap Nagar Baltana, Phase 1, Industrial Area Phase 2, Zirakpur, Punjab 140604","Harmilap Nagar Baltana, Phase 1, Industrial Area Phase 2",30.6786484,76.8309649,ChIJtW_gFaCToaIRrHPwk7fnpXg,https://www.google.com/maps/place/?q=place_id:ChIJtW_gFaCToaIRrHPwk7fnpXg,part_355,2026-09-20 20:33:52
Rama Enterprises,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Water purification company",770018,Odisha circle,Sambalpur Region,Sundargarh Division,"Amgova B.O, Biringatoli B.O, Dahijira B.O",N/A,N/A,4.2,11.0,"Shop no 79-80, Maharaja Aggarsain Market Car Bazar, Parijat Chowk, Agrasain Market, Bhamashah Nagar, Hisar, Haryana 125001","Agrasain Market, Bhamashah Nagar",29.159978499999998,75.7207756,ChIJ2xHO1J4zEjkRq-6LqYtLXTI,https://www.google.com/maps/place/?q=place_id:ChIJ2xHO1J4zEjkRq-6LqYtLXTI,part_355,2026-09-20 20:33:52
Jai Bhawani Enterprises,RO Water Purifier Sales and Service,Water purification company,Water purification company,770018,Odisha circle,Sambalpur Region,Sundargarh Division,"Amgova B.O, Biringatoli B.O, Dahijira B.O",+91 90793 97993,https://www.instagram.com/jai_bhawani_enterprises_,5.0,2.0,"opposite Baba Ramdev Mandir, 37 PBN Village, Suratgarh, Rajasthan 335804",37 PBN Village,29.301569899999997,73.90352589999999,ChIJaWILnH9zFjkRINF8nNWYuMo,https://www.google.com/maps/place/?q=place_id:ChIJaWILnH9zFjkRINF8nNWYuMo,part_355,2026-09-20 20:33:52
Manshi RO Sels & service,RO Water Purifier Sales and Service,Repair service,Repair service,770018,Odisha circle,Sambalpur Region,Sundargarh Division,"Amgova B.O, Biringatoli B.O, Dahijira B.O",+91 80941 02046,N/A,4.9,28.0,"Shree nath nagar college, rod, Adarsh Colony, Raza Colony, Sri Nath Nagar, Nimbahera, Rajasthan 312601","Adarsh Colony, Raza Colony, Sri Nath Nagar",24.6214604,74.6767838,ChIJBbjIkVIXZjkRjIYMhZLvLl0,https://www.google.com/maps/place/?q=place_id:ChIJBbjIkVIXZjkRjIYMhZLvLl0,part_355,2026-09-20 20:33:52
Harsh Aqua Tech India,RO Water Purifier Sales and Service,Water treatment plant,"Water treatment plant, Water softening equipment supplier, Mineral water company",770018,Odisha circle,Sambalpur Region,Sundargarh Division,"Amgova B.O, Biringatoli B.O, Dahijira B.O",N/A,N/A,1.4,10.0,"Ground Floor, Kasturi plaza, Bombay Motors Cir, Jodhpur, Rajasthan 342003","Bombay Motor Circle, Pratap Nagar",26.278657499999998,72.99877169999999,ChIJv_UEXUuMQTkRFzKTh8ora84,https://www.google.com/maps/place/?q=place_id:ChIJv_UEXUuMQTkRFzKTh8ora84,part_355,2026-09-20 20:33:52
SARIA RO WATER FACTORY,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,770018,Odisha circle,Sambalpur Region,Sundargarh Division,"Amgova B.O, Biringatoli B.O, Dahijira B.O",N/A,N/A,5.0,1.0,"GRHX+9JM, Rania, Haryana 125076",770018,29.528461399999998,74.8490535,ChIJb8UgRgCxFjkR14gZpWwITyo,https://www.google.com/maps/place/?q=place_id:ChIJb8UgRgCxFjkR14gZpWwITyo,part_355,2026-09-20 20:33:53
Ro Water purifier,RO Water Purifier Sales and Service,Service Apartment,Service Apartment,770018,Odisha circle,Sambalpur Region,Sundargarh Division,"Amgova B.O, Biringatoli B.O, Dahijira B.O",+91 95697 89936,N/A,5.0,4.0,"Chanani, Post, behind Shiv mandir, Siyaro Bas, Labnapar, Basti, Uttar Pradesh 272001",Siyaro Bas,26.791173699999998,82.753318,ChIJp6_cj-DbkDkRPlZ53wcf5IM,https://www.google.com/maps/place/?q=place_id:ChIJp6_cj-DbkDkRPlZ53wcf5IM,part_355,2026-09-20 20:33:53
"Reliant Aqua Limited (IRL Group) - RO Repair & Water Purifier Service in Chowk, Lucknow",RO Water Purifier Sales and Service,Water purification company,"Water purification company, Water Filter Supplier, Water softening equipment supplier, Water treatment plant, Water treatment supplier",770018,Odisha circle,Sambalpur Region,Sundargarh Division,"Amgova B.O, Biringatoli B.O, Dahijira B.O",+91 72339 99777,https://irlgroup.in/,5.0,1.0,"Sarai Mali Khan, opp. Chirag Indane Gas Agency, Chaupatiyan, Chowk, Lucknow, Uttar Pradesh 226003","Chaupatiyan, Chowk",26.870312499999997,80.9029375,ChIJ5T7jsej9mzkR5ocYF8eJWGE,https://www.google.com/maps/place/?q=place_id:ChIJ5T7jsej9mzkR5ocYF8eJWGE,part_355,2026-09-20 20:33:53
Reliant Aqua Limited,RO Water Purifier Sales and Service,Water softening equipment supplier,"Water softening equipment supplier, Water Filter Supplier, Water treatment plant",770018,Odisha circle,Sambalpur Region,Sundargarh Division,"Amgova B.O, Biringatoli B.O, Dahijira B.O",+91 94529 36056,N/A,4.0,6.0,"63 c/1 B, Bhola Ka Pura, Ghumanganj, Sulem Sarai, Dhoomanganj, Prayagraj, Uttar Pradesh 211011","Bhola Ka Pura, Ghumanganj, Sulem Sarai, Dhoomanganj",25.449159899999998,81.7792645,ChIJF_pnU4K2mjkR6K8-x3xHrZw,https://www.google.com/maps/place/?q=place_id:ChIJF_pnU4K2mjkR6K8-x3xHrZw,part_355,2026-09-20 20:33:53
Reliant Aqua Limited,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Water Filter Supplier, Water softening equipment supplier, Water treatment plant, Water treatment supplier",770018,Odisha circle,Sambalpur Region,Sundargarh Division,"Amgova B.O, Biringatoli B.O, Dahijira B.O",+91 72339 99777,https://www.reliantaqua.com/,,,"66MR+R85, Gandhi Nagar Nr - Manika Cinema, Uttar Pradesh 229001",Railway Model Colony,26.2345154,81.2408507,ChIJMfUgr8ihmzkRTLW606yd6Pk,https://www.google.com/maps/place/?q=place_id:ChIJMfUgr8ihmzkRTLW606yd6Pk,part_355,2026-09-20 20:33:53
