business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ayurveda Healing Tree,Ayurvedic Pharmacy and Clinic,Medical clinic,"Medical clinic, Alternative Medicine Clinic, Doctor, Gastroenterologist, Hospital, Orthopedic clinic, Pain management physician, Skin care clinic, Wellness center",770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",+91 76962 87379,N/A,4.9,,"Office no 5, B-14/02848, Ambala - Chandigarh Rd, near JP Hospital, Godown Area, Zirakpur, Punjab 140603",Godown Area,30.661514699999998,76.81831629999999,ChIJq3hGyW-VDzkRWH-Zl1Sh9sc,https://www.google.com/maps/place/?q=place_id:ChIJq3hGyW-VDzkRWH-Zl1Sh9sc,part_355,2026-09-20 20:34:17
Sri Amrutam Ayurveda Nilayam,Ayurvedic Pharmacy and Clinic,Hospital,Hospital,770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",+91 96424 77717,N/A,4.7,,"NV Plaza, 6-3-347/1/N/G4, Sai Baba Temple Rd, Dwarakapuri, Punjagutta, Hyderabad, Telangana 500082","Dwarakapuri, Punjagutta",17.424258,78.452137,ChIJq6qqOjWXyzsRHxXf1TEJ-uc,https://www.google.com/maps/place/?q=place_id:ChIJq6qqOjWXyzsRHxXf1TEJ-uc,part_355,2026-09-20 20:34:17
Umesh Ayurveda Traders,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",+91 97600 07723,N/A,5.0,,"Melrose Bypass Road, near Post Office, Prince Nagar, Bannadevi, Aligarh, Uttar Pradesh 202001","Prince Nagar, Bannadevi",27.8968846,78.04834249999999,ChIJRWG_Hb-ldDkRUzK6VqiRu_g,https://www.google.com/maps/place/?q=place_id:ChIJRWG_Hb-ldDkRUzK6VqiRu_g,part_355,2026-09-20 20:34:17
Yogaraja Ayurveda Oushadasala,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",+91 96038 77771,N/A,4.4,,"8-3, 8-3, AG Colony Rd, Vikaspuri, Erragadda, Hyderabad, Telangana 500038","Vikaspuri, Erragadda",17.4486682,78.43287169999999,ChIJoerpiCiRyzsRQ2kmcw76EwI,https://www.google.com/maps/place/?q=place_id:ChIJoerpiCiRyzsRQ2kmcw76EwI,part_355,2026-09-20 20:34:17
Srishti Ayurveda,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",N/A,N/A,4.9,,"Near Shiva Hospital, Kartalpur, Brahmasthan, Azamgarh, Uttar Pradesh 276001",Brahmasthan,26.0795224,83.1748992,ChIJjRdswTejkTkR61szS8Mag70,https://www.google.com/maps/place/?q=place_id:ChIJjRdswTejkTkR61szS8Mag70,part_355,2026-09-20 20:34:17
Desi Dawakhana Aligarh,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,Alternative medicine practitioner,770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",+91 98379 69869,http://desidawakhanaaligarh.com/,4.8,,"Dodhpur Road Abad Nagar, Dodhpur, Civil Lines, Aligarh, Uttar Pradesh 202002","Abad Nagar, Civil Lines",27.9063232,78.0825005,ChIJV-6KzeikdDkR7cLD-oaCTqE,https://www.google.com/maps/place/?q=place_id:ChIJV-6KzeikdDkR7cLD-oaCTqE,part_355,2026-09-20 20:34:17
"Jiva Ayurveda Clinic, Himayatnagar, Hyderabad",Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",+91 93118 15824,https://clinics.jiva.com/jiva-ayurveda-clinic-and-panchakarma-centre-himayatnagar-hyderabad-ayurvedic-clinic-himayatnagar-hyderabad-328946/Home?utm_source=locator&utm_medium=googleplaces,4.1,,"#Flat no: 208, 3rd Floor, Sai Datta Arcade, 102, Street No. 6, beside Maruti Suzuki, above Woodland Store, Himayatnagar, Hyderabad, Telangana 500029",Himayatnagar,17.402112799999998,78.4842268,ChIJ5WU0TeCZyzsRuCEMrxwdTPM,https://www.google.com/maps/place/?q=place_id:ChIJ5WU0TeCZyzsRuCEMrxwdTPM,part_355,2026-09-20 20:34:17
Chiraayu Wellness Centre,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",+91 99804 25256,N/A,4.9,,"2MC4+5VR, Munireddy Layout, Horamavu, Bengaluru, Karnataka 560113","Munireddy Layout, Horamavu",13.0204925,77.6571239,ChIJI9IbMwARrjsRN5ZZDO67uVY,https://www.google.com/maps/place/?q=place_id:ChIJI9IbMwARrjsRN5ZZDO67uVY,part_355,2026-09-20 20:34:18
HERBY HOUSE,Ayurvedic Pharmacy and Clinic,Herbal medicine store,Herbal medicine store,770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",+91 1800 889 1011,http://herbyhouse.com/,4.8,,"15, Kirtibas Mukherjee Rd, Daspara, Haludkol, Kolkata, West Bengal 700067","Daspara, Haludkol",22.5995842,88.3818998,ChIJ9Yf_FTt2AjoREeNR5FlvtHo,https://www.google.com/maps/place/?q=place_id:ChIJ9Yf_FTt2AjoREeNR5FlvtHo,part_355,2026-09-20 20:34:18
Sri Ganesh Ayurvedic,Ayurvedic Pharmacy and Clinic,Pharmacy,"Pharmacy, Alternative medicine practitioner",770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",+91 92956 08315,N/A,4.3,,"Shop No.105, Sirsha Plaza, Opp.Sheeshmahal Talkies, below A.P. Mahesh Bank, Punjagutta Officers Colony, Ameerpet, Hyderabad, Telangana 500016","Ameerpet Officers Colony, Punjagutta Officers Colony, Ameerpet",17.434355099999998,78.4495669,ChIJ7RaaAMmQyzsR3EJOWpuAYY4,https://www.google.com/maps/place/?q=place_id:ChIJ7RaaAMmQyzsR3EJOWpuAYY4,part_355,2026-09-20 20:34:18
Brothers Ayurvedic Store & Clinic,Ayurvedic Pharmacy and Clinic,Pharmacy,"Pharmacy, Alternative medicine practitioner",770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",+91 93910 64358,N/A,4.0,,"11-5-56/2/3, Bazar Ghat X Road, Bazar Ghat, Redhills, Hyderabad, Telangana 500004","Devi Bagh, Red Hills, Lakdikapul",17.3944211,78.4629916,ChIJFUk_m2-XyzsRlWZdZBNmilk,https://www.google.com/maps/place/?q=place_id:ChIJFUk_m2-XyzsRlWZdZBNmilk,part_355,2026-09-20 20:34:18
Kiki Traders,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,Alternative medicine practitioner,770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",+91 98731 77630,N/A,5.0,,"6018, Khari Baoli, Chandni Chowk, Khari Baoli Rd, Old Delhi, Fatehpuri, Chandni Chowk, Delhi, 110006","Old Delhi, Fatehpuri, Chandni Chowk",28.656823,77.22045399999999,ChIJAQAAfA39DDkRWLXP8ZYpK00,https://www.google.com/maps/place/?q=place_id:ChIJAQAAfA39DDkRWLXP8ZYpK00,part_355,2026-09-20 20:34:18
PIYUSHPANI AYURVEDA PANCHAKARMA & Wellness Center,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Herb shop, Herbal medicine store, Pharmacy",770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",N/A,N/A,5.0,,"Piyushpani ayurveda, Ganesh Mandir Rd, Gayatri Colony, Ratanada, Jodhpur, Rajasthan 342011","Gayatri Colony, Ratanada",26.2768625,73.0368616,ChIJi33G292NQTkR-k7OrlJAZV0,https://www.google.com/maps/place/?q=place_id:ChIJi33G292NQTkR-k7OrlJAZV0,part_355,2026-09-20 20:34:18
