business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
CHHATTISGARH FABRICATION AND STEEL WORKS,Steel Fabrication Workshop,Machine workshop,"Machine workshop, Metal fabricator, Steel distributor",770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",+91 91315 96440,N/A,,,"infront of gopi talkies, gopi talkies road, Raigarh, Chhattisgarh 496001",770019,21.891232799999997,83.3972082,ChIJ7YFC0OklJzoRDSzKA6FFjhg,https://www.google.com/maps/place/?q=place_id:ChIJ7YFC0OklJzoRDSzKA6FFjhg,part_355,2026-09-20 20:34:38
Ross Metal Works,Steel Fabrication Workshop,Metal fabricator,"Metal fabricator, Iron works, Metal services, Metal working shop",770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",N/A,http://www.rossmetalworks.com/,4.4,,"1910 Turner Dr C, Houston, TX 77093, United States",Northeast Houston,29.8514476,-95.3545503,ChIJMzBMAjO4QIYREvtsnr-cC-I,https://www.google.com/maps/place/?q=place_id:ChIJMzBMAjO4QIYREvtsnr-cC-I,part_355,2026-09-20 20:34:39
Space City Fabrication LLC,Steel Fabrication Workshop,Steel fabricator,"Steel fabricator, Real Estate Builders & Construction Company, Fence contractor, Iron works, Metal fabricator, Metal workshop, Steel erector, Welder",770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",N/A,http://www.spacecityfab.com/,5.0,,"8805 Solon Rd Ste G3, Houston, TX 77064, United States",770019,29.9493536,-95.55006259999999,ChIJZaU2nkzPQIYRmaNk1YTsaSg,https://www.google.com/maps/place/?q=place_id:ChIJZaU2nkzPQIYRmaNk1YTsaSg,part_355,2026-09-20 20:34:39
C & S Metal Fabricating,Steel Fabrication Workshop,Metal fabricator,"Metal fabricator, Welder",770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",N/A,http://www.csmetalfab.com/,5.0,,"5610 Northdale St, Houston, TX 77087, United States",Southeast Houston,29.6844111,-95.31688609999999,ChIJ4W6_QAK-QIYRroDEsGhc30M,https://www.google.com/maps/place/?q=place_id:ChIJ4W6_QAK-QIYRroDEsGhc30M,part_355,2026-09-20 20:34:39
Houston Metal Works,Steel Fabrication Workshop,Metal fabricator,Metal fabricator,770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",N/A,https://hcmetalworks.com/,4.4,,"8422 Bascom St, Houston, TX 77080, United States",Kempwood,29.825305099999998,-95.4951918,ChIJDdzdW0fbQIYRbhvl9ZUmw5k,https://www.google.com/maps/place/?q=place_id:ChIJDdzdW0fbQIYRbhvl9ZUmw5k,part_355,2026-09-20 20:34:39
SS MS FABRICATOR'S Works,Steel Fabrication Workshop,Steel fabricator,"Steel fabricator, Aluminum window, Grill, Door manufacturer, Metal fabricator, Stair contractor, Truss manufacturer, Window installation service",770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",+91 99015 01853,N/A,4.4,52.0,"No 32/3 Varnasi Road, Jinkethimmanahalli, near Mother Terasa school, TC Palya, Krishnarajapuram, Bengaluru, Karnataka 560036","TC Palya, Krishnarajapuram",13.028176199999999,77.6884396,ChIJvarHWO8QrjsR1dWAAXPz8GM,https://www.google.com/maps/place/?q=place_id:ChIJvarHWO8QrjsR1dWAAXPz8GM,part_355,2026-09-20 20:34:39
TS Fabrication.,Steel Fabrication Workshop,Fabrication Engineer,"Fabrication Engineer, Metal fabricator, Steel fabricator",770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",+91 99027 40570,https://tsfabrication.in/,5.0,46.0,"31, 1st Main Rd, Parimala Nagar, Nandini Layout, Bengaluru, Karnataka 560096","Parimala Nagar, Nandini Layout",13.0197203,77.5378021,ChIJm0U7nS49rjsRcicVSd_BzNY,https://www.google.com/maps/place/?q=place_id:ChIJm0U7nS49rjsRcicVSd_BzNY,part_355,2026-09-20 20:34:39
Summit Steel Fabricators Inc.,Steel Fabrication Workshop,Steel fabricator,"Steel fabricator, Steel construction company, Steel erector, Steelwork design service",770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",N/A,https://www.summitsteelfab.com/,4.1,,"2004 Federal Rd, Houston, TX 77015, United States",Northeast Houston,29.752865999999997,-95.21325619999999,ChIJScCWHDmjQIYRchnB595K-sU,https://www.google.com/maps/place/?q=place_id:ChIJScCWHDmjQIYRchnB595K-sU,part_355,2026-09-20 20:34:40
Falcon Steel Fabricator,Steel Fabrication Workshop,Steel fabricator,"Steel fabricator, Home and construction",770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",N/A,http://www.falconsteelfab.com/,4.0,,"13411 Reeveston Rd, Houston, TX 77039, United States",Aldine Gardens,29.9083653,-95.3690156,ChIJu5D3YbS3QIYRi0t3Kxgdp78,https://www.google.com/maps/place/?q=place_id:ChIJu5D3YbS3QIYRi0t3Kxgdp78,part_355,2026-09-20 20:34:40
"Steel Supply, L.P. South",Steel Fabrication Workshop,Steel distributor,"Steel distributor, Building materials store, Building materials supplier, Construction Material Wholesaler, Metal fabricator, Metal supplier, Welding supply store",770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O",N/A,http://www.steelsupplylp.com/,4.5,,"10600 Telephone Rd, Houston, TX 77075, United States",Greater Hobby Area,29.6106014,-95.2863922,ChIJ-fl478CWQIYRm3QvtgVZ8jw,https://www.google.com/maps/place/?q=place_id:ChIJ-fl478CWQIYRm3QvtgVZ8jw,part_355,2026-09-20 20:34:40
