business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MULTI PURPOSE INDOOR STADIUM,Gym and Fitness Center,Sports club,Sports club,770025,Odisha Circle,Sambalpur Region,Sundargarh Division,NTPC  Darlipali SO,N/A,N/A,4.5,,"VW99+WCG, Khaliakani, Baghrachaka, Brajrajnagar, Odisha 768216",Khaliakani,21.852669799999997,83.9249773,ChIJJUbwUgDdIDoRtsMeHlv7ujY,https://www.google.com/maps/place/?q=place_id:ChIJJUbwUgDdIDoRtsMeHlv7ujY,part_355,2026-09-20 20:37:36
The Zone Fitness,Gym and Fitness Center,Gym,Gym,770025,Odisha Circle,Sambalpur Region,Sundargarh Division,NTPC  Darlipali SO,N/A,https://www.thezonesportsplex.com/fitness-center,4.1,,"10371 Stella Link Rd 2nd Floor, Houston, TX 77025, United States",Willow Meadows/ Willowbend Area,29.669434199999998,-95.4374076,ChIJwYQJZBPrQIYRW6c8c67I1C0,https://www.google.com/maps/place/?q=place_id:ChIJwYQJZBPrQIYRW6c8c67I1C0,part_355,2026-09-20 20:37:36
Fusion Fitness,Gym and Fitness Center,Gym,Gym,770025,Odisha Circle,Sambalpur Region,Sundargarh Division,NTPC  Darlipali SO,+91 70084 85565,N/A,4.4,,"2nd Floor, Above Big Bazaar, Shanti City Center, Odisha 768201",Marwari Para,21.8504272,84.01293969999999,ChIJnfvw-2jnIDoRfWMri5GKeVU,https://www.google.com/maps/place/?q=place_id:ChIJnfvw-2jnIDoRfWMri5GKeVU,part_355,2026-09-20 20:37:36
Darshan gym and fitness centre,Gym and Fitness Center,Fitness center,Fitness center,770025,Odisha Circle,Sambalpur Region,Sundargarh Division,NTPC  Darlipali SO,N/A,N/A,,,"VX6W+VVW, bypass road, near hotel The Orchard, SH, Ekatali, 10Jharsuguda, Jharsuguda, Odisha 768202","SH, Ekatali",21.8622434,83.9971884,ChIJlyjeDgDnIDoROihmoIkkC9s,https://www.google.com/maps/place/?q=place_id:ChIJlyjeDgDnIDoROihmoIkkC9s,part_355,2026-09-20 20:37:36
Mean Green Gym (3rd Ward),Gym and Fitness Center,Gym,Gym,770025,Odisha Circle,Sambalpur Region,Sundargarh Division,NTPC  Darlipali SO,N/A,https://meangreengym.com/,5.0,,"2701 Emancipation Ave, Houston, TX 77004, United States",South Side,29.7372448,-95.36249029999999,ChIJ5cVDsvS_QIYR9J-zh7h7hHo,https://www.google.com/maps/place/?q=place_id:ChIJ5cVDsvS_QIYR9J-zh7h7hHo,part_355,2026-09-20 20:37:36
Houston Next Level Fitness,Gym and Fitness Center,Fitness center,Fitness center,770025,Odisha Circle,Sambalpur Region,Sundargarh Division,NTPC  Darlipali SO,N/A,http://thenextlevelfitness.com/,4.8,,"3811 Law St, Houston, TX 77005, United States",Greenway / Upper Kirby Area,29.7235339,-95.4394198,ChIJ1_B6YqrBQIYRukJgi7geAPs,https://www.google.com/maps/place/?q=place_id:ChIJ1_B6YqrBQIYRukJgi7geAPs,part_355,2026-09-20 20:37:36
Tiny Fitness,Gym and Fitness Center,Women's personal trainer,Women's personal trainer,770025,Odisha Circle,Sambalpur Region,Sundargarh Division,NTPC  Darlipali SO,N/A,http://tinyfitnesshouston.com/,4.9,,"1905 Dunlavy St, Houston, TX 77006, United States",Montrose,29.7489119,-95.4018799,ChIJpYAOh6LAQIYRU9iwSq2NzaU,https://www.google.com/maps/place/?q=place_id:ChIJpYAOh6LAQIYRU9iwSq2NzaU,part_355,2026-09-20 20:37:36
illuminate Heights,Gym and Fitness Center,Gym,Gym,770025,Odisha Circle,Sambalpur Region,Sundargarh Division,NTPC  Darlipali SO,N/A,http://www.illuminate-fitness.com/,4.9,,"630 W 6th St, Houston, TX 77007, United States",Greater Heights,29.7804908,-95.4035873,ChIJz3MWQV_HQIYRryEz0iLeqEo,https://www.google.com/maps/place/?q=place_id:ChIJz3MWQV_HQIYRryEz0iLeqEo,part_355,2026-09-20 20:37:36
Fit Just 4u LLC,Gym and Fitness Center,Personal trainer,"Personal trainer, Fitness center, Health consultant, Physical fitness program, Weight loss service, Wellness center, Wellness program",770025,Odisha Circle,Sambalpur Region,Sundargarh Division,NTPC  Darlipali SO,N/A,http://www.fitjust4u.com/,4.8,,"10008 Stella Link Rd, Houston, TX 77025, United States",Willow Meadows/ Willowbend Area,29.672973,-95.4402662,ChIJq_LEVQbrQIYRxtCAU_U-VsM,https://www.google.com/maps/place/?q=place_id:ChIJq_LEVQbrQIYRxtCAU_U-VsM,part_355,2026-09-20 20:37:36
TheFit24,Gym and Fitness Center,Fitness center,"Fitness center, Gym",770025,Odisha Circle,Sambalpur Region,Sundargarh Division,NTPC  Darlipali SO,+91 97402 62746,N/A,4.9,,"3rd floor, BSF Circle, No.5, Bagalur Main Rd, above Krishna Leela Grand, near Reva University, Niranthara Layout, Yelahanka, Bengaluru, Karnataka 560064","Niranthara Layout, Yelahanka",13.1224563,77.630645,ChIJtQLn_rcZrjsRDXGx61UXQGs,https://www.google.com/maps/place/?q=place_id:ChIJtQLn_rcZrjsRDXGx61UXQGs,part_355,2026-09-20 20:37:37
