business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Lohia chowk,Property Developers,Housing development,Housing development,770036,Odisha circle,Sambalpur Region,Rourkela Division,"Ajaikela B.O, Bagdega B.O, Bangerkela B.O",N/A,N/A,4.8,9,"Bisra, Odisha 770036",770036,22.2468929,84.9923281,ChIJsR39r8j1HzoRYadS7YQFK9Q,https://www.google.com/maps/place/?q=place_id:ChIJsR39r8j1HzoRYadS7YQFK9Q,part_355,2026-09-20 20:41:22
Mahipani Bangladhipa,Property Developers,Housing society,Housing society,770036,Odisha circle,Sambalpur Region,Rourkela Division,"Ajaikela B.O, Bagdega B.O, Bangerkela B.O",N/A,N/A,5.0,2,"73G8+QHW, Rourkela Rd, Bhurtabahal, Odisha 770036",770036,22.2769841,85.06645569999999,ChIJcVGhEw_xHzoRuzWklAqo09A,https://www.google.com/maps/place/?q=place_id:ChIJcVGhEw_xHzoRuzWklAqo09A,part_355,2026-09-20 20:41:22
SASMITA Land Bisra,Property Developers,Housing development,Housing development,770036,Odisha circle,Sambalpur Region,Rourkela Division,"Ajaikela B.O, Bagdega B.O, Bangerkela B.O",N/A,N/A,5.0,1,"723M+V7, Kaliaposh, Odisha 770036",770036,22.2546318,85.03315239999999,ChIJMULtEdzzHzoROrM9t2FGw88,https://www.google.com/maps/place/?q=place_id:ChIJMULtEdzzHzoROrM9t2FGw88,part_355,2026-09-20 20:41:22
Tigga family,Property Developers,Housing society,Housing society,770036,Odisha circle,Sambalpur Region,Rourkela Division,"Ajaikela B.O, Bagdega B.O, Bangerkela B.O",N/A,N/A,5.0,3,"6XXM+XJG, Bisra, Odisha 770036",770036,22.249939899999998,84.98409319999999,ChIJrza3agD1HzoRYPcfVj5zHKs,https://www.google.com/maps/place/?q=place_id:ChIJrza3agD1HzoRYPcfVj5zHKs,part_355,2026-09-20 20:41:22
Mahipani Golei,Property Developers,Housing society,Housing society,770036,Odisha circle,Sambalpur Region,Rourkela Division,"Ajaikela B.O, Bagdega B.O, Bangerkela B.O",N/A,N/A,5.0,2,"73J9+QHQ, Rourkela Rd, Bhurtabahal, Odisha 770036",770036,22.2819552,85.0689834,ChIJF2493tnxHzoRGl7fCkngfmQ,https://www.google.com/maps/place/?q=place_id:ChIJF2493tnxHzoRGl7fCkngfmQ,part_355,2026-09-20 20:41:22
Bellevue Residency,Property Developers,Housing society,Housing society,770036,Odisha circle,Sambalpur Region,Rourkela Division,"Ajaikela B.O, Bagdega B.O, Bangerkela B.O",N/A,N/A,5.0,1,"6XXR+98R, Bisra, Odisha 770036",770036,22.248484299999998,84.9907604,ChIJ_bV1awD1HzoROdOJW0TH2VI,https://www.google.com/maps/place/?q=place_id:ChIJ_bV1awD1HzoROdOJW0TH2VI,part_355,2026-09-20 20:41:22
Gud gud jore odisha,Property Developers,Housing society,Housing society,770036,Odisha circle,Sambalpur Region,Rourkela Division,"Ajaikela B.O, Bagdega B.O, Bangerkela B.O",N/A,N/A,5.0,2,"6XQJ+5CV Gud gud jore, Gudgudjore, Odisha 770036",770036,22.237975,84.9810389,ChIJK1jAKkT1HzoRiqv-52w1jp8,https://www.google.com/maps/place/?q=place_id:ChIJK1jAKkT1HzoRiqv-52w1jp8,part_355,2026-09-20 20:41:22
Biju house,Property Developers,Housing society,Housing society,770036,Odisha circle,Sambalpur Region,Rourkela Division,"Ajaikela B.O, Bagdega B.O, Bangerkela B.O",N/A,N/A,5.0,1,"73V3+XRQ BAD BIRINGHAJHAR SINGH TOLA, Dhatkidihi, Odisha 770036",770036,22.2949611,85.0546158,ChIJOcDVAQDxHzoRwaTPWWbUqck,https://www.google.com/maps/place/?q=place_id:ChIJOcDVAQDxHzoRwaTPWWbUqck,part_355,2026-09-20 20:41:22
Masurikudar,Property Developers,Housing development,Housing development,770036,Odisha circle,Sambalpur Region,Rourkela Division,"Ajaikela B.O, Bagdega B.O, Bangerkela B.O",N/A,N/A,5.0,2,"826G+H4, Badabamua, Odisha 770036",770036,22.3113845,85.02529439999999,ChIJee4getTxHzoRV81BPIbeBCU,https://www.google.com/maps/place/?q=place_id:ChIJee4getTxHzoRV81BPIbeBCU,part_355,2026-09-20 20:41:22
Biswanath Samasi,Property Developers,Housing development,Housing development,770036,Odisha circle,Sambalpur Region,Rourkela Division,"Ajaikela B.O, Bagdega B.O, Bangerkela B.O",N/A,N/A,5.0,1,"7245+X2, Kopranda, Odisha 770036",770036,22.2574325,85.0075406,ChIJEwj535D3HzoRpMVcje33sLA,https://www.google.com/maps/place/?q=place_id:ChIJEwj535D3HzoRpMVcje33sLA,part_355,2026-09-20 20:41:22
AURA TOPPO Home,Property Developers,Housing society,Housing society,770036,Odisha circle,Sambalpur Region,Rourkela Division,"Ajaikela B.O, Bagdega B.O, Bangerkela B.O",N/A,N/A,5.0,1,"726G+Q3Q, Rourkela Rd, Mahipani, Bhalulata, Odisha 770036",770036,22.2619579,85.0252388,ChIJqwCqagDxHzoRkoy6RDNs1pU,https://www.google.com/maps/place/?q=place_id:ChIJqwCqagDxHzoRkoy6RDNs1pU,part_355,2026-09-20 20:41:22
Bhumijtola,Property Developers,Housing society,Housing society,770036,Odisha circle,Sambalpur Region,Rourkela Division,"Ajaikela B.O, Bagdega B.O, Bangerkela B.O",N/A,N/A,4.0,5,"7254+R8R, Bhumijtola, Kopranda, Odisha 770036",770036,22.2596125,85.00576559999999,ChIJo7iw92X1HzoRmLjNuXIwVmw,https://www.google.com/maps/place/?q=place_id:ChIJo7iw92X1HzoRmLjNuXIwVmw,part_355,2026-09-20 20:41:22
