business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Espee,Luxury Clothing Shops,Designer Clothing Store,"Designer Clothing Store, Boutique",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 62903 32808,http://www.espeeboutique.com/,4.7,,"1st Floor, SB Towers, 37, Shakespeare Sarani, Mullick Bazar, Park Street area, Kolkata, West Bengal 700017","Mullick Bazar, Park Street area",22.544719699999998,88.3581956,ChIJO6XXAhB3AjoRRo8wUF4LtAU,https://www.google.com/maps/place/?q=place_id:ChIJO6XXAhB3AjoRRo8wUF4LtAU,part_356,2026-09-20 20:54:22,2223
Star Boutique,Luxury Clothing Shops,Clothing store,Clothing store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 70198 25887,N/A,4.6,,"# 143 A.R.S. Plaza, 8th cross. Margosa Road Malleswaram, 8th Cross Rd, mallewaram, Bengaluru, Karnataka 560003","Sangeetha Apts, mallewaram",12.9987347,77.5714649,ChIJK5RDbCUWrjsRWoYpRoltFAA,https://www.google.com/maps/place/?q=place_id:ChIJK5RDbCUWrjsRWoYpRoltFAA,part_356,2026-09-20 20:54:22,2224
Smart Creation - The Ultimate Fashion Couture,Luxury Clothing Shops,Designer Clothing Store,"Designer Clothing Store, Boutique, Clothing manufacturer, Clothing store, Fashion designer, Tailor, Women's clothing store",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 33 4810 0896,https://smartcreationlabel.wixsite.com/mysite,5.0,,"18 Park Lane, Park St, Kolkata, West Bengal 700016",Taltala,22.5501282,88.3574933,ChIJ-UJhAIl3AjoRys5xAsvd3w8,https://www.google.com/maps/place/?q=place_id:ChIJ-UJhAIl3AjoRys5xAsvd3w8,part_356,2026-09-20 20:54:22,2225
Komal Sood,Luxury Clothing Shops,Boutique,"Boutique, Fashion designer, Store",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 91634 69986,http://komalsood.com/,3.8,,"Park Mansion, 43, 57A, Park St, Taltala, Kolkata, West Bengal 700016",Taltala,22.5532079,88.3534643,ChIJja5Q6eF2AjoRLiHQBXxeoik,https://www.google.com/maps/place/?q=place_id:ChIJja5Q6eF2AjoRLiHQBXxeoik,part_356,2026-09-20 20:54:22,2226
Lucky fashion studio,Luxury Clothing Shops,Designer Clothing Store,Designer Clothing Store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 96062 14728,N/A,3.9,,"106, 1, bus stop, 80 Feet Rd, near Hoskerehalli, Hosakerehalli Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085","Hosakerehalli Layout, Banashankari 3rd Stage, Banashankari",12.9330111,77.5454063,ChIJwydOKG4_rjsRF70xFFG9d68,https://www.google.com/maps/place/?q=place_id:ChIJwydOKG4_rjsRF70xFFG9d68,part_356,2026-09-20 20:54:22,2227
Inspire Trendy Boutique,Luxury Clothing Shops,Clothing store,Clothing store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 98844 43308,N/A,5.0,,"197,1st Floor, Velachery Main Rd, Kamarajapuram, Sembakkam, Tambaram, Tamil Nadu 600073","Kamarajapuram, Sembakkam",12.923796399999999,80.1576699,ChIJlTZCtJJfUjoRsc87CYPBWzc,https://www.google.com/maps/place/?q=place_id:ChIJlTZCtJJfUjoRsc87CYPBWzc,part_356,2026-09-20 20:54:22,2228
Bombay Designer Boutique,Luxury Clothing Shops,Boutique,Boutique,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 76767 43639,N/A,4.7,,"Shop No.#68, 60 Feet Rd, KHB Block Koramangala, 5th Block, Koramangala, Bengaluru, Karnataka 560095","KHB Block Koramangala, 5th Block, Koramangala",12.937274299999999,77.6193211,ChIJRc9SfkUUrjsRIywmw-VKcOE,https://www.google.com/maps/place/?q=place_id:ChIJRc9SfkUUrjsRIywmw-VKcOE,part_356,2026-09-20 20:54:22,2229
Rose Petals Designer Studio,Luxury Clothing Shops,Boutique,"Boutique, Designer Clothing Store, Tailor, Women's clothing store",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 88613 22232,https://www.instagram.com/rose_petals_whitefield?igsh=MWx1Y3ZrNHBiZGVscw==,4.7,,"next to M R Homes, Nagondanahalli, Whitefield, Bengaluru, Karnataka 560066","Nagondanahalli, Whitefield",12.9735667,77.7704845,ChIJPYIIXRcNrjsRKPNM8lH4tRg,https://www.google.com/maps/place/?q=place_id:ChIJPYIIXRcNrjsRKPNM8lH4tRg,part_356,2026-09-20 20:54:22,2230
Ankshi Boutique,Luxury Clothing Shops,Boutique,"Boutique, Bridal shop, Custom tailor, Embroidery shop, Saree Shop",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 99644 68855,https://www.ankshi.com/,4.9,,"54, 11th Main Rd, RK Layout 1st Stage, Banashankari 2nd Stage, Padmanabhanagar, Bengaluru, Karnataka 560070","RK Layout 1st Stage, Banashankari 2nd Stage, Padmanabhanagar",12.9154883,77.5568876,ChIJ-cJ57I0_rjsRJ7scCJHgcUY,https://www.google.com/maps/place/?q=place_id:ChIJ-cJ57I0_rjsRJ7scCJHgcUY,part_356,2026-09-20 20:54:22,2231
Zuri ( A Product of Enajori fashion Studio),Luxury Clothing Shops,Designer Clothing Store,Designer Clothing Store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 91636 49563,N/A,4.9,,"Third Floor, Shreeram Arcade, 15, Shop 549 & 550, Jawaharlal Nehru Rd, New Market Area, Kolkata, West Bengal 700013","New Market Area, Dharmatala, Taltala",22.5609407,88.3517708,ChIJrSQZ1xt3AjoRhESVd9lOoFs,https://www.google.com/maps/place/?q=place_id:ChIJrSQZ1xt3AjoRhESVd9lOoFs,part_356,2026-09-20 20:54:22,2232
