business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Kings salon,Salon,Barber shop,Barber shop,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 90808 91175,N/A,5.0,1.0,"MAIN ROAD, near SBI ATM, COMPLEX, Jaharitoli, Purunapani, Odisha 770035",COMPLEX,22.4007455,84.89514179999999,ChIJTX_U2mMDIDoRu_6P66JmaEs,https://www.google.com/maps/place/?q=place_id:ChIJTX_U2mMDIDoRu_6P66JmaEs,part_356,2026-09-20 20:54:35,4561
Ekta Makeover,Salon,Beauty Parlour,Beauty Parlour,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,N/A,N/A,,,"Birmitrapur, Tungri Rd, dist, Birmitrapur, Odisha 770033",dist,22.40108,84.8454175,ChIJraJdnDcFIDoRs6X92CNp3oY,https://www.google.com/maps/place/?q=place_id:ChIJraJdnDcFIDoRs6X92CNp3oY,part_356,2026-09-20 20:54:35,4562
Pari Beauty Parlour,Salon,Hair salon,Hair salon,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 86587 30657,N/A,,,"Main Road, Hatibari, Rourkela, Purunapani, Odisha 770046",Hatibari,22.4028325,84.85065689999999,ChIJib7RX7wFIDoRuNaG96COFGE,https://www.google.com/maps/place/?q=place_id:ChIJib7RX7wFIDoRuNaG96COFGE,part_356,2026-09-20 20:54:35,4563
Akash Saloon,Salon,Hair salon,Hair salon,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 83399 04267,N/A,,,"Hatibari, Rourkela, Odisha 770046",770046,22.402262999999998,84.84913379999999,ChIJhbijwH8FIDoRN_kiJAawtow,https://www.google.com/maps/place/?q=place_id:ChIJhbijwH8FIDoRN_kiJAawtow,part_356,2026-09-20 20:54:35,4564
Sanjay Saloon,Salon,Hair salon,"Hair salon, Barber shop",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 99385 71259,N/A,,,"CV3H CQC, Girija Toli, Girjatoli, Purunapani, Jaharitoli, Odisha 770035",Girjatoli,22.4033281,84.8790593,ChIJWWVsY4YDIDoRvOkuQucXZM4,https://www.google.com/maps/place/?q=place_id:ChIJWWVsY4YDIDoRvOkuQucXZM4,part_356,2026-09-20 20:54:35,4565
"Hair Address Unisex Salon Koramangala, Bengaluru",Salon,Beauty Parlour,"Beauty Parlour, Hair removal service, Nail salon, Skin care clinic",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 80956 58882,N/A,4.9,594.0,"715/D, 7th Cross Rd, 17th C Main Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560095","6th Block, Koramangala",12.937291199999999,77.6244044,ChIJuYbdc7QVrjsREhS_KRtjyE0,https://www.google.com/maps/place/?q=place_id:ChIJuYbdc7QVrjsREhS_KRtjyE0,part_356,2026-09-20 20:54:37,4566
"Jean-Claude Biguine Salon & Spa, Lavelle Road",Salon,Beauty Parlour,"Beauty Parlour, Day spa, Hair salon, Nail salon, Spa, Waxing hair removal service",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 99201 00506,http://biguineindia.co.in/,4.7,1612.0,"Ground Floor, Lavelle Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001","Shanthala Nagar, Ashok Nagar",12.9718863,77.5982918,ChIJ12E4uXkWrjsRXZtISzEJdiU,https://www.google.com/maps/place/?q=place_id:ChIJ12E4uXkWrjsRXZtISzEJdiU,part_356,2026-09-20 20:54:37,4567
"Lakme Salon in Richmond Road,Bengaluru",Salon,Beauty Parlour,Beauty Parlour,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 70390 01393,https://salons.lakmesalon.in/lakme-salon-in-richmond-road-bengaluru-beauty-parlour-richmond-road-bengaluru-344825/Home,4.7,1601.0,"No 85, Sheriff House, Richmond Rd, Richmond Town, Bengaluru, Karnataka 560025",Richmond Town,12.9655089,77.6027261,ChIJ7XPSx9UVrjsR-P40JdAaFL0,https://www.google.com/maps/place/?q=place_id:ChIJ7XPSx9UVrjsR-P40JdAaFL0,part_356,2026-09-20 20:54:37,4568
"Bodycraft Salon, Spa & Clinic - Lavelle Road",Salon,Beauty Parlour,"Beauty Parlour, Eyelash salon, Foot massage parlor, Make-up artist, Massage spa, Massage therapist, Nail salon, Skin care clinic, Waxing hair removal service",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 90199 32222,https://www.bodycraft.co.in/locations-salon/bangalore/salon-in-lavelle-road/?utm_source=gmb&utm_medium=organic&utm_campaign=website,4.6,1950.0,"Shop 52 & 53, 1st Flr, Lavelle Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001","Shanthala Nagar, Ashok Nagar",12.9716426,77.598361,ChIJKZvbl3kWrjsRzcJT1BVA3k0,https://www.google.com/maps/place/?q=place_id:ChIJKZvbl3kWrjsRzcJT1BVA3k0,part_356,2026-09-20 20:54:37,4569
DAB PREMIUM SALOON,Salon,Beauty Parlour,Beauty Parlour,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 79964 46446,http://www.dabsaloon.com/,5.0,63.0,"MIG, 1st Floor No 803, 100 Feet, B Sector, Mother Dairy Rd, KHB Colony, Yelahanka New Town, Bengaluru, Karnataka 560064","KHB Colony, Yelahanka New Town",13.0999807,77.57964299999999,ChIJ3QRlj7QZrjsRkHQ1gJCWKos,https://www.google.com/maps/place/?q=place_id:ChIJ3QRlj7QZrjsRkHQ1gJCWKos,part_356,2026-09-20 20:54:37,4570
