business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Lugun General Store,General Store,General store,General store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 79788 03063,N/A,5.0,,"Donbosco School Road, Pahartoli, Kuarmunda, Sundergarh, Odisha 770039",Pahartoli,22.2741442,84.76234339999999,ChIJk-QcfrQRIDoR2EzTB1KqP0c,https://www.google.com/maps/place/?q=place_id:ChIJk-QcfrQRIDoR2EzTB1KqP0c,part_356,2026-09-20 20:54:12
Pratap Das Grocery store,General Store,General store,General store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,N/A,N/A,4.0,,"8FXV+6VX, Tarkera, Odisha 770033",770046,22.3478441,84.4941898,ChIJqZKwQBpxIDoRAVNTMHxrhGQ,https://www.google.com/maps/place/?q=place_id:ChIJqZKwQBpxIDoRAVNTMHxrhGQ,part_356,2026-09-20 20:54:12
Sahu General Store,General Store,General store,General store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 73259 97003,N/A,,,"Kandarkela, Rourkela, Odisha 770035",770046,22.3793585,84.870576,ChIJnxbNYAkDIDoRzRspdq4pClQ,https://www.google.com/maps/place/?q=place_id:ChIJnxbNYAkDIDoRzRspdq4pClQ,part_356,2026-09-20 20:54:12
Panda Store,General Store,General store,General store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 82493 80317,N/A,,,"Shop No 1, Hatibari, Bhojpur, Odisha 770035",770046,22.3810422,84.87125259999999,ChIJvTSEC7gDIDoREn_VZRkXasY,https://www.google.com/maps/place/?q=place_id:ChIJvTSEC7gDIDoREn_VZRkXasY,part_356,2026-09-20 20:54:12
Purnapani,General Store,General store,General store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,N/A,N/A,,,"CV22+CJG, Purunapani, Odisha 770035",770046,22.401064299999998,84.8515804,ChIJqalGOQAFIDoRI-6R6S9TMJQ,https://www.google.com/maps/place/?q=place_id:ChIJqalGOQAFIDoRI-6R6S9TMJQ,part_356,2026-09-20 20:54:12
Naresh Confectionery,General Store,General store,General store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 70776 15825,N/A,,,"Kokerama, Rourkela, Odisha 770033",770046,22.4063739,84.8064759,ChIJsSDGgSUFIDoRr4AMBBuH80A,https://www.google.com/maps/place/?q=place_id:ChIJsSDGgSUFIDoRr4AMBBuH80A,part_356,2026-09-20 20:54:12
JAI MAA KALI STORES,General Store,General store,General store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 88639 14879,N/A,4.5,,"near Kotak Mahindra Bank, Golpark, Kankulia, Kolkata, West Bengal 700019","Golpark, Kankulia",22.515803,88.36695739999999,ChIJwaMDJsxxAjoRjbEXqbsgF0Q,https://www.google.com/maps/place/?q=place_id:ChIJwaMDJsxxAjoRjbEXqbsgF0Q,part_356,2026-09-20 20:54:14
SHINTU VARIETY STORES,General Store,General store,General store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 91634 86632,N/A,5.0,,"287/A, Dakshin Behala Rd, near State Bank Of India, Saheb Bagan Colony, Sarsuna, Kolkata, West Bengal 700061","Saheb Bagan Colony, Sarsuna",22.4718426,88.2982617,ChIJ0d17zDR7AjoRpnwT7hzd6fE,https://www.google.com/maps/place/?q=place_id:ChIJ0d17zDR7AjoRpnwT7hzd6fE,part_356,2026-09-20 20:54:14
H. M.Yasin & Sons,General Store,General store,"General store, Convenience store, Grocery delivery service",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 78906 61789,N/A,4.5,,"94, 2, Collin St, Esplanade, Taltala, Kolkata, West Bengal 700016","Esplanade, Taltala",22.554750499999997,88.35637729999999,ChIJpZ6y8AR3AjoR-rRjKtRfnXE,https://www.google.com/maps/place/?q=place_id:ChIJpZ6y8AR3AjoR-rRjKtRfnXE,part_356,2026-09-20 20:54:14
KiranaSquare,General Store,Grocery store,Grocery store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 80177 73031,N/A,4.3,,"2, Rowland Rd, Rowland Row, Ballygunge, Kolkata, West Bengal 700020","Rowland Row, Ballygunge",22.5364899,88.3559464,ChIJMxjt9DZ3AjoRVDwlnJRhHUw,https://www.google.com/maps/place/?q=place_id:ChIJMxjt9DZ3AjoRVDwlnJRhHUw,part_356,2026-09-20 20:54:14
Akhil Stores,General Store,General store,General store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 70599 07032,N/A,4.0,,"6 No, Peter Ln, Tiretti, Kolkata, West Bengal 700073",Tiretti,22.5733767,88.3573004,ChIJHbsMoWd3AjoRL3R1Iri2xTc,https://www.google.com/maps/place/?q=place_id:ChIJHbsMoWd3AjoRL3R1Iri2xTc,part_356,2026-09-20 20:54:14
Sagarmal Stores,General Store,General store,"General store, Department store",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 33 2440 5577,N/A,4.4,,"17, Gariahat Rd, Ballygunge Gardens, Gariahat, Kolkata, West Bengal 700019","Ballygunge Gardens, Gariahat",22.518686,88.3658324,ChIJf0pp5NR2AjoR3VkRBIY6DHA,https://www.google.com/maps/place/?q=place_id:ChIJf0pp5NR2AjoR3VkRBIY6DHA,part_356,2026-09-20 20:54:14
Nandu Ji,General Store,General store,General store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,N/A,N/A,4.5,,"10A/1, Moira St, Elgin, Kolkata, West Bengal 700017",Elgin,22.543823399999997,88.3544333,ChIJA5BMuBl3AjoROzBTQ879LQI,https://www.google.com/maps/place/?q=place_id:ChIJA5BMuBl3AjoROzBTQ879LQI,part_356,2026-09-20 20:54:14
PARIDHI GENERAL STORES,General Store,General store,"General store, Grocery store",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 93304 56291,N/A,4.8,,"SCHOOL ROAD, near BADAMTALA SHIV MANDIR, RAJARHAT, Bhatenda, Kolkata, West Bengal 700135","RAJARHAT, Bhatenda",22.6292123,88.4901297,ChIJr3iXkHGh-DkRToXjMB7wXBI,https://www.google.com/maps/place/?q=place_id:ChIJr3iXkHGh-DkRToXjMB7wXBI,part_356,2026-09-20 20:54:14
Ghosh Bose & Company,General Store,General store,"General store, Department store",770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 62914 41205,N/A,4.6,,"29, Mahendra Srimani St, Manicktala, Machuabazar, Kolkata, West Bengal 700009","Manicktala, Machuabazar",22.5819221,88.37366709999999,ChIJQaOz30V2AjoRLKnCgHWQGjc,https://www.google.com/maps/place/?q=place_id:ChIJQaOz30V2AjoRLKnCgHWQGjc,part_356,2026-09-20 20:54:14
JUNNU SHEKH,General Store,General store,General store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 62905 13567,N/A,4.7,,"Junnu Tea Stall, CC 72, Street No. 237, Action Area I, Newtown, Kolkata, West Bengal 700156","Action Area I, Newtown",22.5760725,88.4709159,ChIJ3_DQ6lp1AjoR6-5laDzuJls,https://www.google.com/maps/place/?q=place_id:ChIJ3_DQ6lp1AjoR6-5laDzuJls,part_356,2026-09-20 20:54:14
Indian General Store,General Store,Indian grocery store,Indian grocery store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 98830 63833,N/A,5.0,,"8, Lyons Range, near share market, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001","Murgighata, B.B.D. Bagh",22.574510999999998,88.3491672,ChIJGekxauF3AjoRtcjqbXElDaY,https://www.google.com/maps/place/?q=place_id:ChIJGekxauF3AjoRtcjqbXElDaY,part_356,2026-09-20 20:54:14
New Kamala Stores,General Store,Indian grocery store,Indian grocery store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,N/A,N/A,5.0,,"Block-B (old) Stall no.- 8 & 9, Rash Behari Ave, Gariahat Market, Kolkata, West Bengal 700019","Gariahat Market, Ballygunge Gardens, Gariahat",22.5197875,88.3662763,ChIJJ8DmkqR3AjoRi7Wf_IokzB8,https://www.google.com/maps/place/?q=place_id:ChIJJ8DmkqR3AjoRi7Wf_IokzB8,part_356,2026-09-20 20:54:14
Sahid Verity Store,General Store,General store,General store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 98756 83362,N/A,5.0,,"Rajarhat Bus Stand, 211 Road, Naipukur, Kolkata, West Bengal 700135",Naipukur,22.628666,88.4867115,ChIJU6Vyo1eh-DkREfvJw389rUQ,https://www.google.com/maps/place/?q=place_id:ChIJU6Vyo1eh-DkREfvJw389rUQ,part_356,2026-09-20 20:54:14
Daily Groceries,General Store,General store,General store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 75950 29364,N/A,4.0,,"Madhumita, 123/1, Sukanta Sarani, Chandra Pally, New Barrackpur, Kolkata, West Bengal 700131","Chandra Pally, New Barrackpur",22.686345799999998,88.4511386,ChIJ84a08WOf-DkRcohT-WoegFI,https://www.google.com/maps/place/?q=place_id:ChIJ84a08WOf-DkRcohT-WoegFI,part_356,2026-09-20 20:54:14
Haleem Stores,General Store,General store,General store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 99625 81059,https://haleem-stores.grexa.site/,4.5,88.0,"1, Anna Pillai St, George Town, Chennai, Tamil Nadu 600001",George Town,13.0915898,80.284472,ChIJ1Q-zLVhvUjoRkqisGAfyzos,https://www.google.com/maps/place/?q=place_id:ChIJ1Q-zLVhvUjoRkqisGAfyzos,part_356,2026-09-20 20:54:14
Matri Store,General Store,General store,General store,770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O,+91 86535 60403,N/A,4.0,6.0,"1/H/18, Kulia, Beleghata, Kolkata, West Bengal 700010","Kulia, Beleghata",22.561160299999997,88.4015436,ChIJDT5y1YF2AjoRkZfXCFeJM4E,https://www.google.com/maps/place/?q=place_id:ChIJDT5y1YF2AjoRkZfXCFeJM4E,part_356,2026-09-20 20:54:14
