business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Om Oil & Flour Mills,Flour and Oil Mill,Flour and Oil Mill,Flour and Oil Mill,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,5.0,,"18, Industrial Estate Rd, Khanna Nagar, Industrial Estate Khapuria, Kataka, Odisha 753010","Khanna Nagar, Industrial Estate Khapuria",20.4444137,85.89865499999999,ChIJq9di6A0NGToRACce83q99Sg,https://www.google.com/maps/place/?q=place_id:ChIJq9di6A0NGToRACce83q99Sg,part_356,2026-09-20 20:56:07
New Raj Flour & Oil Mill,Flour and Oil Mill,Mill,Mill,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,5.0,1.0,"FG3F+X97, खरौंधी - अरंगी - बालीगढ़ रोड, Baligarh, Checharia, Jharkhand 822112",770051,24.4549067,83.5234248,ChIJ6VQirnifjjkRuA1CFwq8Um8,https://www.google.com/maps/place/?q=place_id:ChIJ6VQirnifjjkRuA1CFwq8Um8,part_356,2026-09-20 20:56:08
Bhulan Flour and oil mill,Flour and Oil Mill,Flour mill,Flour mill,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 70916 44250,N/A,4.9,9.0,"Karnamepur, Bihar 802112",770051,25.6672081,84.3626961,ChIJvfGSNWyFkjkRJFL0aKErOFI,https://www.google.com/maps/place/?q=place_id:ChIJvfGSNWyFkjkRJFL0aKErOFI,part_356,2026-09-20 20:56:08
Beck's Flour and Oil Mill,Flour and Oil Mill,Flour mill,Flour mill,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,5.0,2.0,"98RX+4QR, Gopalpur, Chhattisgarh 497223",770051,23.3904556,83.3491821,ChIJ25QEDfdxiTkR-pds-pb542g,https://www.google.com/maps/place/?q=place_id:ChIJ25QEDfdxiTkR-pds-pb542g,part_356,2026-09-20 20:56:08
"orissa kandas masala,flour&oil mill",Flour and Oil Mill,Flour mill,Flour mill,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 99421 47567,N/A,4.0,29.0,"8th Street, Rajagoundampalayam, Tiruchengode, Tamil Nadu 637211",Rajagoundampalayam,11.378322299999999,77.886212,ChIJx-dOWpxhqTsR-4MJO-Oi9eA,https://www.google.com/maps/place/?q=place_id:ChIJx-dOWpxhqTsR-4MJO-Oi9eA,part_356,2026-09-20 20:56:08
D. P. Enterprises Flour & Oil Mill,Flour and Oil Mill,Flour mill,Flour mill,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,4.8,12.0,"14, Sumesarpatti, Uttar Pradesh 233304",770051,25.5188474,83.2754381,ChIJx3GUGrXhkTkRlUPRbM9HeM0,https://www.google.com/maps/place/?q=place_id:ChIJx3GUGrXhkTkRlUPRbM9HeM0,part_356,2026-09-20 20:56:08
PAL OIL AND FLOUR MILL,Flour and Oil Mill,Store,"Store, Flour mill",770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 73095 12341,N/A,4.9,15.0,"Rahimapur, Sherdeeh, Uttar Pradesh 211019",770051,25.4480339,81.9518853,ChIJOZuCnFO1mjkRDC7Ao9zmKco,https://www.google.com/maps/place/?q=place_id:ChIJOZuCnFO1mjkRDC7Ao9zmKco,part_356,2026-09-20 20:56:08
Vandana Oil And Flour Mill,Flour and Oil Mill,Flour mill,Flour mill,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 87996 04032,http://vandanaoilandflourmill.com/,4.5,24.0,"85V9+C3Q, Khohara, Uttar Pradesh 210207",770051,25.343562499999997,81.1676875,ChIJ_azBbajLhDkRYVqJzv4wk6I,https://www.google.com/maps/place/?q=place_id:ChIJ_azBbajLhDkRYVqJzv4wk6I,part_356,2026-09-20 20:56:08
Ishaan oil mill,Flour and Oil Mill,Mill,Mill,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 93168 08034,N/A,4.7,11.0,"Sokhda, Gujarat 391745",770051,22.4244588,73.16830999999999,ChIJHwvMXwDLXzkRMUsZieKtQ-o,https://www.google.com/maps/place/?q=place_id:ChIJHwvMXwDLXzkRMUsZieKtQ-o,part_356,2026-09-20 20:56:08
Om rice oil and flour mill,Flour and Oil Mill,Mill,Mill,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,5.0,2.0,"PHCW+3J2, Dhangadhi, Sudurpashchim Province 10900, Nepal",Jai,28.7201454,80.5965117,ChIJo1MBVBWToTkRc1pPC9kK7wg,https://www.google.com/maps/place/?q=place_id:ChIJo1MBVBWToTkRc1pPC9kK7wg,part_356,2026-09-20 20:56:08
Gaurav flour mill,Flour and Oil Mill,Corporate office,"Corporate office, Flour mill",770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,4.5,22.0,"33, Pachkhora Road, Madhya Pradesh 486886",770051,24.0799731,82.6176036,ChIJb1HMPpI2jzkRXom9xbPG_Kg,https://www.google.com/maps/place/?q=place_id:ChIJb1HMPpI2jzkRXom9xbPG_Kg,part_356,2026-09-20 20:56:08
SWASTHAMSUTRA OIL MILL,Flour and Oil Mill,Oil refinery,"Oil refinery, Dairy farm, Flour mill, FMCG Manufacturer, Food products supplier, Organic farm, Spices Wholesaler, Wholesaler",770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 76889 16654,https://swasthamsutra.com/,4.8,32.0,"B-198) OIL MILL , SUBHLABH ENCLAVE , KOTA 324002, Deoli Arab Rd, Borkhera, Kota, Rajasthan 324001",Borkhera,25.1698488,75.89907869999999,ChIJP0blnuubbzkRtJihaGcft1c,https://www.google.com/maps/place/?q=place_id:ChIJP0blnuubbzkRtJihaGcft1c,part_356,2026-09-20 20:56:08
kalinga Agro Enterprises,Flour and Oil Mill,Weighing Scale Supplier,Weighing Scale Supplier,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 93489 46770,https://sites.google.com/view/kalingaagroenterprises/home,4.9,47.0,"Betnoti, Odisha 757025",770051,21.7372575,86.8491839,ChIJkdJKbelVHDoRRd46ha-0ys4,https://www.google.com/maps/place/?q=place_id:ChIJkdJKbelVHDoRRd46ha-0ys4,part_356,2026-09-20 20:56:08
Truck Brand Mustard Oil Mill ( Aryaveer ),Flour and Oil Mill,Food Processing Company,Food Processing Company,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 99580 36583,https://aryaveermustardoil.com/,4.9,277.0,"khasra no. 26, Plot no.4, Nangli Sakrawati, Najafgarh, Delhi, 110043",Nangli Sakrawati,28.6213324,77.0008538,ChIJe1u4LagPDTkR05f8qDqHI-8,https://www.google.com/maps/place/?q=place_id:ChIJe1u4LagPDTkR05f8qDqHI-8,part_356,2026-09-20 20:56:08
Vitthal Oil Mill,Flour and Oil Mill,Feed manufacturer,Feed manufacturer,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,http://vitthalindustries.com/,4.6,10.0,"Vitthal Oil Mill, Shevgaon, Maharashtra 414502",770051,19.372909999999997,75.201591,ChIJgfHYiPtp2zsRAL1aHpEwGd0,https://www.google.com/maps/place/?q=place_id:ChIJgfHYiPtp2zsRAL1aHpEwGd0,part_356,2026-09-20 20:56:08
Shree Shyam Kachchi Ghani Oil Mill,Flour and Oil Mill,Mill,Mill,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 81002 37634,N/A,4.9,16.0,"82, Dum Dum Rd, Chatakol, Basak Bagan, Dum Dum, Kolkata, West Bengal 700074","Chatakol, Basak Bagan, Dum Dum",22.6216089,88.4042137,ChIJuw9tylGf-DkRmR8QDMy09uk,https://www.google.com/maps/place/?q=place_id:ChIJuw9tylGf-DkRmR8QDMy09uk,part_356,2026-09-20 20:56:08
Padma Oil& Flour Mill,Flour and Oil Mill,Flour mill,Flour mill,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 86703 40841,N/A,4.0,,"Madhur 742133, Madhurpukur, Beldanga, West Bengal 742133",770051,23.9358993,88.25146509999999,ChIJay426Ztw-TkRF1M44JIkXZQ,https://www.google.com/maps/place/?q=place_id:ChIJay426Ztw-TkRF1M44JIkXZQ,part_356,2026-09-20 20:56:08
Murugan Flour & Oil Mill,Flour and Oil Mill,Flour mill,Flour mill,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 97002 89898,N/A,4.0,,"road, near koneru, Tiruchanur, rengunta, Tirupati, Andhra Pradesh 517503",Tiruchanur,13.6092198,79.4496472,ChIJr75Rae1LTToRq8S72zLc4Ug,https://www.google.com/maps/place/?q=place_id:ChIJr75Rae1LTToRq8S72zLc4Ug,part_356,2026-09-20 20:56:08
