business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ambika Flower Decoration,Flower Decorator,Florist,Florist,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,5.0,,"RVC3+4V2, Belpahar, Odisha 768217",770051,21.8203468,83.8545958,ChIJj6FaEADfIDoRlwQqnF9xlNY,https://www.google.com/maps/place/?q=place_id:ChIJj6FaEADfIDoRlwQqnF9xlNY,part_356,2026-09-20 20:55:55
Sanjay Flower Decoration & Events,Flower Decorator,Flower designer,Flower designer,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 70500 61092,N/A,5.0,,"Aditypur 1, Adityapur Basti, Adityapur, Jamshedpur, Jharkhand 831013","Aditypur 1, Adityapur Basti, Adityapur",22.7838791,86.161394,ChIJ71KVLxzl9TkRyw3tkLnB8KQ,https://www.google.com/maps/place/?q=place_id:ChIJ71KVLxzl9TkRyw3tkLnB8KQ,part_356,2026-09-20 20:55:55
Maa Samalei Flowers & Decorator,Flower Decorator,Dried flower shop,Dried flower shop,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 94397 54141,N/A,4.5,,"8JM9+R43, Bargarh, Odisha 768028",770051,21.3345158,83.6177846,ChIJjSphaZRKIToR8HcrbKiHNNQ,https://www.google.com/maps/place/?q=place_id:ChIJjSphaZRKIToR8HcrbKiHNNQ,part_356,2026-09-20 20:55:55
Mk flowers shop decoration,Flower Decorator,Flower designer,Flower designer,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,2.0,,"NH143, Odisha 770051",770051,21.7666568,84.9132003,ChIJs2U1ybnVIToR4qP4HfkyIA0,https://www.google.com/maps/place/?q=place_id:ChIJs2U1ybnVIToR4qP4HfkyIA0,part_356,2026-09-20 20:55:55
Giri pushpalaya & store,Flower Decorator,Flower designer,Flower designer,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,5.0,23.0,"PF7V+HCR, Sambalpur Rd, near girls high school, Balangir, Odisha 767001",770051,20.7141926,83.4935498,ChIJJyfiYpQPJDoRRv2Ftq4fjjQ,https://www.google.com/maps/place/?q=place_id:ChIJJyfiYpQPJDoRRv2Ftq4fjjQ,part_356,2026-09-20 20:55:56
Preetam Flower Decoration,Flower Decorator,Wedding planner,Wedding planner,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 99185 05856,N/A,4.7,53.0,"Lakhanpur, Cholapur, Uttar Pradesh 221101",770051,25.5266809,82.9935678,ChIJ7___P-0pjjkR5clGaolwAMk,https://www.google.com/maps/place/?q=place_id:ChIJ7___P-0pjjkR5clGaolwAMk,part_356,2026-09-20 20:55:56
Ferns N Petals : Flowers & Cake delivery in Sambalpur,Flower Decorator,Florist,Florist,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 97760 39777,https://www.fnp.com/info/sambalpur-fnp-stores,4.6,196.0,"1st Floor, Budharaja Rd, opp. Hotel Grand Siba, Budharaja, Sambalpur, Odisha 768004",Budharaja,21.4831813,83.9815383,ChIJgWXcXowWIToRYXWuyofheiQ,https://www.google.com/maps/place/?q=place_id:ChIJgWXcXowWIToRYXWuyofheiQ,part_356,2026-09-20 20:55:56
Patra flower decoration,Flower Decorator,Flower designer,Flower designer,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 70010 68089,N/A,4.6,19.0,"Nandarampur , sutahata, Haldia, West Bengal 721635",770051,22.1126901,88.1204211,ChIJyfCtQgv3AjoRwvkDnbHAH64,https://www.google.com/maps/place/?q=place_id:ChIJyfCtQgv3AjoRwvkDnbHAH64,part_356,2026-09-20 20:55:56
Taj Flower Decoration,Flower Decorator,Florist,Florist,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,4.7,30.0,"Lucknow - Sultanpur Rd, Sahabaganj, Uttar Pradesh 227808",770051,26.2772422,81.9812511,ChIJ72t0CxdjmjkRtRI2bfIg3Z0,https://www.google.com/maps/place/?q=place_id:ChIJ72t0CxdjmjkRtRI2bfIg3Z0,part_356,2026-09-20 20:55:56
Manoj Malakar Florist & Dry Decor,Flower Decorator,Florist,Florist,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 76674 22785,https://www.smartbiz.in/Petalsadream,4.9,647.0,"kali mandir left side, Kutchery Rd, Deputy Para, Ahirtoli, Ranchi, Jharkhand 834001","Deputy Para, Ahirtoli",23.3787459,85.3254017,ChIJCzXBc5_h9DkRm3lZTvnB4cQ,https://www.google.com/maps/place/?q=place_id:ChIJCzXBc5_h9DkRm3lZTvnB4cQ,part_356,2026-09-20 20:55:56
Sajaawat Plus,Flower Decorator,Florist,"Florist, Flower delivery, Gift shop",770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 91633 34021,https://instagram.com/sajaawat_plus?igshid=YzA2ZDJiZGQ=,4.9,455.0,"23A, Sashi Bhushan Mukerjee Rd, James Long Sarani, Auddy Bagan Basti, Behala, Kolkata, West Bengal 700034","James Long Sarani, Auddy Bagan Basti, Behala",22.5001203,88.3207987,ChIJN2hqEAl6AjoRwH4lArBC8n4,https://www.google.com/maps/place/?q=place_id:ChIJN2hqEAl6AjoRwH4lArBC8n4,part_356,2026-09-20 20:55:56
Flowers Galaxy,Flower Decorator,Florist,"Florist, Bakery and Cake Shop, Cake shop, Flower delivery, Gift shop",770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 90822 22203,https://flowersgalaxy.com/,4.8,1609.0,"Shop no. 5, Jagdish Colony, Rohtak, Haryana 124001",Jagdish Colony,28.8903422,76.5926364,ChIJvYfEw96EDTkR1THfHd8iW0Y,https://www.google.com/maps/place/?q=place_id:ChIJvYfEw96EDTkR1THfHd8iW0Y,part_356,2026-09-20 20:55:56
New Ujala Flowers & New Winne Bakers,Flower Decorator,Florist,"Florist, Cake shop",770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 88747 40022,https://sites.google.com/view/newujalaflowersnewwinnebakers,4.9,220.0,"B2/113-1 Saket Nagar, Road, opp. Ramnath Chaudhary Lawn, Sundarpur, Naria, Varanasi, Uttar Pradesh 221005","Rohit Nagar, Sundarpur, Naria",25.2800388,82.992024,ChIJk5Ua_JszjjkRcYYbxkOj5Lk,https://www.google.com/maps/place/?q=place_id:ChIJk5Ua_JszjjkRcYYbxkOj5Lk,part_356,2026-09-20 20:55:56
