business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
KGN Tyre service,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,,,"G2P6+GXG, Bahadaposi, Sindurpanka, Odisha 768110",770051,21.53631,85.012445,ChIJU5EbTwBjHzoRwPgX_5cfT9I,https://www.google.com/maps/place/?q=place_id:ChIJU5EbTwBjHzoRwPgX_5cfT9I,part_356,2026-09-20 20:55:47
Pahali Tyre Warks,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,4.3,6.0,"CM9M+X2X, Dhauragoth, Begunianali, Odisha 768108",770051,21.4199989,84.6825953,ChIJg5C9PpTBIToRDMzKszgJfUU,https://www.google.com/maps/place/?q=place_id:ChIJg5C9PpTBIToRDMzKszgJfUU,part_356,2026-09-20 20:55:47
Sajid puncture shop,Tyre Showroom and Puncture Shop,Used tire shop,Used tire shop,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,,,"GXW6+6M, Anantapichhula, Odisha 768110",770051,21.5456681,84.96182759999999,ChIJcZfGZQBjHzoRfAeGi7iLOO4,https://www.google.com/maps/place/?q=place_id:ChIJcZfGZQBjHzoRfAeGi7iLOO4,part_356,2026-09-20 20:55:47
AK tyre workshop and risol,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,,,"RW68+3V3 ルークラ - バーコート・ロード Banei, Kendrikala, Odisha 770038",770051,21.810133,84.9171715,ChIJB8pldVgrIDoR6ET1p0LHAT4,https://www.google.com/maps/place/?q=place_id:ChIJB8pldVgrIDoR6ET1p0LHAT4,part_356,2026-09-20 20:55:47
Raju Tyre Works,Tyre Showroom and Puncture Shop,Used tire shop,Used tire shop,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,5.0,3.0,"front of petrol tanky, Ballam, Odisha 768108",770051,21.540465299999997,84.869424,ChIJC6-hcJ3ZIToRaSoFKpARQoE,https://www.google.com/maps/place/?q=place_id:ChIJC6-hcJ3ZIToRaSoFKpARQoE,part_356,2026-09-20 20:55:47
Ahamad Tyre Work Shop,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 77500 30629,N/A,3.0,6.0,"Chowk ルークラ - バーコート・ロード Narendra, Odisha 770038",770051,21.8296827,84.90144599999999,ChIJdT3tUFQqIDoRIOjRZUYgKDE,https://www.google.com/maps/place/?q=place_id:ChIJdT3tUFQqIDoRIOjRZUYgKDE,part_356,2026-09-20 20:55:47
Subash Tyre Store Room,Tyre Showroom and Puncture Shop,Auto parts store,Auto parts store,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,,,"GXWH+536, Deogarh, Odisha 768110",770051,21.5454044,84.97762829999999,ChIJ2-2uGadjHzoRxSHrBN-_8Zw,https://www.google.com/maps/place/?q=place_id:ChIJ2-2uGadjHzoRxSHrBN-_8Zw,part_356,2026-09-20 20:55:47
Hindustan TYRE SERVICE,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 84580 49089,N/A,,,"MX2J+5M2, SH 10A, Ambagaon, Odisha 768110",770051,21.6503783,84.9816517,ChIJ9Zo8q7J9HzoR7pc9qUCHSQU,https://www.google.com/maps/place/?q=place_id:ChIJ9Zo8q7J9HzoR7pc9qUCHSQU,part_356,2026-09-20 20:55:47
Imtiyaj,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,,,"JX7C+M4, Baxibaliposi, Odisha 768110",770051,21.6140175,84.9702827,ChIJy3EQRgB9HzoRLcrdpnug00g,https://www.google.com/maps/place/?q=place_id:ChIJy3EQRgB9HzoRLcrdpnug00g,part_356,2026-09-20 20:55:47
kurad,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",N/A,N/A,,,"GMJX+MF, Phulapatharakhola, Odisha 768119",770051,21.531335499999997,84.7000266,ChIJhWXvJwDFIToRU1Ci2UTYRdc,https://www.google.com/maps/place/?q=place_id:ChIJhWXvJwDFIToRU1Ci2UTYRdc,part_356,2026-09-20 20:55:47
"CEAT Shoppe, Bikash Enterprises",Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Tyre manufacturer, Tire repair shop, Tire service, Wheel alignment service, Wheel store",770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 97310 99705,https://tyreshop.ceat.com/ceat-shoppe-bikash-enterprises-bikash-enterprises-tyre-shop-gurudwara-chowk-bargarh-59835/Home?utm_source=locator&utm_medium=googleplaces,4.9,,"Caneal Avenue, NH 6, Railway Station - Gurudwara Chowk Rd, Bargarh, Odisha 768028",770051,21.346787499999998,83.6311151,ChIJt3wU0URLIToRez8WKLacHjo,https://www.google.com/maps/place/?q=place_id:ChIJt3wU0URLIToRez8WKLacHjo,part_356,2026-09-20 20:55:48
MRF Tyres Exclusive - Bharati Tyres,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O",+91 90402 34892,https://dealers.mrftyres.com/mrf-tyres-exclusive-bharati-tyres-tyre-shop-bargarh-bargarh-428650/Home,4.8,,"Gurudwara Chowk, near, Railway Station - Gurudwara Chowk Rd, Bargarh, Odisha 768028",770051,21.3467906,83.6318841,ChIJaY1tEGNKIToRTcyWW72bse0,https://www.google.com/maps/place/?q=place_id:ChIJaY1tEGNKIToRTcyWW72bse0,part_356,2026-09-20 20:55:48
