business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Pioneer Power Service,Generator Sales and Rental,Equipment rental agency,Equipment rental agency,770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,+91 98400 69101,https://pioneerindia.co.in/,4.3,,"15, 5th Main Rd, Kasturba Nagar, Adyar, Chennai, Tamil Nadu 600020","Kasturba Nagar, Adyar",13.0038825,80.2500451,ChIJC1DL-JFnUjoR3BYhMR8U_ug,https://www.google.com/maps/place/?q=place_id:ChIJC1DL-JFnUjoR3BYhMR8U_ug,part_356,2026-09-20 20:56:45
Generator on Rent,Generator Sales and Rental,Electric generator shop,Electric generator shop,770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,N/A,N/A,3.2,,"242, Maine Road, near 100 Foota Road Light, Tyagi Mohalla, Block A1, Dr Ambedkar Colony, Chhatarpur, New Delhi, Delhi 110074","Tyagi Mohalla, Block A1, Dr Ambedkar Colony, Chhatarpur",28.4997255,77.1805329,ChIJM4_7_BgfDTkRHD6waF3T0Pg,https://www.google.com/maps/place/?q=place_id:ChIJM4_7_BgfDTkRHD6waF3T0Pg,part_356,2026-09-20 20:56:46
Old Generator Sale Purchase,Generator Sales and Rental,Electric generator shop,Electric generator shop,770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,+91 98102 24161,https://oldgeneratorsalepurchase.com/,5.0,38.0,"MIE 1279, DISTIC, near TIKRI BORDER, Bahadurgarh, Delhi, Haryana 110041",770052,28.688730999999997,76.96816199999999,ChIJGdRbpBYPDTkRtsSp8f9ioJI,https://www.google.com/maps/place/?q=place_id:ChIJGdRbpBYPDTkRtsSp8f9ioJI,part_356,2026-09-20 20:56:47
GLOBALVISION POWER SOLUTIONS PVT LTD. (KIRLOSKAR SALES & SERVICE DEALER),Generator Sales and Rental,Electric generator shop,"Electric generator shop, Electrical engineer, Electrical equipment supplier, Power plant equipment supplier",770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,+91 98972 20009,https://www.kirloskarlimitless.com/limitless/kirloskar-oil-engines,4.9,686.0,"W-10, Transport Nagar, Subhash Nagar, Dehradun, Sewla Khurd, Uttarakhand 248002","Transport Nagar, Subhash Nagar",30.2807507,77.9897907,ChIJ____L7orCTkR_-v5X65DSlY,https://www.google.com/maps/place/?q=place_id:ChIJ____L7orCTkR_-v5X65DSlY,part_356,2026-09-20 20:56:47
"Gentech Power Systems (Generator Dealers, Sales and Services)",Generator Sales and Rental,Electric generator shop,"Electric generator shop, Diesel engine dealer",770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,+91 95624 34007,N/A,4.7,10.0,"1st floor, AVM Palace, Thammanam, Kochi, Kerala 682032",Thammanam,9.9901339,76.3098966,ChIJXQAAAM9yCDsRFLMtGPAxn5U,https://www.google.com/maps/place/?q=place_id:ChIJXQAAAM9yCDsRFLMtGPAxn5U,part_356,2026-09-20 20:56:47
Purvanchal Machinery Agencies,Generator Sales and Rental,Electric generator shop,Electric generator shop,770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,+91 94530 16451,N/A,3.5,32.0,"41, 42 Nagar Palika, Civil Lines, Azamgarh, Uttar Pradesh 276001",Civil Lines,26.0570032,83.1835624,ChIJuzjlzLm8kTkRNvhGAiZaypg,https://www.google.com/maps/place/?q=place_id:ChIJuzjlzLm8kTkRNvhGAiZaypg,part_356,2026-09-20 20:56:47
"Nise Power Solutions - Ernakulam,Kochi Generator Rentals",Generator Sales and Rental,Electric generator shop,Electric generator shop,770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,+91 90370 20671,http://www.nisepowergensets.com/,5.0,1.0,"MOONAMECHERY HOUSE, 56/406A-4, Parambithara Rd, Panampilly Nagar, Ernakulam, Keralam 682036",Panampilly Nagar,9.956626199999999,76.293881,ChIJzfGWK-VzCDsRiPr5Jm48Xpk,https://www.google.com/maps/place/?q=place_id:ChIJzfGWK-VzCDsRiPr5Jm48Xpk,part_356,2026-09-20 20:56:47
Greenlight Power Solutions,Generator Sales and Rental,Electric generator shop,Electric generator shop,770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,+91 98808 81821,https://greenlightpower.in/,5.0,15.0,"236, 3rd Cross Road, 3rd Main Rd, Mahalakshmi Layout, Bengaluru, Karnataka 560086","Mahalakshmipuram Layout, Mahalakshmi Layout",13.0091606,77.5478929,ChIJF_BO6mM9rjsRpkVZt4Akhfc,https://www.google.com/maps/place/?q=place_id:ChIJF_BO6mM9rjsRpkVZt4Akhfc,part_356,2026-09-20 20:56:47
Anil Sounds & Electricals,Generator Sales and Rental,Electric generator shop,Electric generator shop,770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,+91 98469 99346,N/A,4.9,66.0,"St Peters & St Pauls Church Complex,, Valayanchirangara, Perumbavoor-683556, Perumbavoor, Keralam 683556",770052,10.0680078,76.4929727,ChIJXQAAAIfhBzsRvIOP01mg1l4,https://www.google.com/maps/place/?q=place_id:ChIJXQAAAIfhBzsRvIOP01mg1l4,part_356,2026-09-20 20:56:47
Sainko Systems,Generator Sales and Rental,Electric generator shop,Electric generator shop,770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,+91 135 329 4457,https://sainkosystems.in/,4.7,23.0,"AGI, 58, Gandhi Rd, Dhamawala Mohalla, Paltan Bazaar, Dehradun, Uttarakhand 248001","Dhamawala Mohalla, Paltan Bazaar",30.3170343,78.0386956,ChIJdwyclcQpCTkRT4JgTEir2bM,https://www.google.com/maps/place/?q=place_id:ChIJdwyclcQpCTkRT4JgTEir2bM,part_356,2026-09-20 20:56:47
