business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Cool Point Juice Corner,Juice Center and Milkshake Bar,Juice shop,Juice shop,770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,+91 87588 01497,N/A,4.6,,"Shop No.2, Soham Complex, Gurudwara Rd, Patrakar Colony, Jamnagar, Gujarat 361006",Patrakar Colony,22.4723498,70.06555469999999,ChIJ7YR0HKVqVzkRN_esSe7uVmg,https://www.google.com/maps/place/?q=place_id:ChIJ7YR0HKVqVzkRN_esSe7uVmg,part_356,2026-09-20 20:56:15
Coconut Juice Bar,Juice Center and Milkshake Bar,Juice shop,"Juice shop, Beverage Store, Health food restaurant",770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,+91 83099 56754,N/A,4.1,,"1, beside DLF Road, beside Noodle Bar, DLF Cyber City, Indira Nagar, Gachibowli, Hyderabad, Telangana 500032","DLF Cyber City, Indira Nagar, Gachibowli",17.4471408,78.3532814,ChIJgV8CLCSTyzsR7IobMDPDxCk,https://www.google.com/maps/place/?q=place_id:ChIJgV8CLCSTyzsR7IobMDPDxCk,part_356,2026-09-20 20:56:16
NANDU JUICE CENTRE,Juice Center and Milkshake Bar,Juice shop,Juice shop,770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,+91 99085 05590,N/A,4.0,,"CF2Q+9HX, Street no 3 Himayat Nagar, Himayatnagar, Hyderabad, Telangana 500029",Himayatnagar,17.400976699999998,78.4889735,ChIJjwrAEcOZyzsRM9q-csujIBk,https://www.google.com/maps/place/?q=place_id:ChIJjwrAEcOZyzsRM9q-csujIBk,part_356,2026-09-20 20:56:16
Lucky juice and shakes,Juice Center and Milkshake Bar,Juice shop,Juice shop,770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,N/A,N/A,3.9,,"F-234, Block F, Vikaspuri, Delhi, 110018","Block F, Vikaspuri",28.6429062,77.07131129999999,ChIJXfxo8rMFDTkR34Eqo7VBc6s,https://www.google.com/maps/place/?q=place_id:ChIJXfxo8rMFDTkR34Eqo7VBc6s,part_356,2026-09-20 20:56:16
Delhi Juice & Shakes,Juice Center and Milkshake Bar,Juice shop,Juice shop,770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,+91 70113 23544,N/A,5.0,,"Part- 6, Ashok Vihar Phase II, Gurugram, Haryana 122001","Part- 6, Ashok Vihar Phase II",28.481143199999998,77.02488679999999,ChIJv0aUqcUZDTkRLBax7ur1Yj0,https://www.google.com/maps/place/?q=place_id:ChIJv0aUqcUZDTkRLBax7ur1Yj0,part_356,2026-09-20 20:56:17
Bombay Juice,Juice Center and Milkshake Bar,Juice shop,Juice shop,770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,+91 89775 42344,N/A,4.1,,"Unity House, Jagdish Market Rd, Chirag Ali Lane, Abids, Hyderabad, Telangana 500001","Chirag Ali Lane, Abids",17.3919528,78.4757716,ChIJz9JCG2mZyzsRKOnYMX4tOl4,https://www.google.com/maps/place/?q=place_id:ChIJz9JCG2mZyzsRKOnYMX4tOl4,part_356,2026-09-20 20:56:17
Mama Fruit Juice Bar Since-1974,Juice Center and Milkshake Bar,Juice shop,Juice shop,770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,+91 755 492 4199,https://www.facebook.com/mamafruitjuicebar1974/,4.3,,"VD Nair Complex, 21/23, Kolar Rd, Netaji Housing Co Op Society, Mahabali Nagar, Kolar Rd, Bhopal, Madhya Pradesh 462042","Netaji Housing Co Op Society, Mahabali Nagar, Kolar Rd",23.1822128,77.4171985,ChIJn6Z8QHNDfDkRfT90U8rrIRg,https://www.google.com/maps/place/?q=place_id:ChIJn6Z8QHNDfDkRfT90U8rrIRg,part_356,2026-09-20 20:56:17
"Frozen Bottle - Milkshakes, Desserts And Ice Cream",Juice Center and Milkshake Bar,Dessert restaurant,"Dessert restaurant, Dessert shop, Ice cream shop",770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,+91 92118 59358,https://store.frozenbottle.com/frozen-bottle/milkshake-and-ice-cream-cafe-in-gurugram/milkshake-and-ice-cream-cafe-in-sector-/frozen-bottle-in-sector-50-gurugram--4RAvxV/home,4.8,,"Unit No Ground Floor, Baani Square, G-66, Block A, Sector 50, Gurugram, Haryana 122018","Block A, Sector 50",28.426915599999997,77.0546699,ChIJO1XnIS0ZDTkRzkG3tmm3InQ,https://www.google.com/maps/place/?q=place_id:ChIJO1XnIS0ZDTkRzkG3tmm3InQ,part_356,2026-09-20 20:56:17
‌ ‌ ‌ ‌ ‌i shake,Juice Center and Milkshake Bar,Manufacturer,"Manufacturer, Corporate gift supplier, Promotional products supplier, Sports Accessories Wholesaler",770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,N/A,https://www.ishake.in/,4.8,,"A 1, Begampur Barwala Rd, near Indraprastha School, Begam Vihar, Part 2, Begum Pur, Delhi, 110086","Begam Vihar, Part 2, Begum Pur",28.7286066,77.06590779999999,ChIJPRTI6-ADDTkR62eXt8k5J1c,https://www.google.com/maps/place/?q=place_id:ChIJPRTI6-ADDTkR62eXt8k5J1c,part_356,2026-09-20 20:56:17
New Delhi Juice And Shake,Juice Center and Milkshake Bar,Juice shop,Juice shop,770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O,N/A,N/A,3.8,,"C3FQ+V3R, MKM Market Rd, Block G, Sushant Lok 2, Sector 57, Gurugram, Haryana 122011","Block G, Sushant Lok 2, Sector 57",28.4247297,77.087644,ChIJB1Lv69ojDTkRdTuYW-au8NQ,https://www.google.com/maps/place/?q=place_id:ChIJB1Lv69ojDTkRdTuYW-au8NQ,part_356,2026-09-20 20:56:17
