business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Akansha Tent & Caterer,Caterer and Event Planner,Event planner,Event planner,770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",N/A,N/A,,,"RWJ9+9MQ, Gayatri Vihar, Brajrajnagar, Odisha 768233",Gayatri Vihar,21.830970699999998,83.9192248,ChIJgQxSBgDfIDoRr4KBQnICYOE,https://www.google.com/maps/place/?q=place_id:ChIJgQxSBgDfIDoRr4KBQnICYOE,part_356,2026-09-20 20:57:14
Hari Om Catering Service,Caterer and Event Planner,Caterer,"Caterer, Event planner, Meal delivery",770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 98612 81111,N/A,4.7,60.0,"Gudeswar temple road, near river inn resorts, durgapali, Sambalpur, Odisha 768003",durgapali,21.4846807,83.9439582,ChIJYUw8yH8WIToRdpmLmR3tQ3c,https://www.google.com/maps/place/?q=place_id:ChIJYUw8yH8WIToRdpmLmR3tQ3c,part_356,2026-09-20 20:57:14
Royal Caterers & Decorators,Caterer and Event Planner,Event planner,Event planner,770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 70088 34043,N/A,3.0,1.0,"Tunnel Road, Brajrajnagar, Odisha 768216",770070,21.8222381,83.92237089999999,ChIJ_dci03LfIDoReHa53SiyVwc,https://www.google.com/maps/place/?q=place_id:ChIJ_dci03LfIDoReHa53SiyVwc,part_356,2026-09-20 20:57:14
श्री Balaji Tent & Caterers Brjn,Caterer and Event Planner,Event planner,Event planner,770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 90403 06219,N/A,5.0,1.0,"Kalyan Mandap, Tunnel Road, near Municipal, BRJN, Durga Nagar, Brajrajnagar, Odisha 768216","BRJN, Durga Nagar",21.853107299999998,83.91702099999999,ChIJB3SDpeffIDoRaT8hXldC6eU,https://www.google.com/maps/place/?q=place_id:ChIJB3SDpeffIDoRaT8hXldC6eU,part_356,2026-09-20 20:57:14
Shah caterer and decorator,Caterer and Event Planner,Caterer,"Caterer, Catering equipment rental service, Tent House Supplier, Event management company, Stage lighting equipment supplier",770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 90908 51378,N/A,,,"Dhankuda, Sambalpur, Odisha 768006",Dhankuda,21.4754489,84.00174229999999,ChIJYQNF7ZEXIToRmTOidhdqynA,https://www.google.com/maps/place/?q=place_id:ChIJYQNF7ZEXIToRmTOidhdqynA,part_356,2026-09-20 20:57:14
"VINITA ENTERERISES,CATERING TABLE DISPLAY MANUFACTURING,CATERING COUNTERS MANUFACTURING,CATERING SERVICE,DOSA BHATTI",Caterer and Event Planner,Manufacturer,Manufacturer,770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 98737 56717,https://www.indiamart.com/standardtikkiwala/profile.html,4.8,21.0,"Khasra No. - 952 Ground Floor, Landmark Near Harijan Choupa, Village, Vijay vihar Phase I, Phase 1, Block C, Rithala, Rohini, Delhi, 110085","Vijay vihar Phase I, Phase 1, Block C, Rithala, Rohini",28.7179827,77.09908209999999,ChIJZ8ZJEbMGDTkR5BWh4Ghmf2c,https://www.google.com/maps/place/?q=place_id:ChIJZ8ZJEbMGDTkR5BWh4Ghmf2c,part_356,2026-09-20 20:57:15
SJS Catering,Caterer and Event Planner,Caterer,Caterer,770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 97392 52794,https://sjseventsandcatering.com/,4.5,372.0,"15 & 16, Old UCO Bank Rd, near Jubilie School, Nagappa Reddy Layout, Ramamurthy Nagar, Bengaluru, Karnataka 560016","Nagappa Reddy Layout, Ramamurthy Nagar",13.0091751,77.6746684,ChIJX7HhQuAQrjsRHPvKXhu9JbE,https://www.google.com/maps/place/?q=place_id:ChIJX7HhQuAQrjsRHPvKXhu9JbE,part_356,2026-09-20 20:57:15
FEAST & Flourish Catering Services,Caterer and Event Planner,Caterer,Caterer,770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 97768 41484,N/A,5.0,19.0,"Bhatra, Gopal Bihar, Sambalpur, Odisha 768005","Bhatra, Gopal Bihar",21.439823399999998,84.0005264,ChIJ7a_sud0VIToRO1jkDvJPJMo,https://www.google.com/maps/place/?q=place_id:ChIJ7a_sud0VIToRO1jkDvJPJMo,part_356,2026-09-20 20:57:16
AN’s Events - Catering & Wedding Planner in Bangalore,Caterer and Event Planner,Event planner,"Event planner, Catering food and drink supplier, Event management company, Wedding photographer, Wedding planner",770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 98456 91591,https://www.ansevents.org/,4.3,203.0,"Ans Kitchen, 1st Cross Rd, Vinayaka Layout, 1st stage, Hebbal Kempapura, Bengaluru, Karnataka 560024","Vinayaka Layout, 1st stage, Hebbal Kempapura",13.0507552,77.6017952,ChIJtzjSX6xxrjsRQpMrSHJDAi8,https://www.google.com/maps/place/?q=place_id:ChIJtzjSX6xxrjsRQpMrSHJDAi8,part_356,2026-09-20 20:57:16
Baba Catering Service,Caterer and Event Planner,Caterer,Caterer,770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 94370 50478,N/A,5.0,78.0,"Hanuman Colony, Sakhipara, Sambalpur, Odisha 768001","Hanuman Colony, Sakhipara",21.471750999999998,83.987653,ChIJ_aIBfwYXIToRd8Nh-8KgN7I,https://www.google.com/maps/place/?q=place_id:ChIJ_aIBfwYXIToRd8Nh-8KgN7I,part_356,2026-09-20 20:57:16
