business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
TRILOCHAN NETRALAYA- City Eye Clinic.,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Hospital",770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 80930 99827,http://www.trilochannetralaya.org/,4.8,582.0,"BEHERAMAL Ria Tower, SBI Branch Building, in front of Mamta Marbles, Bijju Nagar, Jharsuguda, Odisha 768203",Bijju Nagar,21.8778433,84.0221135,ChIJAw7Dt3PlIDoRpZ8nLuAdY_Q,https://www.google.com/maps/place/?q=place_id:ChIJAw7Dt3PlIDoRpZ8nLuAdY_Q,part_356,2026-09-20 20:57:02
Trilochan Netralaya,Eye Clinic and Eye Hospital,Eye care center,Eye care center,770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 94385 30077,http://trilochannetralaya.org/,4.8,1332.0,"FXVM+J7R Nexgen Communication, Ainthapali, Sambalpur, Odisha 768006",Ainthapali,21.494120199999998,83.98315339999999,ChIJeRNGZokWIToRBRhwwFFr4p4,https://www.google.com/maps/place/?q=place_id:ChIJeRNGZokWIToRBRhwwFFr4p4,part_356,2026-09-20 20:57:02
Divya Drishti Advance Eye Care (Eye Mantra),Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Hospital",770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 88958 70858,http://www.divyadrishtieyecarejsg.in/,4.8,202.0,"near Sakuntalam Palace, Saha Pada, Badmal, Odisha 768202",Saha Pada,21.809497999999998,84.0089718,ChIJ09BoUtDhIDoRWVDydjgZKKg,https://www.google.com/maps/place/?q=place_id:ChIJ09BoUtDhIDoRWVDydjgZKKg,part_356,2026-09-20 20:57:02
Lion's Eye Hospital (EYE CLINIC) Bargarh,Eye Clinic and Eye Hospital,Hospital,Hospital,770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 6646 232 824,N/A,3.9,13.0,"8JW2+8XC, Bargarh, Odisha 768038",770070,21.345810999999998,83.6023823,ChIJFynRZa9KIToRXh8j2VVSDxE,https://www.google.com/maps/place/?q=place_id:ChIJFynRZa9KIToRXh8j2VVSDxE,part_356,2026-09-20 20:57:02
Eye-Q Super-Speciality Eye Hospitals,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Hospital, Lasik surgeon, Ophthalmologist, Ophthalmology clinic, Optometrist, Orthoptist, Pediatric ophthalmologist",770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 80 4485 2769,https://www.eyeqindia.com/?utm_source=Google&utm_medium=GMB,4.9,2768.0,"Jindal Chowk, New, Model Town Extension, Dayanand Colony, New Model Town Exyension, New Model Town, Hisar, Haryana 125005","Model Town Extension, Dayanand Colony, New Model Town Exyension, New Model Town",29.1340917,75.7465843,ChIJ8ZGGUQ8zEjkRLE4MdtxsRCY,https://www.google.com/maps/place/?q=place_id:ChIJ8ZGGUQ8zEjkRLE4MdtxsRCY,part_356,2026-09-20 20:57:02
"ASG Eye Hospital | Best Cataract, Lasik & Retina Centre - Shivaji Nagar, Bhopal",Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Hospital, Ophthalmologist, Ophthalmology clinic",770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 80 4041 9780,https://clinic.asgeyehospital.com/locator/bhopal/Shivaji-Nagar/asg-eye-hospital-in-Shivaji-Nagar-bhopal--5DcV2z/home,4.9,15123.0,"Mahadev Commercial Complex, Shivaji Nagar, Bhopal, Madhya Pradesh 462011","Near Board Office, No 6 Locality, Shivaji Nagar",23.230501,77.4309596,ChIJl-axWzlDfDkRC9lKdXdR8dQ,https://www.google.com/maps/place/?q=place_id:ChIJl-axWzlDfDkRC9lKdXdR8dQ,part_356,2026-09-20 20:57:02
Sunayana Eye Hospital,Eye Clinic and Eye Hospital,Hospital,Hospital,770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 98534 88634,https://www.facebook.com/sunayana.eye.hospital.jharsuguda,4.8,26.0,"BTM Bypass, opposite to HP Diesel Pump, above Mohapatra Electronics, BTM Colony, Jharsuguda, Odisha 768202",BTM Colony,21.873569,83.99888299999999,ChIJH13EZ-bnIDoRN-vKS0QTb2A,https://www.google.com/maps/place/?q=place_id:ChIJH13EZ-bnIDoRN-vKS0QTb2A,part_356,2026-09-20 20:57:02
MSPL-LIONS EYE HOSPITAL,Eye Clinic and Eye Hospital,Eye care center,Eye care center,770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",N/A,N/A,5.0,3.0,"3P23+QF6, Gopalpur, Odisha 770024",770070,22.052232699999998,83.7031341,ChIJQ9wfadDJIDoRPEUoT5HoOUk,https://www.google.com/maps/place/?q=place_id:ChIJQ9wfadDJIDoRPEUoT5HoOUk,part_356,2026-09-20 20:57:02
Aryavart Eye Hospital,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Hospital, Ophthalmologist, Optometrist",770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 91619 99092,https://www.aryavarteyecare.com/,4.9,32.0,"Dwivedi Market, Sangam Chauraha, Lalganj Ajhara, Salem Bhadari, Uttar Pradesh 230132",770070,25.9302393,81.71697569999999,ChIJR2ijNQHvmjkRsOCy-2p8mJA,https://www.google.com/maps/place/?q=place_id:ChIJR2ijNQHvmjkRsOCy-2p8mJA,part_356,2026-09-20 20:57:02
Koshal eye care,Eye Clinic and Eye Hospital,Eye care center,Eye care center,770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 96681 23140,N/A,4.8,85.0,"1st building , 1st floor adarsh marg, Odisha 768004",Ainthapali,21.492813899999998,83.98657589999999,ChIJ7b-4mksXIToRf0AHqGUDhjE,https://www.google.com/maps/place/?q=place_id:ChIJ7b-4mksXIToRf0AHqGUDhjE,part_356,2026-09-20 20:57:02
Dr Agarwals Eye Hospital,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Hospital, Lasik surgeon, Ophthalmologist, Ophthalmology clinic, Optometrist, Orthoptist, Pediatric ophthalmologist",770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 95949 04271,https://www.dragarwal.com/eye-hospital/sambalpur/?utm_source=locator&utm_medium=googleplaces,4.9,1365.0,"Bus Stand, Plot No-2581/5525 & 2581/5465 At-Danipali, near Pvt, Ainthapali, Sambalpur, Odisha 768006",Ainthapali,21.495020999999998,83.9810974,ChIJfa6N238XIToRo9KrB030s-A,https://www.google.com/maps/place/?q=place_id:ChIJfa6N238XIToRo9KrB030s-A,part_356,2026-09-20 20:57:02
Mahajan Eye Centre,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Lasik surgeon, Ophthalmologist, Ophthalmology clinic, Optometrist, Pediatric ophthalmologist",770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 93111 14660,http://www.mahajaneyecentre.com/,4.9,5753.0,"21A, AD Block, Outer Ring Rd, Block AD, Dakshini Pitampura, Pitampura, New Delhi, Delhi, 110034","Block AD, Dakshini Pitampura, Pitampura",28.707524499999998,77.13470629999999,ChIJCWFAlzECDTkRdUNbqbBP-PU,https://www.google.com/maps/place/?q=place_id:ChIJCWFAlzECDTkRdUNbqbBP-PU,part_356,2026-09-20 20:57:02
Visifert Eye Hospital - Eye Clinic in Mahagama Jharkhand,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Service establishment",770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O",+91 92411 14343,https://wa.me/+919241114343,5.0,7.0,"Visifert Eye Hospital - Eye Clinic in Mahagama Jharkhand, 770070, India",770070,25.0285756,87.3153652,ChIJTZN9p7PZSCYR6sZrMHBXHpc,https://www.google.com/maps/place/?q=place_id:ChIJTZN9p7PZSCYR6sZrMHBXHpc,part_356,2026-09-20 20:57:02
