business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SILVERLINE DENTAL CARE,Dental Clinic,Dental clinic,Dental clinic,770072,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbonga B.O, Darlipali B.O, J.Raiboga B.O",+91 80938 45617,N/A,5.0,,"Rai Complex, Rajpur Road, Gandhichowk, Brajrajnagar, Odisha 768216",Gandhichowk,21.8631691,83.9244519,ChIJeShOSk_dIDoRgBqH7Sz60n0,https://www.google.com/maps/place/?q=place_id:ChIJeShOSk_dIDoRgBqH7Sz60n0,part_356,2026-09-20 20:57:41
"Smile dental clinic, gandhichowk",Dental Clinic,Dental clinic,Dental clinic,770072,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbonga B.O, Darlipali B.O, J.Raiboga B.O",+91 94372 54548,N/A,4.5,,"Jharsuguda - NTPC Darlipali Rd, Brajrajnagar, Odisha 768216",770072,21.8636873,83.9245608,ChIJqYGS8NHdIDoRW5lCc3-lup4,https://www.google.com/maps/place/?q=place_id:ChIJqYGS8NHdIDoRW5lCc3-lup4,part_356,2026-09-20 20:57:41
A ONE DENTAL CLINIC,Dental Clinic,Dental clinic,Dental clinic,770072,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbonga B.O, Darlipali B.O, J.Raiboga B.O",+91 97762 80451,N/A,4.4,,"Gandhi Chowk, Brajrajnagar, Odisha 768216",Gandhi Chowk,21.8609823,83.9241977,ChIJ25uI4d3dIDoR6HwcuYxukk8,https://www.google.com/maps/place/?q=place_id:ChIJ25uI4d3dIDoR6HwcuYxukk8,part_356,2026-09-20 20:57:41
BALAJI DENTAL CLINIC,Dental Clinic,Dental clinic,Dental clinic,770072,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbonga B.O, Darlipali B.O, J.Raiboga B.O",N/A,N/A,5.0,,"Main road, Jhanda Chowk 1st floor, Bazaz Complex, Odisha 768201",Marwari Para,21.8570557,84.01418609999999,ChIJvQ8n783lIDoROd7DJAnPeKE,https://www.google.com/maps/place/?q=place_id:ChIJvQ8n783lIDoROd7DJAnPeKE,part_356,2026-09-20 20:57:41
Maa Samalei Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,770072,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbonga B.O, Darlipali B.O, J.Raiboga B.O",N/A,N/A,,,"3WMC+C8R, Ujalpur, Odisha 770011",770072,22.083655,83.9207733,ChIJF6gPMwDBIDoR8eC3ihjr_jc,https://www.google.com/maps/place/?q=place_id:ChIJF6gPMwDBIDoR8eC3ihjr_jc,part_356,2026-09-20 20:57:41
City Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,770072,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbonga B.O, Darlipali B.O, J.Raiboga B.O",+91 90780 05445,N/A,4.2,,"Chowk, BTM Colony, Bombay, Jharsuguda, Odisha 768203",BTM Colony,21.8762929,84.014573,ChIJEzI76sTnIDoRQfcl12YtXKA,https://www.google.com/maps/place/?q=place_id:ChIJEzI76sTnIDoRQfcl12YtXKA,part_356,2026-09-20 20:57:41
DENTAL LIFE Best dental Implant clinic,Dental Clinic,Dental clinic,"Dental clinic, Dental implants periodontist, Dental implants provider, Dentist, Emergency dental service, Endodontist, Orthodontist, Teeth whitening service",770072,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbonga B.O, Darlipali B.O, J.Raiboga B.O",+91 73810 55145,http://www.thedentallife.in/,4.9,,"High School, near Ranihat, below Jeevan Jyoti hospital, Ranihat, Professors Colony, Kataka, Odisha 753001","Ranihat, Professors Colony",20.467959099999998,85.8909709,ChIJ5aM6QX8NGToRFF7adu11KHk,https://www.google.com/maps/place/?q=place_id:ChIJ5aM6QX8NGToRFF7adu11KHk,part_356,2026-09-20 20:57:41
Sri Venkatesh Dental Care & Polyclinic,Dental Clinic,Dental clinic,Dental clinic,770072,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbonga B.O, Darlipali B.O, J.Raiboga B.O",+91 93370 96416,N/A,,,"1st Floor, Jharsuguda Town Main Rd, beside Pradip medical hall, opp. shani Mandir, Marwari Para, Jharsuguda, Odisha 768201",Marwari Para,21.854334299999998,84.0136654,ChIJv7u30uTnIDoR45pwPR0lLxM,https://www.google.com/maps/place/?q=place_id:ChIJv7u30uTnIDoR45pwPR0lLxM,part_356,2026-09-20 20:57:41
Sanjivani Dental Smile Studio,Dental Clinic,Dental clinic,Dental clinic,770072,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbonga B.O, Darlipali B.O, J.Raiboga B.O",+91 90400 12305,https://www.facebook.com/profile.php?id=100009945225000,4.8,,"Station Road, Marwari Para, Jharsuguda, Odisha 768201",Marwari Para,21.847095,84.0128459,ChIJh1y1bqvmIDoRkPDuu9oO_nA,https://www.google.com/maps/place/?q=place_id:ChIJh1y1bqvmIDoRkPDuu9oO_nA,part_356,2026-09-20 20:57:41
Sabitri Dentistry,Dental Clinic,Dental clinic,Dental clinic,770072,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbonga B.O, Darlipali B.O, J.Raiboga B.O",+91 76088 88483,http://www.sabitridentistry.com/,4.9,764.0,"Oposite Khadims, Krishna Arcade, 45, Dolamundai Rd, Bajrakabati, Kataka, Odisha 753001",Bajrakabati,20.4630928,85.88485709999999,ChIJs-68TNMNGToR0zIBM33Gwxw,https://www.google.com/maps/place/?q=place_id:ChIJs-68TNMNGToR0zIBM33Gwxw,part_356,2026-09-20 20:57:41
