business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Grow FinCorp,Home Loan DSA and Loan Consultant,Financial consultant,Financial consultant,770073,Odisha circle,Sambalpur Region,Sundargarh Division,"Baladmal B.O, Baragad B.O, Bhedabahal B.O",+91 98709 34883,http://www.growfincorp.com/,5.0,12.0,"3rd Floor, Sai Plaza, above IDFC bank, near Lal Mandir, Gulzar Nagar, Hem Chand Compound, Aligarh, Uttar Pradesh 202001","Gulzar Nagar, Hem Chand Compound",27.8929311,78.08546799999999,ChIJ6Zsps0SldDkRgdIXIitL_As,https://www.google.com/maps/place/?q=place_id:ChIJ6Zsps0SldDkRgdIXIitL_As,part_356,2026-09-20 21:06:55
DREAM SOLUTIONS,Home Loan DSA and Loan Consultant,Corporate office,Corporate office,770073,Odisha circle,Sambalpur Region,Sundargarh Division,"Baladmal B.O, Baragad B.O, Bhedabahal B.O",+91 88755 53345,https://www.dreamsolutiononline.com/,5.0,45.0,"C39, KV Heights, near Metro Pillar No 80, Radha Vihar, Shiva Colony, Govindpuri, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302019","Radha Vihar, Shiva Colony, Govindpuri",26.8841337,75.7691622,ChIJfYEo7Oy1bTkR6kZsU9p3BPM,https://www.google.com/maps/place/?q=place_id:ChIJfYEo7Oy1bTkR6kZsU9p3BPM,part_356,2026-09-20 21:06:55
MUDGIL FINANCE & INSURANCE HUB,Home Loan DSA and Loan Consultant,Insurance agency,Insurance agency,770073,Odisha circle,Sambalpur Region,Sundargarh Division,"Baladmal B.O, Baragad B.O, Bhedabahal B.O",N/A,https://mudgilinsurance.com/,5.0,6.0,"W.NO 21, Sukh Pura, H.NO 802, HAFED CHOWK, Prem Nagar, Rohtak, Haryana 124001",Prem Nagar,28.906683899999997,76.5934607,ChIJ9zUyrjKFDTkRpHBMXbyrEnM,https://www.google.com/maps/place/?q=place_id:ChIJ9zUyrjKFDTkRpHBMXbyrEnM,part_356,2026-09-20 21:06:55
"Wishfin - Personal Loan, Credit Card, CIBIL Score",Home Loan DSA and Loan Consultant,Financial consultant,"Financial consultant, Service establishment",770073,Odisha circle,Sambalpur Region,Sundargarh Division,"Baladmal B.O, Baragad B.O, Bhedabahal B.O",+91 93554 32723,https://www.wishfin.com/,1.0,,"Wishfin - Personal Loan, Credit Card, CIBIL Score, 770073, India",770073,21.0680074,82.7525294,ChIJM0xTLXEcdQkR7503VzJH86w,https://www.google.com/maps/place/?q=place_id:ChIJM0xTLXEcdQkR7503VzJH86w,part_356,2026-09-20 21:06:56
Loansettlement,Home Loan DSA and Loan Consultant,Financial institution,"Financial institution, Service establishment",770073,Odisha circle,Sambalpur Region,Sundargarh Division,"Baladmal B.O, Baragad B.O, Bhedabahal B.O",+91 80 4718 5085,http://loansettlement.com/,4.1,,"Loansettlement, 770073, India",770073,21.0680074,82.7525294,ChIJe2ajyFDkDDkRuFnLQ-_6QKI,https://www.google.com/maps/place/?q=place_id:ChIJe2ajyFDkDDkRuFnLQ-_6QKI,part_356,2026-09-20 21:06:56
"CLOUD FINANCE - Instant Personal Loan, Business Loan, Property Loan",Home Loan DSA and Loan Consultant,Loan agency,Loan agency,770073,Odisha circle,Sambalpur Region,Sundargarh Division,"Baladmal B.O, Baragad B.O, Bhedabahal B.O",+91 89295 96764,N/A,4.9,,"H.No - 133, Gali Number 3, Makanpur, Nyay Khand I, Indirapuram, Ghaziabad, Uttar Pradesh 201020","Makanpur, Nyay Khand I, Indirapuram",28.6371099,77.3520453,ChIJpyos4OP7DDkRq0OvX7HiMhU,https://www.google.com/maps/place/?q=place_id:ChIJpyos4OP7DDkRq0OvX7HiMhU,part_356,2026-09-20 21:06:56
Loanmoney,Home Loan DSA and Loan Consultant,Loan agency,Loan agency,770073,Odisha circle,Sambalpur Region,Sundargarh Division,"Baladmal B.O, Baragad B.O, Bhedabahal B.O",+91 81302 22111,N/A,3.9,14.0,"Paras Seasons, Tower 1, 1310, Sector 168, Noida, Uttar Pradesh 201304",Sector 168,28.4957785,77.4072614,ChIJp5mjznvnDDkR80n44ORdryw,https://www.google.com/maps/place/?q=place_id:ChIJp5mjznvnDDkR80n44ORdryw,part_356,2026-09-20 21:06:57
WealthShakti,Home Loan DSA and Loan Consultant,Loan agency,"Loan agency, Car finance and loan company, Financial consultant, Mortgage broker, Mortgage lender",770073,Odisha circle,Sambalpur Region,Sundargarh Division,"Baladmal B.O, Baragad B.O, Bhedabahal B.O",+91 99107 48000,https://wealthshakti.in/,5.0,89.0,"PANCHSHEEL PRATISHTHA, Gardenia Gateway, Sector 75, Noida, Uttar Pradesh 201304","Gardenia Gateway, Sector 75",28.5742276,77.3837609,ChIJMe33vRDnDDkRf9sGui8L3fw,https://www.google.com/maps/place/?q=place_id:ChIJMe33vRDnDDkRf9sGui8L3fw,part_356,2026-09-20 21:06:57
Fair Finance,Home Loan DSA and Loan Consultant,Financial institution,Financial institution,770073,Odisha circle,Sambalpur Region,Sundargarh Division,"Baladmal B.O, Baragad B.O, Bhedabahal B.O",+91 91233 09198,https://fairfinance.in/,4.3,58.0,"Regus 5th Floor, RDB Boulevard, EP Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091","EP Block, Sector V, Bidhannagar",22.5687207,88.43304499999999,ChIJzULzARFxAjoRswVA_7nAZsM,https://www.google.com/maps/place/?q=place_id:ChIJzULzARFxAjoRswVA_7nAZsM,part_356,2026-09-20 21:06:57
Loan Mantra,Home Loan DSA and Loan Consultant,Loan agency,Loan agency,770073,Odisha circle,Sambalpur Region,Sundargarh Division,"Baladmal B.O, Baragad B.O, Bhedabahal B.O",+91 98358 88660,N/A,3.4,10.0,"M & J complex, opposite reddison blu hotel, Main Rd, above maruti nexa showroom, Ranchi, Jharkhand 834001",Hindpiri,23.350886,85.32418729999999,ChIJnXFRoafh9DkR0YjvLyseXtQ,https://www.google.com/maps/place/?q=place_id:ChIJnXFRoafh9DkR0YjvLyseXtQ,part_356,2026-09-20 21:06:57
