business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Corrugated box Packaging,Corrugated Box and Packaging Material Manufacturers,Packaging company,Packaging company,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 93288 75230,https://corrugatedboxfactory.in/,4.8,59.0,"C-507, Signature-2 business park, Sarkhej, Ahmedabad, Gujarat 382210",Makarba,22.987721099999998,72.4931379,ChIJb47zkSibXjkRZd3hR3SMPMU,https://www.google.com/maps/place/?q=place_id:ChIJb47zkSibXjkRZd3hR3SMPMU,part_356,2026-09-20 21:10:05
B.K. Packaging,Corrugated Box and Packaging Material Manufacturers,Packaging company,Packaging company,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 73590 09149,https://bkpackaging.co.in/,4.8,120.0,"Plot No. 136, Road No- 5, Ring Road, Kathwada GIDC, Odhav, Kathwada, Ahmedabad, Gujarat 382430","Kathwada GIDC, Odhav Industrial Estate, Odhav",23.0384144,72.6860469,ChIJQ5VfzYyHXjkRi2RXPqzrxbQ,https://www.google.com/maps/place/?q=place_id:ChIJQ5VfzYyHXjkRi2RXPqzrxbQ,part_356,2026-09-20 21:10:05
Nirav Packaging - Corrugated Box Manufacturers in Ahmedabad,Corrugated Box and Packaging Material Manufacturers,Packaging company,Packaging company,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 99138 19944,https://niravpackaging.com/,4.8,20.0,"Road No.34, G.I, Plot No. 419, near Apna bazar, D.C, Odhav, Ahmedabad, Gujarat 382415","D.C, Odhav",23.019759399999998,72.654884,ChIJyadhbFaHXjkRkEbWpFRFnJc,https://www.google.com/maps/place/?q=place_id:ChIJyadhbFaHXjkRkEbWpFRFnJc,part_356,2026-09-20 21:10:05
A Grade Packaging Solutions,Corrugated Box and Packaging Material Manufacturers,Packaging company,"Packaging company, Corporate office",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 95378 27287,http://www.indiamart.com/agradepackagingsolutions/,4.8,51.0,"54, ilaben estate, B/h aarvee denim, Narolgam, Ahmedabad, Gujarat 382405",Narolgam,22.9779916,72.5709665,ChIJ1TDLtoOFXjkR4BvKwNJlYko,https://www.google.com/maps/place/?q=place_id:ChIJ1TDLtoOFXjkR4BvKwNJlYko,part_356,2026-09-20 21:10:05
Nilkanth Packaging,Corrugated Box and Packaging Material Manufacturers,Packaging company,Packaging company,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 97148 41234,https://www.nilkanthpackaging.com/,4.6,10.0,"Dhrangadhra Chemical Compound, Plot No-30/6, Phase 3, GIDC Naroda, Ahmedabad, Gujarat 382330","Phase 3, GIDC Naroda",23.1024659,72.673141,ChIJyTOwd-aAXjkRTEwOd57rp5A,https://www.google.com/maps/place/?q=place_id:ChIJyTOwd-aAXjkRTEwOd57rp5A,part_356,2026-09-20 21:10:05
MM WILL CARE,Corrugated Box and Packaging Material Manufacturers,Packaging company,Packaging company,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 82005 29339,http://www.mmwillcare.com/,4.3,56.0,"3, Ghanshyam Estate, Opp Murgha farm, Rakhiyal Road Near Virat Nagar char rasta, NH -8, Ahmedabad, Gujarat 380023","Ghanshyam Industrial Estate, Rehmat Nagar, Bapunagar",23.024684099999998,72.6359346,ChIJ6y_4NSqHXjkRbystP8KlQFQ,https://www.google.com/maps/place/?q=place_id:ChIJ6y_4NSqHXjkRbystP8KlQFQ,part_356,2026-09-20 21:10:05
Packing House,Corrugated Box and Packaging Material Manufacturers,Packaging company,"Packaging company, Manufacturer",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 99979 92771,http://packinghouse.in/,4.6,19.0,"Near Lajpat Nagar 2, Pandit Nagla Bypass Rd, Moradabad, Uttar Pradesh 244001","Jabbar Colony, Karula",28.805093,78.771253,ChIJH3XtJAv7CjkRLoEZYh07CTQ,https://www.google.com/maps/place/?q=place_id:ChIJH3XtJAv7CjkRLoEZYh07CTQ,part_356,2026-09-20 21:10:05
BK PrintPack Innovations,Corrugated Box and Packaging Material Manufacturers,Packaging company,Packaging company,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 94129 99005,http://www.bkprintpack.co.in/,4.4,42.0,"Plot No. 26, Integrated Industrial Estate, Sector 8A, Sidcul, Haridwar, Uttarakhand 249402","Integrated Industrial Estate, Sector 8A, Sidcul",29.9504545,78.07154779999999,ChIJo8_XEU5ICTkRHuTEVOr_xmc,https://www.google.com/maps/place/?q=place_id:ChIJo8_XEU5ICTkRHuTEVOr_xmc,part_356,2026-09-20 21:10:05
atul paper box,Corrugated Box and Packaging Material Manufacturers,Manufacturer,Manufacturer,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 95868 35023,N/A,4.7,11.0,"Old City, Dhansuthar pole, Kalupur, Ahmedabad, Gujarat 380001","Old City, Dhansuthar pole, Kalupur",23.029949499999997,72.59215309999999,ChIJodCf3wqFXjkRvzBfFCPiLT0,https://www.google.com/maps/place/?q=place_id:ChIJodCf3wqFXjkRvzBfFCPiLT0,part_356,2026-09-20 21:10:05
Acme packaging,Corrugated Box and Packaging Material Manufacturers,Packaging company,Packaging company,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 81288 49908,https://www.acmepack.in/,4.8,20.0,"Odhav Industrial Estate, Odhav, Kathwada, Gujarat 382415","Odhav Industrial Estate, Odhav",23.0331942,72.67778369999999,ChIJ500a_RWHXjkRGI8mp8L7ihI,https://www.google.com/maps/place/?q=place_id:ChIJ500a_RWHXjkRGI8mp8L7ihI,part_356,2026-09-20 21:10:05
