business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Biryani Moradabadi,Non-Veg Biryani Restaurant,Chicken restaurant,Chicken restaurant,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 98087 30641,N/A,4.4,98.0,"near BFIT collage, Dehradun, Sudhowala, Uttarakhand 248015",781002,30.3485625,77.9358125,ChIJ4W3FCUXVCDkRMaIulURCy8w,https://www.google.com/maps/place/?q=place_id:ChIJ4W3FCUXVCDkRMaIulURCy8w,part_356,2026-09-20 21:09:37
Black Pepper Restaurant,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Bar & grill, Catering food and drink supplier, Caterer, Chinese restaurant, Meal delivery, Mughlai restaurant, North Indian restaurant, South Indian restaurant, Vegetarian restaurant",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 99970 00909,https://blaackpepperr.in/,4.6,7418.0,"3, Rajpur Rd, Ashtley Hall, Irigation Colony, Karanpur, Dehradun, Uttarakhand 248001","Ashtley Hall, Irigation Colony, Karanpur",30.3278581,78.04609289999999,ChIJ-UV74NMpCTkRAgzJWx20myE,https://www.google.com/maps/place/?q=place_id:ChIJ-UV74NMpCTkRAgzJWx20myE,part_356,2026-09-20 21:09:37
Bikkgane Biryani,Non-Veg Biryani Restaurant,Biryani restaurant,"Biryani restaurant, Hyderabadi restaurant, North Indian restaurant",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 120 428 6751,https://www.bikkganebiryani.com/,4.0,2571.0,"G24, Noida Sector 18, G Block, Pocket G, Sector 18, Noida, Uttar Pradesh 201301","Noida Sector 18, G Block, Pocket G, Sector 18",28.5701555,77.32427349999999,ChIJ1fWQK0nkDDkRCBZTcWpEGYU,https://www.google.com/maps/place/?q=place_id:ChIJ1fWQK0nkDDkRCBZTcWpEGYU,part_356,2026-09-20 21:09:37
Bhura Chicken Corner,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Fast food restaurant, Chicken restaurant",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 79835 02639,N/A,3.8,822.0,"31, Haridwar Rd, Araghar, Race Course, Dehradun, Uttarakhand 248001","Araghar, Race Course",30.307315199999998,78.0483754,ChIJPaBwdKQpCTkRqrouEOXmmMA,https://www.google.com/maps/place/?q=place_id:ChIJPaBwdKQpCTkRqrouEOXmmMA,part_356,2026-09-20 21:09:37
Platform 65 The Train Restaurant,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Biryani restaurant, Chinese restaurant, Family restaurant, Indian restaurant, Lunch restaurant, North Indian restaurant, South Indian restaurant, Vegetarian restaurant",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 98853 84849,https://dilsukhnagar.platform65.in/,4.6,37445.0,"Metro Station Dilsukhnagar, Platform 65 - Metro Pillar No. 1560 - 3rd Floor Chaitanya Puri, Chaitanyapuri Main Rd, beside Centro Near Dilsukhnagar &, Chaitanyapuri, Hyderabad, Telangana 500060","VR Colony, Chaitanyapuri, Dilsukhnagar",17.3680865,78.53175639999999,ChIJJ94dcZeZyzsRUmYNDtuR5Os,https://www.google.com/maps/place/?q=place_id:ChIJJ94dcZeZyzsRUmYNDtuR5Os,part_356,2026-09-20 21:09:37
Srikanya Comfort Restaurant,Non-Veg Biryani Restaurant,Andhra restaurant,"Andhra restaurant, Chinese restaurant, Indian restaurant, North Indian restaurant, Seafood restaurant, South Indian restaurant",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 40 6633 6677,http://srikanyacomfort.com/,4.0,17838.0,"#6-3-883/F/1, 4th Floor Pothula Tower Above South India Shopping Mall, Somajiguda, Hyderabad, Telangana 500016","Punjagutta Officers Colony, Somajiguda",17.4295921,78.45549609999999,ChIJL8HrrLWQyzsRegGQiFff7aM,https://www.google.com/maps/place/?q=place_id:ChIJL8HrrLWQyzsRegGQiFff7aM,part_356,2026-09-20 21:09:37
Karigari Dehradun,Non-Veg Biryani Restaurant,North Indian restaurant,North Indian restaurant,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 79961 00005,http://karigariindia.com/,4.6,4575.0,"88 A, Rajpur Rd, Hathibarkala Salwala, Dehradun, Uttarakhand 248009",Hathibarkala Salwala,30.347389999999997,78.06261889999999,ChIJdQFwfMzXCDkRLf6rXh6HRJg,https://www.google.com/maps/place/?q=place_id:ChIJdQFwfMzXCDkRLf6rXh6HRJg,part_356,2026-09-20 21:09:37
Hotel Abhiruchi,Non-Veg Biryani Restaurant,Andhra restaurant,"Andhra restaurant, Indian restaurant, South Indian restaurant",781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 81219 88298,N/A,3.9,11089.0,"107, Kavuri Hills Rd, Masthan Nagar, CBI Colony, HITEC City, Hyderabad, Telangana 500081","Masthan Nagar, CBI Colony, HITEC City",17.4378247,78.39026679999999,ChIJ9bKz2VuRyzsRfCHGn7mDxjg,https://www.google.com/maps/place/?q=place_id:ChIJ9bKz2VuRyzsRfCHGn7mDxjg,part_356,2026-09-20 21:09:37
Turkish Dastarkhwan Restaurant & cafe Best Arabian Restaurant | Non Veg Restaurant | Restaurant in Dehradun,Non-Veg Biryani Restaurant,Restaurant,Restaurant,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 96908 44000,N/A,4.3,405.0,"First floor, Chakrata Rd, near Nanda ki chowki, Nanda Ki Chowki, Dehradun, Kandhauli, Uttarakhand 248007",Nanda Ki Chowki,30.343959199999997,77.9534485,ChIJDcXo5T_VCDkR1v7tTgX1oEk,https://www.google.com/maps/place/?q=place_id:ChIJDcXo5T_VCDkR1v7tTgX1oEk,part_356,2026-09-20 21:09:37
Masala Club,Non-Veg Biryani Restaurant,North Indian restaurant,North Indian restaurant,781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O,+91 79020 11011,https://masalaclubbestrooftoprestaurant.com/,4.4,625.0,"4th floor Hotel Ganga Amrit, Jwalapur Rd, opp. Geet Banquet, Haridwar, Uttarakhand 249407",Khanna Nagar,29.9315063,78.1309374,ChIJR3eVNKRHCTkRfOIos0Q1Xro,https://www.google.com/maps/place/?q=place_id:ChIJR3eVNKRHCTkRfOIos0Q1Xro,part_356,2026-09-20 21:09:37
