business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Cars24 - Lalji Motor's | Sell Used Cars in Guwahati,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Audi dealer, BMW dealer, Car dealer, Car finance and loan company, Honda dealer, Hyundai dealer, Kia dealer, Suzuki dealer, Toyota dealer",781003,Assam Circle,N/A,Guwahati Division,"Silpukhuri S.O, Assam Tribune S.O",+91 89297 59586,https://www.cars24.com/sell-marketing/?utm_source=gmb_sell_011&utm_medium=gmb_sell_02&utm_campaign=gmb_sell_03&utm_term=gmb_sell_04,4.7,,"Lalji Motors, GARCHUK, Guwahati, Assam 781035",GARCHUK,26.1143988,91.7146269,ChIJn3a5fwBdWjcRe6Kz8jmnVdw,https://www.google.com/maps/place/?q=place_id:ChIJn3a5fwBdWjcRe6Kz8jmnVdw,part_356,2026-09-20 21:10:22
Galaxy Auto World,Car Showroom and Used Car Dealer,Car dealer,Car dealer,781003,Assam Circle,N/A,Guwahati Division,"Silpukhuri S.O, Assam Tribune S.O",+91 98591 62101,https://www.galaxyautoworld.com/,3.4,,"Borsojai, Basistha, Guwahati, Assam 781029","Borsojai, Basistha",26.111019,91.78308899999999,ChIJAaxEKIRfWjcRcTPAAExeBo4,https://www.google.com/maps/place/?q=place_id:ChIJAaxEKIRfWjcRcTPAAExeBo4,part_356,2026-09-20 21:10:22
AutoVeriq,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,781003,Assam Circle,N/A,Guwahati Division,"Silpukhuri S.O, Assam Tribune S.O",N/A,N/A,5.0,,"2nd Bylane, LKRB Path, RG Baruah Rd, Guwahati, Assam 781024",Nabin Nagar,26.1697463,91.7760658,ChIJ22XrliRZWjcR9o7wPo-RVZk,https://www.google.com/maps/place/?q=place_id:ChIJ22XrliRZWjcR9o7wPo-RVZk,part_356,2026-09-20 21:10:22
Shree Sai Auto Agency,Car Showroom and Used Car Dealer,Car dealer,Car dealer,781003,Assam Circle,N/A,Guwahati Division,"Silpukhuri S.O, Assam Tribune S.O",N/A,N/A,4.4,,"NH 27, Gotanagar, Tetelia, Guwahati, Assam 781011","Gotanagar, Tetelia",26.137890799999997,91.6741823,ChIJfXm3HgBFWjcRSZrCLecROLI,https://www.google.com/maps/place/?q=place_id:ChIJfXm3HgBFWjcRSZrCLecROLI,part_356,2026-09-20 21:10:22
AD Autozone a used car dealer,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,781003,Assam Circle,N/A,Guwahati Division,"Silpukhuri S.O, Assam Tribune S.O",+91 97067 85639,N/A,4.8,,"Near ISBT ,near Vodafone office, NH37, near Purva Tirupati Sri Balaji Temple, GARCHUK, Guwahati, Assam 781035",GARCHUK,26.1161584,91.7179969,ChIJ2w1V5XxcWjcR1n5_4AJa3f4,https://www.google.com/maps/place/?q=place_id:ChIJ2w1V5XxcWjcR1n5_4AJa3f4,part_356,2026-09-20 21:10:22
Auto Wheels,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,781003,Assam Circle,N/A,Guwahati Division,"Silpukhuri S.O, Assam Tribune S.O",+91 76359 71663,N/A,5.0,17.0,"Sawkuchi, Lokhra, Bamunpara, Guwahati, Assam 781040",Lokhra,26.1193678,91.7485413,ChIJX8-km_xbWjcRTeSuRqv3XiE,https://www.google.com/maps/place/?q=place_id:ChIJX8-km_xbWjcRTeSuRqv3XiE,part_356,2026-09-20 21:10:23
Moon Motors,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,781003,Assam Circle,N/A,Guwahati Division,"Silpukhuri S.O, Assam Tribune S.O",+91 84531 79440,http://www.moonmotors.in/,4.8,479.0,"opposit of bharat petrolpump, Dhing Rd, Nagaon, Kawaimari, Assam 782002",781003,26.358994,92.6556119,ChIJRUHzknQnRTcRAucsGLtdT-w,https://www.google.com/maps/place/?q=place_id:ChIJRUHzknQnRTcRAucsGLtdT-w,part_356,2026-09-20 21:10:23
TATA MOTORS SHOWROOM BIMAL CARS,Car Showroom and Used Car Dealer,Car dealer,Car dealer,781003,Assam Circle,N/A,Guwahati Division,"Silpukhuri S.O, Assam Tribune S.O",+91 97074 31407,https://dealer-locator.cars.tatamotors.com/tata-motors-cars-showroom-bimal-cars-basistha-chariali-car-dealer-basistha-chariali-guwahati-87182/Map,4.8,73.0,"5R46+59V, Borbari, Hengerabari, VIP Rd, Milan Nagar, Borbari, Guwahati, Assam 781036","Milan Nagar, Borbari",26.155500999999997,91.81095549999999,ChIJG36inXlZWjcRsEBtiANYnhE,https://www.google.com/maps/place/?q=place_id:ChIJG36inXlZWjcRsEBtiANYnhE,part_356,2026-09-20 21:10:23
Maa Car World,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Auto broker, Car dealer, Motor vehicle dealer",781003,Assam Circle,N/A,Guwahati Division,"Silpukhuri S.O, Assam Tribune S.O",+91 86382 03581,https://menu.mtoool.work/menu/maa-car-world,4.4,54.0,"Pulibor, Jorhat, Sensowa Gaon, Assam 785006",Pulibor,26.7381253,94.15430909999999,ChIJXYXcA-DDRjcRryu0O8fIY5I,https://www.google.com/maps/place/?q=place_id:ChIJXYXcA-DDRjcRryu0O8fIY5I,part_356,2026-09-20 21:10:24
Suhana car bazar,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Auto broker",781003,Assam Circle,N/A,Guwahati Division,"Silpukhuri S.O, Assam Tribune S.O",+91 80118 98928,N/A,4.4,76.0,"Doboka - Jamunamukh Rd, Doboka Town, Assam 782440",781003,26.1176323,92.87092059999999,ChIJrQ0T9foRRTcRU4wzkcyJWNs,https://www.google.com/maps/place/?q=place_id:ChIJrQ0T9foRRTcRU4wzkcyJWNs,part_356,2026-09-20 21:10:24
