business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ashwa automotive,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Auto Accessories Store",781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 78400 54515,N/A,4.0,254.0,"DALDA),Near S.P. Office(R), NH31 AM/K-152/09,Amingaon,Tripti Nagar, North Guwahati, Guwahati, Assam 781012",North Guwahati,26.1606111,91.671908,ChIJ0ZoxoUJFWjcR5vwwaJsrPtg,https://www.google.com/maps/place/?q=place_id:ChIJ0ZoxoUJFWjcR5vwwaJsrPtg,part_356,2026-09-20 21:15:45
Santonu Automobiles,Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 91011 45090,N/A,4.4,84.0,"Tetelia, Guwahati, Assam 781011",Tetelia,26.140119199999997,91.6749044,ChIJJbznOktbWjcROCVgG7-dhkc,https://www.google.com/maps/place/?q=place_id:ChIJJbznOktbWjcROCVgG7-dhkc,part_356,2026-09-20 21:15:45
Assam Garage,Car Repair Workshop and Garage,Garage,"Garage, Auto body shop, Auto machine shop, Auto painting, Auto tune up service, Car battery store, Car repair and maintenance service, RV repair shop",781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 60000 42023,https://assamgarage.com/,4.8,23.0,"GARCHUK, Guwahati, Assam 781035",GARCHUK,26.1167245,91.7026429,ChIJzTx0y_FdWjcRTf4Ail2NzSs,https://www.google.com/maps/place/?q=place_id:ChIJzTx0y_FdWjcRTf4Ail2NzSs,part_356,2026-09-20 21:15:45
City Maruti Works,Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 98640 74644,N/A,4.2,99.0,"Near Radisson Blu 5 Star Hotel, Gotanagar, Jalukbari, Guwahati, Assam 781011","Gotanagar, Jalukbari",26.1391882,91.6744957,ChIJsQfik7JEWjcRkovos588ZNI,https://www.google.com/maps/place/?q=place_id:ChIJsQfik7JEWjcRkovos588ZNI,part_356,2026-09-20 21:15:45
Puskar Automobiles,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Auto body shop, Auto machine shop, Auto painting, Car dealer, Car repair and maintenance service, Motor vehicle dealer, Used car dealer",781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 70990 49668,https://www.castrolautoservice.in/castrol-auto-service-puskar-automobile-vehicle-repair-garchuk-kamrup-376862/Home?utm_source=locator&utm_medium=googleplaces,4.4,120.0,"GARCHUK, Guwahati, Assam 781035",GARCHUK,26.115797,91.70739239999999,ChIJGffsJQBdWjcRt9B3TuaeelA,https://www.google.com/maps/place/?q=place_id:ChIJGffsJQBdWjcRt9B3TuaeelA,part_356,2026-09-20 21:15:45
GoMechanic - Multi Brand Service Centre,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Car repair and maintenance service, Car wash, Hyundai dealer, Isuzu dealer, Mechanic, Garage, Skoda dealer, Suzuki dealer, Toyota dealer",781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 83989 70970,https://srd1.onelink.me/7EYj/GMB,3.6,13.0,"Gotanagar, Tetelia, Guwahati, Assam 781011","Gotanagar, Tetelia",26.1377733,91.67407659999999,ChIJj39jfK1EWjcR6_Uea6P3t08,https://www.google.com/maps/place/?q=place_id:ChIJj39jfK1EWjcR6_Uea6P3t08,part_356,2026-09-20 21:15:45
Anil Motor Works,Car Repair Workshop and Garage,Chauffeur service,Chauffeur service,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 93653 76893,N/A,4.6,11.0,"Anil Choudhary, NH-37, Tetelia, Guwahati, Assam 781011",Tetelia,26.1269013,91.67985209999999,ChIJJ0yvnmpbWjcRi0lOMNmoXH0,https://www.google.com/maps/place/?q=place_id:ChIJJ0yvnmpbWjcRi0lOMNmoXH0,part_356,2026-09-20 21:15:45
Kishor Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 98644 17482,N/A,,,"near Ganesh Mandir, Paschim Boragaon, Guwahati, Assam 781011",Paschim Boragaon,26.1277285,91.6812719,ChIJP4NcY3dbWjcR54M8YmRiv7E,https://www.google.com/maps/place/?q=place_id:ChIJP4NcY3dbWjcR54M8YmRiv7E,part_356,2026-09-20 21:15:45
Sahil Body Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 60012 97769,N/A,5.0,2.0,"AHOM GAON, Guwahati, Assam 781035",AHOM GAON,26.1222969,91.7232405,ChIJVxSEJ5VdWjcRSWhBDnNtTrQ,https://www.google.com/maps/place/?q=place_id:ChIJVxSEJ5VdWjcRSWhBDnNtTrQ,part_356,2026-09-20 21:15:45
J.Motor Workshop,Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 88763 03138,N/A,3.2,6.0,"North Jalukbari Eidgah, Iddgah Field Road, 37 National Highway Near Adabari, Jalukbari, Guwahati, Assam 781014","Khanamukh, Jalukbari",26.141653299999998,91.64212309999999,ChIJDRTE1I5EWjcRc4nCS-7eZKU,https://www.google.com/maps/place/?q=place_id:ChIJDRTE1I5EWjcRc4nCS-7eZKU,part_356,2026-09-20 21:15:45
M Motor Works,Car Repair Workshop and Garage,Auto body shop,Auto body shop,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 70020 79835,N/A,4.7,3.0,"5M57+MR6, University, Jalukbari, Guwahati, Assam 781012",Jalukbari,26.159143399999998,91.6644073,ChIJoYJdBsVEWjcR8rTA0OoXuuI,https://www.google.com/maps/place/?q=place_id:ChIJoYJdBsVEWjcR8rTA0OoXuuI,part_356,2026-09-20 21:15:45
Dipankar Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 91018 01637,N/A,5.0,1.0,"Pamohi Road Gorchuk, Road, Boragaon, Pamoi, Assam 781035",Boragaon,26.108813299999998,91.707974,ChIJwzpl4shdWjcRDhaSPGAhabY,https://www.google.com/maps/place/?q=place_id:ChIJwzpl4shdWjcRDhaSPGAhabY,part_356,2026-09-20 21:15:45
Kohinoor Bike Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 88223 42655,N/A,5.0,2.0,"4MRH+8X5, Gotanagar, Nursery, Guwahati, Assam 781011","Gotanagar, Nursery",26.140764899999997,91.6799781,ChIJRxplG-BbWjcRNC8FvRukpcI,https://www.google.com/maps/place/?q=place_id:ChIJRxplG-BbWjcRNC8FvRukpcI,part_356,2026-09-20 21:15:45
Bhai bhai B-Maruti Workshop,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 96789 08954,N/A,5.0,,"5M57+HGW, Jalukbari, Guwahati, Assam 781012",Jalukbari,26.1589924,91.6638316,ChIJe_XGEQBFWjcRJjO6tUnhNrA,https://www.google.com/maps/place/?q=place_id:ChIJe_XGEQBFWjcRJjO6tUnhNrA,part_356,2026-09-20 21:15:45
GoMechanic - Car Bumper Repairing Workshop,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Car repair and maintenance service, Car wash, Ford dealer, Mechanic, Repair service, Suzuki dealer",781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 83989 70970,https://srd1.onelink.me/7EYj/GMB,3.7,,"Saben Kachari Path, Datalpara, Dhirenpara, Guwahati, Assam 781025","Datalpara, Dhirenpara",26.1311875,91.7205625,ChIJmdBJY8VbWjcR6FJAQGZf-rY,https://www.google.com/maps/place/?q=place_id:ChIJmdBJY8VbWjcR6FJAQGZf-rY,part_356,2026-09-20 21:15:45
Supar paint Automobile workshops,Car Repair Workshop and Garage,Mechanic,Mechanic,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 91017 75299,N/A,3.7,3.0,"4P55+358, Garchuk Chariali, GARCHUK, Guwahati, Assam 781035","Garchuk Chariali, GARCHUK",26.107664999999997,91.7079536,ChIJN5JIuehdWjcR9311aRcNVrE,https://www.google.com/maps/place/?q=place_id:ChIJN5JIuehdWjcR9311aRcNVrE,part_356,2026-09-20 21:15:46
City Motor Works,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 81348 44908,N/A,5.0,1.0,"Pragjyotish Nagar, Sundarbari, Jalukbari, Guwahati, Assam 781014","Pragjyotish Nagar, Sundarbari, Jalukbari",26.1524838,91.6766945,ChIJb55yYBRbWjcREwOGg1_tEoY,https://www.google.com/maps/place/?q=place_id:ChIJb55yYBRbWjcREwOGg1_tEoY,part_356,2026-09-20 21:15:46
"GoMechanic - Car Care, Dhirenpara",Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Auto bodywork mechanic, Car wash, Honda dealer, Hyundai dealer, Isuzu dealer, Mechanic, Garage, Suzuki dealer, Toyota dealer",781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 83989 70970,https://srd1.onelink.me/7EYj/GMB,5.0,2.0,"4PF9+FQW, Katahbari, Dhirenpara, Guwahati, Assam 781025","Katahbari, Dhirenpara",26.123629599999997,91.7193465,ChIJi4T8I45dWjcRFTPv5_2qZSQ,https://www.google.com/maps/place/?q=place_id:ChIJi4T8I45dWjcRFTPv5_2qZSQ,part_356,2026-09-20 21:15:46
Divine Auto - myTVS Car Workshop,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 70990 32717,http://www.mytvs.com/,5.0,,"NH127, Natun Tiniali, Telia Gaon, Sutar Gaon, Assam 782141",Natun Tiniali,26.397515499999997,92.7977794,ChIJK9rQhH7hRDcRwVNYvhjy3Nw,https://www.google.com/maps/place/?q=place_id:ChIJK9rQhH7hRDcRwVNYvhjy3Nw,part_356,2026-09-20 21:15:47
MAHINDRA Swaran Automobiles,Car Repair Workshop and Garage,Car repair and maintenance service,"Car repair and maintenance service, Car dealer",781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 95311 05401,https://swaranautomobiles.in/,4.2,,"Police Station, GS Rd, near Jorabat, Jorabat, Byrnihat, Meghalaya 781033",781011,26.1008863,91.8736572,ChIJwWhcnjX0WjcRIfF38qq0OrQ,https://www.google.com/maps/place/?q=place_id:ChIJwWhcnjX0WjcRIfF38qq0OrQ,part_356,2026-09-20 21:15:47
