business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Velavan type office,Document Writer and Stamp Vendor,Typist,Typist,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 95005 61215,N/A,5.0,,"aasirvatham complex, g n garden, 7/569, Thottathu Palayam, Nerupperichal, Tiruppur, Tamil Nadu 641602",Thottathu Palayam,11.154911799999999,77.3723511,ChIJZV1xyloHqTsRh6rmbjpoh-U,https://www.google.com/maps/place/?q=place_id:ChIJZV1xyloHqTsRh6rmbjpoh-U,part_356,2026-09-20 21:16:01
Stamp Paper vendor/notary,Document Writer and Stamp Vendor,Stamp shop,Stamp shop,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 78958 32225,N/A,4.4,,"Near Wing, near TOMAR MOBILE store, Tyagi Market, Prem Nagar, Dehradun, Shahpur Santore, Uttarakhand 248007","Tyagi Market, Prem Nagar",30.3359275,77.9641948,ChIJQ5PSAgorCTkRmtNNNNa_bW0,https://www.google.com/maps/place/?q=place_id:ChIJQ5PSAgorCTkRmtNNNNa_bW0,part_356,2026-09-20 21:16:01
R S Panwar Notary Advocate,Document Writer and Stamp Vendor,Consultant,Consultant,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 79069 93641,N/A,4.8,,"05, Rishikesh, Uttarakhand 249201",Adarsh Gram,30.110198399999998,78.2957952,ChIJlTSjsx0WCTkRAAAAsBz9PUw,https://www.google.com/maps/place/?q=place_id:ChIJlTSjsx0WCTkRAAAAsBz9PUw,part_356,2026-09-20 21:16:01
Document Writing Office - Samod MC,Document Writer and Stamp Vendor,Notary public,Notary public,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 94470 44154,N/A,3.0,,"GGW7+PFH, Nattakom, Keralam 686013",781011,9.5468142,76.5137405,ChIJ7xMdVHspBjsRlD_RLQBcQTc,https://www.google.com/maps/place/?q=place_id:ChIJ7xMdVHspBjsRlD_RLQBcQTc,part_356,2026-09-20 21:16:01
Aktar Hussain Choudhury,Document Writer and Stamp Vendor,Consultant,"Consultant, Computer consultant, Social worker, Home Stay",781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 78962 01551,N/A,5.0,,"Vill. Lakshirbond Pt. II, P.O. Lakshirbond, Hailakandi, Assam 788155",781011,24.6991937,92.5724199,ChIJmb76aokvTjcRgzUKUg9RDUw,https://www.google.com/maps/place/?q=place_id:ChIJmb76aokvTjcRgzUKUg9RDUw,part_356,2026-09-20 21:16:01
PK Type Office,Document Writer and Stamp Vendor,Typist,Typist,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 98421 77603,N/A,5.0,,"opp. Thiru Murugan Real Estate Promoters, GN Garden, Nerupperichal, Tiruppur, Tamil Nadu 641602",GN Garden,11.1564828,77.37319169999999,ChIJX7u3rdEHqTsRzLo441hfrc4,https://www.google.com/maps/place/?q=place_id:ChIJX7u3rdEHqTsRzLo441hfrc4,part_356,2026-09-20 21:16:01
E STAMP VENDOR,Document Writer and Stamp Vendor,Print shop,Print shop,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 95312 81440,N/A,2.0,,"Central Bank of India, Inside the Belsor Sub-Registrar Office Compound Landmark, near Belsor, Assam 781304",781011,26.3813909,91.3542379,ChIJVfukrDYtWjcRgS64ESK29AQ,https://www.google.com/maps/place/?q=place_id:ChIJVfukrDYtWjcRgS64ESK29AQ,part_356,2026-09-20 21:16:01
E STAMP PAPER CENTER,Document Writer and Stamp Vendor,Government office,Government office,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",N/A,N/A,4.4,,"W25H+2F7, Maz Udali, Bordoloni Pathar, Assam 782446",781011,25.9075612,93.02866139999999,ChIJ4buvWHV3RTcR8ip5WDX_xmA,https://www.google.com/maps/place/?q=place_id:ChIJ4buvWHV3RTcR8ip5WDX_xmA,part_356,2026-09-20 21:16:01
E STAMP PAPER CENTER(AUTHORISED COLLECTION CENTRE) MK DIGITAL POINT(CSC e-Governance Service India Ltd),Document Writer and Stamp Vendor,Stamp shop,Stamp shop,781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 84028 58774,N/A,4.8,,"office, JUGIJAN DEV BLOCK CAMPUS MK DIGITAL POINT Sati jaymoti road, Dist, near Hojai Circle, Hojai, Assam 782436",781011,26.0113508,92.86009879999999,ChIJ0fxadUptRTcR8hzwmDJohsU,https://www.google.com/maps/place/?q=place_id:ChIJ0fxadUptRTcR8hzwmDJohsU,part_356,2026-09-20 21:16:01
Jindal Brothers,Document Writer and Stamp Vendor,Stationery wholesaler,"Stationery wholesaler, Paper distributor",781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O",+91 361 254 3412,N/A,1.0,,"SRCB Rd, Lakhtokia, Fancy Bazaar, Guwahati, Assam 781001","Lakhtokia, Fancy Bazaar",26.180377099999998,91.7402547,ChIJiXTIPjFaWjcRjC37GV1hCJ0,https://www.google.com/maps/place/?q=place_id:ChIJiXTIPjFaWjcRjC37GV1hCJ0,part_356,2026-09-20 21:16:02
