business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NIKITA,Cafe and Coffee Shop,Coffee shop,Coffee shop,781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",+91 93945 34696,N/A,5.0,4.0,"Bhuban Nagar Path, Bullarpar, Borjhar, Guwahati, Assam 781015","Bullarpar, Borjhar",26.095380799999997,91.5918646,ChIJa8jXFZBBWjcR_M-SzpkoMCQ,https://www.google.com/maps/place/?q=place_id:ChIJa8jXFZBBWjcR_M-SzpkoMCQ,part_356,2026-09-20 21:18:04
Ono Cafe,Cafe and Coffee Shop,Cafe,Cafe,781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",+91 98622 40586,https://www.instagram.com/ono__cafe?igsh=cmxmcnVweHFiYTcx&utm_source=qr,4.7,71.0,"VIP Rd, Pathar Quarry, Guwahati, No.2 Bonda, Assam 781171",Pathar Quarry,26.1653502,91.8259544,ChIJQYA2YRVZWjcRbl0PLzh-i8M,https://www.google.com/maps/place/?q=place_id:ChIJQYA2YRVZWjcRbl0PLzh-i8M,part_356,2026-09-20 21:18:04
Starbucks - Borjhar,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Cafe, Coffee store, Restaurant, Snack bar, Vegetarian cafe and deli",781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",+91 1860 266 0010,https://stores.starbucks.in/store-pages/starbucks-guwahati-2/,4.6,150.0,"Arrivals LGB, International Airport, Unit No 27, GF, Terminal 1, Borjhar, Assam 781015",Borjhar,26.105611699999997,91.588848,ChIJ99dvYEVBWjcRNE4yG0zs3pE,https://www.google.com/maps/place/?q=place_id:ChIJ99dvYEVBWjcRNE4yG0zs3pE,part_356,2026-09-20 21:18:04
Starbucks - Mirzapur,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Cafe, Coffee store, Restaurant, Snack bar, Vegetarian cafe and deli",781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",+91 1860 266 0010,https://stores.starbucks.in/store-pages/starbucks-guwahati-4/,4.8,17.0,"Lokpriya, Gopinath Bardoloi International Airport, Unit No.22, Ground Floor, Domestic Departures SHA, SOS Rd, Borjhar, Mirzapur, Guwahati, Assam 781015",Borjhar,26.1219106,91.5991402,ChIJdfNcbb5DWjcRJxkmIuYqglQ,https://www.google.com/maps/place/?q=place_id:ChIJdfNcbb5DWjcRJxkmIuYqglQ,part_356,2026-09-20 21:18:04
AJ1881BRISTO,Cafe and Coffee Shop,Coffee shop,Coffee shop,781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",N/A,N/A,5.0,1.0,"Terminal 2, Borjhar, Mirzapur, Assam 781015",Borjhar,26.1208462,91.598699,ChIJ68jPXQBDWjcRt3wXE2687xo,https://www.google.com/maps/place/?q=place_id:ChIJ68jPXQBDWjcRt3wXE2687xo,part_356,2026-09-20 21:18:04
Cafeccino,Cafe and Coffee Shop,Coffee shop,Coffee shop,781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",N/A,N/A,4.0,3.0,"4HCX+356, Airport Exit Road, Borjhar, Guwahati, Kahikuchi, Assam 781017",Borjhar,26.120159599999997,91.5978751,ChIJuzoPSABBWjcRaCuzF46Grzc,https://www.google.com/maps/place/?q=place_id:ChIJuzoPSABBWjcRaCuzF46Grzc,part_356,2026-09-20 21:18:04
DEW a Cafe by NR,Cafe and Coffee Shop,Cafe,Cafe,781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",+91 88765 98402,N/A,4.8,30.0,"Shop No 13, Post Office Rd, SM Road, Lakhi Nagar, Sualkuchi, Assam 781103","SM Road, Lakhi Nagar",26.167798899999998,91.5675593,ChIJv_8HbJhHWjcRnP6mQ0Zbpr8,https://www.google.com/maps/place/?q=place_id:ChIJv_8HbJhHWjcRnP6mQ0Zbpr8,part_356,2026-09-20 21:18:04
COSTA COFFEE,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Coffee store",781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",N/A,https://www.costacoffee.in/,3.2,35.0,"INTERNATIONAL AIRPORT LTD, GIAL, Borjhar, Guwahati, Assam 781015","GIAL, Borjhar",26.1050135,91.5886737,ChIJPUKii3JBWjcRYkyUKzhOfpw,https://www.google.com/maps/place/?q=place_id:ChIJPUKii3JBWjcRYkyUKzhOfpw,part_356,2026-09-20 21:18:04
Shahida Resturant,Cafe and Coffee Shop,Coffee shop,Coffee shop,781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",+91 80996 13805,N/A,5.0,2.0,"Deepor Bill Road, Boragaon, Guwahati, Assam 781035",Boragaon,26.105559,91.6720435,ChIJN1gFHmpDWjcRTV1VMqia8KQ,https://www.google.com/maps/place/?q=place_id:ChIJN1gFHmpDWjcRTV1VMqia8KQ,part_356,2026-09-20 21:18:04
Cococart & Cafe Departure Check In,Cafe and Coffee Shop,Chocolate cafe,Chocolate cafe,781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",N/A,N/A,5.0,,"Departure Check In, LGBI Airport T2, Borjhar, Guwahati, Assam 781015",Borjhar,26.091713799999997,91.5857147,ChIJ_bbJSTxBWjcRQLZPevXsCuA,https://www.google.com/maps/place/?q=place_id:ChIJ_bbJSTxBWjcRQLZPevXsCuA,part_356,2026-09-20 21:18:05
