business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Thakuria’s Rehabilitation Centre,Therapy Center,Speech & Hearing Specialist,Speech & Hearing Specialist,781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",N/A,N/A,5.0,14,"post office, police station, near Azara, Azara, Guwahati, Mikir Para Chakardoi, Assam 781017",Azara,26.1152576,91.61400739999999,ChIJsz4b9dhDWjcR2yusnsFmMSU,https://www.google.com/maps/place/?q=place_id:ChIJsz4b9dhDWjcR2yusnsFmMSU,part_356,2026-09-20 21:18:21
AASWASH PHYSIOTHERAPY and REHABILITATION CENTRE,Therapy Center,Physiotherapy Center,Physiotherapy Center,781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",N/A,N/A,5.0,1,"NH17, Parli part, Mirza, Santola, Parlli Part, Assam 781125",Mirza,26.092655999999998,91.537793,ChIJy1NY3SRBWjcRgBXBoRYU_Us,https://www.google.com/maps/place/?q=place_id:ChIJy1NY3SRBWjcRgBXBoRYU_Us,part_356,2026-09-20 21:18:21
ALIVIO PHYSIOTHERAPY AND SPORTS REHAB CENTRE,Therapy Center,Physiotherapy Center,Physiotherapy Center,781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",N/A,N/A,5.0,8,"VIP Airport Rd, VIP Chowk, Borjhar, Guwahati, Assam 781015","VIP Chowk, Borjhar",26.1011313,91.59776749999999,ChIJ1ZdJjRpBWjcRmGSLtwF8mSA,https://www.google.com/maps/place/?q=place_id:ChIJ1ZdJjRpBWjcRmGSLtwF8mSA,part_356,2026-09-20 21:18:21
Rehabilitation Center a unit of Upswing Recovery Care,Therapy Center,Addiction treatment center,Addiction treatment center,781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",N/A,N/A,5.0,12,"Lachitnagar, Mirza, Santola, Maliata, Assam 781125","Lachitnagar, Mirza",26.078547699999998,91.5309463,ChIJXx3n_Y5BWjcRpermpJnaMk0,https://www.google.com/maps/place/?q=place_id:ChIJXx3n_Y5BWjcRpermpJnaMk0,part_356,2026-09-20 21:18:21
HI-TECH Paincure Physiotherapy and Rehabilitation Centre,Therapy Center,Physiotherapy Center,Physiotherapy Center,781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",N/A,N/A,5.0,2,"BPR Complex, Ghy-17, Azara Sabhaghar, Azara, Guwahati, Mikir Para Chakardoi, Assam 781017","Azara Sabhaghar, Azara",26.1199908,91.61686759999999,ChIJoeYSM0ZDWjcRf0kyVV0kf6w,https://www.google.com/maps/place/?q=place_id:ChIJoeYSM0ZDWjcRf0kyVV0kf6w,part_356,2026-09-20 21:18:21
SM Clinic of Physiotherapy & Rehabilitation,Therapy Center,Physiotherapy Center,"Physiotherapy Center, Physiotherapist, Rehabilitation center",781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",N/A,N/A,5.0,9,"Dharapur-Palashbari Rd, Dharapur, Guwahati, Assam 781017",Dharapur,26.137931,91.6245225,ChIJ1RXaMwBFWjcRRncuvnDblyE,https://www.google.com/maps/place/?q=place_id:ChIJ1RXaMwBFWjcRRncuvnDblyE,part_356,2026-09-20 21:18:21
Sambhav,Therapy Center,Occupational therapist,Occupational therapist,781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",N/A,N/A,4.9,58,"3GVP+CMW, Mirza-Palashbari Road, Borjhar, Parlli Part, Assam 781125",Borjhar,26.093620299999998,91.5367029,ChIJGYTfq0FBWjcRdC3458zvWTs,https://www.google.com/maps/place/?q=place_id:ChIJGYTfq0FBWjcRdC3458zvWTs,part_356,2026-09-20 21:18:21
Jeevan Jyoti Foundation 2,Therapy Center,Rehabilitation center,Rehabilitation center,781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",+91 86385 17108,http://jeevanjyotifoundationghy17.com/,5.0,12,"Dharapur-Palashbari Rd, Azara, Guwahati, Assam 781017",Azara,26.1380104,91.6068616,ChIJeRrKaL9FWjcRQeZDKuU0qgQ,https://www.google.com/maps/place/?q=place_id:ChIJeRrKaL9FWjcRQeZDKuU0qgQ,part_356,2026-09-20 21:18:21
PRERANA FOUNDATION,Therapy Center,Rehabilitation center,Rehabilitation center,781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",N/A,N/A,5.0,7,"Borjhar, Bongra, Jugipara, Assam 781015",Borjhar,26.082013099999998,91.5759614,ChIJA71qRiVBWjcRlhT11bvdSd8,https://www.google.com/maps/place/?q=place_id:ChIJA71qRiVBWjcRlhT11bvdSd8,part_356,2026-09-20 21:18:21
Jeevan jyoti foundation,Therapy Center,Addiction treatment center,Addiction treatment center,781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O",N/A,http://jeevanjyotifoundationkamrup.com/,5.0,2,"Mikirpara chowk, Azara, Bharalipara, dharapur, Assam 781017",Azara,26.122106499999997,91.6166358,ChIJw8RMrqZDWjcRShm0tItQujY,https://www.google.com/maps/place/?q=place_id:ChIJw8RMrqZDWjcRShm0tItQujY,part_356,2026-09-20 21:18:21
