business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,781018,Assam Circle,N/A,Guwahati Division,Binovanagar S.O,+91 95312 61708,https://bsnl.co.in/,5.0,,"JYOTIKUCHI, Pandit Deendayal Upadhyay Path, Odalbakra, AREA, Guwahati, Assam 781034","Odalbakra, AREA",26.1285614,91.742391,ChIJ0QBNF1lbWjcR3rzU8E9W7Eg,https://www.google.com/maps/place/?q=place_id:ChIJ0QBNF1lbWjcR3rzU8E9W7Eg,part_356,2026-09-20 21:20:19
RM Mobile & Computer Repairing Services,IT and Telecom Services,Computer repair service,"Computer repair service, Mobile phone repair shop",781018,Assam Circle,N/A,Guwahati Division,Binovanagar S.O,+91 70869 27035,https://www.facebook.com/ranvir.mehta.98,4.3,,"House no. 41, ABC, Bylane Number 2, Bishnupur, Tarun Nagar, Guwahati, Assam 781016","Bishnupur, Tarun Nagar",26.165656799999997,91.74041539999999,ChIJXQL5p3RZWjcR7K2sigBNdNU,https://www.google.com/maps/place/?q=place_id:ChIJXQL5p3RZWjcR7K2sigBNdNU,part_356,2026-09-20 21:20:19
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,781018,Assam Circle,N/A,Guwahati Division,Binovanagar S.O,+91 60266 24972,https://bsnl.co.in/,,,"KAMRUP PIN, 9 TH MILE, AMERIGAON, Near Hayat Hospital, JORABAT, Lal Ganesh, Guwahati, KAMRUP, Assam 781023","Near Hayat Hospital, JORABAT, Lal Ganesh",26.139499999999998,91.74692,ChIJi-kOXJ1bWjcRPNZqT8T22iE,https://www.google.com/maps/place/?q=place_id:ChIJi-kOXJ1bWjcRPNZqT8T22iE,part_356,2026-09-20 21:20:19
Hindustan Broadband | IPTV | OTT,IT and Telecom Services,Internet service provider,Internet service provider,781018,Assam Circle,N/A,Guwahati Division,Binovanagar S.O,N/A,http://www.hindustanbroadband.in/,,,"Main Road, near Netaji Path, Near Kali Mandir, Odalbakra, Lal Ganesh, Guwahati, Assam 781034","Near Kali Mandir, Odalbakra, Lal Ganesh",26.1409189,91.7438899,ChIJRcqpVvBbWjcRNdKYCAhtbxk,https://www.google.com/maps/place/?q=place_id:ChIJRcqpVvBbWjcRNdKYCAhtbxk,part_356,2026-09-20 21:20:19
Jio OLT (GWHT-0212) LUTUMA,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,781018,Assam Circle,N/A,Guwahati Division,Binovanagar S.O,+91 97063 77032,N/A,2.3,,"4PXR+4F6, Gopinath Nagar, Binowa Nagar, Kala Pahar, Guwahati, Assam 781018","Gopinath Nagar, Binowa Nagar, Kala Pahar",26.1477762,91.74113369999999,ChIJnyFBUclbWjcRCB3sYmApY7M,https://www.google.com/maps/place/?q=place_id:ChIJnyFBUclbWjcRCB3sYmApY7M,part_356,2026-09-20 21:20:19
Cell Point Solution,IT and Telecom Services,Electronics repair shop,Electronics repair shop,781018,Assam Circle,N/A,Guwahati Division,Binovanagar S.O,+91 96784 77885,N/A,4.9,,"Lal Ganesh, Guwahati, Assam 781034",Lal Ganesh,26.140931,91.74282629999999,ChIJl_YzRmBbWjcRLrMx_yhsg-U,https://www.google.com/maps/place/?q=place_id:ChIJl_YzRmBbWjcRLrMx_yhsg-U,part_356,2026-09-20 21:20:19
Om Mobile Solution,IT and Telecom Services,Electronics repair shop,Electronics repair shop,781018,Assam Circle,N/A,Guwahati Division,Binovanagar S.O,+91 70023 90467,N/A,4.8,,"Lokhra Rd, Lal Ganesh, Guwahati, Assam 781034",Lal Ganesh,26.141444399999997,91.7420123,ChIJ9zwEHO9bWjcR86smB_rCNb4,https://www.google.com/maps/place/?q=place_id:ChIJ9zwEHO9bWjcR86smB_rCNb4,part_356,2026-09-20 21:20:19
M/s Rabita Enterprise,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,781018,Assam Circle,N/A,Guwahati Division,Binovanagar S.O,+91 86380 69123,N/A,5.0,,"Danish Market, Tilla Road, opposite Kamakhya Sweet, Dhirenpara, Guwahati, Assam 781025",Dhirenpara,26.150675099999997,91.7295381,ChIJT3_5cV5bWjcRs4G8VnG-4C8,https://www.google.com/maps/place/?q=place_id:ChIJT3_5cV5bWjcRs4G8VnG-4C8,part_356,2026-09-20 21:20:19
Jyotshna Techzone,IT and Telecom Services,Computer service,"Computer service, Cell phone accessory store, Computer accessories store, Technology park, Mobile phone repair shop",781018,Assam Circle,N/A,Guwahati Division,Binovanagar S.O,+91 75768 51080,N/A,4.9,,"Joyram path, Odal Bakra Main Rd, Near Hayat Hospital, Odalbakra, Lal Ganesh, Guwahati, Assam 781034","Near Hayat Hospital, Odalbakra, Lal Ganesh",26.1403324,91.7460399,ChIJ3XoiCQBbWjcRYFl0ImgsgA0,https://www.google.com/maps/place/?q=place_id:ChIJ3XoiCQBbWjcRYFl0ImgsgA0,part_356,2026-09-20 21:20:19
Bharat Sanchar Nigam Limited,IT and Telecom Services,Telecommunications equipment supplier,"Telecommunications equipment supplier, Telephone exchange",781018,Assam Circle,N/A,Guwahati Division,Binovanagar S.O,N/A,N/A,3.9,28.0,"2nd Floor, Lokhra Rd, Bhaskar Nagar, Gopinath Nagar, Binowa Nagar, Kala Pahar, Guwahati, Assam 781018","Bhaskar Nagar, Gopinath Nagar, Binowa Nagar, Kala Pahar",26.148638199999997,91.740765,ChIJd35y3OlbWjcRkD9eRrcsmkg,https://www.google.com/maps/place/?q=place_id:ChIJd35y3OlbWjcRkD9eRrcsmkg,part_356,2026-09-20 21:20:20
