business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vedansh Solar,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Solar energy system service, Solar energy equipment supplier, Solar photovoltaic power plant",781027,Assam circle,N/A,Guwahati Division,"Amsinggaon E (S  85) B.O, Satgaon S.O",+91 83060 60800,http://vedanshinfra.com/,3.8,,"472, Katewa Nagar, Devi Nagar, Gurjar Ki Thadi, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302019","Katewa Nagar, Devi Nagar, Gurjar Ki Thadi",26.883284999999997,75.76277859999999,ChIJ____c1i0bTkRYs4QkrVn6C4,https://www.google.com/maps/place/?q=place_id:ChIJ____c1i0bTkRYs4QkrVn6C4,part_356,2026-09-20 21:25:42
shree Balaji & sons,Solar Rooftop and Inverter Dealer,Solar Energy Company,Solar Energy Company,781027,Assam circle,N/A,Guwahati Division,"Amsinggaon E (S  85) B.O, Satgaon S.O",+91 90571 33369,N/A,5.0,,"near adj. court, New Anajmandi, Nohar, Rajasthan 335523",New Anajmandi,29.190052299999998,74.7673796,ChIJDxYP1MAdFDkR1eXv5H-Z7WA,https://www.google.com/maps/place/?q=place_id:ChIJDxYP1MAdFDkR1eXv5H-Z7WA,part_356,2026-09-20 21:25:42
NAAZ SOLAR,Solar Rooftop and Inverter Dealer,Solar Energy Company,Solar Energy Company,781027,Assam circle,N/A,Guwahati Division,"Amsinggaon E (S  85) B.O, Satgaon S.O",+91 97845 37867,http://www.naazsolarjpr.com/,4.5,,"Plot No 320, Kalwar Rd, Sanjay Nagar, Suraj Nagar, Jhotwara, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302012","Sanjay Nagar, Suraj Nagar, Jhotwara",26.9474941,75.738736,ChIJr5WelAqzbTkRGE932R1LOos,https://www.google.com/maps/place/?q=place_id:ChIJr5WelAqzbTkRGE932R1LOos,part_356,2026-09-20 21:25:42
Saurvishwa Energy,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Solar energy equipment supplier",781027,Assam circle,N/A,Guwahati Division,"Amsinggaon E (S  85) B.O, Satgaon S.O",+91 94228 82780,https://saurvishwa.com/,5.0,,"4th Floor, C Wing, Unit No.37 & 38, KK Market Rd, Bibwewadi, Pune, Maharashtra 411043","KK Market, Bibwewadi",18.46961,73.86002789999999,ChIJG6Gje5rrwjsRnsie5w28oQY,https://www.google.com/maps/place/?q=place_id:ChIJG6Gje5rrwjsRnsie5w28oQY,part_356,2026-09-20 21:25:42
Efforts Enterprises,Solar Rooftop and Inverter Dealer,Corporate office,Corporate office,781027,Assam circle,N/A,Guwahati Division,"Amsinggaon E (S  85) B.O, Satgaon S.O",+91 90678 17117,http://www.effortsgroup.in/,4.9,,"Blue Chip Complex, Kala Ghoda Cir, Near Kala Ghoda, Sarod, Sayajiganj, Vadodara, Gujarat 390007","Near Kala Ghoda, Sarod, Sayajiganj",22.3078893,73.1863104,ChIJ__-_tFPPXzkRxRkQuJn5VfE,https://www.google.com/maps/place/?q=place_id:ChIJ__-_tFPPXzkRxRkQuJn5VfE,part_356,2026-09-20 21:25:42
RK Industries,Solar Rooftop and Inverter Dealer,Solar energy system service,Solar energy system service,781027,Assam circle,N/A,Guwahati Division,"Amsinggaon E (S  85) B.O, Satgaon S.O",N/A,https://rkindustriesjaipur.in/,4.5,,"Office No. 304, Trimurti Prime Tower, Address, Niwaru Rd, Ganesh Nagar Vistar, Jhotwara, Jaipur, Niwaroo, Rajasthan 302012","Ganesh Nagar Vistar, Jhotwara",26.9652966,75.7244886,ChIJCYK75ZGzbTkRAapHwJQPnwk,https://www.google.com/maps/place/?q=place_id:ChIJCYK75ZGzbTkRAapHwJQPnwk,part_356,2026-09-20 21:25:42
IYSERT ENERGY RESEARCH PRIVATE LIMITED,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,"Solar energy equipment supplier, Research and product development",781027,Assam circle,N/A,Guwahati Division,"Amsinggaon E (S  85) B.O, Satgaon S.O",+91 70145 00740,http://www.iysertenergy.com/,4.3,,"tower 31, Iysert, 32, Kalwar Rd, Jaipur, Rajasthan 302044",781027,26.962275599999998,75.6641692,ChIJv1feQQ6zbTkREiB-6r772VU,https://www.google.com/maps/place/?q=place_id:ChIJv1feQQ6zbTkREiB-6r772VU,part_356,2026-09-20 21:25:42
TATA POWER SOLAR | MANGLA SMART ENERGY SOLUTIONS PRIVATE LIMITED,Solar Rooftop and Inverter Dealer,Solar Energy Company,Solar Energy Company,781027,Assam circle,N/A,Guwahati Division,"Amsinggaon E (S  85) B.O, Satgaon S.O",+91 94883 94293,http://manglaenergy.com/,4.9,76.0,"2ND FLOOR, 178, MANGLA TOWERS, 179, Eswaran Kovil St, Perumal Kovil, Puspa Nagar, Tiruppur, Tamil Nadu 641604","Perumal Kovil, Puspa Nagar",11.102040299999999,77.3502963,ChIJ48_1na8HqTsRwA5dkuZgN9k,https://www.google.com/maps/place/?q=place_id:ChIJ48_1na8HqTsRwA5dkuZgN9k,part_356,2026-09-20 21:25:42
GreatSun Power Private Limited,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Energy supplier, Green energy supplier, Solar energy system service, Solar photovoltaic power plant",781027,Assam circle,N/A,Guwahati Division,"Amsinggaon E (S  85) B.O, Satgaon S.O",+91 96808 33915,http://www.greatsunpower.com/,4.9,37.0,"10-B, New Sanganer Rd, near Roop Basant Dhaba, near Vivek Vihar Metro Station, Roop Vihar, Shiva Colony, Govindpuri, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302019","Roop Vihar, Shiva Colony, Govindpuri",26.889603299999997,75.7712063,ChIJ____z0qybTkR6mWPQcanvvg,https://www.google.com/maps/place/?q=place_id:ChIJ____z0qybTkR6mWPQcanvvg,part_356,2026-09-20 21:25:42
Purnima Solar Services,Solar Rooftop and Inverter Dealer,Solar energy system service,"Solar energy system service, Corporate office",781027,Assam circle,N/A,Guwahati Division,"Amsinggaon E (S  85) B.O, Satgaon S.O",+91 91113 28041,https://www.instagram.com/purnima_solar_services/,5.0,1.0,"Ring Road no -1, chowk, Santoshi Nagar, Raipur, Chhattisgarh 492001",Santoshi Nagar,21.2166347,81.6415786,ChIJGTJyfADdKDoRlDGjw-jUKoU,https://www.google.com/maps/place/?q=place_id:ChIJGTJyfADdKDoRlDGjw-jUKoU,part_356,2026-09-20 21:25:44
