business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Highway City Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,3.7,,"4V8V+QFM, NH37, Patarkuchi, Tepesia, Assam 782402",Patarkuchi,26.116950199999998,91.8936828,ChIJPwuzOxn0WjcRBhD6siNADO0,https://www.google.com/maps/place/?q=place_id:ChIJPwuzOxn0WjcRBhD6siNADO0,part_357,2026-09-20 20:18:00,834
Nainital Highway Dhaba,Dhaba and Highway Restaurant,Indian restaurant,"Indian restaurant, Dhaba",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,http://www.sarkari.today/,3.8,,"near Army Camp, Bhahakajan, Dora Kahara, Assam 781101",Bhahakajan,26.2804465,91.7097265,ChIJy87YYrRRWjcRXYLiLE1unVc,https://www.google.com/maps/place/?q=place_id:ChIJy87YYrRRWjcRXYLiLE1unVc,part_357,2026-09-20 20:18:00,835
Highway 15 Dhaba and Restaurant,Dhaba and Highway Restaurant,Dhaba,Dhaba,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 73999 28138,N/A,4.1,,"Bordolguri, Dakhin Chuburi, Assam 784145",Bordolguri,26.4079429,91.9334305,ChIJsX-nwXUCWzcRkz3vg25xxaE,https://www.google.com/maps/place/?q=place_id:ChIJsX-nwXUCWzcRkz3vg25xxaE,part_357,2026-09-20 20:18:00,836
Nisha Dhaba,Dhaba and Highway Restaurant,Indian restaurant,"Indian restaurant, Dhaba, Family restaurant, Restaurant",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 70028 37696,N/A,3.8,,"NH37, P.O, GARCHUK, Guwahati, Assam 781035","P.O, GARCHUK",26.115396099999998,91.7059256,ChIJjXE0RoVcWjcRu_y-mMV-7B0,https://www.google.com/maps/place/?q=place_id:ChIJjXE0RoVcWjcRu_y-mMV-7B0,part_357,2026-09-20 20:18:00,837
Whistling Woods Dhaba,Dhaba and Highway Restaurant,Dhaba,"Dhaba, North Eastern Indian restaurant, Restaurant",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 93659 56904,N/A,3.8,,"NH 37, opp. Radisson Blu Road, Gotanagar, Tetelia, Guwahati, Assam 781011","Gotanagar, Tetelia",26.1404352,91.67584029999999,ChIJZ9N5Kk1bWjcR-bqMKacpjW0,https://www.google.com/maps/place/?q=place_id:ChIJZ9N5Kk1bWjcR-bqMKacpjW0,part_357,2026-09-20 20:18:00,838
SARDARJI DA DHABA,Dhaba and Highway Restaurant,Restaurant,Restaurant,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 80991 48744,http://sardarjidhaba.in/,3.9,,"oppo.central school, Azara, ghy, Mikir Para Chakardoi, Assam 781017",Azara,26.110902799999998,91.6133112,ChIJ4UpbeU5DWjcRaQseqAgOzPA,https://www.google.com/maps/place/?q=place_id:ChIJ4UpbeU5DWjcRaQseqAgOzPA,part_357,2026-09-20 20:18:00,839
NH37 DHABA,Dhaba and Highway Restaurant,Restaurant,"Restaurant, Dhaba",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98648 40611,N/A,4.1,,"4RCH+GR4, Khanapara, Guwahati, Khanapara, Assam 781022",Khanapara,26.118784899999998,91.8292192,ChIJH0MdstVfWjcRo44sz-0Fs10,https://www.google.com/maps/place/?q=place_id:ChIJH0MdstVfWjcRo44sz-0Fs10,part_357,2026-09-20 20:18:00,840
Dhaba restaurant,Dhaba and Highway Restaurant,Dhaba,Dhaba,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,4.3,,"4P98+6C6, Dhirenpara, Guwahati, Assam 781035",Dhirenpara,26.118041299999998,91.71601419999999,ChIJi-vRGNddWjcRDG1joycFC4g,https://www.google.com/maps/place/?q=place_id:ChIJi-vRGNddWjcRDG1joycFC4g,part_357,2026-09-20 20:18:00,841
KOLPAAT LOCAL DHABA,Dhaba and Highway Restaurant,Dhaba,Dhaba,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 93650 64400,N/A,3.7,,"SH 3, Kallapara, Assam 781131",781040,26.0598918,91.604821,ChIJKQDNLnZDWjcRCrTCXWeg_1U,https://www.google.com/maps/place/?q=place_id:ChIJKQDNLnZDWjcRCrTCXWeg_1U,part_357,2026-09-20 20:18:00,842
Hemalata Dhaba,Dhaba and Highway Restaurant,Indian restaurant,"Indian restaurant, Dhaba",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98541 52532,N/A,3.6,,"NH 27, opposite to Radisson Blu, Gotanagar, Jalukbari, Guwahati, Assam 781011","Gotanagar, Jalukbari",26.140222899999998,91.67608,ChIJk7bcgKxEWjcRbozzPrC-New,https://www.google.com/maps/place/?q=place_id:ChIJk7bcgKxEWjcRbozzPrC-New,part_357,2026-09-20 20:18:00,843
