business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Vedant Granite,Granite Dealer,Granite supplier,Granite supplier,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 86606 90966,N/A,4.1,,"AHOM GAON, Guwahati, Assam 781040",AHOM GAON,26.113570199999998,91.7284636,ChIJ_QE3AW5cWjcRq44Ih7Kpmko,https://www.google.com/maps/place/?q=place_id:ChIJ_QE3AW5cWjcRq44Ih7Kpmko,part_357,2026-09-20 20:18:17,3293
LUCKY GRANITE AND MARBLE,Granite Dealer,Granite supplier,"Granite supplier, Construction equipment supplier, Marble supplier, Stationery wholesaler, Tile store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,5.0,,"Kanaklata Path, Sundarban Nagar, Sawkuchi, Guwahati, Assam 781019","Sundarban Nagar, Sawkuchi",26.128453699999998,91.76711159999999,ChIJcwqv2Q5ZWjcRTwmDSSulTzY,https://www.google.com/maps/place/?q=place_id:ChIJcwqv2Q5ZWjcRTwmDSSulTzY,part_357,2026-09-20 20:18:17,3294
S.N.Marbal & Granite,Granite Dealer,Marble supplier,Marble supplier,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,5.0,,"NH 27, Tetelia, Guwahati, Assam 781011",Tetelia,26.1281055,91.6753794,ChIJW7Ej25NFWjcRHo59bGHrgLE,https://www.google.com/maps/place/?q=place_id:ChIJW7Ej25NFWjcRHo59bGHrgLE,part_357,2026-09-20 20:18:17,3295
Naman Marble and Granite,Granite Dealer,Granite supplier,"Granite supplier, Flooring store, Marble supplier, Tile store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98640 50001,N/A,4.5,,"National Highway, 37, AHOM GAON, Guwahati, Assam 781040","37, AHOM GAON",26.1145222,91.7273235,ChIJ76vs0nFcWjcR_ybXgVc00Dk,https://www.google.com/maps/place/?q=place_id:ChIJ76vs0nFcWjcR_ybXgVc00Dk,part_357,2026-09-20 20:18:17,3296
Laxmi marble,Granite Dealer,Granite supplier,"Granite supplier, Marble supplier",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 88766 55151,N/A,4.7,,"NH 27, opp. excel care hospital, Boragaon, Guwahati, Assam 781011",Boragaon,26.1248252,91.68165549999999,ChIJyx4cY39dWjcRvtDJ1K-hIjQ,https://www.google.com/maps/place/?q=place_id:ChIJyx4cY39dWjcRvtDJ1K-hIjQ,part_357,2026-09-20 20:18:17,3297
Shyam Marble & Granites,Granite Dealer,Marble contractor,Marble contractor,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 361 213 1509,N/A,5.0,,"Shriniwas Basudeo, Shriniwas Basudeo COomplex, GS Rd, Kaligaon, Ganeshguri, Guwahati, Assam 781005","Kaligaon, Ganeshguri",26.1522507,91.7828097,ChIJj8iCfRdZWjcRGKk_hatRQZk,https://www.google.com/maps/place/?q=place_id:ChIJj8iCfRdZWjcRGKk_hatRQZk,part_357,2026-09-20 20:18:17,3298
SBR STONEX,Granite Dealer,Granite supplier,"Granite supplier, Handicraft, Marble supplier",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 97723 16568,N/A,5.0,,"NH-37, Garchuk, Guwahati, Assam 781035",Garchuk,26.1171829,91.7021675,ChIJizQVeUFdWjcR5fWGwyWsFKU,https://www.google.com/maps/place/?q=place_id:ChIJizQVeUFdWjcR5fWGwyWsFKU,part_357,2026-09-20 20:18:17,3299
K B Stonex,Granite Dealer,Granite supplier,"Granite supplier, Marble supplier, Tile store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98298 28337,N/A,5.0,,"NH 37, Bethkuchi, near DTO Office, Guwahati, Assam 781040",AHOM GAON,26.1136205,91.7287434,ChIJw29WR6ldWjcRr2BRngsdFPs,https://www.google.com/maps/place/?q=place_id:ChIJw29WR6ldWjcRr2BRngsdFPs,part_357,2026-09-20 20:18:17,3300
Assam Granite,Granite Dealer,Granite supplier,"Granite supplier, Hardware store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 90796 07223,N/A,,,"Nh 37, Tetelia, Guwahati, Assam 781011",Tetelia,26.1273962,91.67861889999999,ChIJodqGABtbWjcRtyRgOMSveeg,https://www.google.com/maps/place/?q=place_id:ChIJodqGABtbWjcRtyRgOMSveeg,part_357,2026-09-20 20:18:17,3301
Rajdhani Marble And Granite,Granite Dealer,Granite supplier,"Granite supplier, Hardware store, Marble supplier, Tile store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 94351 43846,N/A,4.5,,"Boragaon, Guwahati, Assam 781011",Boragaon,26.124865999999997,91.68277359999999,ChIJ7wJc6uddWjcRPTnqqwQ5B2A,https://www.google.com/maps/place/?q=place_id:ChIJ7wJc6uddWjcRPTnqqwQ5B2A,part_357,2026-09-20 20:18:17,3302
Marble Emporium,Granite Dealer,Granite supplier,"Granite supplier, Marble contractor, Tile store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 94351 00645,N/A,3.4,,"Shriniwas Basudeo COomplex, GS Rd, Kaligaon, Ganeshguri, Guwahati, Assam 781005","Kaligaon, Ganeshguri",26.1520613,91.783181,ChIJSQiYfRdZWjcReSgUohb7vpM,https://www.google.com/maps/place/?q=place_id:ChIJSQiYfRdZWjcReSgUohb7vpM,part_357,2026-09-20 20:18:17,3303
Stones India,Granite Dealer,Granite supplier,"Granite supplier, Marble supplier, Importer, Tile store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98640 62080,https://www.instagram.com/stonesindiaghy?igsh=MTZhOWc2NW1jdWlmcg%3D%3D&utm_source=qr,4.5,,"4MPF+C3J Nursery Chowk, NH 37, Gotanagar, Tetelia, Guwahati, Assam 781011","Gotanagar, Tetelia",26.1350001,91.67271,ChIJM4QrUKxEWjcRSYjFR9DQixY,https://www.google.com/maps/place/?q=place_id:ChIJM4QrUKxEWjcRSYjFR9DQixY,part_357,2026-09-20 20:18:17,3304
Natural Stones,Granite Dealer,Granite supplier,"Granite supplier, Marble supplier, Tile store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,5.0,,"NH 37,Tetelia, Boragaon, Guwahati, Assam 781011",Boragaon,26.1304728,91.6746517,ChIJJ6ng1qVbWjcRUoABtHVwvyc,https://www.google.com/maps/place/?q=place_id:ChIJJ6ng1qVbWjcRUoABtHVwvyc,part_357,2026-09-20 20:18:17,3305
