business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
ELECTRO,Motor Rewinding and Pump Repair,Electrical repair shop,Electrical repair shop,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98641 72078,https://www.electroassam.com/,4.8,,"No.1, Gobat, Near NPS School, Bye Lane, Lalung Gaon Rd, Lokhra, Guwahati, Assam 781040",Lokhra,26.1176037,91.7344753,ChIJa21zNJpdWjcRYdBv1vwOWwA,https://www.google.com/maps/place/?q=place_id:ChIJa21zNJpdWjcRYdBv1vwOWwA,part_357,2026-09-20 20:18:38,6628
New Electrical Authorised Service Center,Motor Rewinding and Pump Repair,Repair service,Repair service,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 76380 35870,N/A,5.0,,"Hatigaon Road, Jogesh Das Path, Guwahati, Assam 781038",Hatigaon,26.1316249,91.7860121,ChIJ1-Yay-hZWjcRNaNfNcRhYfI,https://www.google.com/maps/place/?q=place_id:ChIJ1-Yay-hZWjcRNaNfNcRhYfI,part_357,2026-09-20 20:18:38,6629
S.S.Motor Works,Motor Rewinding and Pump Repair,Auto repair shop,Auto repair shop,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 361 251 3019,N/A,4.0,,"5PGW+X9M, Chatribari Rd, Near Sandhan Gas, Chatribari, Guwahati, Assam 781008",Chatribari,26.1774716,91.74592559999999,ChIJXyoIxi1aWjcRjNgoW-Ka1PQ,https://www.google.com/maps/place/?q=place_id:ChIJXyoIxi1aWjcRjNgoW-Ka1PQ,part_357,2026-09-20 20:18:38,6630
Jupiter Diesel Services,Motor Rewinding and Pump Repair,Electric generator shop,"Electric generator shop, Earth works company",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98641 69666,http://jupiterds.in/,,,"Lokhra Rd, opp. Buhdbar Bazar, Sawkuchi, Guwahati, Assam 781040",Sawkuchi,26.1236805,91.7486672,ChIJX9ocpdpdWjcRLcSXdc02qSA,https://www.google.com/maps/place/?q=place_id:ChIJX9ocpdpdWjcRLcSXdc02qSA,part_357,2026-09-20 20:18:38,6631
Tirupati Winding Solutions,Motor Rewinding and Pump Repair,Electric motor store,"Electric motor store, Electrical supply store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 60006 08619,N/A,3.8,,"Amulya Bhawan, GMC Hostel Rd, opp. Dispur College Road, Kachari Basti, Ganeshguri, Guwahati, Assam 781006","Kachari Basti, Ganeshguri",26.1491905,91.7844911,ChIJa89_AG9ZWjcRye_0D0s5vKs,https://www.google.com/maps/place/?q=place_id:ChIJa89_AG9ZWjcRye_0D0s5vKs,part_357,2026-09-20 20:18:38,6632
"Gurunanak Electric Works ( Motor Rewinding, VFD Repairing )",Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 70373 39232,N/A,5.0,2.0,"Madhu Nagar, Agra, Uttar Pradesh 282001",Madhu Nagar,27.1384124,78.0038005,ChIJ2Z51jVRxdDkR8BrsPhPwFq4,https://www.google.com/maps/place/?q=place_id:ChIJ2Z51jVRxdDkR8BrsPhPwFq4,part_357,2026-09-20 20:18:38,6633
Magnet House,Motor Rewinding and Pump Repair,Water Pump Supplier,Water Pump Supplier,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98640 40933,https://www.facebook.com/profile.php?id=100094762038584&mibextid=ZbWKwL,4.3,36.0,"Manipuri Basti, Bus Stop, GS Rd, Paltan Bazaar, Guwahati, Assam 781008",Paltan Bazaar,26.177666199999997,91.753689,ChIJfaRBp4BZWjcRzHplTksqXv8,https://www.google.com/maps/place/?q=place_id:ChIJfaRBp4BZWjcRzHplTksqXv8,part_357,2026-09-20 20:18:38,6634
TIRUPATI REPAIRING CENTRE,Motor Rewinding and Pump Repair,Machine repair service,Machine repair service,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98640 45734,N/A,4.8,5.0,"Boragaon, Guwahati, Assam 781035",Boragaon,26.1155413,91.7079791,ChIJp9bKTE5dWjcRp-qVtycT3wk,https://www.google.com/maps/place/?q=place_id:ChIJp9bKTE5dWjcRp-qVtycT3wk,part_357,2026-09-20 20:18:39,6635
S.K Electrical Works JK Power Tools Authorised Service Center,Motor Rewinding and Pump Repair,Electric motor repair shop,"Electric motor repair shop, Electrical supply store, Electrician, Machine repair service, Machine workshop, Repair service, Tools Wholesaler, Welding supply store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 94351 87944,N/A,4.4,9.0,"Panchali, Athgaon, Guwahati, Assam 781009",Athgaon,26.1713123,91.73640429999999,ChIJNzUtFTVbWjcRti8mHujnAPU,https://www.google.com/maps/place/?q=place_id:ChIJNzUtFTVbWjcRti8mHujnAPU,part_357,2026-09-20 20:18:39,6636
FRIENDS ELECTRIC,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,3.0,2.0,"4PCP+GM2, Dhopolia Karbi Path, Jyotikuchi, Guwahati, Assam 781040",Jyotikuchi,26.121264999999998,91.7366454,ChIJma0CHgBdWjcRU-n6sxswfG8,https://www.google.com/maps/place/?q=place_id:ChIJma0CHgBdWjcRU-n6sxswfG8,part_357,2026-09-20 20:18:39,6637
Maa manju electrical works,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 84738 80636,N/A,4.0,1.0,"kalibari, Amingaon, Guwahati, Assam 781031","kalibari, Amingaon",26.185987299999997,91.6672361,ChIJYRNVa5RFWjcRobm-JxeaCTg,https://www.google.com/maps/place/?q=place_id:ChIJYRNVa5RFWjcRobm-JxeaCTg,part_357,2026-09-20 20:18:39,6638
Re-Winding House,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,,,"Odal Bakra Main Rd, Odalbakra, Lal Ganesh, Guwahati, Assam 781034","Odalbakra, Lal Ganesh",26.140839699999997,91.744721,ChIJc_oxheVbWjcRzd6oDQYOYhY,https://www.google.com/maps/place/?q=place_id:ChIJc_oxheVbWjcRzd6oDQYOYhY,part_357,2026-09-20 20:18:39,6639
