business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Asian Paints Colourideas - Vikash Agencies Entrade,Paint and Putty Dealer,Paint store,"Paint store, Construction Material Wholesaler, Interior Decorator, Painter, Stucco contractor, Wallpaper installer, Wallpaper store, Waterproofing service",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 8071 499 573,https://colourideas-dealers-nearme.asianpaints.com/asian-paints-colourideas-vikash-agencies-entrade-paint-shop-bhangagarh-guwahati-119052/Home?utm_source=locator&utm_medium=googleplaces,4.9,,"GS Rd, Bhangagarh, Guwahati, Assam 781005",Bhangagarh,26.166352099999997,91.7675017,ChIJ926ewM9ZWjcRsZ3jbxrhHt0,https://www.google.com/maps/place/?q=place_id:ChIJ926ewM9ZWjcRsZ3jbxrhHt0,part_357,2026-09-20 20:18:16,3255
BirlaNu Putty Distributor - Tridev Complete Home Solutions LLP,Paint and Putty Dealer,Paint store,Paint store,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 84718 83267,https://birlanu.com/,,,"Hockey Stadium Rd, Nalapara, Dakshingaon, Guwahati, Assam 781040","Nalapara, Dakshingaon",26.120704399999997,91.75426739999999,ChIJ_4l5-11fWjcRtRcaEWW8A4k,https://www.google.com/maps/place/?q=place_id:ChIJ_4l5-11fWjcRtRcaEWW8A4k,part_357,2026-09-20 20:18:16,3256
𝗥𝗮𝘃𝗶 𝗨𝗱𝘆𝗼𝗴,Paint and Putty Dealer,Paint store,Paint store,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 60009 02053,https://www.instagram.com/ravi_udyog?igsh=MXdiMmQ0bjh2MHRobg==,4.5,,"Jail Road, Fancy Bazaar, Guwahati, Assam 781001",Fancy Bazaar,26.1786127,91.736232,ChIJjeMj2DVaWjcR0kFthWzRSFI,https://www.google.com/maps/place/?q=place_id:ChIJjeMj2DVaWjcR0kFthWzRSFI,part_357,2026-09-20 20:18:16,3257
Gurucharan Traders,Paint and Putty Dealer,Paint store,Paint store,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98641 12269,N/A,3.9,,"5M5M+8P8, Assam Trunk Rd, Adabari Tiniali, Adabari, Guwahati, Assam 781014","Adabari Tiniali, Adabari",26.158287899999998,91.6843428,ChIJOyrs8DBbWjcR5yfpHVW763A,https://www.google.com/maps/place/?q=place_id:ChIJOyrs8DBbWjcR5yfpHVW763A,part_357,2026-09-20 20:18:16,3258
NILIMAR PAINTS,Paint and Putty Dealer,Paint store,Paint store,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 94355 40230,N/A,4.8,,"Lokhra Rd, Lal Ganesh, Guwahati, Assam 781034",Lal Ganesh,26.1407727,91.7412808,ChIJWbx0--5bWjcR6ULRMcQiAdA,https://www.google.com/maps/place/?q=place_id:ChIJWbx0--5bWjcR6ULRMcQiAdA,part_357,2026-09-20 20:18:16,3259
Home Gallery paints and hardware,Paint and Putty Dealer,Hardware store,"Hardware store, Plumber, Water Filter Supplier",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 86387 65569,N/A,4.9,,"GMC Hospital Rd, opposite Punjab National bank, Naamghar, Birubari, Guwahati, Assam 781016","Naamghar, Birubari",26.1588934,91.7526007,ChIJyRKO1ZZbWjcRjqb0dVz6vTY,https://www.google.com/maps/place/?q=place_id:ChIJyRKO1ZZbWjcRjqb0dVz6vTY,part_357,2026-09-20 20:18:16,3260
Supreme Agencies,Paint and Putty Dealer,Paint store,Paint store,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 94015 63858,https://www.supremeagencies.com/,4.2,,"P.B. Complex, Assam Trunk Rd, Opp. Rupashree Cinema, Tokobari Satra, Guwahati, Assam 781001",Tokobari Satra,26.17804,91.742798,ChIJ1zClIzJaWjcRJtOs0GoeWdc,https://www.google.com/maps/place/?q=place_id:ChIJ1zClIzJaWjcRJtOs0GoeWdc,part_357,2026-09-20 20:18:16,3261
G.M. Traders,Paint and Putty Dealer,Paint store,"Paint store, Building materials supplier, Construction Material Wholesaler, Furniture accessories supplier, Home improvement store, Interior designer, Kitchen furniture store, Locks Supplier, Hardware store, Wholesaler",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 361 358 9919,http://www.gmtraders.co.in/,4.5,,"Ganpati Plaza, AA 3, SRCB Rd, Fancy Bazaar, Guwahati, Assam 781001",Fancy Bazaar,26.182209999999998,91.737944,ChIJ7-r4GDdaWjcRAt_RijxQMDo,https://www.google.com/maps/place/?q=place_id:ChIJ7-r4GDdaWjcRAt_RijxQMDo,part_357,2026-09-20 20:18:16,3262
Nerolac Dealer - Nilachal Enterprises,Paint and Putty Dealer,Paint store,Paint store,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 94359 21571,https://www.nerolac.com/store-locator/assam/guwahati/nilachal-enterprises?utm_source=google_maps&utm_medium=organic,5.0,,"3, Milan Nagar, Guwahati, Assam 781038",Milan Nagar,26.1214779,91.7754587,ChIJbRsUsQBfWjcRnzVjWqEF77c,https://www.google.com/maps/place/?q=place_id:ChIJbRsUsQBfWjcRnzVjWqEF77c,part_357,2026-09-20 20:18:16,3263
Ananta Trade Center,Paint and Putty Dealer,Paint store,Paint store,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 70029 28106,N/A,4.2,,"Christian Basti, Ganeshguri, Guwahati, Assam 781005",Ganeshguri,26.1547025,91.78015529999999,ChIJb0VIY8NZWjcRXZ788F0CO6M,https://www.google.com/maps/place/?q=place_id:ChIJb0VIY8NZWjcRXZ788F0CO6M,part_357,2026-09-20 20:18:16,3264
M R ENTERPRISE,Paint and Putty Dealer,Paint store,Paint store,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,5.0,,"Kumarpara,Panchali, FA Rd, Athgaon, Guwahati, Assam 781001",Athgaon,26.1721883,91.7363204,ChIJfXNijihbWjcRGNsrglJwj0Q,https://www.google.com/maps/place/?q=place_id:ChIJfXNijihbWjcRGNsrglJwj0Q,part_357,2026-09-20 20:18:16,3265
Swastik Enterprise,Paint and Putty Dealer,Paint store,"Paint store, Bathroom supply store, Hardware store, Interior Decorator, Interior designer, Pipes Wholesaler, Plywood supplier, Rainwater tank supplier, Tile contractor",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 70022 33089,N/A,4.9,,"Bhetapar chariali,milan nagar path, swastik enterprise, Hatigaon Bhetapara Road, Milan Nagar Path, opp. Guwahati, Guwahati, Assam 781038","Sijubari, Hatigaon",26.1216615,91.786953,ChIJx-KubjhfWjcRDvQA1SbgDus,https://www.google.com/maps/place/?q=place_id:ChIJx-KubjhfWjcRDvQA1SbgDus,part_357,2026-09-20 20:18:16,3266
Amrita Bhandar,Paint and Putty Dealer,Paint store,"Paint store, Chemical wholesaler, Hardware store, Tool store, Waterproofing service",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 1800 1022,N/A,4.3,,"MS Rd, near Gol Building, Athgaon, Guwahati, Assam 781001",Athgaon,26.176515,91.740212,ChIJqytKlzNaWjcRQwB3ymFyc74,https://www.google.com/maps/place/?q=place_id:ChIJqytKlzNaWjcRQwB3ymFyc74,part_357,2026-09-20 20:18:16,3267
Nerolac Dealer - Wardhman Enterprises,Paint and Putty Dealer,Paint store,Paint store,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98640 66826,https://www.nerolac.com/store-locator/assam/guwahati/wardhman-enterprises?utm_source=google_maps&utm_medium=organic,,,"6, Panchali, Guwahati, Assam 781009",Panchali,26.172281599999998,91.73616559999999,ChIJN-jpoHtbWjcRNy9ExaMKRIk,https://www.google.com/maps/place/?q=place_id:ChIJN-jpoHtbWjcRNy9ExaMKRIk,part_357,2026-09-20 20:18:16,3268
BEMCO PAINTS & CHEMICALS INDIA,Paint and Putty Dealer,Paint store,"Paint store, Hardware store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98642 02033,N/A,5.0,,"AK Azad Rd, Opposite Old ITI (VRC), Rehabari, Guwahati, Assam 781008",Rehabari,26.1728374,91.7490503,ChIJd9W6VStaWjcRvOB-4vh_Sc4,https://www.google.com/maps/place/?q=place_id:ChIJd9W6VStaWjcRvOB-4vh_Sc4,part_357,2026-09-20 20:18:16,3269
Mohabahu Traders,Paint and Putty Dealer,Paint store,"Paint store, Hardware store, Pipe supplier",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 78961 18464,N/A,5.0,,"Kalyani Nagar, Kahilipara, Guwahati, Assam 781019","Kalyani Nagar, Kahilipara",26.1388452,91.76809109999999,ChIJSQrtfK1ZWjcR-3daRQaks8U,https://www.google.com/maps/place/?q=place_id:ChIJSQrtfK1ZWjcR-3daRQaks8U,part_357,2026-09-20 20:18:16,3270
R K Enterprise,Paint and Putty Dealer,Paint store,Paint store,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 76700 95095,N/A,4.7,,"Near CANARA BANK - HATIGAON-II, Sijubari, Bhetapara, Guwahati, Assam 781038","Sijubari, Bhetapara",26.1219155,91.7869606,ChIJ09IQntNeWjcRvpxPkQz73RI,https://www.google.com/maps/place/?q=place_id:ChIJ09IQntNeWjcRvpxPkQz73RI,part_357,2026-09-20 20:18:16,3271
D CREATIVE INTERIORS,Paint and Putty Dealer,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,https://dcreativeinterio.in/,4.9,,"Dakhingaon - Sawkuchi Rd, Dakshingaon, Guwahati, Assam 781034",Dakshingaon,26.1269702,91.7612547,ChIJn58uSbFZWjcRfZdDVlI953c,https://www.google.com/maps/place/?q=place_id:ChIJn58uSbFZWjcRfZdDVlI953c,part_357,2026-09-20 20:18:16,3272
Deka Enterprise & Hardware,Paint and Putty Dealer,Hardware store,"Hardware store, Building materials store, Cement Supplier, Paint stripping service, Pipe supplier, Roofing supply store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 95776 00211,N/A,4.8,,"durga mandir, Salbari Road, near Bapuji nagar, Bapuji Nagar, Noonmati, Guwahati, Assam 781020","Bapuji Nagar, Noonmati",26.1913959,91.8048093,ChIJh6QrVWpZWjcRU8wbpsCvi4g,https://www.google.com/maps/place/?q=place_id:ChIJh6QrVWpZWjcRU8wbpsCvi4g,part_357,2026-09-20 20:18:16,3273
