business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Amaze Realtors,Real Estate Agents,Commercial real estate agency,"Commercial real estate agency, Condominium complex, Consultant, Industrial real estate agency, Office space rental agency, Real estate agent, Retail space rental agency, Warehouse",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 84860 00010,http://www.amazerealtors.com/,4.6,129.0,"3rd Floor, ArunPrakash Mansion, HUB Complex, GS Rd, Bhangagarh, Guwahati, Assam 781005",Bhangagarh,26.1671712,91.767026,ChIJX0QeLnhZWjcRKDFyt5dTUd8,https://www.google.com/maps/place/?q=place_id:ChIJX0QeLnhZWjcRKDFyt5dTUd8,part_357,2026-09-20 20:18:36,6343
Mahabir Properties - Real Estate Agent | Property Dealer | Warehouse Agent in Guwahati,Real Estate Agents,Real estate consultant,"Real estate consultant, Industrial real estate agency, Warehouse",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,4.8,79.0,"Tara Hira Complex, 3C, opposite Kalicharan Nursing Home, Sankarpur, Kala Pahar, Guwahati, Assam 781016","Sankarpur, Kala Pahar",26.162562299999998,91.74577509999999,ChIJW0UN2mdbWjcRJUVSRtPeYxw,https://www.google.com/maps/place/?q=place_id:ChIJW0UN2mdbWjcRJUVSRtPeYxw,part_357,2026-09-20 20:18:36,6344
Dream City Realtors,Real Estate Agents,Industrial real estate agency,Industrial real estate agency,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 87240 40665,http://www.dreamcity.pro/,5.0,1.0,"House no 4, Betkuchi, Noonmati, Haricharan Das Path, Milijuli Path, opp. of UCO Bank, Guwahati, Assam 781040",Lokhra,26.117879199999997,91.7501929,ChIJ8duCCdVdWjcRqwXkzl8KxCo,https://www.google.com/maps/place/?q=place_id:ChIJ8duCCdVdWjcRqwXkzl8KxCo,part_357,2026-09-20 20:18:36,6345
Griha Pratistha Realtor,Real Estate Agents,Industrial real estate agency,"Industrial real estate agency, Retail space rental agency",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 70020 96038,N/A,5.0,9.0,"Stadium, 3, Gorolia Namghar path, near Sausajai, Nalapara, Sawkuchi, Guwahati, Assam 781040","Nalapara, Sawkuchi",26.112721699999998,91.7595927,ChIJ0WyUQdNfWjcRkpeRsv91ReQ,https://www.google.com/maps/place/?q=place_id:ChIJ0WyUQdNfWjcRkpeRsv91ReQ,part_357,2026-09-20 20:18:36,6346
Flat Dekho,Real Estate Agents,Business to business service,Business to business service,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 86380 35503,N/A,4.8,50.0,"Protech tulip , park block 2nd floor , flat no p2h Beharbari near hockey stadium Khonghoti, path, Guwahati, Assam 781040","Beharbari, Lalmati",26.114962499999997,91.7706194,ChIJJThrioxfWjcRdTfpepnUK1Y,https://www.google.com/maps/place/?q=place_id:ChIJJThrioxfWjcRdTfpepnUK1Y,part_357,2026-09-20 20:18:36,6347
Max Realtors,Real Estate Agents,Real estate consultant,Real estate consultant,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98640 90109,https://maxrealtors.net/,4.9,17.0,"House No.34, Aashirwad Bhawan, Dr RP Rd, Dispur, Basisthpur, Guwahati, Assam 781038","Dispur, Basisthpur",26.139215,91.7885317,ChIJzen9s1hZWjcRpZ5Mzek4Xls,https://www.google.com/maps/place/?q=place_id:ChIJzen9s1hZWjcRpZ5Mzek4Xls,part_357,2026-09-20 20:18:36,6348
M.K Realtors,Real Estate Agents,Condominium complex,Condominium complex,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,4.0,4.0,"4Q59+FW9, Beharbari, Lalmati, Guwahati, Assam 781029","Beharbari, Lalmati",26.1086501,91.769869,ChIJ0fE9agBfWjcRfholTwBf7Zk,https://www.google.com/maps/place/?q=place_id:ChIJ0fE9agBfWjcRfholTwBf7Zk,part_357,2026-09-20 20:18:36,6349
DM Residency,Real Estate Agents,Condominium rental agency,Condominium rental agency,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,4.3,3.0,"4P4G+XQ8, AHOM GAON, Guwahati, Assam 781040",AHOM GAON,26.1074049,91.72694059999999,ChIJ0aQhNgBdWjcRGeO9RHrFkCU,https://www.google.com/maps/place/?q=place_id:ChIJ0aQhNgBdWjcRGeO9RHrFkCU,part_357,2026-09-20 20:18:36,6350
Dream House Tolet Service,Real Estate Agents,Real estate rental agency,"Real estate rental agency, Real estate consultant",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,4.7,16.0,"Hatigaon, Guwahati, Assam 781038",Hatigaon,26.1298325,91.7807382,ChIJ-WJrumBZWjcRefzCxp-z1cs,https://www.google.com/maps/place/?q=place_id:ChIJ-WJrumBZWjcRefzCxp-z1cs,part_357,2026-09-20 20:18:36,6351
AJI Real Estate Pvt. Ltd,Real Estate Agents,Real estate agency,Real estate agency,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 69012 81861,http://www.ajirealestate.in/,4.7,30.0,"1st floor, GNB Rd, Chandmari Colony, Krishna Nagar, Chandmari, Guwahati, Assam 781003","Chandmari Colony, Krishna Nagar, Chandmari",26.183829799999998,91.770669,ChIJ86RaDR9ZWjcRLBk4wEOkFxg,https://www.google.com/maps/place/?q=place_id:ChIJ86RaDR9ZWjcRLBk4wEOkFxg,part_357,2026-09-20 20:18:36,6352
RateperSQFT.com {Property Solutions Re-Defined},Real Estate Agents,Real estate consultant,Real estate consultant,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 88225 55555,https://www.ratepersqft.com/,4.8,125.0,"2nd Floor, Aastha Tower, CK Rd, Near Hari Sabha, Pan Bazaar, Guwahati, Assam 781001","Near Hari Sabha, Pan Bazaar",26.1846472,91.7437236,ChIJSdpN8PdbWjcRrsSeaYvb6NM,https://www.google.com/maps/place/?q=place_id:ChIJSdpN8PdbWjcRrsSeaYvb6NM,part_357,2026-09-20 20:18:36,6353
Vasundhara Realtors,Real Estate Agents,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98540 90002,http://www.vasundhararealtors.com/,4.3,48.0,"2nd Floor, Satyapoona Archade, 02, Dr B Baruah Rd, opposite Hotel Landmark, Opp. Landmark Hotel, Ulubari, Guwahati, Assam 781007","Opp. Landmark Hotel, Ulubari",26.1800419,91.75633739999999,ChIJ3QQh0IFZWjcRdInJk1UQlfQ,https://www.google.com/maps/place/?q=place_id:ChIJ3QQh0IFZWjcRdInJk1UQlfQ,part_357,2026-09-20 20:18:36,6354
