business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Wincraft Events & Media Pvt Ltd,Media and Event,Event management company,"Event management company, Event planner",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 88223 84047,N/A,4.6,15.0,"Haricharan Das Path, opposite UCO Bank, Lokhra, Guwahati, Assam 781040",Lokhra,26.117445399999998,91.7507086,ChIJnfBRkQNcWjcRg0luE9I5WRU,https://www.google.com/maps/place/?q=place_id:ChIJnfBRkQNcWjcRg0luE9I5WRU,part_357,2026-09-20 20:18:27
Mantraa Media and Events,Media and Event,Event management company,"Event management company, Public relations firm, Wedding planner",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 99547 93456,https://www.mantraamedia.com/,4.3,31.0,"HN 12, Zoo Rd, Narikalbari, Guwahati, Assam 781024",Narikalbari,26.1699684,91.7879675,ChIJ-c4ImhJZWjcRln4k10_9on0,https://www.google.com/maps/place/?q=place_id:ChIJ-c4ImhJZWjcRln4k10_9on0,part_357,2026-09-20 20:18:27
Zangfai Events and Promotions,Media and Event,Event management company,"Event management company, Advertising agency, Event technology service, Marketing agency",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98644 20968,N/A,4.7,13.0,"Shop No.1,Anandanagar, Lokhra Rd, AdaGudam, Lal Ganesh, Guwahati, Assam 781034","AdaGudam, Lal Ganesh",26.1380299,91.7389594,ChIJJ_wbcA1bWjcRPZx4P47IE4I,https://www.google.com/maps/place/?q=place_id:ChIJJ_wbcA1bWjcRPZx4P47IE4I,part_357,2026-09-20 20:18:27
Nexster Studios,Media and Event,Media company,"Media company, Event management company, Film Production Company, Video production service, Movie studio, Music producer",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 60039 03844,https://www.nexsterstudios.com/,4.6,48.0,"Jyotikuchi, Guwahati, Assam 781040",Jyotikuchi,26.1314352,91.7318195,ChIJ60o11kZbWjcRaSbXt2nPalY,https://www.google.com/maps/place/?q=place_id:ChIJ60o11kZbWjcRaSbXt2nPalY,part_357,2026-09-20 20:18:27
HMBL Entertainment,Media and Event,Video production service,"Video production service, Event management company, Event planner, Event technology service, Film Production Company, Movie studio, Stage lighting equipment supplier, Video editing service, Entertainment agency",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 76570 21140,https://hmbl.in/,5.0,10.0,"Level 1, Saikia Building, under Ganeshguri Flyover near Union Bank of India GS Road Branch, Dispur, Ganeshguri, Guwahati, Assam 781006","GMC Ward Number 44, Dispur, Ganeshguri",26.1499089,91.7851903,ChIJ--DVSxpZWjcRsBIpOPt2FAY,https://www.google.com/maps/place/?q=place_id:ChIJ--DVSxpZWjcRsBIpOPt2FAY,part_357,2026-09-20 20:18:27
JARA CREATIONS,Media and Event,Event management company,Event management company,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 70864 36622,N/A,5.0,5.0,"44, LAST GATE, Basisthpur, Guwahati, Assam 781006",Basisthpur,26.137535099999997,91.7887341,ChIJa-9iwVxZWjcRN8wcyPLFjQQ,https://www.google.com/maps/place/?q=place_id:ChIJa-9iwVxZWjcRN8wcyPLFjQQ,part_357,2026-09-20 20:18:27
Veniu solutions Pvt. Ltd.,Media and Event,Marketing agency,"Marketing agency, Advertising agency, Service establishment, Event management company, Event planner, Graphic designer, Photographer, Photography service, Video conferencing equipment supplier, Video Conferencing Service Provider",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 86384 27817,http://veniu.in/,4.7,21.0,"Veniu solutions Pvt. Ltd., 781040, India",781040,26.1430486,91.70288289999999,ChIJlZRR9DRfWjcRUDaU9E7Rsmo,https://www.google.com/maps/place/?q=place_id:ChIJlZRR9DRfWjcRUDaU9E7Rsmo,part_357,2026-09-20 20:18:27
Umang Communications,Media and Event,Event management company,"Event management company, Advertising agency, Branding agency, Corporate gift supplier, Digital printing service, Sign shop, Exhibition planner, Neon sign shop, Print shop, Trophy shop",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98640 81643,http://www.umangcommunications.com/,4.6,89.0,"Bye Ln, near Hanuman Mandir, opposite Ram Nagar Lane, Barsapara, Guwahati, Assam 781034",Barsapara,26.1347217,91.7368764,ChIJl6YaWMtbWjcRBXnzK3ioKaA,https://www.google.com/maps/place/?q=place_id:ChIJl6YaWMtbWjcRBXnzK3ioKaA,part_357,2026-09-20 20:18:27
NK SIGN,Media and Event,Display stand manufacturer,"Display stand manufacturer, Advertising agency, Display home center, Manufacturer, Outdoor movie theater, Screen repair service, Screen store, Shower door shop, Sign shop, Wholesaler",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 69011 34776,https://www.nksign.in/,5.0,11.0,"Ground Floor, Shop, No.2, AK Dev Road, Kotahbari JB Plaza, opposite Shine Motors, Guwahati, Assam 781035","Katahbari, Dhirenpara",26.1236626,91.71921859999999,ChIJ_4lYiHJdWjcREKZUYlZ_WXA,https://www.google.com/maps/place/?q=place_id:ChIJ_4lYiHJdWjcREKZUYlZ_WXA,part_357,2026-09-20 20:18:27
Umang Communications Pvt. Ltd Unit-II,Media and Event,Event management company,"Event management company, Advertising agency, Branding agency, Corporate gift supplier, Digital printing service, Manufacturer, Metal fabricator, Print shop, Sign shop, Steel fabricator",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98640 81643,http://umangcommunications.com/,4.5,13.0,"Kalapahar Mini Industrial Estate, Bishnupur Main Rd, near Kali Mandir, Sankarpur, Birubari, Guwahati, Assam 781016","Sankarpur, Birubari",26.162138799999997,91.7423994,ChIJS5MyEwBbWjcReK6fzime5ZA,https://www.google.com/maps/place/?q=place_id:ChIJS5MyEwBbWjcReK6fzime5ZA,part_357,2026-09-20 20:18:27
