business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maa Plumbing,Plumber,Plumber,"Plumber, Service establishment",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 69003 15757,https://maaplumbing.online/,4.8,,"Maa Plumbing, 781040, India",781040,26.1430486,91.70288289999999,ChIJfZ7NC-wQFU4RTps7Sxi5lNA,https://www.google.com/maps/place/?q=place_id:ChIJfZ7NC-wQFU4RTps7Sxi5lNA,part_357,2026-09-20 20:18:18
Assam Plumbing Services,Plumber,Plumber,Plumber,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 60006 35918,http://assamplumbingservices.com/,4.9,,"near Manakha Mandir, AHOM GAON, Guwahati, Assam 781040",AHOM GAON,26.105343299999998,91.72892209999999,ChIJIUPMnUJdWjcRvIU7RXgZ3y0,https://www.google.com/maps/place/?q=place_id:ChIJIUPMnUJdWjcRvIU7RXgZ3y0,part_357,2026-09-20 20:18:18
Guwahati Plumbing and Borewel Service,Plumber,Plumber,Plumber,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 70023 61904,N/A,4.6,,"Near, Hockey Stadium Rd, Sarusajai, Guwahati, Assam 781040",Sarusajai,26.1173643,91.7670144,ChIJG5QA-yZfWjcR6JS_2Skzcng,https://www.google.com/maps/place/?q=place_id:ChIJG5QA-yZfWjcR6JS_2Skzcng,part_357,2026-09-20 20:18:18
Riyaz Plumber,Plumber,Plumber,Plumber,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 75789 19053,N/A,4.5,,"School, near Lokhra Road, Lokhra, Guwahati, Assam 781040",Lokhra,26.113723,91.74915299999999,ChIJf48e5WldWjcR9aQVTYvLAvA,https://www.google.com/maps/place/?q=place_id:ChIJf48e5WldWjcR9aQVTYvLAvA,part_357,2026-09-20 20:18:18
SS Plumber And Borewell service in Guwahati,Plumber,Plumber,Plumber,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 60020 05929,N/A,5.0,,"Sixmile, Overbridge, opp. Airtel office Sixmile, Khanapara, Guwahati, Assam 781022",Khanapara,26.1311273,91.80769079999999,ChIJFdBGH_pZWjcR03crs3F2v2E,https://www.google.com/maps/place/?q=place_id:ChIJFdBGH_pZWjcR03crs3F2v2E,part_357,2026-09-20 20:18:18
Sd Plumber and Borwell Service,Plumber,Plumber,Plumber,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,5.0,,"01 sadam House, Banphul Path, near jatiya vidyalaya, Sundarban Nagar, DakhinGaon, Kahilipara, Guwahati, Assam 781040","Sundarban Nagar, DakhinGaon, Kahilipara",26.12832,91.7563607,ChIJuSWYkx1ZWjcRP4PnrHxLpGc,https://www.google.com/maps/place/?q=place_id:ChIJuSWYkx1ZWjcRP4PnrHxLpGc,part_357,2026-09-20 20:18:18
Deka Plumber and Borewell Services,Plumber,Plumber,Plumber,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 91010 56874,N/A,4.8,,"House no. 4, Bortila, Ujjal Nagar, Hengrabari, Guwahati, Assam 781036","Bortila, Ujjal Nagar, Hengrabari",26.1508823,91.7976784,ChIJS-Cn_vdZWjcRN96J4uSx98c,https://www.google.com/maps/place/?q=place_id:ChIJS-Cn_vdZWjcRN96J4uSx98c,part_357,2026-09-20 20:18:18
Plumber service,Plumber,Plumber,Plumber,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,,,"Abdul mazid path, Notboma, Guwahati, Assam 781038",Notboma,26.1326058,91.7713078,ChIJB3y-iWlZWjcRRtJapn4_D4U,https://www.google.com/maps/place/?q=place_id:ChIJB3y-iWlZWjcRRtJapn4_D4U,part_357,2026-09-20 20:18:18
GAGANGA PLUMBINGS,Plumber,Plumber,Plumber,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,5.0,,"Major Bahar, near SHANI MANDIR, Dharapur, Guwahati, Assam 781017",Dharapur,26.1443944,91.6294131,ChIJCdQ8eAtFWjcRmBEQcoJRi_o,https://www.google.com/maps/place/?q=place_id:ChIJCdQ8eAtFWjcRmBEQcoJRi_o,part_357,2026-09-20 20:18:18
Plumber Service,Plumber,Plumber,Plumber,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,,,"Ankur Path, Kahilipara, Guwahati, Assam 781019",Kahilipara,26.1420541,91.77757129999999,ChIJoRwcLG1ZWjcR5mjbFnjDjjE,https://www.google.com/maps/place/?q=place_id:ChIJoRwcLG1ZWjcR5mjbFnjDjjE,part_357,2026-09-20 20:18:18
Maa Kamakhya Plumbing Service,Plumber,Plumber,"Plumber, Service establishment",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 60008 92816,N/A,5.0,,"Maa Kamakhya Plumbing Service, 781040, India",781040,26.1430486,91.70288289999999,ChIJRQGRc4gZ3aERP4JcScaTgYU,https://www.google.com/maps/place/?q=place_id:ChIJRQGRc4gZ3aERP4JcScaTgYU,part_357,2026-09-20 20:18:18
Plumbing services,Plumber,Plumber,Plumber,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 70998 54675,N/A,5.0,,"Milan Nagar, Borbari, Guwahati, Assam 781036","Milan Nagar, Borbari",26.1528104,91.8062132,ChIJXy5TKABZWjcRXZNir4VaRY4,https://www.google.com/maps/place/?q=place_id:ChIJXy5TKABZWjcRXZNir4VaRY4,part_357,2026-09-20 20:18:18
RAHUL PLUMBER (Service),Plumber,Plumber,Plumber,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,5.0,,"Pin Code 781034, D K Road, near Barsapara Cricket stadium, Dhirenpara, Ambari, Dhirenpara, Guwahati, Assam 781034","Dhirenpara, Ambari, Dhirenpara",26.146130099999997,91.7349224,ChIJuRI2WCNbWjcRQWp7ukeaYak,https://www.google.com/maps/place/?q=place_id:ChIJuRI2WCNbWjcRQWp7ukeaYak,part_357,2026-09-20 20:18:18
Nirmal plumbing service Guwahati,Plumber,Plumber,Plumber,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 84738 09075,N/A,4.8,,"5P4G+529, Fatasil Hills, Guwahati, Assam 781025",Fatasil Hills,26.155394599999997,91.7251758,ChIJd9T27UFbWjcR9-xq2J0Beu8,https://www.google.com/maps/place/?q=place_id:ChIJd9T27UFbWjcR9-xq2J0Beu8,part_357,2026-09-20 20:18:18
Plumber Rahman (Mehza Associates),Plumber,Plumber,Plumber,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,,,"Hatigaon, Notboma, Guwahati, Assam 781038","Hatigaon, Notboma",26.129534999999997,91.7721392,ChIJPacLfCdZWjcRNGj2BJjlMHY,https://www.google.com/maps/place/?q=place_id:ChIJPacLfCdZWjcRNGj2BJjlMHY,part_357,2026-09-20 20:18:18
Plumber Services,Plumber,Plumber,Plumber,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 60019 96919,https://plumberservicese.blogspot.com/,4.4,,"H, No.16, Dispur, Sarumotoria, Guwahati, Assam 781006","Dispur, Sarumotoria",26.144706199999998,91.7952983,ChIJzey1JQBZWjcRjgaZ_kfblHs,https://www.google.com/maps/place/?q=place_id:ChIJzey1JQBZWjcRjgaZ_kfblHs,part_357,2026-09-20 20:18:18
Baba Bishwakarma Plumbing,Plumber,Plumber,Plumber,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,,,"Shanti Nagar, Odalbakra, Kahilipara, Guwahati, Assam 781034","Shanti Nagar, Odalbakra, Kahilipara",26.1410946,91.752808,ChIJ89y4KyhbWjcR6KQYYBdDyzk,https://www.google.com/maps/place/?q=place_id:ChIJ89y4KyhbWjcR6KQYYBdDyzk,part_357,2026-09-20 20:18:18
SANTOSH PLUMBER GUWAHATI,Plumber,Plumber,Plumber,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 97067 75378,N/A,5.0,,"Zoo Rd, Ambikagirinagar, Guwahati, Assam 781024",Ambikagirinagar,26.1647684,91.7801125,ChIJL41Uf6FZWjcR_xHtim2qbd0,https://www.google.com/maps/place/?q=place_id:ChIJL41Uf6FZWjcR_xHtim2qbd0,part_357,2026-09-20 20:18:18
A2Z ESSENTIAL SERVICES,Plumber,Plumber,"Plumber, Hardware store, Interior Decorator, Interior designer, Painter, Pipe supplier, Shipping service",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,,,"H.no 2 Subash Pally by lane, 2, Bhupen Hazarika Path, Barsapara, Guwahati, Assam 781025","Subash Pally, Barsapara",26.1417915,91.7333929,ChIJPxRbmStbWjcRpTX-o81JtyA,https://www.google.com/maps/place/?q=place_id:ChIJPxRbmStbWjcRpTX-o81JtyA,part_357,2026-09-20 20:18:18
Sanjay plumber,Plumber,Plumber,Plumber,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 91274 29382,N/A,4.8,,"MG Rd, Pan Bazaar, Guwahati, Assam 781001",Pan Bazaar,26.1891504,91.7458802,ChIJFUgvSK5bWjcRcgdiS1Qf6ok,https://www.google.com/maps/place/?q=place_id:ChIJFUgvSK5bWjcRcgdiS1Qf6ok,part_357,2026-09-20 20:18:19
