business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Card Point,Wedding Invitation Card Printer,Digital printing service,"Digital printing service, Print shop, Wedding store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 86381 59022,N/A,4.5,32.0,"T.M. Complex, Assam Sachivalaya, Hatigaon Main Rd, Mula Gabharu Path, Kahilipara, Guwahati, Assam 781006","Mula Gabharu Path, Kahilipara",26.141928999999998,91.786338,ChIJD14rbiRZWjcR004sTSOI0VA,https://www.google.com/maps/place/?q=place_id:ChIJD14rbiRZWjcR004sTSOI0VA,part_357,2026-09-20 20:18:30
House of cards,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Wedding service",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 88223 31199,N/A,5.0,3.0,"Kahilipara, Guwahati, Assam 781019",Kahilipara,26.142429099999998,91.7695055,ChIJ4dQRbv5ZWjcR1FYDi-Vc4TM,https://www.google.com/maps/place/?q=place_id:ChIJ4dQRbv5ZWjcR1FYDi-Vc4TM,part_357,2026-09-20 20:18:30
CARD PALACE,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Envelope supplier, Greeting card shop, Stationery store, Store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 361 251 3736,N/A,3.9,455.0,"SHOP NO.15, 5PHR+WH Railway Gate, No. 03, SRCB Rd, Dharamshala Market, Fancy Bazaar, Guwahati, Assam 781001","Dharamshala Market, Fancy Bazaar",26.179872399999997,91.7413974,ChIJF6aSczFaWjcR2LjyloEGOwg,https://www.google.com/maps/place/?q=place_id:ChIJF6aSczFaWjcR2LjyloEGOwg,part_357,2026-09-20 20:18:30
Card House,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Stationery wholesaler",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 361 263 4955,http://www.cardhouse.co.in/,4.1,77.0,"Shop No.30 ( 2nd shop from the entrance), Dharamshala Market, SRCB Rd, opposite LOG Hindi school, Near Railway Gate No.3, Fancy Bazaar, Guwahati, Assam 781001","Near Railway Gate No.3, Fancy Bazaar",26.1799522,91.7413693,ChIJtT68czFaWjcRH4BLSWOAJjA,https://www.google.com/maps/place/?q=place_id:ChIJtT68czFaWjcRH4BLSWOAJjA,part_357,2026-09-20 20:18:30
Mod Island,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Corporate gift supplier, Greeting card shop, Office supply wholesaler, Print shop, Screen printing shop, Stationery store, Stationery wholesaler",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 60016 30597,https://sites.google.com/view/mod-island-diaries-calendars-w/home?authuser=0,4.8,33.0,"34, Dharamshala Market, SRCB Rd, Lakhtokia, Fancy Bazaar, Guwahati, Assam 781001","Lakhtokia, Fancy Bazaar",26.179936599999998,91.7413492,ChIJR5eEczFaWjcRNF9v7vm5Bj8,https://www.google.com/maps/place/?q=place_id:ChIJR5eEczFaWjcRNF9v7vm5Bj8,part_357,2026-09-20 20:18:30
The Meraki Event,Wedding Invitation Card Printer,Wedding store,"Wedding store, Wedding planner, Wedding service",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 60036 59475,https://themerakievent.in/,5.0,24.0,"Hourse no 31A, Ground floor, Bagharbari, Guwahati, Assam 781037",Bagharbari,26.1387881,91.8272223,ChIJSbl-Ia1ZWjcRpdxGKGJgDXU,https://www.google.com/maps/place/?q=place_id:ChIJSbl-Ia1ZWjcRpdxGKGJgDXU,part_357,2026-09-20 20:18:30
Card Mahal,Wedding Invitation Card Printer,Greeting card shop,Greeting card shop,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,4.5,46.0,"Boripara Bus Stop, Kamakhya Nagar, Adabari, Maligaon, Guwahati, Assam 781012","Pandav Nagar, Maligaon",26.1588514,91.68795899999999,ChIJHbmzEq1bWjcRV6kvaHatiFs,https://www.google.com/maps/place/?q=place_id:ChIJHbmzEq1bWjcRV6kvaHatiFs,part_357,2026-09-20 20:18:30
Bengali Wedding Cards,Wedding Invitation Card Printer,Wedding store,Wedding store,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98363 76226,http://www.bengaliweddingcards.com/,4.8,301.0,"Beside Ballygunge Bijon Setu and close to Bharat Sevasram Sangh, 205A, Rash Behari Ave, Ekdalia, Ballygunge, Kolkata, West Bengal 700019","Ekdalia, Ballygunge",22.5215163,88.36942379999999,ChIJwaNn0NN2AjoRcLxjZ2ILVL8,https://www.google.com/maps/place/?q=place_id:ChIJwaNn0NN2AjoRcLxjZ2ILVL8,part_357,2026-09-20 20:18:30
SHAGUN CARDS,Wedding Invitation Card Printer,Greeting card shop,"Greeting card shop, Wedding store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 94351 06305,N/A,3.4,11.0,"SRCB Rd, Dharamshala Market, Fancy Bazaar, Guwahati, Assam 781001","Dharamshala Market, Fancy Bazaar",26.179986399999997,91.7412531,ChIJc1vOH7JbWjcRdkoUvhOYIbE,https://www.google.com/maps/place/?q=place_id:ChIJc1vOH7JbWjcRdkoUvhOYIbE,part_357,2026-09-20 20:18:30
PRINTING CORNER,Wedding Invitation Card Printer,Print shop,"Print shop, Digital printing service",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98640 25280,N/A,4.7,18.0,"Gauri Sarma Colony Rd, Gauri Sarma Colony, Fatasil, Fatasil Ambari, Guwahati, Assam 781009","Gauri Sarma Colony, Fatasil, Fatasil Ambari",26.1672813,91.7363532,ChIJJd6dG8pbWjcRmIOvNYT_-mU,https://www.google.com/maps/place/?q=place_id:ChIJJd6dG8pbWjcRmIOvNYT_-mU,part_357,2026-09-20 20:18:30
Nectar Printing & Services,Wedding Invitation Card Printer,Print shop,"Print shop, Offset Printer",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98648 23659,N/A,4.6,72.0,"VIP Rd, opp. Doordarshan colony, Borbari, Guwahati, Assam 781036",Borbari,26.149662199999998,91.8118025,ChIJZfebyOpYWjcRgqAW9saFtUs,https://www.google.com/maps/place/?q=place_id:ChIJZfebyOpYWjcRgqAW9saFtUs,part_357,2026-09-20 20:18:30
Karthik Impressions,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Print shop",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 99450 81926,N/A,4.8,76.0,"108/A, Udayanagar, Opp. Reliance Tower 4th Coss, 2nd Main Rd, Behind, Bangalore Corporation Industrial Estate, Bengaluru, Karnataka 560016","Guru Swamy Layout, Behind, Bangalore Corporation Industrial Estate, Dooravani Nagar",12.9971068,77.6726549,ChIJI8pZ7z4RrjsR_3Q4nUNjFtc,https://www.google.com/maps/place/?q=place_id:ChIJI8pZ7z4RrjsR_3Q4nUNjFtc,part_357,2026-09-20 20:18:30
Deep Graphics,Wedding Invitation Card Printer,Print shop,Print shop,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98640 60206,N/A,5.0,12.0,"back side of Rly. coperative, Rest Camp, bara bazar, Pandu, Guwahati, Assam 781012","Rest Camp, bara bazar, Pandu",26.1624023,91.6935304,ChIJH0fN0jxbWjcRiPp_1n30lMo,https://www.google.com/maps/place/?q=place_id:ChIJH0fN0jxbWjcRiPp_1n30lMo,part_357,2026-09-20 20:18:30
Galaxy printing press,Wedding Invitation Card Printer,Print shop,Print shop,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 70026 08216,N/A,5.0,11.0,"Lal Ganesh Rd, Lokhra, Guwahati, Assam 781040",Lokhra,26.1125036,91.74924329999999,ChIJGzUVmzFdWjcRE07xKPvC4mY,https://www.google.com/maps/place/?q=place_id:ChIJGzUVmzFdWjcRE07xKPvC4mY,part_357,2026-09-20 20:18:30
Digital Wedding Invitations by DSW,Wedding Invitation Card Printer,Invitation printing service,Invitation printing service,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 99996 88051,https://digitalsolutionworld.in/,4.9,47.0,"D3/50, Pocket 3, Sector 16D, Rohini, New Delhi, Delhi, 110085","Pocket 3, Sector 16D, Rohini",28.7384269,77.1259426,ChIJn_iBL10BDTkR1LMDKLVqk44,https://www.google.com/maps/place/?q=place_id:ChIJn_iBL10BDTkR1LMDKLVqk44,part_357,2026-09-20 20:18:30
Das Enterprise,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Airline ticket agency, Digital printing service, Print shop, Offset Printer, Photo lab, Railway Ticket Agent",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 86387 51963,N/A,4.3,15.0,"near State Bank of India, VIP Chowk, Ganakpara, Guwahati, Assam 781015","VIP Chowk, Ganakpara",26.101222,91.5985309,ChIJfwEV9URDWjcRRYn1EOAB3kk,https://www.google.com/maps/place/?q=place_id:ChIJfwEV9URDWjcRRYn1EOAB3kk,part_357,2026-09-20 20:18:30
House of Cards- Wedding Invitations,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Greeting card shop, Wedding service, Wedding store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 63663 29292,https://www.houseofcards.in/,4.7,339.0,"1st Floor, 33, Anjappa Complex, Hennur Bagalur Main Rd, above Tvs Showroom, Kothanur, Bengaluru, Karnataka 560077",Kothanur,13.062526,77.6490669,ChIJ0zaKmGIXrjsRN29vF8pkVRU,https://www.google.com/maps/place/?q=place_id:ChIJ0zaKmGIXrjsRN29vF8pkVRU,part_357,2026-09-20 20:18:31
"The Beginning, Wedding Cards & Decor, Subharambh",Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Digital printing service, Gift shop, Wedding store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 70191 36821,N/A,4.9,981.0,"1st Floor, Sony World Junction, 80 Feet Rd, opp. Akshya Motors, next to Mattress Shop, 4th Block, Koramangala, Bengaluru, Karnataka 560034","4th Block, Koramangala",12.935493099999999,77.6288062,ChIJfx1GE2gVrjsRQ0Ej0UVuCv4,https://www.google.com/maps/place/?q=place_id:ChIJfx1GE2gVrjsRQ0Ej0UVuCv4,part_357,2026-09-20 20:18:31
