business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Silky Chat And Fast Food (Paratha House),Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",N/A,N/A,4.4,,"vill-Dadara, P.O-Dadara, P.S-Hajo,dist-kamrup,Pin-781104, Guwahati, Assam 781104",Dadara,26.2150078,91.6348795,ChIJ0YT1r49FWjcRxCcMsikh6Ow,https://www.google.com/maps/place/?q=place_id:ChIJ0YT1r49FWjcRxCcMsikh6Ow,part_357,2026-09-20 20:18:49
Assam Chaat House,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",+91 75759 62576,N/A,,,"Lakhtokia, Dancy, Guwahati, Assam 781001","Lakhtokia, Dancy",26.1816964,91.74036489999999,ChIJ-UBE3ttbWjcRPkYj1L700P0,https://www.google.com/maps/place/?q=place_id:ChIJ-UBE3ttbWjcRPkYj1L700P0,part_357,2026-09-20 20:18:49
Bapi Chat House(Afc),Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",+91 91019 79647,http://www.nowebsiteavailable.com/,3.6,,"Aruna Cinema Hall Complex, Kamakhya Colony, Maligaon, Guwahati, Assam 781012","Kamakhya Colony, Maligaon",26.1625345,91.6947106,ChIJGWb9uyJbWjcR1P5Kc2eZl2w,https://www.google.com/maps/place/?q=place_id:ChIJGWb9uyJbWjcR1P5Kc2eZl2w,part_357,2026-09-20 20:18:49
Chaat Ka Chaska Nirjuli,Fast Food and Chaat Corner,Restaurant,Restaurant,781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",+91 81319 00214,https://chaatkachaska.in/,4.3,,"DR. KARBOM BASAR BUILDING OPPOSITE OLD POLICE STATION, NIRJULI BAGE, Arunachal Pradesh 791112",781101,27.129172399999998,93.73643229999999,ChIJo89jifH_QzcRHuuTVKK1_gQ,https://www.google.com/maps/place/?q=place_id:ChIJo89jifH_QzcRHuuTVKK1_gQ,part_357,2026-09-20 20:18:49
Chaat Mastani,Fast Food and Chaat Corner,Fast food restaurant,"Fast food restaurant, Cafe, Chinese restaurant, Continental restaurant, Momo restaurant, Pizza restaurant, South Indian restaurant, Tea store",781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",+91 94357 13555,N/A,4.5,,"AT Road, near Marwari Thakurbari, New Colony, Jorhat, Dulia Gaon, Assam 785001",New Colony,26.7618729,94.2150865,ChIJvei3m1zDRjcRLQL-f1bk5aU,https://www.google.com/maps/place/?q=place_id:ChIJvei3m1zDRjcRLQL-f1bk5aU,part_357,2026-09-20 20:18:49
CHAT HOUSE AND,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",+91 60035 97024,N/A,,,"Paltan Bazaar, GONIPUR BAZAR, Guwahati, Assam 781008",Paltan Bazaar,26.1792473,91.7532907,ChIJSZ_6MepbWjcR190mTtXj8bw,https://www.google.com/maps/place/?q=place_id:ChIJSZ_6MepbWjcR190mTtXj8bw,part_357,2026-09-20 20:18:49
Delhi Chaat House Since 2017,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",+91 70868 55501,N/A,4.0,747.0,"Shop no 5, Tritha Kingdom Tower commercial building, Phukan Ali Rd, Kakoti Gaon, Tarajan, Jorhat, Assam 785001","Kakoti Gaon, Tarajan",26.7568107,94.2032998,ChIJq9YmrJLCRjcRkfWMA6rgLTg,https://www.google.com/maps/place/?q=place_id:ChIJq9YmrJLCRjcRkfWMA6rgLTg,part_357,2026-09-20 20:18:50
Lal Chana Bhandar,Fast Food and Chaat Corner,Restaurant,"Restaurant, Dessert shop",781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",+91 87539 69682,N/A,4.5,2015.0,"Sarania Hills, Guwahati, Assam 781003",Sarania Hills,26.1804453,91.7744831,ChIJlaWQaKJZWjcRBPmTuUGfJ2s,https://www.google.com/maps/place/?q=place_id:ChIJlaWQaKJZWjcRBPmTuUGfJ2s,part_357,2026-09-20 20:18:50
Bhola Chana Bhandar,Fast Food and Chaat Corner,Restaurant,Restaurant,781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",N/A,N/A,4.6,34.0,"5QR4+8RF, Barowari, Uzan Bazar, Guwahati, Assam 781003","Barowari, Uzan Bazar",26.190819899999997,91.75705769999999,ChIJ461ru0RZWjcREFZ6OhTgXqM,https://www.google.com/maps/place/?q=place_id:ChIJ461ru0RZWjcREFZ6OhTgXqM,part_357,2026-09-20 20:18:50
Jilikee Hotel. Fastfood & Sweets Corner,Fast Food and Chaat Corner,Fast food restaurant,"Fast food restaurant, Breakfast restaurant, Sweet shop",781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",+91 88767 15325,N/A,4.2,1693.0,"Hajo Rd, Damdama, Sesa, No.2 Kulhati, Assam 781102",Damdama,26.247362,91.5782995,ChIJ9c5kh8BIWjcRdsys1vrxdUQ,https://www.google.com/maps/place/?q=place_id:ChIJ9c5kh8BIWjcRdsys1vrxdUQ,part_357,2026-09-20 20:18:50
