business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Nilachal rent house,Real Estate Agents,Industrial real estate agency,Industrial real estate agency,781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",N/A,N/A,5.0,,"Deuduwar, Baihata Chariali, Assam 781101",781101,26.3243002,91.715525,ChIJOwvoiNZRWjcRdy6CuSxEN_Y,https://www.google.com/maps/place/?q=place_id:ChIJOwvoiNZRWjcRdy6CuSxEN_Y,part_357,2026-09-20 20:19:21
Athiaboi,Real Estate Agents,Real estate agency,Real estate agency,781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",+91 93656 07105,N/A,5.0,,"7MC6+65P, Athiabai, Keotarbari Pacharia, Assam 781101",781101,26.2705789,91.66044889999999,ChIJNwtdcQBPWjcROaGcEdfnyj4,https://www.google.com/maps/place/?q=place_id:ChIJNwtdcQBPWjcROaGcEdfnyj4,part_357,2026-09-20 20:19:21
Raimond Real Estate,Real Estate Agents,Real estate agent,Real estate agent,781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",+91 76638 57169,N/A,4.9,,"Gandhi Basti Rd, Tinali, Sarania Hills, Guwahati, Assam 781003","Tinali, Sarania Hills",26.1817101,91.7620845,ChIJCaxyYwBZWjcRu87D_jXD8Nw,https://www.google.com/maps/place/?q=place_id:ChIJCaxyYwBZWjcRu87D_jXD8Nw,part_357,2026-09-20 20:19:21
Freehold Realtors,Real Estate Agents,Industrial real estate agency,Industrial real estate agency,781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",N/A,N/A,5.0,,"STAR ENCLAVE, Pan Bazaar, Guwahati, Assam 781001",Pan Bazaar,26.185967899999998,91.7453642,ChIJxyR8rUpbWjcR0yG8DOV3fts,https://www.google.com/maps/place/?q=place_id:ChIJxyR8rUpbWjcR0yG8DOV3fts,part_357,2026-09-20 20:19:21
Eastern Realtors,Real Estate Agents,Commercial real estate agency,Commercial real estate agency,781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",+91 87210 02979,N/A,4.3,,"Kamakhya Colony, Bara Bazar, GARCHUK, Pandu, Guwahati, Assam 781012","Kamakhya Colony, Bara Bazar, GARCHUK, Pandu",26.162375899999997,91.6938641,ChIJF_P4DqlbWjcRup-jWBEUQI8,https://www.google.com/maps/place/?q=place_id:ChIJF_P4DqlbWjcRup-jWBEUQI8,part_357,2026-09-20 20:19:21
Guwahati Realtors Association,Real Estate Agents,Real estate agency,Real estate agency,781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",+91 75759 15752,http://guwahatirealtors.com/,4.3,,"4TH.Floor, Protech Pritam, near Masjid, Athgaon Road, Athgaon, Guwahati, Assam 781001",Athgaon,26.174241,91.7398611,ChIJe3X5ZzNaWjcRPKQ7M5NOgjU,https://www.google.com/maps/place/?q=place_id:ChIJe3X5ZzNaWjcRPKQ7M5NOgjU,part_357,2026-09-20 20:19:21
Unix Solutions And Services,Real Estate Agents,Real estate agent,"Real estate agent, Market",781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",+91 84738 71309,N/A,3.8,,"3rd Floor, House No. 1, Colony bazar bylanes 2, Guwahati, Assam 781004",Kharghuli Hills,26.196412499999997,91.76721409999999,ChIJIRnutMNbWjcRC_x-oAA5syY,https://www.google.com/maps/place/?q=place_id:ChIJIRnutMNbWjcRC_x-oAA5syY,part_357,2026-09-20 20:19:21
EstatesExpert,Real Estate Agents,Real estate consultant,"Real estate consultant, Furniture Rental Store, Industrial real estate agency, Interior designer, Loan agency, Property management company, Real estate agent, Real estate rental agency",781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",+91 69005 23547,N/A,5.0,,"1st Floor, Kalpana Market, Bus Stand, GNB Rd, near Guwahati Club, Silpukhuri, Silphukuri, Guwahati, Assam 781003","Silpukhuri, Silphukuri",26.1849444,91.7590251,ChIJvUjuLC5ZWjcRT3yBiTtM1ls,https://www.google.com/maps/place/?q=place_id:ChIJvUjuLC5ZWjcRT3yBiTtM1ls,part_357,2026-09-20 20:19:21
Subh Labh Properties,Real Estate Agents,Real estate consultant,Real estate consultant,781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",+91 80511 16111,http://subhlabhproperties.com/,4.5,,"5PFX+8G5, AK Azad Rd, Rehabari, Guwahati, Assam 781008",Rehabari,26.1733263,91.7488444,ChIJf42UTNJbWjcRnDhMb003-8w,https://www.google.com/maps/place/?q=place_id:ChIJf42UTNJbWjcRnDhMb003-8w,part_357,2026-09-20 20:19:21
Shri Lakshmi HOME TOLET SERVICE,Real Estate Agents,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O",N/A,N/A,5.0,36.0,"Rajgarh, Sarania Hills, Guwahati, Assam 781003",Sarania Hills,26.1799642,91.7739635,ChIJAbinoCxZWjcR25huMBjUvXg,https://www.google.com/maps/place/?q=place_id:ChIJAbinoCxZWjcR25huMBjUvXg,part_357,2026-09-20 20:19:22
