business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sun Electricals & Gift,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 88766 22595,N/A,5.0,4.0,"4G25+WJX, Bijoynagar Medical Rd, Uparhali, Bijoynagar, Assam 781122",781103,26.1023502,91.5090949,ChIJ5dpNvMw_WjcRI8I6zy1PUR8,https://www.google.com/maps/place/?q=place_id:ChIJ5dpNvMw_WjcRI8I6zy1PUR8,part_357,2026-09-20 20:20:32
Maa Kamakhya Electrics,Electrical Goods and Lighting Store,Electronics store,Electronics store,781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 87096 99593,N/A,5.0,4.0,"Birubari, Guwahati, Assam 781016",Birubari,26.158765799999998,91.75246639999999,ChIJi2DYKIVbWjcRWeLeYBFZJJE,https://www.google.com/maps/place/?q=place_id:ChIJi2DYKIVbWjcRWeLeYBFZJJE,part_357,2026-09-20 20:20:32
Eastern Electrovision,Electrical Goods and Lighting Store,Electronics store,"Electronics store, Cell phone accessory store, Computer store, Electronics Accessories Wholesaler, Electronics wholesaler, Refrigerator store",781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 94353 44924,N/A,4.8,352.0,"Chowk, Mirza, Guwahati, Parlli Part, Assam 781125",Mirza,26.092925899999997,91.5382898,ChIJQUWJhpJAWjcR4VsbW0QCDkA,https://www.google.com/maps/place/?q=place_id:ChIJQUWJhpJAWjcR4VsbW0QCDkA,part_357,2026-09-20 20:20:32
Varlina Electrical & Gift Items,Electrical Goods and Lighting Store,Electrical & Electronics Stores,Electrical & Electronics Stores,781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 80110 40583,N/A,,,"127,GOALPARA GUWAHATI ROAD,BIJOYNAGAR, Kochpara, Assam 781122",781103,26.1012383,91.5054767,ChIJow4G0ms_WjcRV70aLO5tWkE,https://www.google.com/maps/place/?q=place_id:ChIJow4G0ms_WjcRV70aLO5tWkE,part_357,2026-09-20 20:20:32
HRD ELECTRICALS,Electrical Goods and Lighting Store,Electronics store,Electronics store,781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",N/A,N/A,,,"Azara, Guwahati, Mikir Para Chakardoi, Assam 781017",Azara,26.1147021,91.6145528,ChIJ_z0jsq5DWjcROh0-p2BdEkU,https://www.google.com/maps/place/?q=place_id:ChIJ_z0jsq5DWjcROh0-p2BdEkU,part_357,2026-09-20 20:20:32
Paran Sale Point & Electricals,Electrical Goods and Lighting Store,Electronics store,Electronics store,781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",N/A,N/A,4.5,4.0,"Mukalmua, No.1.Kaplabari, Assam 781138",781103,26.274635,91.29884559999999,ChIJIWGpkN8vWjcRfmrH2qK2ZVU,https://www.google.com/maps/place/?q=place_id:ChIJIWGpkN8vWjcRfmrH2qK2ZVU,part_357,2026-09-20 20:20:32
AK Electricals,Electrical Goods and Lighting Store,Electrical supply store,"Electrical supply store, Electrical products wholesaler",781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 88769 00903,http://www.call-at-8876900903.com/,4.9,118.0,"Manash Road, North, Ward 9, Barpeta Road, Assam 781315","North, Ward 9",26.505163,90.96891649999999,ChIJ6ynR38t1WTcR19_YCniL3lQ,https://www.google.com/maps/place/?q=place_id:ChIJ6ynR38t1WTcR19_YCniL3lQ,part_357,2026-09-20 20:20:33
Amit Electricals And Lighting,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Electrical equipment supplier, Lamp repair service, Lamp shade supplier, Electrical supply store, Pipe supplier, Pipes Wholesaler, Wire and cable supplier",781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 70023 90673,N/A,5.0,460.0,"Chapaguri Rd, Amguri, Bongaigaon, Assam 783380",Amguri,26.4956313,90.55151,ChIJ-XjuAa7_WDcRHtP1sVP5tdk,https://www.google.com/maps/place/?q=place_id:ChIJ-XjuAa7_WDcRHtP1sVP5tdk,part_357,2026-09-20 20:20:33
Banka Lites,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 79 4284 5060,https://retailpavilion-in.se.com/schneider-electric---banka-lites-bhangagarh-guwahati-10156/overview,3.8,17.0,"H No 114, Goyal Bhawan, GS Rd, near Rudraksh Mall, Bhangagarh, Guwahati, Assam 781032",Bhangagarh,26.1662349,91.7674796,ChIJj9iZS3FZWjcRfiLOlJMGL2I,https://www.google.com/maps/place/?q=place_id:ChIJj9iZS3FZWjcRfiLOlJMGL2I,part_357,2026-09-20 20:20:33
Western electricals,Electrical Goods and Lighting Store,Electronics wholesaler,Electronics wholesaler,781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 86387 54110,N/A,5.0,1.0,"Amingaon Chowk, opp. ASEB Amingaon, North Guwahati, Guwahati, Assam 781031",North Guwahati,26.1846762,91.66687399999999,ChIJuSguGH5FWjcRx0BBQq7Dhpo,https://www.google.com/maps/place/?q=place_id:ChIJuSguGH5FWjcRx0BBQq7Dhpo,part_357,2026-09-20 20:20:33
Philips Smart Light Hub,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Lighting consultant, Lighting contractor, Lighting manufacturer, Lighting products wholesaler",781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 98644 68485,https://www.philipslighting-stores.in/assam/guwahati/ganeshguri-72062353?utm_source=GMBlisting&utm_medium=organic,4.7,6.0,"KK Boro Building, GS Rd, above Neeraj Automobiles, Ganeshguri, Guwahati, Assam 781038",Ganeshguri,26.1505673,91.7820649,ChIJJ625NFJZWjcRvEu1OCo5CvQ,https://www.google.com/maps/place/?q=place_id:ChIJJ625NFJZWjcRvEu1OCo5CvQ,part_357,2026-09-20 20:20:34
CITY ELECTRICAL,Electrical Goods and Lighting Store,Store,Store,781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 81358 20903,N/A,4.6,16.0,"RG Baruah Rd, opp. :Assam State zoo ghy, Tarun Nagar, Guwahati, Assam 781024",Tarun Nagar,26.163731199999997,91.7802155,ChIJ6wscZgNZWjcRhV_Bm40W1YM,https://www.google.com/maps/place/?q=place_id:ChIJ6wscZgNZWjcRhV_Bm40W1YM,part_357,2026-09-20 20:20:34
Hindustan Led Raw Materials Store,Electrical Goods and Lighting Store,Wholesaler,"Wholesaler, Hardware store, Light bulb supplier",781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 93956 71274,N/A,4.1,20.0,"Shop No 2, Hussain commercial, Dr RP Rd, near by Ganesh Mandir, Mula Gabharu Path, Ganeshguri, Guwahati, Assam 781006","Mula Gabharu Path, Ganeshguri",26.1443941,91.7861592,ChIJk4ELJzVZWjcRk8j9GYSBYYk,https://www.google.com/maps/place/?q=place_id:ChIJk4ELJzVZWjcRk8j9GYSBYYk,part_357,2026-09-20 20:20:34
Assam Electronics,Electrical Goods and Lighting Store,Electronics store,Electronics store,781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 86389 72064,N/A,5.0,1.0,"Tulsibari, Bichennala, Assam 781376",781103,26.505545299999998,91.5975739,ChIJTZT5Ivq3WzcR5SjJZnT7Cto,https://www.google.com/maps/place/?q=place_id:ChIJTZT5Ivq3WzcR5SjJZnT7Cto,part_357,2026-09-20 20:20:34
Palladium Energy,Electrical Goods and Lighting Store,Electrical equipment supplier,Electrical equipment supplier,781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 70990 72299,https://palladiumenergy.in/,4.0,1.0,"NH 37, opposite BJP State office, Lalmati, Guwahati, Assam 781029",Lalmati,26.1112301,91.7905126,ChIJ2ctEKhdfWjcRCrAkxmBX6pQ,https://www.google.com/maps/place/?q=place_id:ChIJ2ctEKhdfWjcRCrAkxmBX6pQ,part_357,2026-09-20 20:20:34
Indiglow Electricals,Electrical Goods and Lighting Store,Electronics store,Electronics store,781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 98640 10570,N/A,3.0,2.0,"VIP Rd, Narengi Tinali, VIP Rd, Pathar Quarry, No.2 Bonda, Guwahati, Assam 781026",Pathar Quarry,26.1707981,91.82905099999999,ChIJEyFxhoBYWjcRAAAAMJ9uQR4,https://www.google.com/maps/place/?q=place_id:ChIJEyFxhoBYWjcRAAAAMJ9uQR4,part_357,2026-09-20 20:20:34
Shesha Enterprise,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 94352 19937,N/A,5.0,2.0,"Lala, Assam 788163",781103,24.5129299,92.6074678,ChIJCyPKeEwjTjcRzo8dZjSZwZk,https://www.google.com/maps/place/?q=place_id:ChIJCyPKeEwjTjcRzo8dZjSZwZk,part_357,2026-09-20 20:20:34
Prime Electronics,Electrical Goods and Lighting Store,Electronics store,Electronics store,781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 94010 01157,N/A,4.5,21.0,"17 NH ghy to Goalpara Road Near HDFC BANK, Bijoynagar, Assam 781122",781103,26.102688999999998,91.5079325,ChIJVcLeu2k_WjcRtEcL4uJjmzA,https://www.google.com/maps/place/?q=place_id:ChIJVcLeu2k_WjcRtEcL4uJjmzA,part_357,2026-09-20 20:20:34
Brand Look Electronic Shop,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 91011 33418,N/A,4.6,5.0,"Rd, Bashdahar, Hailakandi, Assam 788151","Rd, Bashdahar",24.6809516,92.5628567,ChIJI2ELIAAlTjcRUGSy88YlRS8,https://www.google.com/maps/place/?q=place_id:ChIJI2ELIAAlTjcRUGSy88YlRS8,part_357,2026-09-20 20:20:34
Tirupati Electricals,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O",+91 70028 00068,N/A,5.0,3.0,"Ward Number 4, Sivasagar, Assam 785640",Ward Number 4,26.9848316,94.6327135,ChIJvZvuZUYxRzcRxss4AuHhrx8,https://www.google.com/maps/place/?q=place_id:ChIJvZvuZUYxRzcRxss4AuHhrx8,part_357,2026-09-20 20:20:34
