business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SHYAM STONE CRUSHER,Exporters,Manufacturer,"Manufacturer, Crushed stone supplier",781120,Assam Circle,N/A,Guwahati Division,"Borduar S.O, Loharghat B.O, Mataikhar B.O",+91 70860 09309,N/A,5.0,1.0,"Amranga, Majkuchi, Assam 781125",781120,26.028253499999998,91.5081498,ChIJ80AsRPJdWjcRGwF3Sp8U82A,https://www.google.com/maps/place/?q=place_id:ChIJ80AsRPJdWjcRGwF3Sp8U82A,part_357,2026-09-20 20:22:23
NIVAS PORK MEAT SUPPLIER,Exporters,Meat wholesaler,Meat wholesaler,781120,Assam Circle,N/A,Guwahati Division,"Borduar S.O, Loharghat B.O, Mataikhar B.O",N/A,N/A,,,"Balahpur Loharghat, Assam 781120",781120,25.9852526,91.464013,ChIJl8ZD5Q8VWjcRQHMKvSx4nTk,https://www.google.com/maps/place/?q=place_id:ChIJl8ZD5Q8VWjcRQHMKvSx4nTk,part_357,2026-09-20 20:22:23
M/S M.B.Timber shop,Exporters,Wood supplier,Wood supplier,781120,Assam Circle,N/A,Guwahati Division,"Borduar S.O, Loharghat B.O, Mataikhar B.O",+91 70029 05489,N/A,5.0,1.0,"Bamunigaon, NH 17, Bamunigaon, Nijbagai, Assam 781141",Bamunigaon,26.0196331,91.3112329,ChIJebUPojsZWjcRS1a1G_a2DX4,https://www.google.com/maps/place/?q=place_id:ChIJebUPojsZWjcRS1a1G_a2DX4,part_357,2026-09-20 20:22:23
Ixanxeuj Agro Farms,Exporters,Poultry farm,Poultry farm,781120,Assam Circle,N/A,Guwahati Division,"Borduar S.O, Loharghat B.O, Mataikhar B.O",N/A,N/A,5.0,1.0,"2FF5+P9P, Dahajatia, Assam 781125",781120,26.0243374,91.4584412,ChIJb4Q7maEVWjcRtoYugbFT2qk,https://www.google.com/maps/place/?q=place_id:ChIJb4Q7maEVWjcRtoYugbFT2qk,part_357,2026-09-20 20:22:23
Store Crusher,Exporters,Crushed stone supplier,Crushed stone supplier,781120,Assam Circle,N/A,Guwahati Division,"Borduar S.O, Loharghat B.O, Mataikhar B.O",N/A,N/A,,,"2GH5+8CW, Majkuchi, Assam 781125",781120,26.028354999999998,91.5085659,ChIJXXICAAAVWjcRByCxut0N2pM,https://www.google.com/maps/place/?q=place_id:ChIJXXICAAAVWjcRByCxut0N2pM,part_357,2026-09-20 20:22:23
Sanjukta Goat Farm Assam,Exporters,Cattle farm,Cattle farm,781120,Assam Circle,N/A,Guwahati Division,"Borduar S.O, Loharghat B.O, Mataikhar B.O",N/A,N/A,4.6,7.0,"Kharkhari LP LP School, Kharkhari, Chhaygaon, Jalukbari F.V, Assam 781124",Kharkhari,26.0326766,91.3393049,ChIJOb9C7RU9WjcRZMfGitF11n4,https://www.google.com/maps/place/?q=place_id:ChIJOb9C7RU9WjcRZMfGitF11n4,part_357,2026-09-20 20:22:23
DIPANKAR,Exporters,Exporter,Exporter,781120,Assam Circle,N/A,Guwahati Division,"Borduar S.O, Loharghat B.O, Mataikhar B.O",N/A,N/A,,,"Punjab National Bank, Loharghat, Barduar Tea Garden No.2, Assam 781120",Loharghat,25.9601096,91.4696266,ChIJM1nA-38VWjcRYDGX4KM1ULA,https://www.google.com/maps/place/?q=place_id:ChIJM1nA-38VWjcRYDGX4KM1ULA,part_357,2026-09-20 20:22:23
Export,Exporters,Agricultural service,Agricultural service,781120,Assam Circle,N/A,Guwahati Division,"Borduar S.O, Loharghat B.O, Mataikhar B.O",N/A,N/A,,,"X87W+MQM, Assam 781124",781120,25.9642174,91.3469247,ChIJKw1zRRYZWjcRWZmrCx9q8As,https://www.google.com/maps/place/?q=place_id:ChIJKw1zRRYZWjcRWZmrCx9q8As,part_357,2026-09-20 20:22:23
M/S DOLOI ENTERPRISE,Exporters,Hardware store,Hardware store,781120,Assam Circle,N/A,Guwahati Division,"Borduar S.O, Loharghat B.O, Mataikhar B.O",N/A,N/A,3.0,2.0,"high school, Palashbari-Mirza-Loharghat-Rajapara-Chandubi Rd, Muduki, Assam 781120",781120,25.8878822,91.4712605,ChIJvTAwe7UTWjcRTRheFCAvdDQ,https://www.google.com/maps/place/?q=place_id:ChIJvTAwe7UTWjcRTRheFCAvdDQ,part_357,2026-09-20 20:22:23
Dee Farm House,Exporters,Animal feed store,Animal feed store,781120,Assam Circle,N/A,Guwahati Division,"Borduar S.O, Loharghat B.O, Mataikhar B.O",+91 93879 36476,N/A,5.0,9.0,"2HHV+PH9, Guwahati-Accoland-Rani Rd, Ganakpara, Guwahati, Garbhanga F.V., Assam 781131",Ganakpara,26.029294999999998,91.59399359999999,ChIJo1MYIgBrWjcRRGy-I_g7q2U,https://www.google.com/maps/place/?q=place_id:ChIJo1MYIgBrWjcRRGy-I_g7q2U,part_357,2026-09-20 20:22:24
DK PIG FARM,Exporters,Pig farm,Pig farm,781120,Assam Circle,N/A,Guwahati Division,"Borduar S.O, Loharghat B.O, Mataikhar B.O",N/A,http://dkfarming.com/,5.0,,"2GCQ+988, Murphuli, Nargaon, Assam 781131",781120,26.020914599999998,91.5383169,ChIJp2bVNABrWjcRoOGsq6lrtr4,https://www.google.com/maps/place/?q=place_id:ChIJp2bVNABrWjcRoOGsq6lrtr4,part_357,2026-09-20 20:22:24
Keshar Safety Glass,Exporters,Glass manufacturer,Glass manufacturer,781120,Assam Circle,N/A,Guwahati Division,"Borduar S.O, Loharghat B.O, Mataikhar B.O",+91 94350 12030,N/A,5.0,,"Op Glass Factory, NS Rd, Fatasil, Athgaon, Guwahati, Assam 781009","Fatasil, Athgaon",26.168016599999998,91.7386008,ChIJJ7aVav9bWjcRF9PZy0NcAhw,https://www.google.com/maps/place/?q=place_id:ChIJJ7aVav9bWjcRF9PZy0NcAhw,part_357,2026-09-20 20:22:24
RINKU BORO,Exporters,Pig farm,Pig farm,781120,Assam Circle,N/A,Guwahati Division,"Borduar S.O, Loharghat B.O, Mataikhar B.O",N/A,N/A,,,"Guwahati, Assam 781124",781120,25.9751865,91.35079979999999,ChIJg-msJOgZWjcRUg79Apd7OlY,https://www.google.com/maps/place/?q=place_id:ChIJg-msJOgZWjcRUg79Apd7OlY,part_357,2026-09-20 20:22:24
Krishna Pig Farming And Breeding,Exporters,Pig farm,Pig farm,781120,Assam Circle,N/A,Guwahati Division,"Borduar S.O, Loharghat B.O, Mataikhar B.O",N/A,https://www.facebook.com/krishnalivestockfarming/,,,"Guwahati, Assam 781131",781120,26.0039682,91.5531673,ChIJ4Wxf5kdrWjcRJRqTEnR6QYA,https://www.google.com/maps/place/?q=place_id:ChIJ4Wxf5kdrWjcRJRqTEnR6QYA,part_357,2026-09-20 20:22:24
