business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Ruma Bakery Nalbari (ৰুমা বেকাৰী, নলবাৰী)",Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",N/A,N/A,4.3,901.0,"Hajo Rd, Chowk Bazar, Nalbari, Joy Mangla, Assam 781334",Chowk Bazar,26.435085299999997,91.4360141,ChIJl7DjiKLMWzcRMHW0Tq4qYaY,https://www.google.com/maps/place/?q=place_id:ChIJl7DjiKLMWzcRMHW0Tq4qYaY,part_357,2026-09-20 20:26:12
Bhumisha Home Cake Bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",N/A,N/A,5.0,8.0,"Batsar Path, Goalpara, Nalbari, Assam 781303",781126,26.3697992,91.3854976,ChIJxVOrIAAzWjcREXZ-5iKA7wE,https://www.google.com/maps/place/?q=place_id:ChIJxVOrIAAzWjcREXZ-5iKA7wE,part_357,2026-09-20 20:26:12
THE RED VELVET CAFE AND BAKERY,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",+91 98649 71359,N/A,4.4,161.0,"CCVP+59W, Joy Mangla, Nalbari, Assam 781335",781126,26.442972299999997,91.43590429999999,ChIJNx4mhVrNWzcRqqSrfsgwNWU,https://www.google.com/maps/place/?q=place_id:ChIJNx4mhVrNWzcRqqSrfsgwNWU,part_357,2026-09-20 20:26:12
Cake Mart Nalbari,Bakery and Cake Shop,Baking supply store,Baking supply store,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",+91 97075 36461,N/A,5.0,127.0,"Palla Road, near Hotel Premoda, Gopal Bazar, Nalbari, Balikaria Kharjara, Assam 781353",Gopal Bazar,26.436861399999998,91.4290898,ChIJR0J3DhPNWzcRvg6Lq0cUxCc,https://www.google.com/maps/place/?q=place_id:ChIJR0J3DhPNWzcRvg6Lq0cUxCc,part_357,2026-09-20 20:26:12
Baishya delicious cake point,Bakery and Cake Shop,Cake shop,Cake shop,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",+91 93653 73074,https://kous365.github.io/BaishyaDeliciousCakePoint/index.html,4.8,14.0,"Vill + po - kenaknkuchi p.s, Mukalmua, No.1.Narua, Assam 781138",781126,26.310075299999998,91.3230605,ChIJSe66eX8vWjcROLKNuqWvL3I,https://www.google.com/maps/place/?q=place_id:ChIJSe66eX8vWjcROLKNuqWvL3I,part_357,2026-09-20 20:26:12
Cake Berry,Bakery and Cake Shop,Baking supply store,Baking supply store,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",+91 94351 78823,https://www.facebook.com/share/18E8Q1rCKt/?mibextid=kFxxJD,4.8,39.0,"Infront of Fashion Plus Mall, Barama Rd, Nalbari, Assam 781335",781126,26.4461053,91.4374392,ChIJu-pD5DPNWzcRxAJ8B8tY46Q,https://www.google.com/maps/place/?q=place_id:ChIJu-pD5DPNWzcRxAJ8B8tY46Q,part_357,2026-09-20 20:26:12
Mala Bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",+91 84718 88077,N/A,3.9,185.0,"CCXV+5JM, Bhakatpara Rd, Nalbari, Assam 781335",781126,26.447953599999998,91.44403679999999,ChIJDWTlUX3LWzcRmwWFubfqess,https://www.google.com/maps/place/?q=place_id:ChIJDWTlUX3LWzcRmwWFubfqess,part_357,2026-09-20 20:26:12
Delux bakery,Bakery and Cake Shop,Restaurant,Restaurant,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",+91 97060 56051,N/A,4.1,168.0,"CCMG+JHP, Gopal Bazar, Nalbari, Balikaria Kharjara, Assam 781353",Gopal Bazar,26.4343805,91.42632119999999,ChIJB4OVtL_MWzcR8Ih6vVqzM8o,https://www.google.com/maps/place/?q=place_id:ChIJB4OVtL_MWzcR8Ih6vVqzM8o,part_357,2026-09-20 20:26:12
Sarada Bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",+91 96781 15191,N/A,3.9,83.0,"SH 9, Nalbari, Assam 781335",781126,26.442867999999997,91.43547939999999,ChIJO38XY5zMWzcRmXMpd9nK_eI,https://www.google.com/maps/place/?q=place_id:ChIJO38XY5zMWzcRmXMpd9nK_eI,part_357,2026-09-20 20:26:12
Kinkin cake & pastry House,Bakery and Cake Shop,Cake shop,Cake shop,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",+91 93653 14756,N/A,5.0,14.0,"near kakaya HS school, Kakaya, Dirua, Assam 781304",781126,26.3636257,91.3458414,ChIJ6WHnNBktWjcRhcSAXOIf904,https://www.google.com/maps/place/?q=place_id:ChIJ6WHnNBktWjcRhcSAXOIf904,part_357,2026-09-20 20:26:12
