business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bharali Jewellers,Silver Jewellery Shop,Jewelry store,"Jewelry store, Jeweler, Jewelry designer, Jewelry manufacturer, Jewelry repair service",781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",+91 91015 53869,N/A,5.0,,"Kali Mandir, Balowa Kumrikata Road, near Goalpara Chowk, Jagara, Assam 781310",781126,26.3681198,91.3777088,ChIJ01h7J8czWjcRiU31eWG7xLk,https://www.google.com/maps/place/?q=place_id:ChIJ01h7J8czWjcRiU31eWG7xLk,part_357,2026-09-20 20:26:16
M.P. jewellry,Silver Jewellery Shop,Jewelry store,Jewelry store,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",N/A,N/A,4.7,,"C83P+PGH, Chamata, Assam 781306",781126,26.404301,91.33636779999999,ChIJK5b2dgItWjcRbX6mxiQnmjc,https://www.google.com/maps/place/?q=place_id:ChIJK5b2dgItWjcRbX6mxiQnmjc,part_357,2026-09-20 20:26:16
Singhania Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",+91 91270 10044,N/A,4.5,,"Bhakatpara Rd, Nalbari, Assam 781335",781126,26.4480817,91.44365429999999,ChIJnyLvVn3LWzcRzQEpQmCorng,https://www.google.com/maps/place/?q=place_id:ChIJnyLvVn3LWzcRzQEpQmCorng,part_357,2026-09-20 20:26:16
Minakshi Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",+91 94350 27934,N/A,4.9,,"LNB Rd, Nalbari, Assam 781335",781126,26.4474377,91.4422285,ChIJAU4UNZ3MWzcRwHSd4ri2xHc,https://www.google.com/maps/place/?q=place_id:ChIJAU4UNZ3MWzcRwHSd4ri2xHc,part_357,2026-09-20 20:26:16
Shree Ganesh Jewellery,Silver Jewellery Shop,Jewelry store,"Jewelry store, Jeweler, Jewelry manufacturer",781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",+91 94353 23114,N/A,4.3,,"LNB Rd, Nalbari, Assam 781335",781126,26.447590299999998,91.44211759999999,ChIJBza3yoLMWzcRXnk4vmQotgs,https://www.google.com/maps/place/?q=place_id:ChIJBza3yoLMWzcRXnk4vmQotgs,part_357,2026-09-20 20:26:16
মা সুমিয়া জুয়েলার্স,Silver Jewellery Shop,Jewelry store,Jewelry store,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",N/A,N/A,,,"79M7+WJP ঘরোয়া বাহা চারিআলি ম মুগদী, Mukalmua, Assam 781126",781126,26.284842299999998,91.3640822,ChIJabPgaQAvWjcRvADKWDm-esI,https://www.google.com/maps/place/?q=place_id:ChIJabPgaQAvWjcRvADKWDm-esI,part_357,2026-09-20 20:26:16
MAA-BABA JEWELRY,Silver Jewellery Shop,Jewelry store,Jewelry store,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",+91 70022 95835,N/A,5.0,,"SH 2, Khongra, Malipara, Assam 781305",781126,26.277549,91.1929068,ChIJ7Wfd2M2HWTcRmkR8-5sC-n8,https://www.google.com/maps/place/?q=place_id:ChIJ7Wfd2M2HWTcRmkR8-5sC-n8,part_357,2026-09-20 20:26:16
Chandika Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",+91 86384 32739,N/A,5.0,,"Belsor, Assam 781304",781126,26.3817925,91.34642769999999,ChIJJ8lMJP0tWjcRIR9BbLnOhQo,https://www.google.com/maps/place/?q=place_id:ChIJJ8lMJP0tWjcRIR9BbLnOhQo,part_357,2026-09-20 20:26:16
A.J. City Gold,Silver Jewellery Shop,Jewelry store,Jewelry store,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",+91 78965 55005,N/A,,,"Nalbari Road, Mukalmua, Nalbari, Assam 781126",781126,26.273038,91.349831,ChIJHWS4dc8vWjcR83hUSU-PmGI,https://www.google.com/maps/place/?q=place_id:ChIJHWS4dc8vWjcR83hUSU-PmGI,part_357,2026-09-20 20:26:16
B S Jewellery,Silver Jewellery Shop,Jewelry store,Jewelry store,781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O",+91 60020 69127,N/A,,,"Hajo Rd, near sankar mandir, Marowa, Nalbari, Pub-Kalakuchi, Assam 781348",Marowa,26.359537699999997,91.4452889,ChIJcbvY8Bs1WjcROjFUuSiEOBA,https://www.google.com/maps/place/?q=place_id:ChIJcbvY8Bs1WjcROjFUuSiEOBA,part_357,2026-09-20 20:26:16
