business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Pakghar Mustard Oil,Flour and Oil Mill,Manufacturer,"Manufacturer, Wholesaler",781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 96784 69863,N/A,5.0,,"House No 732, near Nabajyoti College, Kalgachia, Assam 781319",781327,26.3581461,90.8629272,ChIJqcgAIAChWTcRjYJSvDMhQeU,https://www.google.com/maps/place/?q=place_id:ChIJqcgAIAChWTcRjYJSvDMhQeU,part_358,2026-09-20 20:49:28,4209
Tezpur ROLLER Flour MILLS,Flour and Oil Mill,Mill,Mill,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 3712 225 771,N/A,4.8,,"MQ2G+F7R, Mission Chariali, Ketekibari, Tezpur, Assam 784154","Mission Chariali, Ketekibari",26.651232699999998,92.77564699999999,ChIJAQAAAAzCRDcREI-K2n0OeYU,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAAzCRDcREI-K2n0OeYU,part_358,2026-09-20 20:49:28,4210
N.G.Mills,Flour and Oil Mill,Store,Store,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 3672 222 458,N/A,4.1,,"9M4H+F6V, Chandmari Rd, Haibargaon, Nagaon, Assam 782001",Haibargaon,26.356238899999997,92.6780522,ChIJnc_GfRgnRTcRz5UezH6X8mc,https://www.google.com/maps/place/?q=place_id:ChIJnc_GfRgnRTcRz5UezH6X8mc,part_358,2026-09-20 20:49:28,4211
Akash Mustard Oil Mill,Flour and Oil Mill,General store,"General store, Store",781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 60023 75426,N/A,4.3,,"SIZUBARI MAZAR, Notboma, 4QJG 65C, Chaolung Sukaphaa Path, Idgah Rd, Sijubari, Hatigaon, Guwahati, Assam 781038","Sijubari, Hatigaon",26.1302997,91.77525279999999,ChIJG_8GPcpZWjcRj73754m2oQw,https://www.google.com/maps/place/?q=place_id:ChIJG_8GPcpZWjcRj73754m2oQw,part_358,2026-09-20 20:49:28,4212
Rice and Oil Mill,Flour and Oil Mill,Rice mill,Rice mill,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,4.3,,"GG77+W42, Puthagaram, Tamil Nadu 635651",781327,12.514762099999999,78.5127699,ChIJK4qqeT5TrDsRH2Z2kqJQso4,https://www.google.com/maps/place/?q=place_id:ChIJK4qqeT5TrDsRH2Z2kqJQso4,part_358,2026-09-20 20:49:28,4213
Navneet oil mill,Flour and Oil Mill,Flour mill,Flour mill,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,5.0,,"H484+WF8, Karhi, Madhya Pradesh 473880",781327,25.5672848,78.10619369999999,ChIJx3hfBcM3dzkRms03qeuRmFo,https://www.google.com/maps/place/?q=place_id:ChIJx3hfBcM3dzkRms03qeuRmFo,part_358,2026-09-20 20:49:28,4214
Hindustan Flour Mill,Flour and Oil Mill,Flour mill,Flour mill,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,3.8,,"Amroha Kanth Rd, Aiwajabad, Uttar Pradesh 244221",781327,28.944609999999997,78.49533,ChIJQ5zXGYCpCzkRdQ4Z0RM6NpQ,https://www.google.com/maps/place/?q=place_id:ChIJQ5zXGYCpCzkRdQ4Z0RM6NpQ,part_358,2026-09-20 20:49:28,4215
Somani flour mill and mustard oil,Flour and Oil Mill,Store,Store,781328,Assam Circle,N/A,Nalbari Division,"Baghmarabazar S.O, Bhotanta Mohitara B.O, Charnabazar B.O",N/A,N/A,5.0,,"SH-18 Badaun-delhi road, near chowki number-4, Sahaswan, Uttar Pradesh 243638",781328,28.068754799999997,78.7422048,ChIJIUtVxhwpdTkRPeFpq-P7T_8,https://www.google.com/maps/place/?q=place_id:ChIJIUtVxhwpdTkRPeFpq-P7T_8,part_358,2026-09-20 20:50:06,6080
K. M. Flour mill,Flour and Oil Mill,Flour mill,Flour mill,781328,Assam Circle,N/A,Nalbari Division,"Baghmarabazar S.O, Bhotanta Mohitara B.O, Charnabazar B.O",+91 94104 27910,N/A,4.8,,"Tarfara Rd, near ganesh g mandir, Avas Vikas Colony, Hathras, Uttar Pradesh 204101",Avas Vikas Colony,27.586316399999998,78.0572761,ChIJMdBY4NCEdDkREjp_8zlODzw,https://www.google.com/maps/place/?q=place_id:ChIJMdBY4NCEdDkREjp_8zlODzw,part_358,2026-09-20 20:50:06,6081
"Satez Agro Products Pvt. Ltd. Bazarapara, Kokjhar",Flour and Oil Mill,Corporate office,Corporate office,781328,Assam Circle,N/A,Nalbari Division,"Baghmarabazar S.O, Bhotanta Mohitara B.O, Charnabazar B.O",N/A,http://www.annapurnagroup.in/,4.2,,"4G7Q+7VX, Vill: Kokjhar, Mouza: Chayani, Palasbari, Assam 781128",781328,26.1132323,91.5397306,ChIJc0DkfLhAWjcROzoay5whM2M,https://www.google.com/maps/place/?q=place_id:ChIJc0DkfLhAWjcROzoay5whM2M,part_358,2026-09-20 20:50:06,6082
ૐ Flour Mill,Flour and Oil Mill,Flour mill,Flour mill,781328,Assam Circle,N/A,Nalbari Division,"Baghmarabazar S.O, Bhotanta Mohitara B.O, Charnabazar B.O",N/A,N/A,5.0,,"H5G9+4X8, Banbhora, Uttar Pradesh 203398",781328,28.5752615,78.16996929999999,ChIJ7Vv0BwBpCzkRhFw9ql4yZYc,https://www.google.com/maps/place/?q=place_id:ChIJ7Vv0BwBpCzkRhFw9ql4yZYc,part_358,2026-09-20 20:50:06,6083
Brijmohan Flour Mill,Flour and Oil Mill,Flour mill,Flour mill,781328,Assam Circle,N/A,Nalbari Division,"Baghmarabazar S.O, Bhotanta Mohitara B.O, Charnabazar B.O",+91 99270 73142,N/A,5.0,,"RMHH+6HH, Pakwara, Uttar Pradesh 244102",781328,28.8280638,78.6789826,ChIJcfbA0Bj9CjkRX1iLhP7ubpY,https://www.google.com/maps/place/?q=place_id:ChIJcfbA0Bj9CjkRX1iLhP7ubpY,part_358,2026-09-20 20:50:06,6084
Star Food Production,Flour and Oil Mill,Mill,Mill,781328,Assam Circle,N/A,Nalbari Division,"Baghmarabazar S.O, Bhotanta Mohitara B.O, Charnabazar B.O",N/A,https://store.shoopy.in/star-food-production,5.0,,"House 137 near Bechamari Bazar Nagaon Assam 137, Bechamari, Assam 782123",781328,26.404966299999998,92.45287569999999,ChIJF6rumm8rWzcRTwPLJ50E5ag,https://www.google.com/maps/place/?q=place_id:ChIJF6rumm8rWzcRTwPLJ50E5ag,part_358,2026-09-20 20:50:06,6085
Goyal Flour Mill,Flour and Oil Mill,Flour mill,Flour mill,781328,Assam Circle,N/A,Nalbari Division,"Baghmarabazar S.O, Bhotanta Mohitara B.O, Charnabazar B.O",+91 95577 04790,N/A,5.0,,"MDR 70W, near Khurja, Junction, Maina Mojpur, Uttar Pradesh 203132",Junction,28.2090274,77.81788399999999,ChIJQcogwRmsDDkRUt2i7pvZR4E,https://www.google.com/maps/place/?q=place_id:ChIJQcogwRmsDDkRUt2i7pvZR4E,part_358,2026-09-20 20:50:06,6086
Amar Roller Flour Mill,Flour and Oil Mill,Flour mill,"Flour mill, Food Processing Company",781329,Assam Circle,N/A,Nalbari Division,"Nityananda S.O, Akaya B.O, Bhogpur B.O",+91 97742 57017,N/A,4.1,,"House, 1, Golaghat Rd, Police Colony, Dimapur, Nagaland 797112",Police Colony,25.9112342,93.72854459999999,ChIJgWwzLujhRTcRayERiVnxVNE,https://www.google.com/maps/place/?q=place_id:ChIJgWwzLujhRTcRayERiVnxVNE,part_358,2026-09-20 20:50:45,8183
Kisan Flour Mill,Flour and Oil Mill,Flour mill,Flour mill,781329,Assam Circle,N/A,Nalbari Division,"Nityananda S.O, Akaya B.O, Bhogpur B.O",N/A,N/A,4.0,,"Moh. Mayapuri, nearest Mandi samiti, Gajraula, Uttar Pradesh 244235",781329,28.8413383,78.2365631,ChIJ2xWqg_F1CzkRHyM2B-hvj8w,https://www.google.com/maps/place/?q=place_id:ChIJ2xWqg_F1CzkRHyM2B-hvj8w,part_358,2026-09-20 20:50:45,8184
Kuber Roller Flour Mills,Flour and Oil Mill,Store,"Store, Flour mill",781329,Assam Circle,N/A,Nalbari Division,"Nityananda S.O, Akaya B.O, Bhogpur B.O",N/A,N/A,3.9,19.0,"Shop No 1 Assam,Golaghat,785612 NH715, Assam 785612",781329,26.638555699999998,93.6158852,ChIJHX_h2oskRDcR0FNhkq7Q6qU,https://www.google.com/maps/place/?q=place_id:ChIJHX_h2oskRDcR0FNhkq7Q6qU,part_358,2026-09-20 20:50:46,8185
Shree Mahabir Oil & Flour Mills,Flour and Oil Mill,Agricultural production,Agricultural production,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 70028 39830,N/A,5.0,9.0,"NH-37, Bokakhat, Assam 785612",781330,26.6397518,93.6146716,ChIJictUFPMlRDcR1Elfu-4f19w,https://www.google.com/maps/place/?q=place_id:ChIJictUFPMlRDcR1Elfu-4f19w,part_358,2026-09-20 20:51:27,10758
Bimal flour rice & oil mills,Flour and Oil Mill,Manufacturer,Manufacturer,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 99544 50884,N/A,4.5,6.0,"5VR6+Q98, Sarupathar, Assam 785601",781330,26.191904299999997,93.86093919999999,ChIJk2e9iGt7RjcRxMm416UI-uA,https://www.google.com/maps/place/?q=place_id:ChIJk2e9iGt7RjcRxMm416UI-uA,part_358,2026-09-20 20:51:27,10759
Prasanta oil &rice mill,Flour and Oil Mill,General store,General store,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 84728 94665,N/A,5.0,,"22, Phukan Gaon, Assam 787053",781333,27.292546599999998,94.4048785,ChIJr-ypYJzZQDcRy8aioSUJii8,https://www.google.com/maps/place/?q=place_id:ChIJr-ypYJzZQDcRy8aioSUJii8,part_358,2026-09-20 20:52:07,13408
Baba Chakki Mill,Flour and Oil Mill,Wholesaler,Wholesaler,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 98549 04230,N/A,5.0,,"Mahajan Path, Rajiv Gandhi Rd, Jyotikuchi, Guwahati, Assam 781040",Jyotikuchi,26.127065899999998,91.7372218,ChIJo4cNK-BbWjcRBByS3aSlTW4,https://www.google.com/maps/place/?q=place_id:ChIJo4cNK-BbWjcRBByS3aSlTW4,part_358,2026-09-20 20:52:07,13409
Apurba Agrotec Mustard Oil Mill & Atta chakki organic shop,Flour and Oil Mill,Food Processing Company,Food Processing Company,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 86385 06118,N/A,5.0,,"Kanya Mahavidyalaya, Path, Guwahati, Assam 781024",781333,26.1735623,91.7912702,ChIJ7ZiNQHBZWjcReKRJ0EWGohA,https://www.google.com/maps/place/?q=place_id:ChIJ7ZiNQHBZWjcReKRJ0EWGohA,part_358,2026-09-20 20:52:08,13410
Pitamber Flour Mills Private Limited,Flour and Oil Mill,Flour mill,Flour mill,781335,Assam Circle,N/A,Nalbari Division,"Nalbari H.O, Bidyapur S.O, Khatabari S.O",+91 33 2661 7753,http://www.pitamberflourmills.com/,4.1,,"H58G+2GP, Poly Park, Dhulagori, Howrah, West Bengal 711331","Poly Park, Dhulagori",22.5650908,88.17632449999999,ChIJOcQhWdJ_AjoR6iyQrG3fa1o,https://www.google.com/maps/place/?q=place_id:ChIJOcQhWdJ_AjoR6iyQrG3fa1o,part_358,2026-09-20 20:53:24,15679
Shree Lakshmi Mills,Flour and Oil Mill,Flour mill,Flour mill,781338,Assam Circle,N/A,Nalbari Division,"Solmara S.O, Bori B.O, Helacha B.O",N/A,N/A,4.2,10.0,"MXJF+6P8, Paivalike, Keralam 671322",781338,12.6805258,74.97432239999999,ChIJ3fFFxCWepDsRdKrBC3FCEBQ,https://www.google.com/maps/place/?q=place_id:ChIJ3fFFxCWepDsRdKrBC3FCEBQ,part_358,2026-09-20 20:54:35,17521
VIDYANAGAR OIL & FLOUR MILL,Flour and Oil Mill,Flour and Oil Mill,Flour and Oil Mill,781338,Assam Circle,N/A,Nalbari Division,"Solmara S.O, Bori B.O, Helacha B.O",N/A,N/A,,,"Badiyadka, Keralam 671551",781338,12.584126399999999,75.07427779999999,ChIJ1wAmFkObpDsR-BVR5Nj-oLw,https://www.google.com/maps/place/?q=place_id:ChIJ1wAmFkObpDsR-BVR5Nj-oLw,part_358,2026-09-20 20:54:35,17522
OIL AND FLOUR MILL,Flour and Oil Mill,Food Processing Company,Food Processing Company,781338,Assam Circle,N/A,Nalbari Division,"Solmara S.O, Bori B.O, Helacha B.O",N/A,N/A,,,"Chowki -Uliyathadukka, Azad Nagar, Kasaragod, Pernadka, Keralam 671124",Azad Nagar,12.5362415,74.9797634,ChIJJ6Rbu6aDpDsR6QEee6eAYyw,https://www.google.com/maps/place/?q=place_id:ChIJJ6Rbu6aDpDsR6QEee6eAYyw,part_358,2026-09-20 20:54:35,17523
Sanatanam Naturals Oil & Flour Mill,Flour and Oil Mill,Manufacturer,Manufacturer,781339,Assam Circle,N/A,Nalbari Division,"Karia S.O, Arikuchi B.O, Bala B.O",+91 79027 35118,N/A,5.0,,"Khandige road, Kanyapadi, Neerchal, Keralam 671321",Kanyapadi,12.5866302,75.0407705,ChIJnzuJFt2dpDsRHNNlGnK_Bao,https://www.google.com/maps/place/?q=place_id:ChIJnzuJFt2dpDsRHNNlGnK_Bao,part_358,2026-09-20 20:55:11,18994
Rice and flour and millet mill,Flour and Oil Mill,Manufacturer,Manufacturer,781340,Assam Circle,N/A,Nalbari Division,"Banekuchi S.O, Bakuajari B.O, Khukhundi B.O",N/A,N/A,4.9,13.0,"SH 199, Mohavanur R.F., Mohavanur North, Tamil Nadu 621315",781340,10.6020336,78.2773036,ChIJsZJArmITqjsRxQM0BV7bRAo,https://www.google.com/maps/place/?q=place_id:ChIJsZJArmITqjsRxQM0BV7bRAo,part_358,2026-09-20 20:55:46,19764
Oil Mill,Flour and Oil Mill,Mill,"Mill, Store",781347,Assam Circle,N/A,Nalbari Division,"Kamarkuchi S.O, Arangmow B.O, Athgharia B.O",+91 77469 83010,N/A,5.0,,"Chungi Naka, Pichhore - Chanderi Rd, Pichhore, Nayagaon, Madhya Pradesh 473995",781347,25.1624181,78.1930462,ChIJZb8YtOTjeTkR059jBjHOdgY,https://www.google.com/maps/place/?q=place_id:ChIJZb8YtOTjeTkR059jBjHOdgY,part_358,2026-09-20 20:58:47,23035
