business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Goyary Grocery Stote,Provision Store,General store,General store,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 87610 35095,N/A,,,"to, Bhutan road, Anchali, Lawkhata, Assam 781330",781327,26.705492099999997,91.2249162,ChIJZ2iuKDTfWzcR0Lg-rEQsvgw,https://www.google.com/maps/place/?q=place_id:ChIJZ2iuKDTfWzcR0Lg-rEQsvgw,part_358,2026-09-20 20:48:52,279
Hirak Jyoti Store,Provision Store,General store,General store,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 78960 04519,N/A,5.0,,"Shop 1, Simla Hazuwa, near State Bank, Simla, Assam 781330",781327,26.705593999999998,91.19499119999999,ChIJn7BdDd1hWTcR21rXWgavZ1o,https://www.google.com/maps/place/?q=place_id:ChIJn7BdDd1hWTcR21rXWgavZ1o,part_358,2026-09-20 20:48:52,280
Maa Kali Varieties,Provision Store,General store,"General store, Convenience store",781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,5.0,,"Kalahabhanga, Barpeta Road, Sat Bainer Tup, Assam 781315",Kalahabhanga,26.495424,90.9655099,ChIJi4n_TQB1WTcRybKBNvxmwJQ,https://www.google.com/maps/place/?q=place_id:ChIJi4n_TQB1WTcRybKBNvxmwJQ,part_358,2026-09-20 20:48:52,281
Jessica's Store,Provision Store,Indian grocery store,Indian grocery store,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,,,"Agrangguri, Patshala, Khumtai Mari, Assam 781327",Agrangguri,26.6853421,91.1587653,ChIJvQon8SNjWTcRg-UhK0u3Qy4,https://www.google.com/maps/place/?q=place_id:ChIJvQon8SNjWTcRg-UhK0u3Qy4,part_358,2026-09-20 20:48:52,282
NEW PAUL BHANDAR,Provision Store,General store,General store,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 98591 14852,N/A,4.3,8.0,"Shop 1, Taltal Bazar, Pathsala, Rajaghat, Assam 781352",781327,26.4963224,91.13197579999999,ChIJ2Qu0Ayd5WTcRRrWtzLxGXMI,https://www.google.com/maps/place/?q=place_id:ChIJ2Qu0Ayd5WTcRRrWtzLxGXMI,part_358,2026-09-20 20:48:52,283
Titapani Tiniali Bazar,Provision Store,Market,Market,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,4.4,37.0,"8R8H+P97, Garali Pam, Assam 781319",781327,26.316644099999998,90.8286164,ChIJZf9AmMOlWTcRWlY_sz71BIA,https://www.google.com/maps/place/?q=place_id:ChIJZf9AmMOlWTcRWlY_sz71BIA,part_358,2026-09-20 20:48:52,284
Shanti Bazar,Provision Store,Market,Market,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 94012 63397,N/A,4.0,131.0,"CX7X+XHV, Itarbhata, Assam 781316",781327,26.414992299999998,90.9989287,ChIJJVxTdvWdWTcREn1YfLltiP4,https://www.google.com/maps/place/?q=place_id:ChIJJVxTdvWdWTcREn1YfLltiP4,part_358,2026-09-20 20:48:52,285
GHOSH MARBLE HOUSE,Provision Store,Supermarket,Supermarket,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 94350 00157,N/A,5.0,2.0,"15, Sonkuch Colony, Assam 781314",781327,26.3459263,90.9958197,ChIJ_4JuSRqdWTcRZaUQ1ch_Vdg,https://www.google.com/maps/place/?q=place_id:ChIJ_4JuSRqdWTcRZaUQ1ch_Vdg,part_358,2026-09-20 20:48:52,286
BASUMATARY STORE (New Randhanipara),Provision Store,General store,General store,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,5.0,,"M5X7+CV, Rabang Guri, Assam 781330",781327,26.698624,91.1647187,ChIJNXTCffRhWTcRYnbbDLwlaXo,https://www.google.com/maps/place/?q=place_id:ChIJNXTCffRhWTcRYnbbDLwlaXo,part_358,2026-09-20 20:48:53,287
Machahary General Shop,Provision Store,General store,General store,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 84739 12236,N/A,5.0,,"Shop No 46, Barpeta, Botiamari, Assam 781328",781327,26.662936199999997,91.1509748,ChIJMRQQtoZjWTcRhv1IRFw00rM,https://www.google.com/maps/place/?q=place_id:ChIJMRQQtoZjWTcRhv1IRFw00rM,part_358,2026-09-20 20:48:53,288
