business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Assam Cabs,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Car rental agency, Minibus taxi service, Travel agency",781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 87209 27551,http://www.assamcabs.com/,4.4,,"Kalimandir, Ananda Nagar, Jyotinagar, Bamunimaidan, Guwahati, Assam 781021","Ananda Nagar, Jyotinagar, Bamunimaidan",26.1853978,91.7915787,ChIJIcVaPrRZWjcRd0YyzaLkyfs,https://www.google.com/maps/place/?q=place_id:ChIJIcVaPrRZWjcRd0YyzaLkyfs,part_358,2026-09-20 20:49:06,1731
Smart Car rental service,Taxi Service and Car Rental,Car leasing service,Car leasing service,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 97061 75406,N/A,4.9,,"Boc gate, North Bongaigaon, Amguri, Bongaigaon, Assam 783380","North Bongaigaon, Amguri",26.489325299999997,90.5512823,ChIJ5ZCvqWH_WDcRXjcZ6xVuLB8,https://www.google.com/maps/place/?q=place_id:ChIJ5ZCvqWH_WDcRXjcZ6xVuLB8,part_358,2026-09-20 20:49:06,1732
Rd Enterprize,Taxi Service and Car Rental,Taxi service,Taxi service,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 60035 34486,N/A,5.0,,"to, Bhawanipur Road, Sarupeta, Kalbari, Assam 781318",781327,26.487651399999997,91.0810037,ChIJJQ7SGnh5WTcRQdYLMiLKESQ,https://www.google.com/maps/place/?q=place_id:ChIJJQ7SGnh5WTcRQdYLMiLKESQ,part_358,2026-09-20 20:49:06,1733
Sujan's E-Rickshaw Service,Taxi Service and Car Rental,Taxi service,Taxi service,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 93650 24160,N/A,5.0,,"N/A, Pathsala, Assam 781325",781327,26.5102799,91.17639469999999,ChIJdU61nnJ9WTcRFoQYI6MDAg0,https://www.google.com/maps/place/?q=place_id:ChIJdU61nnJ9WTcRFoQYI6MDAg0,part_358,2026-09-20 20:49:06,1734
Najir Uddin,Taxi Service and Car Rental,Taxi service,Taxi service,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 60037 65624,N/A,5.0,,"Ananda Bazar Rd, Khusrabari, Kalbari, Nimua, Assam 781315",Khusrabari,26.581965099999998,91.0261666,ChIJ-Rw0TLxxWTcRddd-0DbMJrI,https://www.google.com/maps/place/?q=place_id:ChIJ-Rw0TLxxWTcRddd-0DbMJrI,part_358,2026-09-20 20:49:06,1735
Jubbar Travel,Taxi Service and Car Rental,Taxi service,Taxi service,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 91010 99473,N/A,5.0,,"Mowamari Lp School, Mowamari, Assam 781319",781327,26.3850865,90.89865569999999,ChIJ-TluDUWhWTcR7Ul1J8flEMk,https://www.google.com/maps/place/?q=place_id:ChIJ-TluDUWhWTcR7Ul1J8flEMk,part_358,2026-09-20 20:49:06,1736
Deep E-rikshaw,Taxi Service and Car Rental,Taxi service,Taxi service,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 60035 77082,N/A,3.2,,"Word No 9, Palande hati, Galia Hati, Barpeta, Assam 781301",Galia Hati Number 2,26.319011399999997,91.0094098,ChIJN692vN6bWTcRsMjp3visU5E,https://www.google.com/maps/place/?q=place_id:ChIJN692vN6bWTcRsMjp3visU5E,part_358,2026-09-20 20:49:06,1737
Biki Travel,Taxi Service and Car Rental,Taxi service,Taxi service,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 80113 60540,N/A,5.0,,"Kharichala, Jamer Kur, Assam 781319",Kharichala,26.4171843,90.8690014,ChIJLajt_koLWTcRVM_wMfxm_4w,https://www.google.com/maps/place/?q=place_id:ChIJLajt_koLWTcRVM_wMfxm_4w,part_358,2026-09-20 20:49:06,1738
Ajit Travel,Taxi Service and Car Rental,Taxi service,Taxi service,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 84864 37626,N/A,2.3,,"Barpeta Road, Sat Bainer Tup, Assam 781315",781327,26.5000674,90.9662831,ChIJbUGDATh1WTcRKJYs2I66jUk,https://www.google.com/maps/place/?q=place_id:ChIJbUGDATh1WTcRKJYs2I66jUk,part_358,2026-09-20 20:49:06,1739
Wahida Khatun Travel,Taxi Service and Car Rental,Taxi service,Taxi service,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 86382 47145,N/A,5.0,,"Kharichala, Jamer Kur, Assam 781319",Kharichala,26.4180277,90.87391869999999,ChIJ3ZsGh8wLWTcRdrjIzpUaU2I,https://www.google.com/maps/place/?q=place_id:ChIJ3ZsGh8wLWTcRdrjIzpUaU2I,part_358,2026-09-20 20:49:06,1740
