business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SHAMA TENT HOUSE,Tent House and Shamiana,Wedding venue,Wedding venue,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 99276 12786,N/A,5.0,,"near Saifyan Masjid, Khyasthan, Hasanpur, Uttar Pradesh 244241",Khyasthan,28.7254534,78.2771248,ChIJrek1ez5zCzkR1tTfi70D8q4,https://www.google.com/maps/place/?q=place_id:ChIJrek1ez5zCzkR1tTfi70D8q4,part_358,2026-09-20 20:49:16,2713
Shagun tent house and caterers,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 89238 03143,N/A,4.7,,"Old Tehri road, Chamba, Uttarakhand 249145",781327,30.3452991,78.3994759,ChIJkyDBZ-sdCTkRZ8D0vKy3cKw,https://www.google.com/maps/place/?q=place_id:ChIJkyDBZ-sdCTkRZ8D0vKy3cKw,part_358,2026-09-20 20:49:16,2714
SAHA TENT HOUSE,Tent House and Shamiana,Wedding service,Wedding service,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 91815 66356,N/A,5.0,,"Kokila Rd, Kokila Pt II, Assam 783392",781327,26.3598486,90.8382177,ChIJx90DYjChWTcRVWAjed0q8ok,https://www.google.com/maps/place/?q=place_id:ChIJx90DYjChWTcRVWAjed0q8ok,part_358,2026-09-20 20:49:16,2715
Diya Tent House,Tent House and Shamiana,Party equipment rental service,Party equipment rental service,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 60023 65394,N/A,3.5,,"BGR Twp, Bongaigaon, Dhaligaon Pt, Assam 783385",BGR Township,26.505798499999997,90.52542559999999,ChIJKb9YV8r5WDcRN6BXEgtTI9w,https://www.google.com/maps/place/?q=place_id:ChIJKb9YV8r5WDcRN6BXEgtTI9w,part_358,2026-09-20 20:49:16,2716
Maa durga tent house,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 98645 05055,N/A,4.9,,"tiniali Narangi, Chandrapur Rd, Birkuchi, Narengi Tinali, Guwahati, Assam 781026","Birkuchi, Narengi Tinali",26.183648899999998,91.8397342,ChIJX6ekPwP3WjcRSWbo6QgxQYs,https://www.google.com/maps/place/?q=place_id:ChIJX6ekPwP3WjcRSWbo6QgxQYs,part_358,2026-09-20 20:49:16,2717
N N Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 98640 32780,N/A,5.0,,"167, Rajgarh Rd, opp. SBI ATM House, Lachit Nagar, Guwahati, Assam 781007",Lachit Nagar,26.169223799999997,91.7700455,ChIJrcgZTHRZWjcRap-zksqO3TM,https://www.google.com/maps/place/?q=place_id:ChIJrcgZTHRZWjcRap-zksqO3TM,part_358,2026-09-20 20:49:16,2718
Shamiyana Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 70045 61005,N/A,4.2,,"QQJ2+728, Chapra - Patna Hwy, Chota Telpa, Chapra, Bihar 841301",Chota Telpa,25.780658499999998,84.7500804,ChIJDdAMMsC6kjkRqHSpSK8IymU,https://www.google.com/maps/place/?q=place_id:ChIJDdAMMsC6kjkRqHSpSK8IymU,part_358,2026-09-20 20:49:16,2719
Selection shamiyana house,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 99025 92598,N/A,4.8,,"CW2W+C7V, Shidlaghatta, Yaramalliahna Hunasehalli, Karnataka 562105",781327,13.4011175,77.94567789999999,ChIJi9QD2o0CsjsR4uolgQTEnv4,https://www.google.com/maps/place/?q=place_id:ChIJi9QD2o0CsjsR4uolgQTEnv4,part_358,2026-09-20 20:49:16,2720
Jhansi Shamyana House,Tent House and Shamiana,Tent House Supplier,"Tent House Supplier, Event planner, Wedding venue",781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 91251 23287,N/A,4.9,,"near PNB ATM, Sadar Bazar, Cantt, Jhansi, Uttar Pradesh 284001","Sadar Bazar, Cantt",25.4390926,78.5817306,ChIJZf7kuDx3dzkRcOVRwwwgtfQ,https://www.google.com/maps/place/?q=place_id:ChIJZf7kuDx3dzkRcOVRwwwgtfQ,part_358,2026-09-20 20:49:16,2721
ANSHIKHA EVENTS & TENT HOUSE,Tent House and Shamiana,Event management company,Event management company,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 88229 38967,https://anshiweds.in/,5.0,,"Niz Mancotta Rd, West Milan Nagar, Khania gaon, Dibrugarh, Assam 786003","West Milan Nagar, Khania gaon",27.4630361,94.9232408,ChIJ5xsmnwqYQDcRN59yCrxhrik,https://www.google.com/maps/place/?q=place_id:ChIJ5xsmnwqYQDcRN59yCrxhrik,part_358,2026-09-20 20:49:16,2722
