business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Guwahati Cloud kitchen,Cloud Kitchen,Assamese restaurant,Assamese restaurant,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 80990 83709,https://www.instagram.com/guwahaticloudkitchen/profilecard/?igsh=MWNoNmsyOTR2YnVleg==,4.9,,"nearby SBI ATM, Japorigog, Krishnanagar, Guwahati, Assam 781005","Japorigog, Krishnanagar",26.1598124,91.79603,ChIJv0oh7PJZWjcRQhV8vTJN-7c,https://www.google.com/maps/place/?q=place_id:ChIJv0oh7PJZWjcRQhV8vTJN-7c,part_358,2026-09-20 20:48:54
Cloud Kitchen Golaghat,Cloud Kitchen,Chicken restaurant,Chicken restaurant,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 70025 16369,N/A,3.2,,"Kumarpatty, Golaghat, Assam 785621",781327,26.5122379,93.95708429999999,ChIJ1997O_2PRjcRhHvAEzYNmAE,https://www.google.com/maps/place/?q=place_id:ChIJ1997O_2PRjcRhHvAEzYNmAE,part_358,2026-09-20 20:48:54
Cloud kitchen,Cloud Kitchen,Soup kitchen,Soup kitchen,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,,,"88, Rajgarh Link Rd, Zoo Tiniali, Guwahati, Assam 781024",Zoo Tiniali,26.1727939,91.77245719999999,ChIJ8SSWLwBZWjcRENLIemyTKCQ,https://www.google.com/maps/place/?q=place_id:ChIJ8SSWLwBZWjcRENLIemyTKCQ,part_358,2026-09-20 20:48:54
Poonam's Kitchen,Cloud Kitchen,Restaurant,Restaurant,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 86384 81612,https://poonamskitchen.in/,5.0,,"House No 10, PNGB Rd, Gotanagar, Tetelia, Guwahati, Assam 781011","Gotanagar, Tetelia",26.1382586,91.676699,ChIJK7KOoaZbWjcRkvFWARCwLSA,https://www.google.com/maps/place/?q=place_id:ChIJK7KOoaZbWjcRkvFWARCwLSA,part_358,2026-09-20 20:48:55
BLR Express,Cloud Kitchen,South Indian restaurant,"South Indian restaurant, Restaurant",781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 70025 53087,N/A,4.7,,"Ground Floor, Fatick Chandra Rd, Latasil, Uzan Bazar, Guwahati, Assam 781001","Latasil, Uzan Bazar",26.1903617,91.75306499999999,ChIJJ2g6bwBbWjcRm2OlHLk8Mzk,https://www.google.com/maps/place/?q=place_id:ChIJJ2g6bwBbWjcRm2OlHLk8Mzk,part_358,2026-09-20 20:48:55
Big Bites Restaurant,Cloud Kitchen,Restaurant,Restaurant,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 87539 45889,N/A,4.2,,"Big Bites, near Uco Bank, Howly, Ambari, Assam 781316",781327,26.4263618,90.9713459,ChIJPVuvjvJ1WTcRiyKPP8WlilE,https://www.google.com/maps/place/?q=place_id:ChIJPVuvjvJ1WTcRiyKPP8WlilE,part_358,2026-09-20 20:48:55
K K Fast Food,Cloud Kitchen,Fast food restaurant,Fast food restaurant,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 88763 30116,https://new.doofies.in/kk-fastfood,3.8,,"Shop 1, nearby Rupam Restaurant, Pathsala, Barpeta, Assam 781325",781327,26.505334899999998,91.18047179999999,ChIJV8T_x3l-WTcRN1qv8zdWjfo,https://www.google.com/maps/place/?q=place_id:ChIJV8T_x3l-WTcRN1qv8zdWjfo,part_358,2026-09-20 20:48:55
Happy Valley AC Fast Food,Cloud Kitchen,Fast food restaurant,Fast food restaurant,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 76380 54114,https://new.doofies.in/happy-valley-restaurant-pathsala,3.8,,"G54J+3H2, College Rd, Pathsala, Assam 781325",781327,26.5051305,91.1814043,ChIJF88PMJ9_WTcRf6C6BDyCkGU,https://www.google.com/maps/place/?q=place_id:ChIJF88PMJ9_WTcRf6C6BDyCkGU,part_358,2026-09-20 20:48:55
Maihang Kitchen ( ONLINE RESTAURANT ),Cloud Kitchen,Restaurant,Restaurant,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,https://www.zomato.com/nalbari/maihang-kitchen-nalbari-locality/order,5.0,,"Krishna Mandir, House Number 77C , Ward Number 8, near Barkura, Nalbari, Assam 781341",781327,26.4501866,91.42020289999999,ChIJ1cnTqwXNWzcR2Qn5bUUmQbs,https://www.google.com/maps/place/?q=place_id:ChIJ1cnTqwXNWzcR2Qn5bUUmQbs,part_358,2026-09-20 20:48:55
Dawla Hotel & Restaurant,Cloud Kitchen,Restaurant,Restaurant,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 95911 48060,N/A,3.9,,"Barpeta Road, Assam 781315",781327,26.497315399999998,90.9685282,ChIJvTjE7BF0WTcR1063Q4tzJ_A,https://www.google.com/maps/place/?q=place_id:ChIJvTjE7BF0WTcR1063Q4tzJ_A,part_358,2026-09-20 20:48:55
