business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Royal Diagnostic & Research Centre, Barpeta",Diagnostic Center,Hospital,Hospital,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 91012 54447,N/A,4.5,,"Metuakuchi, Medical College Road, Assam 781301",Muslimpatty,26.3253001,90.99604509999999,ChIJF6soLiWdWTcRy10hbDqWqj4,https://www.google.com/maps/place/?q=place_id:ChIJF6soLiWdWTcRy10hbDqWqj4,part_358,2026-09-20 20:49:02
Alcare Diagnostic & Research Pvt. Ltd. | Barpeta Center,Diagnostic Center,Diagnostic center,Diagnostic center,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,https://www.alcarediagnostics.com/locations/barpeta-center/%2B91-9854024855,3.0,,"BARPETA HOWLI ROAD, N Barpeta Bridge, near ASTC OFFICE, Assam 781301",Sonkuchi,26.3367363,91.0013835,ChIJuXBwl7GdWTcRE6OBcFjRLP8,https://www.google.com/maps/place/?q=place_id:ChIJuXBwl7GdWTcRE6OBcFjRLP8,part_358,2026-09-20 20:49:02
BARPETA ROAD DIAGNOSTIC CENTRE,Diagnostic Center,Laboratory,Laboratory,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 97069 96896,N/A,4.0,,"Barpeta Road, Sat Bainer Tup, Assam 781315",781327,26.4957599,90.9676286,ChIJVVVVVQ50WTcRClpWhT3PPJk,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVQ50WTcRClpWhT3PPJk,part_358,2026-09-20 20:49:02
Matrix Diagnostic Centre,Diagnostic Center,Laboratory,Laboratory,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 70028 65425,N/A,4.3,,"Sonkuchi, near Bus Stand, Area, Barpeta, Assam 781301",Area,26.3388045,91.0000737,ChIJK7ol4fOdWTcR7-4NdMPANUs,https://www.google.com/maps/place/?q=place_id:ChIJK7ol4fOdWTcR7-4NdMPANUs,part_358,2026-09-20 20:49:02
Global Diagnostic & Research Centre,Diagnostic Center,Diagnostic center,Diagnostic center,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 93878 76200,http://www.gdrcbarpeta.com/,4.1,,"GDRC, Jania Road, Metuakuchi, Muslimpatty, Barpeta, Assam 781314","Metuakuchi, Muslimpatty",26.325177,90.9935857,ChIJZRXUPiOdWTcRW96FMQ-C09U,https://www.google.com/maps/place/?q=place_id:ChIJZRXUPiOdWTcRW96FMQ-C09U,part_358,2026-09-20 20:49:02
Modern Diagnostic Centre,Diagnostic Center,Medical clinic,Medical clinic,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 3666 261 028,N/A,4.0,,"FXV8+QXC, Barpeta Road, Sat Bainer Tup, Assam 781315",781327,26.494445799999998,90.96738619999999,ChIJMcLG3RN0WTcReXxigRox3Xs,https://www.google.com/maps/place/?q=place_id:ChIJMcLG3RN0WTcReXxigRox3Xs,part_358,2026-09-20 20:49:02
Bhalukamari Health and Wellness Center,Diagnostic Center,Medical laboratory,Medical laboratory,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,5.0,,"M7CF+VF4, Bhalukamuri, Assam 781327",781327,26.6721346,91.2736984,ChIJsbmHE2rZWzcRcihbazrpq54,https://www.google.com/maps/place/?q=place_id:ChIJsbmHE2rZWzcRcihbazrpq54,part_358,2026-09-20 20:49:02
Unique Diagnostics centre,Diagnostic Center,Medical clinic,Medical clinic,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,,,"J3MW+MQ5, Salbari, Tangabari Gaon, Assam 781320",781327,26.6341261,91.0969779,ChIJt499GwBlWTcRXtzmErycmew,https://www.google.com/maps/place/?q=place_id:ChIJt499GwBlWTcRXtzmErycmew,part_358,2026-09-20 20:49:02
Dubagaon Sub Centre,Diagnostic Center,Medical Center,Medical Center,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,,,"P63X+V3, Arakara, Assam 781327",781327,26.704704999999997,91.24757199999999,ChIJ1bNtq5HfWzcREFKwg7bE5uc,https://www.google.com/maps/place/?q=place_id:ChIJ1bNtq5HfWzcREFKwg7bE5uc,part_358,2026-09-20 20:49:02
Manas Diagnostic Laboratory,Diagnostic Center,Diagnostic center,Diagnostic center,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,5.0,,"FXX9+P82, Barpeta Rd, Barpeta Road, Sat Bainer Tup, Assam 781315",781327,26.499273799999997,90.96825989999999,ChIJv-AxBQ50WTcR3ODLMiKEYwI,https://www.google.com/maps/place/?q=place_id:ChIJv-AxBQ50WTcR3ODLMiKEYwI,part_358,2026-09-20 20:49:02
