business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
KAMAKHYA ENGINEERING REPAIRING CENTRE,Welding and Lathe Works,Welder,"Welder, Metal fabricator",781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 97070 33231,N/A,5.0,,"AK Dev Rd, Katahbari, Dhirenpara, Guwahati, Assam 781035","Katahbari, Dhirenpara",26.1179028,91.7158752,ChIJr30zkX1cWjcRRPfbs_AwCnk,https://www.google.com/maps/place/?q=place_id:ChIJr30zkX1cWjcRRPfbs_AwCnk,part_358,2026-09-20 20:49:26
Virat Welding & engineering works,Welding and Lathe Works,Metal workshop,Metal workshop,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 92905 73724,N/A,5.0,,"Mallial, Telangana 505452",781327,18.7051578,78.9521286,ChIJR2Tn-RcXzTsR0hh864ReAo8,https://www.google.com/maps/place/?q=place_id:ChIJR2Tn-RcXzTsR0hh864ReAo8,part_358,2026-09-20 20:49:26
Mashahid welding work shop,Welding and Lathe Works,Welder,Welder,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,5.0,,"3JWR+2WR, Salempur Khas, Uttar Pradesh 244501",781327,29.0951129,78.6422704,ChIJg90ocwCtCzkRcUT1NIfkl4U,https://www.google.com/maps/place/?q=place_id:ChIJg90ocwCtCzkRcUT1NIfkl4U,part_358,2026-09-20 20:49:26
Rakib welding & Fabrication,Welding and Lathe Works,Welder,Welder,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 91017 14109,N/A,4.0,,"civil hospital, infront, Joysagar, Dicial Dhulia Gaon, Rupahi Pathar, Assam 785665",Joysagar,26.9570464,94.6125958,ChIJLyjG3r8xRzcR9Zo-53IEp5E,https://www.google.com/maps/place/?q=place_id:ChIJLyjG3r8xRzcR9Zo-53IEp5E,part_358,2026-09-20 20:49:26
swastik Welding and Fabrication Store,Welding and Lathe Works,Welder,Welder,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 70863 77035,N/A,4.7,,"Bashbari, Jorhat, Assam 785001",Bashbari,26.7479789,94.21323509999999,ChIJG2WJK2XDRjcRKO9a4iqFReQ,https://www.google.com/maps/place/?q=place_id:ChIJG2WJK2XDRjcRKO9a4iqFReQ,part_358,2026-09-20 20:49:26
B.N. MECHANICAL Works,Welding and Lathe Works,Machine repair service,"Machine repair service, Blacksmith, Machine knife supplier, Machine maintenance service",781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 96780 11275,N/A,4.8,,"C.I.T.I Kalapahar Industries, C/O Usha Rani Deka, Sankarpur, Birubari, Guwahati, Assam 781016","Sankarpur, Birubari",26.1610785,91.7411087,ChIJ3QhJhLNbWjcRS_xUWVBXKw4,https://www.google.com/maps/place/?q=place_id:ChIJ3QhJhLNbWjcRS_xUWVBXKw4,part_358,2026-09-20 20:49:26
Multi Trade Combines,Welding and Lathe Works,Industrial equipment supplier,"Industrial equipment supplier, Construction equipment supplier, Hardware store, Laboratory equipment supplier, Material handling equipment supplier, Measuring instruments supplier, Safety equipment supplier, Tool store, Water Pump Supplier, Welding supply store",781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 91812 13332,https://multitradecombines.com/,4.9,,"Shop No. 4, Talukdar Complex, Assam Trunk Rd, near TN TOWER, Guwahati, Assam 781001",781327,26.180381099999998,91.7467341,ChIJ-yHobDNbWjcRnlUROaxwEuE,https://www.google.com/maps/place/?q=place_id:ChIJ-yHobDNbWjcRnlUROaxwEuE,part_358,2026-09-20 20:49:26
WeldingFabricationsEngineering & Lathe Machine Works,Welding and Lathe Works,Iron works,Iron works,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 97054 78549,N/A,,,"Ragavedra Nager Colony, Bus Deport, Road, Medchal, Kistapur, Hyderabad, Telangana 501401",Medchal,17.6327438,78.4866299,ChIJozI3WBeGyzsRQwLcR97H8Oo,https://www.google.com/maps/place/?q=place_id:ChIJozI3WBeGyzsRQwLcR97H8Oo,part_358,2026-09-20 20:49:26
Rawat Manufacture and Welding Workshop,Welding and Lathe Works,Metal fabricator,"Metal fabricator, Construction equipment supplier, Construction machine rental service, Hardware store, Iron works, Metal construction company, Metal workshop, Steel industry, Transportation service, Welding supply store",781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 75056 10193,http://rawatmanufacture.com/,5.0,,"brahmkhal, Road, Jemar, Uttarakhand 249152","brahmkhal, Road",30.696984099999998,78.3003437,ChIJm_Rn6NzrCDkRV8fR07pMwf8,https://www.google.com/maps/place/?q=place_id:ChIJm_Rn6NzrCDkRV8fR07pMwf8,part_358,2026-09-20 20:49:26
Technical Engineering Works,Welding and Lathe Works,Fabrication Engineer,"Fabrication Engineer, Industrial consultant, Industrial engineer, Industrial technical engineers association, Metal fabricator, Metal workshop, Raft trip outfitter, Shopfitter, Welding supply store",781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,http://technical-engineering-works.business.site.in/,5.0,,"near by Indian gas agency, Moholla peerzadgan, Bachhraon, Dariyapur Khurd Shumali, Uttar Pradesh 244225",Moholla peerzadgan,28.927151499999997,78.2502368,ChIJ3x0lvuqfCzkR9MXD8-wde_M,https://www.google.com/maps/place/?q=place_id:ChIJ3x0lvuqfCzkR9MXD8-wde_M,part_358,2026-09-20 20:49:26
