business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SBFC Finance Limited,Microfinance and NBFC,Financial institution,Financial institution,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 86554 77624,https://www.sbfc.com/,5.0,,"1st Floor, Ward No – 7, Ramkrishna Shopping Complex, Aranyak Rd, Babupara, Barpeta Road, Assam 781315",Babupara,26.4964539,90.97782939999999,ChIJM3SDIMF1WTcRQOmoFduGS9I,https://www.google.com/maps/place/?q=place_id:ChIJM3SDIMF1WTcRQOmoFduGS9I,part_358,2026-09-20 20:51:22
Ab Finance Pvt,Microfinance and NBFC,Financial planner,Financial planner,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 74991 53808,http://abfmicroservicesindia.in/,3.0,,"Shop No 5, near Essar Petrol Paum, Nagaon, Assam 781311",781330,26.3043844,91.1052887,ChIJJ9KDi8eFWTcRHG0fYLzLX8Q,https://www.google.com/maps/place/?q=place_id:ChIJJ9KDi8eFWTcRHG0fYLzLX8Q,part_358,2026-09-20 20:51:22
FINZZO MICRO FINANCE PVT LTD,Microfinance and NBFC,Financial consultant,Financial consultant,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 93657 06456,N/A,5.0,,"31 Mererchar, Po, Kushbari, Abhayapuri, Assam 783384",781330,26.286747199999997,90.72373309999999,ChIJr6biBVevWTcRSVzo1cliV-A,https://www.google.com/maps/place/?q=place_id:ChIJr6biBVevWTcRSVzo1cliV-A,part_358,2026-09-20 20:51:22
North East Small Finance Bank,Microfinance and NBFC,Bank,Bank,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 94010 47807,https://nesfb.com/,5.0,,"Senga, Tarabari, Assam 781305",781330,26.279304,91.15624299999999,ChIJ44PfBL-HWTcR9_85Ust6lWU,https://www.google.com/maps/place/?q=place_id:ChIJ44PfBL-HWTcR9_85Ust6lWU,part_358,2026-09-20 20:51:22
Fusion microfinance ltd . Bokakhat,Microfinance and NBFC,Corporate office,Corporate office,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",N/A,N/A,5.0,,"JJM9+M73, Bokakhat, Mohmaiki, Assam 785612",781330,26.6341421,93.6181709,ChIJYSy5dQAlRDcRGJr7VogS7q0,https://www.google.com/maps/place/?q=place_id:ChIJYSy5dQAlRDcRGJr7VogS7q0,part_358,2026-09-20 20:51:22
North East Small Finance Bank,Microfinance and NBFC,Bank,Bank,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 99549 10599,https://nesfb.com/,4.7,,"Chalantapara Pt IV, Assam 783388",781330,26.262190999999998,90.590976,ChIJdQSac8VSWDcRa4n8njWLOT8,https://www.google.com/maps/place/?q=place_id:ChIJdQSac8VSWDcRa4n8njWLOT8,part_358,2026-09-20 20:51:22
FUSION MICROFINANCE PVT LTD,Microfinance and NBFC,Corporate office,Corporate office,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",N/A,N/A,3.7,,"JQQJ+3WF, near AMRIT MANTHAN BHAVAN, Murha Teteli, Geetanagar, Tezpur, Assam 784001","Murha Teteli, Geetanagar",26.637688999999998,92.782282,ChIJhxzBYJTpRDcRn1fwG9yVtXo,https://www.google.com/maps/place/?q=place_id:ChIJhxzBYJTpRDcRn1fwG9yVtXo,part_358,2026-09-20 20:51:22
North East Small Finance Bank,Microfinance and NBFC,Bank,Bank,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 60028 83299,https://nesfb.com/,4.0,,"Nakhandia, Charaibahi, Mikirbheta, Mikirvita, Assam 782106",Medhi Goan,26.2914389,92.4544461,ChIJX4MIk4bTWjcRKey31APUxzw,https://www.google.com/maps/place/?q=place_id:ChIJX4MIk4bTWjcRKey31APUxzw,part_358,2026-09-20 20:51:22
North East Small Finance Bank,Microfinance and NBFC,Bank,Bank,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",N/A,https://nesfb.com/,5.0,,"1 st Floor, Punoi Bhawan, Thana Charali, Chapakhowa, Sadiya, Assam 786157",781330,27.915288999999998,95.76616,ChIJ6deFsMFTPjcRi88D_j3nC9c,https://www.google.com/maps/place/?q=place_id:ChIJ6deFsMFTPjcRi88D_j3nC9c,part_358,2026-09-20 20:51:22
North Eastern Development Finance Corporation Ltd,Microfinance and NBFC,Financial institution,"Financial institution, Service establishment",781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 3842 220 157,http://www.nedfi.com/,5.0,,"North Eastern Development Finance Corporation Ltd, 781330, India",781330,24.8281717,92.78363949999999,ChIJ7wVU0nZLTjcRuzMwctNvJ7Q,https://www.google.com/maps/place/?q=place_id:ChIJ7wVU0nZLTjcRuzMwctNvJ7Q,part_358,2026-09-20 20:51:22
