business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Furkan Motor(Repairing)& Electronics (Repairing)&Accessories Shop,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 91013 26465,N/A,5.0,,"Amlokhi Gaon, Lalung Gaon, Amlakhi Gaon, Assam 782123",781330,26.4020978,92.5160121,ChIJK6ZC4i7VRDcRSuynHkhENUg,https://www.google.com/maps/place/?q=place_id:ChIJK6ZC4i7VRDcRSuynHkhENUg,part_358,2026-09-20 20:51:26
New Rewinder Engineers,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 93658 92082,N/A,4.7,,"Silchar-9, near True Value, Rongpur Part III, Rongpur part-4, Rongpur Part 4, Rongpur, Silchar, Assam 788009","Rongpur Part III, Rongpur part-4, Rongpur Part 4, Rongpur",24.834144,92.821697,ChIJjTTnbRdLTjcRCTsbfieI4mE,https://www.google.com/maps/place/?q=place_id:ChIJjTTnbRdLTjcRCTsbfieI4mE,part_358,2026-09-20 20:51:26
MD Repairing Stop,Motor Rewinding and Pump Repair,Electronics repair shop,"Electronics repair shop, Appliance repair service, Electric motor repair shop, Electrical repair shop",781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 70022 72900,N/A,5.0,,"Rangamati Rd, Saruthekerabari, Mangaldoi, Assam 784529",781330,26.3968098,91.97470729999999,ChIJOVyzUEX9WjcRxHWuw4ba04c,https://www.google.com/maps/place/?q=place_id:ChIJOVyzUEX9WjcRxHWuw4ba04c,part_358,2026-09-20 20:51:26
Re-Winding House,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",N/A,N/A,,,"Odal Bakra Main Rd, Odalbakra, Lal Ganesh, Guwahati, Assam 781034","Odalbakra, Lal Ganesh",26.140839699999997,91.744721,ChIJc_oxheVbWjcRzd6oDQYOYhY,https://www.google.com/maps/place/?q=place_id:ChIJc_oxheVbWjcRzd6oDQYOYhY,part_358,2026-09-20 20:51:26
"Transformer Repair and Service, Solar Power System Supply, Pumps, Valves, Gaskets",Motor Rewinding and Pump Repair,Repair service,Repair service,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",N/A,N/A,5.0,,"Adhar Chand, School Road, Ambicapatty, Silchar, Assam 788004",Ambicapatty,24.819454699999998,92.794434,ChIJBy7PHfRLTjcRh30MnGX2kME,https://www.google.com/maps/place/?q=place_id:ChIJBy7PHfRLTjcRh30MnGX2kME,part_358,2026-09-20 20:51:26
M/S. V. P. Singh,Motor Rewinding and Pump Repair,Electrician,"Electrician, Electric motor repair shop",781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 99544 19157,N/A,5.0,,"A.T Rd, near Kalibari Road, Hansara, Doomdooma Pathar Gaon, Doom Dooma, Assam 786190",Hansara,27.5642353,95.548113,ChIJl1pbim4RPzcRGIlqsROrDNo,https://www.google.com/maps/place/?q=place_id:ChIJl1pbim4RPzcRGIlqsROrDNo,part_358,2026-09-20 20:51:26
Riaj electrical workshop,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 60018 14811,N/A,,,"Bongalmora petrol pump, Bangalmara Miri, Assam 787054",781330,27.067157899999998,93.9560941,ChIJp_dnAoizRjcRlW9yHGWNEoQ,https://www.google.com/maps/place/?q=place_id:ChIJp_dnAoizRjcRlW9yHGWNEoQ,part_358,2026-09-20 20:51:26
Motor Electric Point,Motor Rewinding and Pump Repair,Electronics repair shop,Electronics repair shop,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 60035 97407,N/A,,,"SH 3, Nagaon, Pub Singimari, Assam 782125",781330,26.4870374,92.7764225,ChIJ_U-tgHXdRDcRbQHhU1M3GnY,https://www.google.com/maps/place/?q=place_id:ChIJ_U-tgHXdRDcRbQHhU1M3GnY,part_358,2026-09-20 20:51:26
Power Pump Repairing Store,Motor Rewinding and Pump Repair,Electronics repair shop,Electronics repair shop,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 86389 13348,N/A,,,"Nlp Road, Bongalmora, Bangalmara Miri, Assam 787054",781330,27.0633192,93.95614499999999,ChIJyShQgLazRjcRAdSIe0Qc5Vo,https://www.google.com/maps/place/?q=place_id:ChIJyShQgLazRjcRAdSIe0Qc5Vo,part_358,2026-09-20 20:51:26
M J Generator Service,Motor Rewinding and Pump Repair,Electronics repair shop,Electronics repair shop,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 98544 46305,N/A,1.0,,"Charaimoria, Lechai, Assam 787052",781330,27.163702999999998,94.0984593,ChIJOzmvXho1QTcR5Mx6EPlMMTI,https://www.google.com/maps/place/?q=place_id:ChIJOzmvXho1QTcR5Mx6EPlMMTI,part_358,2026-09-20 20:51:26
