business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Golden Space Properties,Premium Luxury Real Estate,Real estate agency,Real estate agency,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 91013 03708,N/A,4.2,,"Hengrabari Rd, GMC Ward Number 44, Ganeshguri, Guwahati, Assam 781006","GMC Ward Number 44, Ganeshguri",26.1496118,91.78787,ChIJR2HERq5ZWjcRzObti_BNiGQ,https://www.google.com/maps/place/?q=place_id:ChIJR2HERq5ZWjcRzObti_BNiGQ,part_358,2026-09-20 20:51:24
Dream Villa Real estate Office,Premium Luxury Real Estate,Industrial real estate agency,Industrial real estate agency,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",N/A,N/A,5.0,,"House no 5, Kalpataru Path, Rukmini Nagar Path, near GNRC Hospital, Dispur, Guwahati, Assam 781006","Dispur, Rukmini Gaon",26.1379745,91.7943126,ChIJcb34PQBZWjcRx5CqgKQfe3g,https://www.google.com/maps/place/?q=place_id:ChIJcb34PQBZWjcRx5CqgKQfe3g,part_358,2026-09-20 20:51:24
Suraj luxury house,Premium Luxury Real Estate,Housing society,Housing society,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",N/A,N/A,5.0,,"JWJ2+6W, Kahitama N.C., Assam 781315",781330,26.6305987,90.9023466,ChIJ_WE3UwATWTcRhoWShe6J_lQ,https://www.google.com/maps/place/?q=place_id:ChIJ_WE3UwATWTcRhoWShe6J_lQ,part_358,2026-09-20 20:51:24
Ashiyanna Property and Trade Agency,Premium Luxury Real Estate,Real estate agency,Real estate agency,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 70024 75874,N/A,5.0,,"House no 115, Sarat Plaza, Rajgarh Rd, Nabin Nagar, Guwahati, Assam 781007",Nabin Nagar,26.169828499999998,91.7705362,ChIJ2ToQODxZWjcRBLqs2DNNi7s,https://www.google.com/maps/place/?q=place_id:ChIJ2ToQODxZWjcRBLqs2DNNi7s,part_358,2026-09-20 20:51:24
Signature Estate,Premium Luxury Real Estate,Apartment complex,Apartment complex,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",N/A,http://www.signatureestatesguwahati.com/,4.3,,"5Q94+WWR, Dr BK Kakati Rd, Ulubari, Guwahati, Assam 781007",Ulubari,26.169858299999998,91.7572591,ChIJ_zEEGn9ZWjcRNKk7sGVOeg4,https://www.google.com/maps/place/?q=place_id:ChIJ_zEEGn9ZWjcRNKk7sGVOeg4,part_358,2026-09-20 20:51:24
Real Estate Builders,Premium Luxury Real Estate,Housing development,Housing development,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",N/A,N/A,,,"FRPF+GH, Kismatdwarika, Assam 781317",781330,26.487351,90.8237966,ChIJmctQQkwJWTcRD8C-M0hxRMQ,https://www.google.com/maps/place/?q=place_id:ChIJmctQQkwJWTcRD8C-M0hxRMQ,part_358,2026-09-20 20:51:24
Prime Properties n Realtors,Premium Luxury Real Estate,Industrial real estate agency,"Industrial real estate agency, Service establishment, Real estate agency, Real estate developer",781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 98640 36464,https://prime-properties.in/,3.3,,"Prime Properties n Realtors, 781330, India",781330,21.0680074,82.7525294,ChIJ5xjG1HZZWjcRUA7Sfi1PR6Y,https://www.google.com/maps/place/?q=place_id:ChIJ5xjG1HZZWjcRUA7Sfi1PR6Y,part_358,2026-09-20 20:51:24
Signature Property dealer,Premium Luxury Real Estate,Real estate consultant,Real estate consultant,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",N/A,N/A,,,"SH 2, Sorbhog, Assam 781317",781330,26.4909225,90.9054199,ChIJy5A0awALWTcRvBuZhQFhNFk,https://www.google.com/maps/place/?q=place_id:ChIJy5A0awALWTcRvBuZhQFhNFk,part_358,2026-09-20 20:51:24
S M ENCLAVE,Premium Luxury Real Estate,Housing complex,Housing complex,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",N/A,N/A,4.8,25.0,"64, Dr B Baruah Rd, Ulubari, Guwahati, Assam 781007",Ulubari,26.178059299999997,91.7558639,ChIJK7VAJApZWjcRrTs5nWfUyGc,https://www.google.com/maps/place/?q=place_id:ChIJK7VAJApZWjcRrTs5nWfUyGc,part_358,2026-09-20 20:51:25
CityPrime One (Guest House Guwahati),Premium Luxury Real Estate,Home Stay,"Home Stay, Guest house, Short term apartment rental agency",781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 70990 50098,N/A,5.0,20.0,"8A,Juri path, z.n.road, Geetanagar, Guwahati, Assam 781024",Geetanagar,26.1723555,91.7912131,ChIJLQzpOW5ZWjcROLNWISsR-C8,https://www.google.com/maps/place/?q=place_id:ChIJLQzpOW5ZWjcROLNWISsR-C8,part_358,2026-09-20 20:51:25
