business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AP Global Engineers,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Chemical wholesaler, Concrete contractor, Contractor, Demolition contractor, Flooring contractor, Roofing contractor",781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 96780 44501,https://amihirinfra.com/construction-services-in-assam/,5.0,7.0,"Gandhi path, AK Dev Rd, Assam 781025","Natun Basti, Dhirenpara",26.1272722,91.72277249999999,ChIJpQNXyGtbWjcRIY0r2vQAwhU,https://www.google.com/maps/place/?q=place_id:ChIJpQNXyGtbWjcRIY0r2vQAwhU,part_358,2026-09-20 20:51:11
V & B Waterproofing Services in Assam,Waterproofing Contractor,Waterproofing service,Waterproofing service,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 93951 90731,https://waterproofing.volumeandbeyond.com/,5.0,2.0,"Ground Floor, Sufia Complex, S Dohatia Rd, Tinsukia, Assam 786125",781330,27.493612499999998,95.3488107,ChIJkY_jXqRrPzcRO0eg3kZArc4,https://www.google.com/maps/place/?q=place_id:ChIJkY_jXqRrPzcRO0eg3kZArc4,part_358,2026-09-20 20:51:11
NE Construction and Waterproofing Solution,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Building restoration service, Demolition contractor, Flooring contractor, HVAC contractor, Metal services",781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 98628 30833,N/A,5.0,5.0,"naba path, near best pick store, Rukmini Gaon, Guwahati, Assam 781006",Rukmini Gaon,26.1335674,91.8035002,ChIJa_TjsG9fWjcRTxOLZPOMBnM,https://www.google.com/maps/place/?q=place_id:ChIJa_TjsG9fWjcRTxOLZPOMBnM,part_358,2026-09-20 20:51:11
VIRGOTECH,Waterproofing Contractor,Waterproofing service,Waterproofing service,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 88764 88891,N/A,,,"H 95, Sewali Path, Haridev Rd, Guwahati, Assam 781038","Lakhimi Nagar, Hatigaon",26.137710799999997,91.7842208,ChIJ8eq4iRZZWjcR4NpCCJRZ7j8,https://www.google.com/maps/place/?q=place_id:ChIJ8eq4iRZZWjcR4NpCCJRZ7j8,part_358,2026-09-20 20:51:11
Ridmus Engineering Pvt. Ltd.,Waterproofing Contractor,Waterproofing service,Waterproofing service,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 93946 50770,N/A,,,"FVFR+5X8, 70, Rose Gali South, P.O Mohanaghat, Amolapatty, Dibrugarh, Assam 786008","P.O Mohanaghat, Amolapatty",27.4729375,94.8924375,ChIJz8thc76XQDcR_dpM-eh9HcI,https://www.google.com/maps/place/?q=place_id:ChIJz8thc76XQDcR_dpM-eh9HcI,part_358,2026-09-20 20:51:11
keltouch Waterproofing Co.,Waterproofing Contractor,Waterproofing service,Waterproofing service,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",N/A,N/A,5.0,33.0,"00, Jawahar Lal Rd, near UCO Bank, Tilak Maidan, Sutapatti, Pokhraira, Muzaffarpur, Bihar 842001","Tilak Maidan, Sutapatti, Pokhraira",26.122702,85.3880356,ChIJR_b3J7ER7TkRePeI9PpxIPE,https://www.google.com/maps/place/?q=place_id:ChIJR_b3J7ER7TkRePeI9PpxIPE,part_358,2026-09-20 20:51:11
AQUATECH Engineering & Services,Waterproofing Contractor,Swimming pool contractor,Swimming pool contractor,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 98640 12475,N/A,4.3,18.0,"5R26+H2G Near, Karbi Dehal, Milan Nagar, Hengrabari, Guwahati, Assam 781036","Milan Nagar, Hengrabari",26.151442799999998,91.8101239,ChIJOQQYTQBZWjcRP3E1uF93c28,https://www.google.com/maps/place/?q=place_id:ChIJOQQYTQBZWjcRP3E1uF93c28,part_358,2026-09-20 20:51:11
MS Construction Golaghat,Waterproofing Contractor,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, General contractor",781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 70025 16350,https://msconstruction.ltd/,5.0,21.0,"Athkheliya Namghor, near Athgaon Chariali, Road, Bengenakhowa, Assam 785625",781330,26.4839785,94.0302492,ChIJuTP499qNRjcR0Ok5jJeApxU,https://www.google.com/maps/place/?q=place_id:ChIJuTP499qNRjcR0Ok5jJeApxU,part_358,2026-09-20 20:51:11
Buildarch Engineers,Waterproofing Contractor,Swimming pool contractor,"Swimming pool contractor, Civil engineering company, Drone service, Interior construction contractor, Land surveyor, Landscape designer, Landscape lighting designer, Mechanical contractor, Sewage treatment plant, Structural engineer",781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 94019 77901,http://buildarchengineers.in/,4.6,29.0,"S.S complex, Solapara Rd, next to Bank of India, Paltan Bazaar, Guwahati, Assam 781003",Paltan Bazaar,26.178329899999998,91.75323,ChIJLzcwXCRbWjcR3XflgYguc9o,https://www.google.com/maps/place/?q=place_id:ChIJLzcwXCRbWjcR3XflgYguc9o,part_358,2026-09-20 20:51:11
North East Waterproofing,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Service establishment",781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 70020 57031,N/A,,,"North East Waterproofing, 781330, India",781330,25.6619849,92.7037972,ChIJcfiHraNfWjcRpsUWtp6W8-M,https://www.google.com/maps/place/?q=place_id:ChIJcfiHraNfWjcRpsUWtp6W8-M,part_358,2026-09-20 20:51:12
Waterproof India,Waterproofing Contractor,Waterproofing service,Waterproofing service,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",+91 86382 47273,http://www.waterproofindia.co.in/,,,"7, BR Phukan Rd, near Railway Gate, Kumarpara, Bharalumukh, Guwahati, Assam 781009","Kumarpara, Bharalumukh",26.17345,91.7347901,ChIJy8hk73FbWjcRpuwrvahsL3M,https://www.google.com/maps/place/?q=place_id:ChIJy8hk73FbWjcRpuwrvahsL3M,part_358,2026-09-20 20:51:12
MDGConstruction&Suppliers,Waterproofing Contractor,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,781330,Assam Circle,N/A,Nalbari Division,"Simla S.O, Barghogra B.O, Koklabari B.O",N/A,https://www.mdgconstructionandsuppliers.com/,5.0,,"Kanchan bhawan, NH 15 Moidamia, North Lakhimpur, Assam 787032",781330,27.2537476,94.1199778,ChIJD_rDJag3QTcRlcWL5XxZg28,https://www.google.com/maps/place/?q=place_id:ChIJD_rDJag3QTcRlcWL5XxZg28,part_358,2026-09-20 20:51:12
