business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bhagyashree Family Restaurant,Family Restaurant,Family restaurant,Family restaurant,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",N/A,N/A,3.9,,"Paikarkuchi Chowk, Sondha, Assam 781337",781333,26.4523525,91.4842997,ChIJk4uiMwDLWzcRDXtHIIkg-Qo,https://www.google.com/maps/place/?q=place_id:ChIJk4uiMwDLWzcRDXtHIIkg-Qo,part_358,2026-09-20 20:51:38
Kanchanjangha Resort & Family Restaurant,Family Restaurant,Family restaurant,Family restaurant,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",N/A,N/A,4.0,,"NH-31, Nalbari, Assam 781337",781333,26.458440099999997,91.4580881,ChIJASyhI6_LWzcRDaQk2kN8Vvc,https://www.google.com/maps/place/?q=place_id:ChIJASyhI6_LWzcRDaQk2kN8Vvc,part_358,2026-09-20 20:51:38
""" NAHAR "" FAMILY RESTAURANT , NALBARI",Family Restaurant,Restaurant,Restaurant,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 76370 64333,http://www.naharfamily.restaurant.com/,3.0,,"CCPQ+WC7, B-5/1204, Santipur, Nalbari, Assam 781334",Santipur,26.437275999999997,91.4385844,ChIJJZLGLwDNWzcRFQZz899zk7Q,https://www.google.com/maps/place/?q=place_id:ChIJJZLGLwDNWzcRFQZz899zk7Q,part_358,2026-09-20 20:51:38
Green Hotel and Resturant,Family Restaurant,Family restaurant,Family restaurant,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",N/A,N/A,4.5,,"NH 27, Nalbari - Barama Rd, Baishya Para, Barnagar Banekuchi, Assam 781340",781333,26.469887399999998,91.38129819999999,ChIJWcnyDgDNWzcRLxOqiQIGJ_E,https://www.google.com/maps/place/?q=place_id:ChIJWcnyDgDNWzcRLxOqiQIGJ_E,part_358,2026-09-20 20:51:38
Dolisa Family Restaurant,Family Restaurant,Family restaurant,Family restaurant,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",N/A,N/A,3.7,,"FC5P+FVC, near SP office, Barkura, Milanpur, Assam 781337",781333,26.4586999,91.43713129999999,ChIJ94GcjsbNWzcRiBb-ElPEAXU,https://www.google.com/maps/place/?q=place_id:ChIJ94GcjsbNWzcRiBb-ElPEAXU,part_358,2026-09-20 20:51:38
Dolly's restaurant,Family Restaurant,Indian restaurant,Indian restaurant,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",N/A,N/A,4.6,,"G9G4+32R, Barama, Assam 781346",781333,26.525249,91.3550176,ChIJh_-RUADRWzcR7hnEGvGes7A,https://www.google.com/maps/place/?q=place_id:ChIJh_-RUADRWzcR7hnEGvGes7A,part_358,2026-09-20 20:51:38
Bishnu hotel & restaurant,Family Restaurant,Family restaurant,Family restaurant,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 91010 88264,N/A,5.0,3.0,"bus stand, NH-31, near barkura, Nalbari, Baishya Para, Assam 781340",781333,26.4545663,91.4081346,ChIJG2wqDADNWzcRHAKxYjPZ2Bs,https://www.google.com/maps/place/?q=place_id:ChIJG2wqDADNWzcRHAKxYjPZ2Bs,part_358,2026-09-20 20:51:39
D Suman family restaurant,Family Restaurant,Family restaurant,Family restaurant,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",N/A,N/A,4.1,15.0,"Karara Garvitor, Rangia, Assam 781354",781333,26.4732706,91.6045413,ChIJRbfbmAmzWzcRqImaLPoVq7M,https://www.google.com/maps/place/?q=place_id:ChIJRbfbmAmzWzcRqImaLPoVq7M,part_358,2026-09-20 20:51:39
Trishna hotel and restaurant,Family Restaurant,Family restaurant,Family restaurant,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",N/A,N/A,,,"Nalbari, Barkura, Assam 781337",781333,26.452997,91.4186924,ChIJ3etTPsrNWzcRqxqAmtEGv6A,https://www.google.com/maps/place/?q=place_id:ChIJ3etTPsrNWzcRqxqAmtEGv6A,part_358,2026-09-20 20:51:39
"Hotel Moushak, Nalbari",Family Restaurant,Restaurant,Restaurant,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",N/A,N/A,4.0,,"Nalbari, Assam 781335",781333,26.4457585,91.4425076,ChIJq5Wha53MWzcR100ONFroJug,https://www.google.com/maps/place/?q=place_id:ChIJq5Wha53MWzcR100ONFroJug,part_358,2026-09-20 20:51:40
