business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Nabaratna cricket academy,Sports Academy and Turf Ground,Cricket ground,Cricket ground,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",N/A,https://www.facebook.com/anjirahmed80?mibextid=rS40aB7S9Ucbxw6v,5.0,,"CCWX+WGR, Bhakatpara Rd, Nalbari, Assam 781334",781333,26.4473609,91.44875789999999,ChIJM2rc9HzLWzcRdZbGHg4D01Q,https://www.google.com/maps/place/?q=place_id:ChIJM2rc9HzLWzcRdZbGHg4D01Q,part_358,2026-09-20 20:51:59
Sariahtali sports complex,Sports Academy and Turf Ground,Sports complex,Sports complex,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",N/A,N/A,4.5,,"FC8F+6RM, Barsarkuchi, Milanpur, Assam 781337",781333,26.4655806,91.4245574,ChIJqYqkWUrNWzcR8xmOWE9LN_s,https://www.google.com/maps/place/?q=place_id:ChIJqYqkWUrNWzcR8xmOWE9LN_s,part_358,2026-09-20 20:51:59
Gurdon Field,Sports Academy and Turf Ground,Playground,Playground,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",N/A,N/A,4.4,,"CCRM+MHJ, Gopal Bazar, Nalbari, Assam 781335",Gopal Bazar,26.441714299999997,91.4339016,ChIJCbCO_5nMWzcRbjJfrIkJq2o,https://www.google.com/maps/place/?q=place_id:ChIJCbCO_5nMWzcRbjJfrIkJq2o,part_358,2026-09-20 20:51:59
Blue Birds Sports Club Cricket Coaching Center,Sports Academy and Turf Ground,Cricket club,Cricket club,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 84028 13860,N/A,4.7,,"RajkadamTal High School field, NH-31, near Pranita Restaurant, Sondha, Assam 781337",781333,26.4524351,91.4877128,ChIJ-beGfpjLWzcRoJLWL6S0Sd0,https://www.google.com/maps/place/?q=place_id:ChIJ-beGfpjLWzcRoJLWL6S0Sd0,part_358,2026-09-20 20:51:59
Gurdon Cricket Academy,Sports Academy and Turf Ground,Coaching Center,Coaching Center,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 98641 49655,N/A,3.9,,"CCPQ+WRH, Palla Road, Santipur, Nalbari, Assam 781334",Santipur,26.4373005,91.4396043,ChIJ9egGpZDMWzcRlFojx_BcSuE,https://www.google.com/maps/place/?q=place_id:ChIJ9egGpZDMWzcRlFojx_BcSuE,part_358,2026-09-20 20:51:59
Udalguri Nalbari Sports Ground,Sports Academy and Turf Ground,Playground,"Playground, Cricket ground",781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 94010 44057,N/A,3.8,,"P4W5+MX5, Udalguri, Assam 784509",781333,26.746648699999998,92.109994,ChIJKSTHuhwVWzcRZNVClO3aFDg,https://www.google.com/maps/place/?q=place_id:ChIJKSTHuhwVWzcRZNVClO3aFDg,part_358,2026-09-20 20:51:59
Milan High School Play Ground,Sports Academy and Turf Ground,Playground,Playground,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",N/A,N/A,4.2,,"C9CV+C6V, Nalbari, Assam 781303",781333,26.421115,91.39304279999999,ChIJVcZVqTHNWzcRPh4vbyOdrME,https://www.google.com/maps/place/?q=place_id:ChIJVcZVqTHNWzcRPh4vbyOdrME,part_358,2026-09-20 20:51:59
Panjabari Sports Academy,Sports Academy and Turf Ground,Sports school,Sports school,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 90850 91064,N/A,4.4,,"Panjabari Rd, Batahguli, Guwahati, Amsing, Assam 781037",Batahguli,26.1326863,91.8447016,ChIJ39ZiM__3WjcR5I2khRYT_s8,https://www.google.com/maps/place/?q=place_id:ChIJ39ZiM__3WjcR5I2khRYT_s8,part_358,2026-09-20 20:52:00
Kub Center,Sports Academy and Turf Ground,Sports club,Sports club,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",N/A,N/A,5.0,,"737C+943, Palhaji, Rahampur, Assam 781309",781333,26.263375999999997,91.070304,ChIJczAtWwCFWTcRXEL-c_q67O8,https://www.google.com/maps/place/?q=place_id:ChIJczAtWwCFWTcRXEL-c_q67O8,part_358,2026-09-20 20:52:00
Futsal Elite,Sports Academy and Turf Ground,Sports club,"Sports club, Playground",781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 99570 49270,N/A,3.3,,"28, AG Colony Rd, Beharbari, Lalmati, Guwahati, Assam 781029","Beharbari, Lalmati",26.114200099999998,91.7721936,ChIJT36wQgBfWjcRgdammZX3qmk,https://www.google.com/maps/place/?q=place_id:ChIJT36wQgBfWjcRgdammZX3qmk,part_358,2026-09-20 20:52:00
ANA Cricket Academy,Sports Academy and Turf Ground,Playground,Playground,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",N/A,N/A,4.7,,"5M5Q+X3F, Pandav Nagar, Pandu, Guwahati, Assam 781012","Pandav Nagar, Pandu",26.1599132,91.6877718,ChIJ0fUorUdbWjcRDQ3xXnv0kmk,https://www.google.com/maps/place/?q=place_id:ChIJ0fUorUdbWjcRDQ3xXnv0kmk,part_358,2026-09-20 20:52:00
Udayan field,Sports Academy and Turf Ground,Playground,Playground,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",N/A,N/A,3.9,,"4JGC+52C, Azara, Guwahati, Mikir Para Chakardoi, Assam 781017",Azara,26.1254444,91.6200187,ChIJI1Ya7nVDWjcRKnqT3bAsiHc,https://www.google.com/maps/place/?q=place_id:ChIJI1Ya7nVDWjcRKnqT3bAsiHc,part_358,2026-09-20 20:52:00
New Star Sports And Cultural Club,Sports Academy and Turf Ground,Club,Club,781333,Assam Circle,N/A,Nalbari Division,"Barimakha S.O, Bennabari B.O, Dalbari B.O",+91 84860 60439,N/A,4.2,,"98G6+4FF, Kaihati, Dahudi, Assam 781338",781333,26.3753133,91.31115659999999,ChIJrT2-U_IsWjcRR48Krnb8woo,https://www.google.com/maps/place/?q=place_id:ChIJrT2-U_IsWjcRR48Krnb8woo,part_358,2026-09-20 20:52:00
